,Concept_ID,it,se
0,Auge::N,occhio,tjelmie
1,Auge::N,occhio,tjalmme
2,Auge::N,occhio,čalbmi
3,Auge::N,occhio,čalme
4,Auge::N,occhio,čâ´lmm
5,Auge::N,occhio,ча̄лльм
6,Ohr::N,orecchio,bieljie
7,Ohr::N,orecchio,biellje
8,Ohr::N,orecchio,beallji
9,Ohr::N,orecchio,pelji
10,Ohr::N,orecchio,pe´llj
11,Ohr::N,orecchio,пе̄лльй
12,Nase::N,naso,njuenie
13,Nase::N,naso,njunnje
14,Nase::N,naso,njunni
15,Nase::N,naso,njuṇe
16,Nase::N,naso,njuu´nn
17,Nase::N,naso,нюннҍ
18,Mund::N,bocca,njaelmie
19,Mund::N,bocca,njálmme
20,Mund::N,bocca,njálbmi
21,Mund::N,bocca,njälmi
22,Mund::N,bocca,njä´lmm
23,Mund::N,bocca,ня̄лльм
24,Zahn::N,dente,baenie
25,Zahn::N,dente,bádne
26,Zahn::N,dente,bátni
27,Zahn::N,dente,pääṇi
28,Zahn::N,dente,pää´nn
29,Zahn::N,dente,па̄ннҍ
30,Zunge::N,lingua,njoektjeme
31,Zunge::N,lingua,njuovtjav
32,Zunge::N,lingua,njuovčča
33,Zunge::N,lingua,njuovčâ
34,Zunge::N,lingua,njuhččâm
35,Zunge::N,lingua,нюхчем
36,Lippe::N,labbro,bangseme
37,Lippe::N,labbro,njálmmerabdda
38,Lippe::N,labbro,bavssa
39,Lippe::N,labbro,poovsâ
40,Lippe::N,labbro,põõus
41,Lippe::N,labbro,пэ̄кс
42,Wange::N,guancia,skiehrie
43,Wange::N,guancia,nierra
44,Wange::N,guancia,muohtu
45,Wange::N,guancia,nieṛâ
46,Wange::N,guancia,njiõrr
47,Wange::N,guancia,нӣрр
48,Gesicht::N,viso,ååredæjja
49,Gesicht::N,viso,muohto
50,Gesicht::N,viso,muođut
51,Gesicht::N,viso,ámadadju
52,Gesicht::N,viso,muáđuh
53,Gesicht::N,viso,muâđ
54,Gesicht::N,viso,ка̄ссв
55,Gesicht::N,faccia,ååredæjja
56,Gesicht::N,faccia,muohto
57,Gesicht::N,faccia,muođut
58,Gesicht::N,faccia,ámadadju
59,Gesicht::N,faccia,muáđuh
60,Gesicht::N,faccia,muâđ
61,Gesicht::N,faccia,ка̄ссв
62,Stirn::N,fronte,gaalloe
63,Stirn::N,fronte,gállo
64,Stirn::N,fronte,gállu
65,Stirn::N,fronte,kállu
66,Stirn::N,fronte,käll
67,Stirn::N,fronte,вуэххьц
68,Haar::N,capello,voepte
69,Haar::N,capello,vuoppta
70,Haar::N,capello,vuokta
71,Haar::N,capello,vuop'tâ
72,Haar::N,capello,vuõpt
73,Haar::N,capello,вӯппт
74,Schnurrbart::N,baffi,bijjie-skaavtjoe
75,Schnurrbart::N,baffi,njunjevuolskávttjá
76,Schnurrbart::N,baffi,seamu
77,Schnurrbart::N,baffi,siämu
78,Schnurrbart::N,baffi,ää´bben
79,Schnurrbart::N,baffi,о̄а̄бпан
80,Schnurrbart::N,mustacchi,bijjie-skaavtjoe
81,Schnurrbart::N,mustacchi,njunjevuolskávttjá
82,Schnurrbart::N,mustacchi,seamu
83,Schnurrbart::N,mustacchi,siämu
84,Schnurrbart::N,mustacchi,ää´bben
85,Schnurrbart::N,mustacchi,о̄а̄бпан
86,Bart::N,barba,skaavtja
87,Bart::N,barba,skaavtjoe
88,Bart::N,barba,skávttjá
89,Bart::N,barba,seamu
90,Bart::N,barba,siämu
91,Bart::N,barba,seäm
92,Bart::N,barba,ся̄м
93,Kinn::N,mento,gaejpie
94,Kinn::N,mento,gájbbe
95,Kinn::N,mento,gáibi
96,Kinn::N,mento,käibi
97,Kinn::N,mento,käi´bb
98,Kinn::N,mento,ка̄ййп
99,Kiefer[Anatomie]::N,mascella,gaejpie
100,Kiefer[Anatomie]::N,mascella,oalol
101,Kiefer[Anatomie]::N,mascella,oaloldákte
102,Kiefer[Anatomie]::N,mascella,gáibi
103,Kiefer[Anatomie]::N,mascella,uá'lultähti
