,Concept_ID,sq,zh
0,Auge::N,sy,眼睛
1,Ohr::N,vesh,耳朵
2,Nase::N,hundë,鼻子
3,Mund::N,gojë,嘴
4,Zahn::N,dhëmb,牙齿
5,Zunge::N,gjuhë,舌头
6,Lippe::N,buzë,嘴唇
7,Wange::N,faqe,面颊
8,Wange::N,mollëz,面颊
9,Gesicht::N,fytyrë,脸
10,Stirn::N,ballë,额
11,Haar::N,flokë,头发
12,Schnurrbart::N,mustaqe,髭须
13,Bart::N,mjekër,胡子
14,Kinn::N,mjekër,下巴
15,Kiefer[Anatomie]::N,nofull,颌
16,Kehle::N,fyt,嗓子
17,Kehle::N,grykë,嗓子
18,Hals::N,qafë,颈
19,Genick::N,arrëz,后颈
20,Kopf::N,kokë,头
21,Rücken::N,kurriz,背
22,Bauch::N,bark,肚子
23,Nabel::N,kërthizë,肚脐
24,Busen::N,gji,胸脯
25,Brust::N,gjoks,胸
26,Brust::N,kraharor,胸
27,Schulter::N,sup,肩膀
28,Schulter::N,krah,肩膀
29,Arm::N,krah,臂膀
30,Ellenbogen::N,bërryl,肘
31,Hand::N,dorë,手
32,Handfläche::N,pëllëmbë,手掌
33,Finger::N,gisht,手指
34,Fingernagel::N,thua,指甲
35,Nagel[Anatomie]::N,thua,指甲
36,Zeh::N,gisht i këmbës,脚趾
37,Fuß::N,këmbë,脚
38,Ferse::N,thembër,后跟
39,Knie::N,gju,膝
40,Oberschenkel::N,kofshë,大腿
41,Bein::N,këmbë,腿
42,Körper::N,trup,身体
43,Haut::N,lëkurë,皮肤
44,Blut::N,gjak,血
45,Ader::N,venë,血管
46,Sehne::N,dell,腱
47,Knochen::N,asht,骨
48,Knochen::N,kockë,骨
49,Gehirn::N,tru,脑
50,Herz::N,zemër,心
51,Magen::N,stomak,胃
52,Leber::N,mëlçi,肝
53,Atem::N,frymë,呼吸
54,Hunger::N,uri,饿
55,Träne::N,lot,眼泪
56,Geschmack::N,shije,味道
57,Geruch::N,erë,气味
58,Schlaf::N,gjumë,睡眠
59,Traum::N,ëndërr,梦
60,Himmel::N,qiell,天空
61,Sonne::N,diell,太阳
62,Mond::N,hënë,月亮
63,Stern::N,yll,星
64,Luft::N,ajër,空气
65,Wind::N,erë,风
66,Welle::N,valë,波
67,Welle::N,dallgë,波
68,Wasser::N,ujë,水
69,Stein::N,gur,石头
70,Boden::N,tokë,地面
71,Boden::N,truall,地面
72,Erde::N,dhe,地
73,Erde::N,baltë,地
74,Staub::N,pluhur,灰尘
75,Rauch::N,tym,烟
76,Funke::N,xixë,火花
77,Funke::N,shkëndijë,火花
78,Feuer::N,zjarr,火
79,Licht::N,dritë,光
80,Schatten::N,hije,影子
81,Wetter::N,mot,天气
82,Nebel::N,mjegull,雾
83,Wolke::N,re,云
84,Regen::N,shi,雨
85,Schnee::N,borë,雪
86,Eis::N,akull,冰
87,Frost::N,ngricë,霜冻
88,Kälte::N,të ftohtë,寒冷
89,Hitze::N,vapë,炎热
90,Hitze::N,nxehtësi,炎热
91,Raureif::N,cikmë,霜
92,Regenbogen::N,ylber,虹
93,Donner::N,gjëmim,雷
94,Donner::N,bubullimë,雷
95,Strömung::N,rrymë,水流
96,Tropfen::N,pikë,滴
97,Schaum::N,shkumë,泡沫
98,Schmutz::N,baltë,赃物
99,See::N,liqen,湖
100,Sumpf::N,batak,沼泽
101,Moor::N,kënetë,沼泽
102,Wiese::N,livadh,草地
103,Wald::N,pyll,森林
104,Hügel::N,kodër,丘陵
105,Anhöhe::N,bregore,山丘
106,Berg::N,mal,山
107,Gipfel::N,kulm,峰
108,Höhle::N,shpellë,洞穴
109,Höhle::N,zgafelle,洞穴
110,Abhang::N,shpat,斜坡
111,Abhang::N,tatëpjetë,斜坡
112,Quelle::N,krua,泉
113,Quelle::N,burim,泉
114,Bach::N,virua,溪
115,Fluss::N,lumë,河流
116,Ufer::N,breg,岸
117,Küste::N,anëdet,海岸
118,Küste::N,bregdet,海岸
119,Festland::N,kontinent,大陆
120,Meer::N,det,海
121,Bucht::N,gji deti,海湾
122,Insel::N,ishull,岛
123,Insel::N,ujdhesë,岛
124,Blume::N,lule,花
125,Gras::N,bar,草
126,Wurzel::N,rrënjë,根
127,Baum::N,pemë,树
128,Stamm::N,trung,树干
129,Rinde::N,lëvore,树皮
130,Ast::N,degë,树枝
131,Zweig::N,bisk,树枝
132,Blatt::N,fletë,叶子
133,Blatt::N,gjethe,叶子
134,Birke::N,mështekën,桦木
135,Kiefer[Baum]::N,pishë,松树
136,Weide[Baum]::N,shelg,柳树
137,Tanne::N,bredh,冷杉
138,Horn::N,bri,角
139,Feder::N,pupël,羽毛
140,Fell::N,lëkurë,皮毛
