,Concept_ID,ce,udm
0,Auge::N,бӏаьрг,син
1,Ohr::N,лерг,пель
2,Nase::N,мара,ныр
3,Mund::N,бага,ым
4,Zahn::N,церг,пинь
5,Zunge::N,мотт,кыл
6,Lippe::N,балда,ымдур
7,Wange::N,бесни,бам
8,Gesicht::N,юьхь,ымныр
9,Stirn::N,хьаж,кымес
10,Haar::N,мас,йырси
11,Schnurrbart::N,мекх,мыйык
12,Bart::N,маж,туш
13,Kinn::N,чӏениг,ангес
14,Kiefer[Anatomie]::N,мочхал,ан
15,Kiefer[Anatomie]::N,мочхал,анлы
16,Kehle::N,къамкъарг,гульым
17,Hals::N,ворта,чырты
18,Genick::N,кӏесаркӏаг,йырбер
19,Kopf::N,корта,йыр
20,Rücken::N,букъ,мыш
21,Bauch::N,кийра,кӧт
22,Nabel::N,цӏонга,гогы
23,Busen::N,зударийн накха,ноны
24,Brust::N,накха,мӧля
25,Schulter::N,белш,пельпум
26,Arm::N,пхьарс,суй
27,Ellenbogen::N,пхьаьрсан гола,гырпум
28,Hand::N,куьг,ки
29,Handfläche::N,кераюкъ,ки пыдэс
30,Handfläche::N,кераюкъ,кырым пыдэс
31,Finger::N,пӏелг,чиньы
32,Fingernagel::N,мӏара,гижы
33,Fingernagel::N,мӏара,гиждӥнь
34,Nagel[Anatomie]::N,мӏара,гижы
35,Zeh::N,кога пӏелг,пыдчиньы
36,Fuß::N,ког,пыд
37,Ferse::N,кӏажа,пыдбер
38,Knie::N,гола,пыдес
39,Oberschenkel::N,варе,макес
40,Bein::N,ког,пыд
41,Körper::N,хӏума,мугор
42,Körper::N,хӏума,вылтыр
43,Haut::N,чкъор,ку
44,Blut::N,цӏий,вир
45,Ader::N,пха,вирсэр
46,Sehne::N,хьорзам,вуж
47,Knochen::N,даьӏахк,лы
48,Gehirn::N,хье,вим
49,Herz::N,дог,сюлэм
50,Magen::N,зорх,ӝуш
51,Leber::N,доӏах,мус
52,Atem::N,садеӏар,лул
53,Atem::N,садеӏар,шокан
54,Hunger::N,мацалла,кӧтсюман
55,Träne::N,бӏаьрхи,синкыли
56,Geschmack::N,чам,шӧм
57,Geruch::N,хьожа,зын
58,Schlaf::N,наб,вӧт
59,Traum::N,гӏан,уйвӧт
60,Himmel::N,стигал,ин
61,Sonne::N,малх,шунды
62,Mond::N,бутт,толэзь
63,Stern::N,седа,кизили
64,Luft::N,xӏаваъ,омыр
65,Wind::N,мох,тӧл
66,Welle::N,тулгӏе,тулкым
67,Wasser::N,хи,ву
68,Stein::N,тӏулг,из
69,Boden::N,цӏенкъа,музъем
70,Erde::N,латта,му
71,Staub::N,чан,пыль
72,Rauch::N,кӏур,ӵын
73,Funke::N,суй,гизьы
74,Feuer::N,цӏе,тыл
75,Licht::N,серло,тыл
76,Schatten::N,ӏиндагӏ,вужер
77,Wetter::N,хенан хӏоттам,куазь
78,Nebel::N,дохк,бус
79,Wolke::N,марха,пилем
80,Regen::N,догӏа,зор
81,Schnee::N,ло,лымы
82,Eis::N,ша,йӧ
83,Frost::N,шело,кезьыт
84,Kälte::N,шело,кезьыт
85,Hitze::N,йовхо,пӧсь
86,Raureif::N,йис,гӧр
87,Regenbogen::N,стелаӏад,вуюись
88,Donner::N,ткъес,гудыри
89,Strömung::N,дӏаэхар,бызён
90,Strömung::N,дӏасалелар,бызён
91,Tropfen::N,тӏадам,шапык
92,Schaum::N,чопа,шукы
93,Schmutz::N,хатт,нӧд
94,Schmutz::N,хатт,дэри
95,See::N,ӏам,ты
96,Sumpf::N,уьшал,нюр
97,Moor::N,уьшал,нюр
98,Wiese::N,бай,возь
99,Wiese::N,бай,возьвыл
100,Wald::N,хьун,сик
101,Wald::N,хьун,нюлэс
102,Hügel::N,гу,выр
103,Hügel::N,гу,вырйыл
104,Hügel::N,шу,выр
105,Hügel::N,шу,вырйыл
106,Hügel::N,барз,выр
107,Hügel::N,барз,вырйыл
108,Anhöhe::N,акъари,выр
109,Anhöhe::N,акъари,вырйыл
110,Berg::N,лам,гурезь
111,Gipfel::N,бохь,йыл
112,Höhle::N,хьех,гу
113,Abhang::N,басе,бам
114,Quelle::N,шовда,ошмес
115,Bach::N,татол,пичи шур
116,Fluss::N,хи,шур
117,Ufer::N,хийист,ярдур
118,Küste::N,йист,вудур
119,Festland::N,латта,мувыр
120,Meer::N,xӏорд,зарезь
121,Bucht::N,чож,вукож
122,Insel::N,гӏайре,вумуӵ
123,Insel::N,гӏайре,шормуӵ
124,Blume::N,зезаг,сяська
125,Gras::N,буц,турын
126,Wurzel::N,орам,выжы
127,Baum::N,дитт,пу
128,Stamm::N,гӏад,модос
129,Stamm::N,тайпа,модос
130,Rinde::N,кевстиг,сул
131,Ast::N,га,ул
132,Zweig::N,га,вай
133,Blatt::N,гӏа,куар
134,Birke::N,дакх,кызьпу
135,Kiefer[Baum]::N,бага,пужым
136,Weide[Baum]::N,дак,бадьпу
137,Tanne::N,база,кыз
138,Horn::N,маӏа,сюр
139,Feder::N,пелаг,тылы
140,Fell::N,цӏока,ку
141,Flügel::N,тӏам,бурд
142,Klaue::N,мӏара,гижы
143,Kralle::N,тlод,пыд
144,Schwanz::N,цӏога,быж
145,Ei::N,xӏoa,пуз
146,Ei::N,xӏoa,кукей
147,Nest::N,бен,кар
148,Nest::N,бен,пузкар
149,Bau::N,lуьрг,кар
150,Bau::N,lуьрг,гу
151,Tier::N,дийнат,пӧйшур
152,Herde::N,жа,уллё
153,Kuh::N,етт,скал
154,Bulle::N,сту,ош
155,Bulle::N,сту,пороз
156,Pferd::N,говр,вал
157,Schaf::N,жий,ыж
158,Schaf::N,уьстагӏ,ыж
159,Schwein::N,хьакха,парсь
160,Hund::N,жӏаьла,пуны
161,Katze::N,цициг,коӵыш
162,Bär::N,ча,гондыр
163,Eichhörnchen::N,тарсал,коньы
164,Elch::N,сай,койык
165,Fuchs::N,цхьогал,ӟичы
166,Hase::N,пхьагал,кеч
167,Maus::N,дахка,шыр
168,Wolf::N,борз,кион
169,Vogel::N,олхазар,тылобурдо
170,Huhn::N,котам,курег
171,Hahn::N,нӏаьна,атас
172,Hahn::N,боргӏал,атас
173,Gans::N,гӏаз,ӟазег
174,Adler::N,aьрзу,ӧрзи
175,Ente::N,бад,ӵӧж
176,Eule::N,бухӏа,кучыран
177,Kranich::N,гӏаргӏули,тури
178,Krähe::N,къиг,куака
179,Kuckuck::N,aттйокх,кикы
180,Schwan::N,гӏургӏаз,юсь
181,Fisch::N,чӏара,чорыг
182,Barsch::N,окунь,юш
183,Hecht::N,гӏазкхийн чӏара,чипей
184,Schlange[Tier]::N,лаьхьа,кый
185,Wurm::N,нӏаьна,нумыр
186,Spinne::N,гезг,чонари
187,Ameise::N,зингат,кузьыли
188,Laus::N,меза,тэй
189,Laus::N,гӏениг,тэй
190,Mücke::N,чуьрк,нымы
191,Mücke::N,чуьрк,чибинь
192,Fliege::N,моза,кут
193,Schmetterling::N,полла,бубыли
194,Beere::N,цӏазам,узы-боры
195,Apfel::N,ӏаж,яблок
