,Concept_ID,cv,mn
0,Auge::N,куҫ,нүд
1,Ohr::N,хӑлха,чих
2,Nase::N,сӑмса,хамар
3,Mund::N,ҫӑвар,ам
4,Zahn::N,шӑл,шүд
5,Zunge::N,чӗлхе,хэл
6,Lippe::N,тута,уруул
7,Wange::N,пит ҫӑмарти,хацар
8,Gesicht::N,пит,царай
9,Gesicht::N,пит,нүүр
10,Gesicht::N,пит-куҫ,царай
11,Gesicht::N,пит-куҫ,нүүр
12,Stirn::N,ҫамка,дух
13,Haar::N,ҫӳҫ,үс
14,Schnurrbart::N,усси,дээд сахал
15,Schnurrbart::N,усси,живэр сахал
16,Bart::N,сухал,сахал
17,Kinn::N,янах,эрүү
18,Kiefer[Anatomie]::N,янах,эрүү
19,Kehle::N,пыр,хоолой
20,Kehle::N,карланкӑ,хоолой
21,Hals::N,пыр,хүзүү
22,Genick::N,ӗнсе,шил
23,Genick::N,ӗнсе,хүзүү
24,Kopf::N,пуҫ,толгой
25,Rücken::N,ҫурӑм,ар
26,Rücken::N,ҫурӑм,нуруу
27,Nabel::N,кӑвапа,хүйс
28,Busen::N,кӑкӑр,хөх
29,Brust::N,умӗ,цээж
30,Schulter::N,хул пуҫҫи,мөр
31,Schulter::N,хул пуҫҫи,бугалга
32,Arm::N,алӑ,гар
33,Ellenbogen::N,чавса,тохой
34,Hand::N,алӑ сыппи,гар
35,Hand::N,алӑ сыппи,алга
36,Handfläche::N,ал лаппи,алга
37,Finger::N,пӳрне,хуруу
38,Fingernagel::N,чӗрне,хурууны хумс
39,Nagel[Anatomie]::N,чӗрне,хумс
40,Zeh::N,пӳрне,хуруу
41,Fuß::N,ура лаппи,хөл
42,Ferse::N,кӗле,өсгий
43,Knie::N,чӗркуҫҫи,өвдөг
44,Oberschenkel::N,пӗҫӗ,гуя
45,Bein::N,ура,хөл
46,Körper::N,ӳт,бие
47,Körper::N,ӳт-пӳ,бие
48,Haut::N,тир,арьс
49,Blut::N,юн,цус
50,Ader::N,вена,судас
51,Sehne::N,шӑнӑр,бүлх
52,Sehne::N,шӑнӑр,шандас
53,Knochen::N,шӑмӑ,яс
54,Gehirn::N,миме,тархи
55,Herz::N,чӗре,зүрх
56,Magen::N,хырӑмлӑх,ходоод
57,Leber::N,пӗвер,элэг
58,Atem::N,сывлав,амьсгаа
59,Hunger::N,выҫлӑх,өлсгөлөн
60,Träne::N,куҫҫуль,нулимс
61,Geschmack::N,техӗм,амт
62,Geruch::N,шӑршӑ,үнэр
63,Schlaf::N,ыйхӑ,нойр
64,Traum::N,тӗлӗк,зүүд
65,Himmel::N,пӗлӗт,тэнгэр
66,Himmel::N,пӗлӗт,огторгуй
67,Sonne::N,хӗвел,нар
68,Mond::N,уйӑх,сар
69,Stern::N,ҫӑлтӑр,од
70,Luft::N,сывлӑш,агаар
71,Wind::N,ҫил,салхи
72,Welle::N,хум,долгио
73,Welle::N,хум,давалгаа
74,Wasser::N,шыв,ус
75,Wasser::N,шыв-шур,ус
76,Stein::N,чул,чулуу
77,Boden::N,тӑпра,хөрс
78,Erde::N,ҫӗр,газар
79,Erde::N,ҫӗр,шороо
80,Staub::N,тусан,тоос
81,Rauch::N,тӗтӗм,утаа
82,Funke::N,хӗм,оч
83,Feuer::N,вут,гал
84,Feuer::N,ҫулӑм,гал
85,Licht::N,ҫутӑ,гэрэл
86,Licht::N,ҫутӑ,гэгээ
87,Schatten::N,сулхӑн,сүүдэр
88,Wetter::N,ҫанталӑк,тэнгэр
89,Wetter::N,ҫанталӑк,цаг уур
90,Nebel::N,тӗтре,будан
91,Wolke::N,пӗлӗт,үүл
92,Regen::N,ҫумӑр,бороо
93,Schnee::N,юр,цас
94,Eis::N,пӑр,мөс
95,Frost::N,сивӗ,хүйт
96,Kälte::N,сивӗ,хүйт
97,Hitze::N,вӗри,халуун
98,Hitze::N,шӑрӑх,халуун
99,Raureif::N,пас,цан
100,Raureif::N,пас,хяруу
101,Regenbogen::N,асамат кӗперӗ,солонго
102,Donner::N,аслати,тэнгэрийн дуу
103,Strömung::N,юхӑ,урсгал
104,Tropfen::N,тумлам,дусал
105,Schaum::N,кӑпӑк,хөөс
106,Schmutz::N,пылчӑк,хир
107,Schmutz::N,пылчӑк,шавхай
108,See::N,кӳлӗ,нуур
109,Sumpf::N,шур,намаг
110,Sumpf::N,шур,балчиг
111,Sumpf::N,шурлӑх,намаг
112,Sumpf::N,шурлӑх,балчиг
113,Moor::N,торфлӑ шурлӑх,хүлрийн намаг
114,Wiese::N,улӑх,нуга
115,Wiese::N,ҫаран,нуга
116,Wald::N,вӑрман,ой
117,Hügel::N,сӑрт,болдог
118,Hügel::N,тӗмеске,болдог
119,Anhöhe::N,сӑрт,гүвээ
120,Berg::N,ту,уул
121,Gipfel::N,тӳпе,орой
122,Gipfel::N,тӳпе,оргил
123,Höhle::N,ҫӗр хӑвӑлӗ,агуй
124,Abhang::N,тӑвайкки,хүр
125,Quelle::N,ҫӑл куҫ,булаг
126,Bach::N,пӗчӗк шыв,горхи
127,Fluss::N,юхан шыв,гол
128,Fluss::N,юхан шыв,мөрөн
129,Ufer::N,ҫыран,эрэг
130,Küste::N,тинӗс ҫыранӗ,эрэг
131,Festland::N,тип ҫӗр,хуурай газар
132,Meer::N,тинӗс,далай
133,Meer::N,тинӗс,тэнгис
134,Bucht::N,тинӗс кукӑрӗ,булан
135,Bucht::N,тинӗс кукӑрӗ,далайн тохой
136,Insel::N,утрав,арал
137,Blume::N,чечек,цэцэг
138,Gras::N,курӑк,өвс
139,Gras::N,курӑк,ногоо
140,Wurzel::N,тымар,үндэс
141,Baum::N,йывӑҫ,мод
142,Stamm::N,вулӑ,иш
143,Stamm::N,вулӑ,гуалин
144,Rinde::N,хуйӑр,холтос
145,Ast::N,турат,гишүү
146,Zweig::N,турат,салаа
147,Blatt::N,ҫулҫӑ,навч
148,Birke::N,хурӑн,хус
149,Kiefer[Baum]::N,хыр,нарс
150,Weide[Baum]::N,хӑва,уд
151,Weide[Baum]::N,хӑва,бургас
152,Tanne::N,чӑрӑш,гачуур
153,Horn::N,мӑйрака,эвэр
154,Feder::N,тӗк,өд
155,Fell::N,ҫӑм,арьс
156,Flügel::N,ҫунат,жигүүр
157,Flügel::N,ҫунат,далавч
158,Klaue::N,чӗрне,савар
159,Klaue::N,чӗрне,хумс
160,Kralle::N,ура,савар
161,Schwanz::N,хӳре,сүүл
162,Ei::N,ҫӑмарта,өндөг
163,Nest::N,йӑва,үүр
164,Bau::N,йӗнӗ,нүх
165,Bau::N,йӗнӗ,элүү
166,Tier::N,выльӑх,амьтан
167,Tier::N,выльӑх,адгуус
168,Herde::N,кӗтӳ,сүрэг
169,Kuh::N,ӗне,үнээ
170,Bulle::N,вӑкӑр,бух
171,Pferd::N,лаша,морь
172,Pferd::N,лаша,адуу
173,Schaf::N,сурӑх,хонь
174,Schwein::N,сысна,гахай
175,Hund::N,йытӑ,нохой
176,Katze::N,кушак,муур
177,Katze::N,кушак,мигуй
178,Bär::N,упа,баавгай
