,Concept_ID,bn,mhr
0,Auge::N,চক্ষু,шинча́
1,Ohr::N,কর্ণ,пы́лыш
2,Nase::N,নাক,нер
3,Mund::N,মুখ,умша́
4,Zahn::N,দাঁত,пӱй
5,Zunge::N,জিহবা,йы́лме
6,Lippe::N,অধর,тӱ́рвӧ
7,Wange::N,গণ্ড,шӱ́ргӧ
8,Gesicht::N,মুখমণ্ডল,чури́й
9,Stirn::N,কপাল,саҥга́
10,Haar::N,চুল,ӱп
11,Schnurrbart::N,গোঁফ,ӧ́рыш
12,Bart::N,শ্মশ্রু,понда́ш
13,Kinn::N,চিবুক,оҥыла́ш
14,Kiefer[Anatomie]::N,চোয়াল,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,চোয়াল,пӱйората́
16,Kehle::N,কণ্ঠ,лога́р
17,Hals::N,গল,шӱй
18,Genick::N,ঘাড়,шӱйло́дыш
19,Kopf::N,মাথা,вуй
20,Rücken::N,পৃষ্ঠ,туп
21,Bauch::N,উদর,мӱ́шкыр
22,Nabel::N,নাভি,кы́лымде
23,Busen::N,স্তন,чы́зе
24,Brust::N,বুক,оҥ
25,Schulter::N,স্কন্ধ,ва́че
26,Arm::N,বাহু,кид
27,Ellenbogen::N,কনুই,кынерву́й
28,Hand::N,হাত,кид
29,Hand::N,হাত,копа́
30,Handfläche::N,করতল,со́во
31,Finger::N,আঙ্গুল,парня́
32,Fingernagel::N,হাতের নখ,кидкӱ́ч
33,Fingernagel::N,হাতের নখ,парнягӱ́ч
34,Nagel[Anatomie]::N,নখ,кӱч
35,Zeh::N,আঙ্গুল,йолварня́
36,Fuß::N,পা,йол
37,Fuß::N,পা,йолкопа́
38,Ferse::N,গোড়ালি,тага́н
39,Knie::N,হাঁটু,пулву́й
40,Oberschenkel::N,ঊরু,э́рде
41,Bein::N,পা,йол
42,Körper::N,দেহ,кап
43,Haut::N,ত্বক,кова́ште
44,Blut::N,রক্ত,вӱр
45,Ader::N,শিরা,шӧн
46,Sehne::N,কণ্ডরা,шӧн
47,Sehne::N,কণ্ডরা,кӱсе́н
48,Knochen::N,অস্থি,лу
49,Gehirn::N,মস্তিষ্ক,вем
50,Gehirn::N,মস্তিষ্ক,вуйве́м
51,Herz::N,হৃৎপিণ্ড,шӱм
52,Magen::N,পাকস্থলী,пага́р
53,Leber::N,যকৃৎ,мокш
54,Atem::N,শ্বাস,шӱ́лыш
55,Hunger::N,ক্ষুধা,шужыма́ш
56,Träne::N,অশ্রু,шинчавӱ́д
57,Geschmack::N,স্বাদ,там
58,Geruch::N,গন্ধ,пуш
59,Schlaf::N,ঘুম,о́мо
