,Concept_ID,pl,xal
0,Auge::N,oko,нүдн
1,Ohr::N,ucho,чикн
2,Nase::N,nos,хамр
3,Mund::N,usta,амн
4,Zahn::N,ząb,шүдн
5,Zunge::N,język,келн
6,Lippe::N,warga,урл
7,Wange::N,policzek,халх
8,Gesicht::N,twarz,нүр
9,Stirn::N,czoło,маңна
10,Haar::N,włos,үсн
11,Haar::N,włosy,үсн
12,Schnurrbart::N,wąsy,сахл
13,Bart::N,broda,сахл
14,Bart::N,broda,өргнә сахл
15,Kinn::N,podbródek,өргн
16,Kiefer[Anatomie]::N,czeluść,өргн
17,Kehle::N,gardło,хол
18,Hals::N,szyja,күзүн
19,Genick::N,kark,гиҗг
20,Kopf::N,głowa,толһа
21,Rücken::N,plecy,нурһн
22,Rücken::N,grzbiet,нурһн
23,Bauch::N,brzuch,гесн
24,Nabel::N,pępek,киисн
25,Busen::N,biust,көкн
26,Brust::N,pierś,чееҗ
27,Schulter::N,bark,ээм
28,Schulter::N,ramię,ээм
29,Arm::N,ręka,һар
30,Arm::N,ramię,һар
31,Ellenbogen::N,łokieć,тоха
32,Hand::N,dłoń,баһлцг
33,Handfläche::N,dłoń,альхн
34,Finger::N,palec,хурһн
35,Finger::N,palec,һарин хурһн
36,Fingernagel::N,paznokieć,хумсн
37,Nagel[Anatomie]::N,paznokieć,хумсн
38,Zeh::N,palec,хурһн
39,Zeh::N,palec,көлин хурһн
40,Fuß::N,stopa,тавг
41,Ferse::N,pięta,өскә
42,Knie::N,kolano,өвдг
43,Oberschenkel::N,udo,һуй
44,Bein::N,noga,көл
45,Körper::N,ciało,махмуд
46,Haut::N,skóra,арсн
47,Blut::N,krew,цусн
48,Ader::N,żyła,судцн
49,Sehne::N,ścięgno,шүрүсн
50,Knochen::N,kość,ясн
51,Gehirn::N,mózg,экн
52,Herz::N,serce,зүркн
53,Magen::N,żołądek,гесн
54,Leber::N,wątroba,элкн
55,Atem::N,dech,әмсхл
56,Atem::N,oddech,әмсхл
57,Hunger::N,głód,харһнлһн
58,Träne::N,łza,нульмсн
59,Geschmack::N,smak,амтн
60,Geruch::N,woń,үнр
61,Geruch::N,zapach,үнр
62,Schlaf::N,sen,нөр
63,Traum::N,sen,зүүдн
64,Himmel::N,niebo,теңгр
65,Sonne::N,słońce,нарн
66,Mond::N,księżyc,сар
67,Stern::N,gwiazda,одн
68,Luft::N,powietrze,аһар
69,Wind::N,wiatr,салькн
70,Welle::N,fala,дольган
71,Wasser::N,woda,усн
72,Stein::N,kamień,чолун
73,Boden::N,grunt,Һазр
74,Erde::N,ziemia,Һазр
75,Staub::N,pył,тоосн
76,Staub::N,kurz,тоосн
77,Rauch::N,dym,утан
78,Funke::N,iskra,очн
79,Feuer::N,ogień,һал
80,Licht::N,światło,герл
81,Schatten::N,cień,сүүдр
82,Wetter::N,pogoda,теңгр
83,Nebel::N,mgła,будн
84,Wolke::N,obłok,үүлн
85,Wolke::N,chmura,үүлн
