,Concept_ID,ar,zh
0,Auge::N,عين,眼睛
1,Ohr::N,أذن,耳朵
2,Nase::N,أنف,鼻子
3,Mund::N,فم,嘴
4,Zahn::N,سن,牙齿
5,Zunge::N,لسان,舌头
6,Lippe::N,شفة,嘴唇
7,Wange::N,خد,面颊
8,Wange::N,وجنة,面颊
9,Gesicht::N,وجه,脸
10,Stirn::N,جبين,额
11,Haar::N,شعر,头发
12,Schnurrbart::N,شارب,髭须
13,Bart::N,لحية,胡子
14,Kinn::N,ذقن,下巴
15,Kiefer[Anatomie]::N,فك,颌
16,Kehle::N,حلق,嗓子
17,Hals::N,عنق,颈
18,Hals::N,رقبة,颈
19,Genick::N,قفا,后颈
20,Kopf::N,رأس,头
21,Rücken::N,ظهر,背
22,Bauch::N,بطن,肚子
23,Nabel::N,سرة,肚脐
24,Busen::N,ثدي,胸脯
25,Brust::N,صدر,胸
26,Schulter::N,كتف,肩膀
27,Arm::N,ذراع,臂膀
28,Ellenbogen::N,كوع,肘
29,Hand::N,يد,手
30,Handfläche::N,كف,手掌
31,Finger::N,إصبع,手指
32,Fingernagel::N,ظفر,指甲
33,Nagel[Anatomie]::N,ظفر,指甲
34,Zeh::N,إصبع القدم,脚趾
35,Fuß::N,قدم,脚
36,Ferse::N,كعب,后跟
37,Knie::N,ركبة,膝
38,Oberschenkel::N,فخذ,大腿
39,Bein::N,ساق,腿
40,Körper::N,جسم,身体
41,Haut::N,بشرة,皮肤
42,Blut::N,دم,血
43,Ader::N,عرق,血管
44,Sehne::N,طنب,腱
45,Knochen::N,عظم,骨
46,Gehirn::N,دماغ,脑
47,Herz::N,قلب,心
48,Magen::N,معدة,胃
49,Leber::N,كبد,肝
50,Atem::N,نفس,呼吸
51,Hunger::N,جوع,饿
52,Träne::N,دمعة,眼泪
53,Geschmack::N,طعم,味道
54,Geschmack::N,مذاق,味道
55,Geruch::N,رائحة,气味
56,Schlaf::N,نوم,睡眠
57,Schlaf::N,منام,睡眠
58,Traum::N,حلم,梦
59,Himmel::N,سماء,天空
60,Sonne::N,شمس,太阳
61,Mond::N,قمر,月亮
62,Stern::N,نجم,星
63,Stern::N,كوكب,星
64,Luft::N,هواء,空气
65,Wind::N,ريح,风
66,Welle::N,موجة,波
67,Wasser::N,ماء,水
68,Stein::N,حجر,石头
69,Boden::N,تراب,地面
70,Erde::N,أرض,地
71,Staub::N,غبار,灰尘
72,Rauch::N,دخان,烟
73,Funke::N,شرارة,火花
74,Feuer::N,نار,火
75,Licht::N,نور,光
76,Licht::N,ضوء,光
77,Schatten::N,ظل,影子
78,Schatten::N,فيء,影子
79,Wetter::N,جو,天气
80,Wetter::N,طقس,天气
81,Nebel::N,ضباب,雾
82,Wolke::N,غيمة,云
83,Wolke::N,سحابة,云
84,Regen::N,مطر,雨
85,Schnee::N,ثلج,雪
86,Eis::N,جليد,冰
87,Frost::N,صقيع,霜冻
88,Kälte::N,برد,寒冷
89,Hitze::N,حر,炎热
90,Hitze::N,حرارة,炎热
91,Raureif::N,صقيع,霜
92,Regenbogen::N,قوس قزح,虹
93,Donner::N,رعد,雷
