,Concept_ID,ady,kl
0,Auge::N,нэ,isi
1,Ohr::N,тхьакӏу́м,siut
2,Nase::N,пэ,
3,Mund::N,жэ,paaq
4,Mund::N,жэ,qaneq
5,Zahn::N,цэ,kigut
6,Zunge::N,бзэгу,oqaq
7,Lippe::N,ӏупшӏэ́,qarloq
8,Wange::N,нэкӏу́шъу,ersaq
9,Gesicht::N,нэ́гу,kiinaq
10,Stirn::N,натӏэ́,qaaq
11,Haar::N,шъхьацы́,meqqoq
12,Bart::N,жакӏэ́,umik
13,Kinn::N,жэкӏэпэпкъ,talloq
14,Kiefer[Anatomie]::N,жэпкъы́,alleroq
15,Kehle::N,чый,malaq
16,Hals::N,пшъэ,qungaseq
17,Genick::N,шъхьэпхэтыку,pukusuk
18,Kopf::N,шъхьэ́,niaqoq
19,Rücken::N,кӏыбы́,qimerlut
20,Bauch::N,ныбэ́,naaq
21,Busen::N,бгъэ́,iviangeq
22,Brust::N,бгъэ́,iviangeq
23,Schulter::N,блыпкъ,ersik
24,Schulter::N,блыпкъ,assaqqoq
25,Arm::N,ӏэ,taleq
26,Ellenbogen::N,ӏэнтэ́гъу,ikusik
27,Hand::N,ӏэтхьэцу,assak
28,Handfläche::N,ӏэ́гу,itumak
29,Finger::N,ӏэхъуа́мб,inuak
30,Fingernagel::N,ӏэбжъа́н,kikiak
31,Nagel[Anatomie]::N,ӏэбжъа́н,kukik
32,Zeh::N,ӏэхъуа́мб,isigak
33,Fuß::N,лъэгу,
34,Ferse::N,лъэдакъэ,kimmik
35,Knie::N,лъагуа́ндж,seeqqoq
36,Oberschenkel::N,ко,uppat
37,Oberschenkel::N,ко,quttoraq
38,Bein::N,лъакъо́,isigak
39,Körper::N,пкъышъол,timi
40,Haut::N,кӏы́шъу,mattak
41,Blut::N,лъы,aak
42,Ader::N,льытф,taqaq
43,Sehne::N,фэ,ujalu
44,Sehne::N,фэ,ujaloq
45,Knochen::N,къупшъхьэ́,saanikut
