,Concept_ID,fa,hu
0,Auge::N,چشم,szem
1,Ohr::N,گوش,fül
2,Nase::N,بینی,orr
3,Mund::N,دهان,száj
4,Zahn::N,دندان,fog
5,Zunge::N,زبان,nyelv
6,Lippe::N,لب,ajak
7,Wange::N,لپ,orca
8,Gesicht::N,رو,arc
9,Gesicht::N,چهره,arc
10,Stirn::N,پیشانی,homlok
11,Haar::N,مو,haj
12,Schnurrbart::N,سبیل,bajusz
13,Bart::N,ریش,szakáll
14,Kinn::N,چانه,áll
15,Kiefer[Anatomie]::N,فک,állkapocs
16,Kiefer[Anatomie]::N,آرواره,állkapocs
17,Kehle::N,حلق,gége
18,Kehle::N,حلق,torok
19,Hals::N,گردن,nyak
20,Genick::N,پشت گردن,tarkó
21,Kopf::N,سر,fő
22,Kopf::N,سر,fej
23,Kopf::N,کله,fő
24,Kopf::N,کله,fej
25,Rücken::N,پشت,hát
26,Bauch::N,شکم,has
27,Nabel::N,ناف,köldök
28,Busen::N,پستان,mell
29,Busen::N,پستان,kebel
30,Brust::N,سینه,mell
31,Schulter::N,دوش,váll
32,Schulter::N,شانه,váll
33,Arm::N,بازو,kar
34,Ellenbogen::N,آرنج,könyök
35,Hand::N,دست,kéz
36,Handfläche::N,کف دست,tenyér
37,Finger::N,انگشت,ujj
38,Fingernagel::N,ناخن دست,köröm
39,Nagel[Anatomie]::N,ناخن,köröm
40,Zeh::N,انگشت پا,lábujj
41,Fuß::N,پا,láb
42,Ferse::N,پاشنه,sarok
43,Knie::N,زانو,térd
44,Oberschenkel::N,ران,comb
45,Bein::N,پا,láb
46,Bein::N,پا,lábszár
47,Bein::N,لنگ,láb
48,Bein::N,لنگ,lábszár
49,Körper::N,تن,test
50,Körper::N,بدن,test
51,Haut::N,پوست,bőr
52,Blut::N,خون,vér
53,Ader::N,رگ,ér
54,Sehne::N,زردپی,ín
55,Knochen::N,استخوان,csont
56,Gehirn::N,مخ,agy
57,Gehirn::N,مخ,agyvelő
58,Gehirn::N,مغز,agy
59,Gehirn::N,مغز,agyvelő
60,Herz::N,دل,szív
61,Herz::N,قلب,szív
62,Magen::N,معده,gyomor
63,Leber::N,کبد,máj
64,Atem::N,نفس,lehelet
65,Atem::N,نفس,lélegzet
