,Concept_ID,lbe,xal
0,Auge::N,я,нүдн
1,Ohr::N,вичӏи,чикн
2,Nase::N,май,хамр
3,Mund::N,кьацӏ,амн
4,Zahn::N,ккарччи,шүдн
5,Zunge::N,маз,келн
6,Lippe::N,мурччи,урл
7,Wange::N,чӏав,халх
8,Gesicht::N,лажин,нүр
9,Stirn::N,ненттабакӏ,маңна
10,Haar::N,чӏара,үсн
11,Schnurrbart::N,ссирссилтту,сахл
12,Bart::N,чӏири,сахл
13,Bart::N,чӏири,өргнә сахл
14,Kinn::N,лунттубакӏ,өргн
15,Kiefer[Anatomie]::N,ххинчулул,өргн
16,Kehle::N,кьакьари,хол
17,Hals::N,ссурссу,күзүн
18,Genick::N,махъабакӏ,гиҗг
19,Kopf::N,бакӏ,толһа
20,Rücken::N,ттиликӏ,нурһн
21,Bauch::N,лякьа,гесн
22,Nabel::N,цӏумуккутӏ,киисн
23,Busen::N,ккукку,көкн
24,Brust::N,хъазам,чееҗ
25,Schulter::N,хъачӏ,ээм
26,Arm::N,ка,һар
27,Ellenbogen::N,ссюрхъ,тоха
28,Hand::N,бартка,баһлцг
29,Handfläche::N,хъат,альхн
30,Handfläche::N,битӏянхъ,альхн
31,Finger::N,кӏисса,хурһн
32,Finger::N,кӏисса,һарин хурһн
33,Fingernagel::N,михь,хумсн
34,Nagel[Anatomie]::N,михь,хумсн
35,Zeh::N,кӏисса,хурһн
36,Zeh::N,кӏисса,көлин хурһн
37,Fuß::N,чӏанччан,тавг
38,Ferse::N,никъа,өскә
39,Knie::N,ник,өвдг
40,Oberschenkel::N,жира,һуй
41,Bein::N,ччан,көл
42,Körper::N,чурх,махмуд
43,Haut::N,бурчу,арсн
44,Blut::N,оь,цусн
45,Ader::N,тунну,судцн
46,Sehne::N,хьхьа,шүрүсн
47,Knochen::N,ттаркӏ,ясн
48,Gehirn::N,ня,экн
49,Herz::N,дакӏ,зүркн
50,Herz::N,къюкӏ,зүркн
51,Magen::N,лякьа,гесн
52,Atem::N,ссихӏ ласаву,әмсхл
53,Atem::N,ссихӏ бигьаву,әмсхл
54,Hunger::N,ккаши,харһнлһн
55,Träne::N,макь,нульмсн
56,Geschmack::N,тӏин,амтн
57,Geschmack::N,тӏааьн,амтн
58,Geruch::N,кьанкь,үнр
59,Schlaf::N,шану,нөр
60,Traum::N,макӏру,зүүдн
61,Himmel::N,ссав,теңгр
62,Sonne::N,баргъ,нарн
63,Mond::N,барз,сар
64,Stern::N,цӏуку,одн
65,Luft::N,гьава,аһар
66,Wind::N,марч,салькн
67,Welle::N,щатӏи,дольган
68,Wasser::N,щин,усн
69,Stein::N,чару,чолун
70,Boden::N,аьрщи,Һазр
71,Erde::N,аьрщи,Һазр
72,Staub::N,ххит,тоосн
73,Rauch::N,пуркӏу,утан
74,Funke::N,пиягь,очн
75,Feuer::N,цӏу,һал
76,Licht::N,чани,герл
77,Schatten::N,ххют,сүүдр
78,Wetter::N,гьава,теңгр
79,Nebel::N,шархь ттурлу,будн
80,Wolke::N,ттурлу,үүлн
81,Regen::N,гъарал,хур
82,Schnee::N,марххала,цасн
83,Eis::N,микӏ,мөсн
84,Frost::N,дяркъу,киитн
85,Frost::N,замгьар,киитн
86,Kälte::N,дяркъу,киитн
87,Hitze::N,кӏиришиву,халун
88,Raureif::N,сил,цаң
89,Raureif::N,сил,кирү
90,Raureif::N,бурса,цаң
91,Raureif::N,бурса,кирү
92,Regenbogen::N,ссурул ккуртта,солңһ
93,Donner::N,къув,оһтрһун дун
94,Strömung::N,экьинанаву,урсхл
95,Tropfen::N,кӏунтӏ,дусал
96,Schaum::N,хьама,көөсн
97,Schmutz::N,кьяркьи,кир
98,See::N,бяр,нур
99,Sumpf::N,кунцӏа,унул
100,Wiese::N,кьан,хадлһн
101,Wald::N,вацӏа,ө-модн
102,Hügel::N,бакӏу,толһа
103,Berg::N,зунтту,уул
104,Gipfel::N,мицӏ,ора
105,Höhle::N,нух,хадин көндә
106,Abhang::N,сун,ташу
107,Quelle::N,дайдихьу,булг
108,Quelle::N,бакӏ,булг
109,Bach::N,чӏрир нех,һооҗур
110,Fluss::N,нех,һол
111,Ufer::N,зума,көвә
112,Küste::N,зумаинхалу,көвә
113,Küste::N,зумаинхалу,теңгсин көвә
114,Küste::N,зуманицӏалу,көвә
115,Küste::N,зуманицӏалу,теңгсин көвә
116,Festland::N,кьири,хүүрә һазр
117,Meer::N,хьхьири,теңгс
118,Insel::N,жазира,арл
119,Blume::N,тӏутӏи,цецг
120,Gras::N,уртту,ноһан
121,Wurzel::N,мархха,уңг
122,Baum::N,мурхь,модн
123,Stamm::N,ттарцӏ,шилв
124,Stamm::N,ттарцӏ,һол модн
125,Rinde::N,ккамара,көрсн
126,Ast::N,матӏи,ац
127,Zweig::N,къяртта,ац
128,Blatt::N,чӏапӏи,хамтхасн
129,Birke::N,кӏялахӏи,хусм модн
130,Birke::N,кӏялахӏилул мурхь,хусм модн
131,Kiefer[Baum]::N,ттар,шар харһа
132,Kiefer[Baum]::N,ттарлил мурхь,шар харһа
133,Weide[Baum]::N,щавщи,удн
134,Tanne::N,ттарлил мурхь,җөөлн цаһан модн
135,Horn::N,хъи,өвр
136,Feder::N,лелуххул тӏиму,өрвлг
137,Fell::N,бурчу,арсн
138,Flügel::N,хъа,җивр
139,Flügel::N,ххурупӏайрал тӏиму,җивр
140,Klaue::N,михь,хумсн
141,Kralle::N,ххяппа,тавг
142,Schwanz::N,магъ,сүл
143,Ei::N,ккунук,өндгн
144,Nest::N,кюру,үр
145,Bau::N,цукъуккутӏ,нүкн
146,Tier::N,хӏайван,мал
147,Herde::N,газу,сүрг мал
148,Kuh::N,оьл,үкр
149,Bulle::N,ниц,бух
150,Pferd::N,чу,мөрн
151,Schaf::N,тта,хөн
152,Schwein::N,дунгъуз,һаха
153,Hund::N,ккаччи,ноха
154,Katze::N,ччиту,мис
155,Bär::N,цуша,аю
156,Eichhörnchen::N,бюрхттукку,кермн
157,Elch::N,ниц-бюрин,хандһа
158,Fuchs::N,цулчӏа,арат
159,Fuchs::N,куча цулчӏа,арат
160,Hase::N,бюрх,туула
161,Maus::N,кӏулу,хулһн
162,Wolf::N,барцӏ,чон
163,Vogel::N,лелуххи,шовун
164,Schwarm::N,гьухъала,зел
165,Huhn::N,аьнакӏи,така
166,Hahn::N,ажари,эр така
167,Gans::N,къаз,һалун
168,Adler::N,барзу,һәрд
169,Ente::N,урдак,нуһсн
170,Eule::N,ису,һурвлһ
171,Eule::N,ччиккумяв,һурвлһ
172,Kranich::N,кьурукь,тоһрун
173,Krähe::N,хъатӏу,шаазһа
174,Kuckuck::N,ччикку,эргин хуцдг
175,Schwan::N,урттил къаз,хун
176,Fisch::N,чавахъ,заһсн
177,Schlange[Tier]::N,шатта,моһа
178,Wurm::N,кьюнукьай шатта,өтн
179,Spinne::N,ххялцу,аралҗн
180,Ameise::N,митӏикьукьу,шорһлҗн
181,Mücke::N,мичӏак,бөкүн
