,Concept_ID,kn,es
0,Auge::N,ಕಣ್ಣು,ojo
1,Ohr::N,ಕಿವಿ,oreja
2,Nase::N,ಮೂಗು,nariz
3,Mund::N,ಬಾಯಿ,boca
4,Zahn::N,ಹಲ್ಲು,diente
5,Zunge::N,ನಾಲಿಗೆ,lengua
6,Lippe::N,ತುಟಿ,labio
7,Wange::N,ಗಲ್ಲ,mejilla
8,Gesicht::N,ಮುಖ,cara
9,Stirn::N,ಹಣೆ,frente
10,Haar::N,ಕೂದಲು,cabello
11,Schnurrbart::N,ಮೀಸೆ,bigote
12,Bart::N,ಗಡ್ಡ,barba
13,Kinn::N,ಗದ್ದ,barbilla
14,Kiefer[Anatomie]::N,ದವಡೆ,mandíbula
15,Kehle::N,ಗಂಟಲು,garganta
16,Hals::N,ಕೊರಳು,cuello
17,Genick::N,ಹಿಂಗತ್ತು,nuca
18,Genick::N,ಹಿಂಗತ್ತು,cerviz
19,Kopf::N,ತಲೆ,cabeza
20,Rücken::N,ಬೆನ್ನು,espalda
21,Bauch::N,ಹೊಟ್ಟೆ,vientre
22,Nabel::N,ಹೊಕ್ಕುಳು,ombligo
23,Busen::N,ಸ್ತನ,pecho
24,Brust::N,ಎದೆ,pecho
25,Schulter::N,ಭುಜ,hombro
26,Arm::N,ತೋಳು,brazo
27,Ellenbogen::N,ಮೊಣಕೈ,codo
28,Hand::N,ಕೈ,mano
29,Handfläche::N,ಅಂಗೈ,palma
30,Finger::N,ಕೈಬೆರಳು,dedo
31,Fingernagel::N,ಉಗುರು,uña
32,Nagel[Anatomie]::N,ಉಗುರು,uña
33,Zeh::N,ಕಾಲ್ಬೆರಳು,dedo del pie
34,Fuß::N,ಪಾದ,pie
35,Ferse::N,ಹಿಮ್ಮಡಿ,talón
36,Knie::N,ಮಂಡಿ,rodilla
37,Oberschenkel::N,ತೊಡೆ,muslo
38,Bein::N,ಕಾಲು,pierna
39,Körper::N,ದೇಹ,cuerpo
40,Haut::N,ಚರ್ಮ,piel
41,Blut::N,ರಕ್ತ,sangre
42,Ader::N,ನರ,vena
43,Sehne::N,ನರ,tendón
44,Knochen::N,ಮೂಳೆ,hueso
45,Gehirn::N,ಮಿದುಳು,cerebro
46,Gehirn::N,ಮಿದುಳು,encéfalo
47,Herz::N,ಹೃದಯ,corazón
48,Magen::N,ಉದರ,estómago
49,Leber::N,ಯಕೃತ್ತು,hígado
50,Atem::N,ಉಸಿರು,aliento
51,Hunger::N,ಹಸಿವು,hambre
52,Träne::N,ಕಣ್ಣೀರು,lágrima
53,Geschmack::N,ರುಚಿ,gusto
54,Geruch::N,ವಾಸನೆ,olor
55,Schlaf::N,ನಿದ್ರೆ,sueño
56,Traum::N,ಕನಸು,sueño
57,Traum::N,ಕನಸು,ensueño
58,Himmel::N,ಬಾನು,cielo
59,Sonne::N,ಸೂರ್ಯ,sol
60,Mond::N,ಚಂದ್ರ,luna
61,Stern::N,ಚುಕ್ಕಿ,estrella
62,Luft::N,ವಾಯು,aire
63,Wind::N,ಗಾಳಿ,viento
64,Welle::N,ಅಲೆ,ola
65,Welle::N,ಅಲೆ,onda
66,Wasser::N,ನೀರು,agua
67,Stein::N,ಕಲ್ಲು,piedra
68,Boden::N,ನೆಲ,suelo
69,Erde::N,ಭೂಮಿ,tierra
70,Staub::N,ದೂಳು,polvo
71,Rauch::N,ಹೊಗೆ,humo
72,Funke::N,ಕಿಡಿ,chispa
73,Feuer::N,ಬೆಂಕಿ,fuego
74,Licht::N,ಬೆಳಕು,luz
75,Schatten::N,ನೆರಳು,sombra
76,Wetter::N,ಹವ,tiempo
77,Nebel::N,ಮಂಜು,niebla
78,Wolke::N,ಮೋಡ,nube
79,Regen::N,ಮಳೆ,lluvia
80,Schnee::N,ಹಿಮ,nieve
81,Eis::N,ಮಂಜುಗಡ್ಡೆ,hielo
82,Frost::N,ಮಂಜು,helada
83,Kälte::N,ಹಿಮ,frío
84,Hitze::N,ಉಷ್ಣ,calor
85,Raureif::N,ಇಬ್ಬನಿ,escarcha
86,Regenbogen::N,ಇಂದ್ರಚಾಪ,arco iris
87,Donner::N,ಗುಡುಗು,trueno
88,Strömung::N,ಪ್ರವಾಹ,corriente
89,Tropfen::N,ತೊಟ್ಟು,gota
90,Schaum::N,ನೊರೆ,espuma
91,Schmutz::N,ಕಸ,suciedad
92,See::N,ಸರೋವರ,lago
93,Sumpf::N,ಜೌಗುಸ್ಥಳ,pantano
94,Moor::N,ಬಂಜರು ಭೂಮಿ,turbera
95,Wiese::N,ಹುಲ್ಲುಗಾವಲು,prado
96,Wiese::N,ಹುಲ್ಲುಗಾವಲು,pradera
97,Wald::N,ಕಾಡು,bosque
98,Hügel::N,ಗುಡ್ಡೆ,colina
99,Anhöhe::N,ದಿಬ್ಬ,cerro
100,Berg::N,ಮಲೆ,monte
101,Berg::N,ಮಲೆ,montaña
102,Berg::N,ಪರ್ವತ,monte
103,Berg::N,ಪರ್ವತ,montaña
104,Gipfel::N,ಶೃಂಗ,cima
105,Gipfel::N,ಶೃಂಗ,cumbre
106,Höhle::N,ಗುಹೆ,cueva
107,Höhle::N,ಗುಹೆ,caverna
108,Abhang::N,ಇಳಿಜಾರು,cuesta
109,Abhang::N,ಇಳಿಜಾರು,declive
110,Quelle::N,ಮೂಲ,fuente
111,Quelle::N,ಮೂಲ,manantial
112,Bach::N,ತೊರೆ,arroyo
113,Fluss::N,ನದಿ,río
114,Ufer::N,ತೀರ,orilla
115,Küste::N,ದಂಡೆ,costa
116,Festland::N,ಭೂಮಿ,tierra firme
117,Meer::N,ಕಡಲು,mar
118,Bucht::N,ಖಾರಿ,cala
119,Bucht::N,ಖಾರಿ,bahía
