,Concept_ID,uz,hu
0,Auge::N,ko'z,szem
1,Ohr::N,quloq,fül
2,Nase::N,burun,orr
3,Mund::N,og'iz,száj
4,Zahn::N,tish,fog
5,Zunge::N,til,nyelv
6,Lippe::N,dudoq,ajak
7,Wange::N,bet,orca
8,Gesicht::N,yuz,arc
9,Stirn::N,manglay,homlok
10,Haar::N,soch,haj
11,Schnurrbart::N,mo'ylov,bajusz
12,Bart::N,soqol,szakáll
13,Kinn::N,ängak,áll
14,Kiefer[Anatomie]::N,iyak,állkapocs
15,Kehle::N,bo'g'iz,gége
16,Kehle::N,bo'g'iz,torok
17,Hals::N,bo'yin,nyak
18,Genick::N,gardan,tarkó
19,Kopf::N,bosh,fő
20,Kopf::N,bosh,fej
21,Rücken::N,orqa,hát
22,Bauch::N,qorin,has
23,Nabel::N,kindik,köldök
24,Busen::N,ämchak,mell
25,Busen::N,ämchak,kebel
26,Brust::N,ko'krak,mell
27,Schulter::N,elka,váll
28,Arm::N,bilak,kar
29,Ellenbogen::N,tirsak,könyök
30,Hand::N,qo'l,kéz
31,Handfläche::N,kaft,tenyér
32,Finger::N,barmoq,ujj
33,Fingernagel::N,tirnoq,köröm
34,Nagel[Anatomie]::N,tirnoq,köröm
35,Zeh::N,oyoq barmog'i,lábujj
36,Fuß::N,oyoq,láb
37,Ferse::N,tovon,sarok
38,Knie::N,tiz,térd
39,Oberschenkel::N,son,comb
40,Bein::N,oyoq,láb
41,Bein::N,oyoq,lábszár
42,Körper::N,badna,test
43,Haut::N,teri,bőr
44,Blut::N,qon,vér
45,Ader::N,qon tomir,ér
46,Sehne::N,tomir,ín
47,Knochen::N,suyak,csont
48,Gehirn::N,miya,agy
49,Gehirn::N,miya,agyvelő
50,Herz::N,qalb,szív
51,Magen::N,oshqozon,gyomor
52,Leber::N,bag'ir,máj
53,Atem::N,dam,lehelet
54,Atem::N,dam,lélegzet
55,Hunger::N,ochlik,éhség
56,Träne::N,yosh,könny
57,Geschmack::N,tam,íz
58,Geruch::N,jid,szag
59,Schlaf::N,uyqu,álom
60,Schlaf::N,uyqu,alvás
61,Traum::N,tush,álom
62,Himmel::N,osmon,ég
63,Himmel::N,osmon,menny
64,Sonne::N,quyosh,nap
65,Mond::N,oy,hold
66,Stern::N,yulduz,csillag
67,Luft::N,havo,levegő
68,Wind::N,el,szél
69,Welle::N,to'lqin,hullám
70,Wasser::N,suv,víz
71,Stein::N,tosh,kő
72,Boden::N,tuproq,föld
73,Boden::N,tuproq,talaj
74,Erde::N,er,föld
75,Staub::N,chang,por
76,Rauch::N,tutun,füst
77,Funke::N,yalt,szikra
78,Feuer::N,o't,tűz
79,Licht::N,yorug',fény
80,Schatten::N,soya,árnyék
81,Wetter::N,havo,idő
82,Wetter::N,havo,időjárás
83,Nebel::N,tuman,köd
84,Wolke::N,bulut,felhő
85,Regen::N,yomg'ir,eső
86,Schnee::N,qor,hó
87,Eis::N,muz,jég
88,Frost::N,ajoz,fagy
89,Kälte::N,ajoz,hideg
90,Hitze::N,issiq,hő
91,Hitze::N,issiq,hőség
92,Raureif::N,qirov,zúzmara
93,Regenbogen::N,kamalak,szivárvány
94,Donner::N,guldur,dörgés
95,Donner::N,guldur,mennydörgés
96,Strömung::N,oqim,áramlat
97,Tropfen::N,tomchi,csepp
98,Schaum::N,ko'pik,hab
99,Schaum::N,ko'pik,tajték
100,Schmutz::N,gard,piszok
101,See::N,ko'l,tó
102,Sumpf::N,botqoq,mocsár
103,Moor::N,qir-adir,láp
104,Wiese::N,o'tzor,rét
105,Wiese::N,o'tzor,mező
106,Wald::N,o'rmon,erdő
107,Hügel::N,tepa,domb
108,Anhöhe::N,adir,magaslat
109,Berg::N,tog',hegy
110,Gipfel::N,cho'qqi,csúcs
111,Höhle::N,kavak,barlang
112,Abhang::N,to'sh,lejtő
113,Quelle::N,buloq,forrás
114,Bach::N,o'zan,patak
115,Fluss::N,daryo,folyó
116,Ufer::N,sohil,part
117,Küste::N,qirg'oq,tengerpart
118,Festland::N,materik,szárazföld
119,Meer::N,dengiz,tenger
120,Bucht::N,qo'ltiq,öböl
121,Insel::N,orol,sziget
122,Blume::N,gul,virág
123,Gras::N,sabza,fű
124,Wurzel::N,tub,gyökér
125,Wurzel::N,tomir,gyökér
126,Baum::N,daraxt,fa
127,Stamm::N,o'simta,tő
128,Stamm::N,o'simta,törzs
129,Rinde::N,qobiq,kéreg
130,Ast::N,shox,ág
131,Zweig::N,butoq,gally
132,Blatt::N,barg,levél
133,Birke::N,qayin,nyír
134,Kiefer[Baum]::N,qarag'ay,fenyő
135,Weide[Baum]::N,shum,fűz
136,Tanne::N,archa,fenyő
137,Horn::N,mugiz,szarv
138,Feder::N,par,toll
139,Fell::N,mo'yna,szőr
140,Fell::N,mo'yna,bunda
141,Flügel::N,qanot,szárny
142,Klaue::N,tirnoq,köröm
143,Kralle::N,tirnoq,karom
144,Schwanz::N,quyruq,farok
145,Ei::N,tuxum,tojás
146,Nest::N,oshyon,fészek
147,Bau::N,o'pqon,odú
148,Tier::N,hayvon,állat
149,Herde::N,gala,nyáj
150,Herde::N,gala,csorda
151,Kuh::N,inak,tehén
152,Bulle::N,ho'kiz,bika
153,Pferd::N,ot,ló
154,Schaf::N,qo'y,juh
