,Concept_ID,cv,myv
0,Auge::N,куҫ,сельме
1,Ohr::N,хӑлха,пиле
2,Nase::N,сӑмса,судо
3,Mund::N,ҫӑвар,курго
4,Zahn::N,шӑл,пей
5,Zunge::N,чӗлхе,кель
6,Lippe::N,тута,турва
7,Wange::N,пит ҫӑмарти,чамабока
8,Wange::N,пит ҫӑмарти,чамаумарь
9,Gesicht::N,пит,чама
10,Gesicht::N,пит-куҫ,чама
11,Stirn::N,ҫамка,коня
12,Haar::N,ҫӳҫ,черь
13,Schnurrbart::N,усси,ус
14,Schnurrbart::N,усси,муюк
15,Bart::N,сухал,сакал
16,Kinn::N,янах,уло
17,Kiefer[Anatomie]::N,янах,пейпакар
18,Kiefer[Anatomie]::N,янах,пейловажа
19,Kehle::N,пыр,кирьгапарь
20,Kehle::N,карланкӑ,кирьгапарь
21,Hals::N,пыр,кирьга
22,Genick::N,ӗнсе,човонь
23,Kopf::N,пуҫ,пря
24,Rücken::N,ҫурӑм,копорь
25,Nabel::N,кӑвапа,почо
26,Busen::N,кӑкӑр,поте
27,Brust::N,умӗ,меште
28,Schulter::N,хул пуҫҫи,лавтов
29,Arm::N,алӑ,кедь
30,Ellenbogen::N,чавса,кенерепакарь
31,Hand::N,алӑ сыппи,кедь
32,Handfläche::N,ал лаппи,кедькуншка
33,Handfläche::N,ал лаппи,кедьлапушка
34,Finger::N,пӳрне,сур
35,Fingernagel::N,чӗрне,кенже
36,Nagel[Anatomie]::N,чӗрне,кенже
37,Zeh::N,пӳрне,пильге сур
38,Fuß::N,ура лаппи,пильге
39,Ferse::N,кӗле,кочкаря
40,Knie::N,чӗркуҫҫи,эле
41,Knie::N,чӗркуҫҫи,эзне
42,Knie::N,чӗркуҫҫи,кумажа
43,Oberschenkel::N,пӗҫӗ,качо
44,Bein::N,ура,пильге
45,Körper::N,ӳт,рунго
46,Körper::N,ӳт-пӳ,рунго
47,Haut::N,тир,киське
48,Blut::N,юн,верь
49,Ader::N,вена,сан
50,Sehne::N,шӑнӑр,коське сан
51,Knochen::N,шӑмӑ,пакарь
52,Gehirn::N,миме,удем
53,Herz::N,чӗре,седей
54,Magen::N,хырӑмлӑх,пеке
55,Leber::N,пӗвер,максо
56,Atem::N,сывлав,лексема
57,Atem::N,сывлав,оймень таргсема
58,Hunger::N,выҫлӑх,вачочи
59,Träne::N,куҫҫуль,селведь
60,Geschmack::N,техӗм,тансть
61,Geruch::N,шӑршӑ,чине
62,Schlaf::N,ыйхӑ,удома
63,Traum::N,тӗлӗк,он
64,Himmel::N,пӗлӗт,менель
65,Sonne::N,хӗвел,чи
66,Mond::N,уйӑх,ков
67,Stern::N,ҫӑлтӑр,теште
68,Luft::N,сывлӑш,кошт
69,Wind::N,ҫил,варма
70,Welle::N,хум,толкун
71,Wasser::N,шыв,ведь
72,Wasser::N,шыв-шур,ведь
73,Stein::N,чул,кев
74,Boden::N,тӑпра,мода
75,Erde::N,ҫӗр,мастор
76,Staub::N,тусан,пуль
77,Rauch::N,тӗтӗм,качамо
78,Funke::N,хӗм,сятко
79,Feuer::N,вут,тол
80,Feuer::N,ҫулӑм,тол
81,Licht::N,ҫутӑ,валдо
82,Schatten::N,сулхӑн,сулей
83,Schatten::N,сулхӑн,сулейкс
84,Wetter::N,ҫанталӑк,ушо
85,Nebel::N,тӗтре,сув
86,Wolke::N,пӗлӗт,пель
87,Regen::N,ҫумӑр,пиземс
88,Schnee::N,юр,лов
89,Eis::N,пӑр,эй
90,Frost::N,сивӗ,кельме
91,Kälte::N,сивӗ,якшамо
92,Hitze::N,вӗри,пси
93,Hitze::N,шӑрӑх,пси
94,Raureif::N,пас,лекш
95,Regenbogen::N,асамат кӗперӗ,пурьгинечирьке
96,Regenbogen::N,асамат кӗперӗ,пурьгинеёнкс
97,Donner::N,аслати,пурьгине
98,Strömung::N,юхӑ,чудема
99,Strömung::N,юхӑ,чудевкс
100,Tropfen::N,тумлам,петнявкс
101,Schaum::N,кӑпӑк,чов
102,Schmutz::N,пылчӑк,рудаз
103,See::N,кӳлӗ,эрьке
104,Sumpf::N,шур,чей
105,Sumpf::N,шурлӑх,чей
106,Moor::N,торфлӑ шурлӑх,чей
107,Wiese::N,улӑх,луга
108,Wiese::N,ҫаран,луга
109,Wald::N,вӑрман,вирь
110,Hügel::N,сӑрт,губорь
111,Hügel::N,сӑрт,пандыне
112,Hügel::N,тӗмеске,губорь
113,Hügel::N,тӗмеске,пандыне
114,Anhöhe::N,сӑрт,губорь
115,Anhöhe::N,сӑрт,пандыне
116,Berg::N,ту,пандо
117,Gipfel::N,тӳпе,пря
118,Höhle::N,ҫӗр хӑвӑлӗ,пещера
119,Abhang::N,тӑвайкки,пандочама
120,Quelle::N,ҫӑл куҫ,ушодкс
121,Bach::N,пӗчӗк шыв,чудикерькс
122,Fluss::N,юхан шыв,лей
123,Ufer::N,ҫыран,чире
124,Küste::N,тинӗс ҫыранӗ,лейчире
125,Festland::N,тип ҫӗр,мода
126,Meer::N,тинӗс,моря
127,Bucht::N,тинӗс кукӑрӗ,усия
128,Insel::N,утрав,усия
129,Blume::N,чечек,цеця
130,Gras::N,курӑк,тикше
131,Wurzel::N,тымар,юр
132,Wurzel::N,тымар,ундокс
133,Baum::N,йывӑҫ,чувто
134,Stamm::N,вулӑ,рунго
135,Rinde::N,хуйӑр,суд
136,Rinde::N,хуйӑр,керь
137,Ast::N,турат,морго
138,Zweig::N,турат,тарад
139,Blatt::N,ҫулҫӑ,лопа
140,Birke::N,хурӑн,килей
141,Kiefer[Baum]::N,хыр,пиче
