,Concept_ID,se,it
0,Auge::N,tjelmie,occhio
1,Auge::N,tjalmme,occhio
2,Auge::N,čalbmi,occhio
3,Auge::N,čalme,occhio
4,Auge::N,čâ´lmm,occhio
5,Auge::N,ча̄лльм,occhio
6,Ohr::N,bieljie,orecchio
7,Ohr::N,biellje,orecchio
8,Ohr::N,beallji,orecchio
9,Ohr::N,pelji,orecchio
10,Ohr::N,pe´llj,orecchio
11,Ohr::N,пе̄лльй,orecchio
12,Nase::N,njuenie,naso
13,Nase::N,njunnje,naso
14,Nase::N,njunni,naso
15,Nase::N,njuṇe,naso
16,Nase::N,njuu´nn,naso
17,Nase::N,нюннҍ,naso
18,Mund::N,njaelmie,bocca
19,Mund::N,njálmme,bocca
20,Mund::N,njálbmi,bocca
21,Mund::N,njälmi,bocca
22,Mund::N,njä´lmm,bocca
23,Mund::N,ня̄лльм,bocca
24,Zahn::N,baenie,dente
25,Zahn::N,bádne,dente
26,Zahn::N,bátni,dente
27,Zahn::N,pääṇi,dente
28,Zahn::N,pää´nn,dente
29,Zahn::N,па̄ннҍ,dente
30,Zunge::N,njoektjeme,lingua
31,Zunge::N,njuovtjav,lingua
32,Zunge::N,njuovčča,lingua
33,Zunge::N,njuovčâ,lingua
34,Zunge::N,njuhččâm,lingua
35,Zunge::N,нюхчем,lingua
36,Lippe::N,bangseme,labbro
37,Lippe::N,njálmmerabdda,labbro
38,Lippe::N,bavssa,labbro
39,Lippe::N,poovsâ,labbro
40,Lippe::N,põõus,labbro
41,Lippe::N,пэ̄кс,labbro
42,Wange::N,skiehrie,guancia
43,Wange::N,nierra,guancia
44,Wange::N,muohtu,guancia
45,Wange::N,nieṛâ,guancia
46,Wange::N,njiõrr,guancia
47,Wange::N,нӣрр,guancia
48,Gesicht::N,ååredæjja,viso
49,Gesicht::N,ååredæjja,faccia
50,Gesicht::N,muohto,viso
51,Gesicht::N,muohto,faccia
52,Gesicht::N,muođut,viso
53,Gesicht::N,muođut,faccia
54,Gesicht::N,ámadadju,viso
55,Gesicht::N,ámadadju,faccia
56,Gesicht::N,muáđuh,viso
57,Gesicht::N,muáđuh,faccia
58,Gesicht::N,muâđ,viso
59,Gesicht::N,muâđ,faccia
60,Gesicht::N,ка̄ссв,viso
61,Gesicht::N,ка̄ссв,faccia
62,Stirn::N,gaalloe,fronte
63,Stirn::N,gállo,fronte
64,Stirn::N,gállu,fronte
65,Stirn::N,kállu,fronte
66,Stirn::N,käll,fronte
67,Stirn::N,вуэххьц,fronte
68,Haar::N,voepte,capello
69,Haar::N,vuoppta,capello
70,Haar::N,vuokta,capello
71,Haar::N,vuop'tâ,capello
72,Haar::N,vuõpt,capello
73,Haar::N,вӯппт,capello
74,Schnurrbart::N,bijjie-skaavtjoe,baffi
75,Schnurrbart::N,bijjie-skaavtjoe,mustacchi
76,Schnurrbart::N,njunjevuolskávttjá,baffi
77,Schnurrbart::N,njunjevuolskávttjá,mustacchi
78,Schnurrbart::N,seamu,baffi
79,Schnurrbart::N,seamu,mustacchi
80,Schnurrbart::N,siämu,baffi
81,Schnurrbart::N,siämu,mustacchi
82,Schnurrbart::N,ää´bben,baffi
83,Schnurrbart::N,ää´bben,mustacchi
84,Schnurrbart::N,о̄а̄бпан,baffi
85,Schnurrbart::N,о̄а̄бпан,mustacchi
86,Bart::N,skaavtja,barba
87,Bart::N,skaavtjoe,barba
88,Bart::N,skávttjá,barba
89,Bart::N,seamu,barba
90,Bart::N,siämu,barba
91,Bart::N,seäm,barba
92,Bart::N,ся̄м,barba
93,Kinn::N,gaejpie,mento
94,Kinn::N,gájbbe,mento
95,Kinn::N,gáibi,mento
96,Kinn::N,käibi,mento
97,Kinn::N,käi´bb,mento
98,Kinn::N,ка̄ййп,mento
99,Kiefer[Anatomie]::N,gaejpie,mascella
100,Kiefer[Anatomie]::N,oalol,mascella
101,Kiefer[Anatomie]::N,oaloldákte,mascella
102,Kiefer[Anatomie]::N,gáibi,mascella
103,Kiefer[Anatomie]::N,uá'lultähti,mascella
104,Kiefer[Anatomie]::N,vuâl'lõš,mascella
105,Kiefer[Anatomie]::N,вуаллнешш,mascella
106,Kehle::N,gealoe,gola
107,Kehle::N,tjåttå,gola
108,Kehle::N,njiello,gola
109,Kehle::N,čotta,gola
110,Kehle::N,čuudâ,gola
111,Kehle::N,čoodd,gola
112,Kehle::N,чонт,gola
113,Kehle::N,кэ̄ҏс,gola
114,Hals::N,tjeapohke,collo
115,Hals::N,tjiebet,collo
116,Hals::N,čeabet,collo
117,Hals::N,čiäppát,collo
118,Hals::N,čeäppat,collo
119,Hals::N,ча̄пэх,collo
120,Genick::N,tjovrese,nuca
121,Genick::N,nisske,nuca
122,Genick::N,niehkki,nuca
123,Genick::N,niski,nuca
124,Genick::N,niek'ki,nuca
125,Genick::N,nji´šǩǩmaadd,nuca
126,Genick::N,нышшькмоант,nuca
127,Kopf::N,åejjie,capo
128,Kopf::N,åejjie,testa
129,Kopf::N,oajvve,capo
130,Kopf::N,oajvve,testa
131,Kopf::N,oaivi,capo
132,Kopf::N,oaivi,testa
133,Kopf::N,uái'vi,capo
134,Kopf::N,uái'vi,testa
135,Kopf::N,vuei´vv,capo
136,Kopf::N,vuei´vv,testa
137,Kopf::N,вуэййв,capo
138,Kopf::N,вуэййв,testa
139,Rücken::N,rudtje,dorso
140,Rücken::N,rudtje,schiena
141,Rücken::N,hárddo,dorso
142,Rücken::N,hárddo,schiena
143,Rücken::N,tjavelk,dorso
144,Rücken::N,tjavelk,schiena
145,Rücken::N,sealgi,dorso
146,Rücken::N,sealgi,schiena
147,Rücken::N,selgi,dorso
148,Rücken::N,selgi,schiena
149,Rücken::N,čielgi,dorso
150,Rücken::N,čielgi,schiena
151,Rücken::N,seä´lǧǧ,dorso
152,Rücken::N,seä´lǧǧ,schiena
153,Rücken::N,се̄лльк,dorso
154,Rücken::N,се̄лльк,schiena
155,Bauch::N,tjåejjie,ventre
156,Bauch::N,tjoajvve,ventre
157,Bauch::N,čoavji,ventre
158,Bauch::N,čuáv'ji,ventre
159,Bauch::N,čåu´jj,ventre
160,Bauch::N,чо̄ввьй,ventre
161,Nabel::N,naepie,ombelico
162,Nabel::N,náhpe,ombelico
163,Nabel::N,náhpi,ombelico
164,Nabel::N,nääpi,ombelico
165,Nabel::N,nää´pp,ombelico
166,Nabel::N,на̄бпь,ombelico
167,Busen::N,boenge,seno
168,Busen::N,bållå,seno
169,Busen::N,čižži,seno
170,Busen::N,njamma,seno
171,Busen::N,njižže,seno
172,Busen::N,nje´ǯǯ,seno
173,Busen::N,раннҍт,seno
174,Brust::N,mïelke,petto
175,Brust::N,radde,petto
176,Brust::N,mielgga,petto
177,Brust::N,raddi,petto
178,Brust::N,radde,petto
179,Brust::N,râ´dd,petto
180,Brust::N,раннҍт,petto
181,Schulter::N,åelkie,spalla
182,Schulter::N,oalgge,spalla
183,Schulter::N,hárdu,spalla
184,Schulter::N,ärdee,spalla
185,Schulter::N,uál'gi,spalla
186,Schulter::N,a´rddi,spalla
187,Schulter::N,vuä´lǧǧ,spalla
188,Schulter::N,вуэллык,spalla
189,Arm::N,gïete,braccio
190,Arm::N,giehta,braccio
191,Arm::N,giehta,braccio
192,Arm::N,kietâ,braccio
193,Arm::N,kie'tâkaaṿâ,braccio
194,Arm::N,ǩiõtt,braccio
195,Arm::N,кӣдт,braccio
196,Ellenbogen::N,gernjere,gomito
197,Ellenbogen::N,garŋŋel,gomito
198,Ellenbogen::N,gargŋil,gomito
199,Ellenbogen::N,käŋŋir,gomito
200,Ellenbogen::N,kõõnjâr,gomito
201,Ellenbogen::N,карьнэль,gomito
202,Hand::N,gïete,mano
203,Hand::N,giehta,mano
204,Hand::N,giehta,mano
205,Hand::N,kietâ,mano
206,Hand::N,ǩiõtt,mano
207,Hand::N,кӣдт,mano
208,Handfläche::N,gïeten-låapoe,palma
209,Handfläche::N,giehtavuodo,palma
210,Handfläche::N,tjårmmåvuodo,palma
211,Handfläche::N,giehtaloahpu,palma
212,Handfläche::N,kiämád,palma
213,Handfläche::N,kuámmir,palma
214,Handfläche::N,kuä´m'mer,palma
215,Handfläche::N,ǩiõttǩeä´m'men,palma
216,Handfläche::N,ко̄а̄ллдэгк,palma
217,Handfläche::N,кӣдткоалдэгк,palma
218,Finger::N,soerme,dito
219,Finger::N,tjuvdde,dito
220,Finger::N,suorbma,dito
221,Finger::N,čuvde,dito
222,Finger::N,suor'mâ,dito
223,Finger::N,suõrmm,dito
224,Finger::N,це̄ххп,dito
225,Fingernagel::N,gadtse,unghia
226,Fingernagel::N,guehpere,unghia
227,Fingernagel::N,gadtsa,unghia
228,Fingernagel::N,gazza,unghia
229,Fingernagel::N,kozzâ,unghia
230,Fingernagel::N,kõʒʒ,unghia
231,Fingernagel::N,кэ̄ннц,unghia
232,Nagel[Anatomie]::N,gadtse,unghia
233,Nagel[Anatomie]::N,guehpere,unghia
234,Nagel[Anatomie]::N,gadtsa,unghia
235,Nagel[Anatomie]::N,gazza,unghia
236,Nagel[Anatomie]::N,kozzâ,unghia
237,Nagel[Anatomie]::N,kõʒʒ,unghia
238,Nagel[Anatomie]::N,кэ̄ннц,unghia
239,Zeh::N,tjiehtjere,dito del piede
240,Zeh::N,juolggetjuvdde,dito del piede
241,Zeh::N,juolgesuorbma,dito del piede
242,Zeh::N,jyel'gisuor'mâ,dito del piede
243,Zeh::N,jue´lǧǧsuõrmm,dito del piede
244,Zeh::N,ю̄лльк-це̄һп,dito del piede
245,Fuß::N,juelkie,piede
246,Fuß::N,juolgge,piede
247,Fuß::N,juolgi,piede
248,Fuß::N,jyel'gi,piede
249,Fuß::N,jue´lǧǧ,piede
250,Fuß::N,ла̄бпь,piede
251,Ferse::N,båetskie,tallone
252,Ferse::N,båetskie,calcagno
253,Ferse::N,boasske,tallone
254,Ferse::N,boasske,calcagno
255,Ferse::N,šušmi,tallone
256,Ferse::N,šušmi,calcagno
257,Ferse::N,šušme,tallone
258,Ferse::N,šušme,calcagno
259,Ferse::N,jue´lǧǧkädd,tallone
260,Ferse::N,jue´lǧǧkädd,calcagno
261,Ferse::N,ка̄ннт,tallone
262,Ferse::N,ка̄ннт,calcagno
263,Knie::N,boelve,ginocchio
264,Knie::N,buolvva,ginocchio
265,Knie::N,čibbi,ginocchio
266,Knie::N,veaŋki,ginocchio
267,Knie::N,iidâ,ginocchio
268,Knie::N,puõlvv,ginocchio
269,Knie::N,пуллв,ginocchio
270,Oberschenkel::N,ruaksja,fèmore
271,Oberschenkel::N,tjibbe,fèmore
272,Oberschenkel::N,gassaváhkká,fèmore
273,Oberschenkel::N,badjeváhkáa,fèmore
274,Oberschenkel::N,čuár'bpeeḷi,fèmore
275,Oberschenkel::N,če´bb,fèmore
276,Oberschenkel::N,чуаррбе̄лль,fèmore
277,Bein::N,juelkie,gamba
278,Bein::N,juolgge,gamba
279,Bein::N,juolgi,gamba
280,Bein::N,jyel'gi,gamba
281,Bein::N,jue´lǧǧ,gamba
