,Concept_ID,udm,uk
0,Auge::N,син,око
1,Ohr::N,пель,вухо
2,Nase::N,ныр,ніс
3,Mund::N,ым,рот
4,Zahn::N,пинь,зуб
5,Zunge::N,кыл,язик
6,Lippe::N,ымдур,губа
7,Wange::N,бам,щока
8,Gesicht::N,ымныр,обличчя
9,Stirn::N,кымес,лоб
10,Haar::N,йырси,волосся
11,Schnurrbart::N,мыйык,вуса
12,Bart::N,туш,борода
13,Kinn::N,ангес,підборіддя
14,Kiefer[Anatomie]::N,ан,щелепа
15,Kiefer[Anatomie]::N,анлы,щелепа
16,Kehle::N,гульым,горло
17,Hals::N,чырты,шия
18,Genick::N,йырбер,потилиця
19,Kopf::N,йыр,голова
20,Rücken::N,мыш,спина
21,Bauch::N,кӧт,живіт
22,Nabel::N,гогы,пупок
23,Busen::N,ноны,груди
24,Brust::N,мӧля,груди
25,Schulter::N,пельпум,плече
26,Arm::N,суй,рука
27,Ellenbogen::N,гырпум,лікоть
28,Hand::N,ки,рука
29,Handfläche::N,ки пыдэс,долоня
30,Handfläche::N,кырым пыдэс,долоня
31,Finger::N,чиньы,палець
32,Fingernagel::N,гижы,ніготь
33,Fingernagel::N,гиждӥнь,ніготь
34,Nagel[Anatomie]::N,гижы,ніготь
35,Zeh::N,пыдчиньы,палець на нозі
36,Fuß::N,пыд,нога
37,Ferse::N,пыдбер,п’ятка
38,Knie::N,пыдес,коліно
39,Oberschenkel::N,макес,стегно
40,Bein::N,пыд,нога
41,Körper::N,мугор,тіло
42,Körper::N,вылтыр,тіло
43,Haut::N,ку,шкіра
44,Blut::N,вир,кров
45,Ader::N,вирсэр,вена
46,Sehne::N,вуж,сухожилля
47,Knochen::N,лы,кістка
48,Gehirn::N,вим,мозок
49,Herz::N,сюлэм,серце
50,Magen::N,ӝуш,шлунок
51,Leber::N,мус,печінка
52,Atem::N,лул,дихання
53,Atem::N,шокан,дихання
54,Hunger::N,кӧтсюман,голод
55,Träne::N,синкыли,сльоза
56,Geschmack::N,шӧм,смак
57,Geruch::N,зын,запах
58,Schlaf::N,вӧт,сон
59,Schlaf::N,вӧт,сплячка
60,Traum::N,уйвӧт,сон
61,Himmel::N,ин,небо
62,Sonne::N,шунды,сонце
63,Mond::N,толэзь,місяць
64,Stern::N,кизили,зірка
65,Luft::N,омыр,повітря
66,Wind::N,тӧл,вітер
67,Welle::N,тулкым,хвиля
68,Wasser::N,ву,вода
69,Stein::N,из,камінь
70,Boden::N,музъем,ґрунт
71,Erde::N,му,земля
72,Staub::N,пыль,пил
73,Rauch::N,ӵын,дим
74,Funke::N,гизьы,іскра
75,Feuer::N,тыл,вогонь
76,Licht::N,тыл,світло
77,Schatten::N,вужер,тінь
78,Wetter::N,куазь,погода
79,Nebel::N,бус,туман
80,Wolke::N,пилем,хмара
81,Regen::N,зор,дощ
82,Schnee::N,лымы,сніг
83,Eis::N,йӧ,лід
84,Frost::N,кезьыт,мороз
85,Kälte::N,кезьыт,холод
86,Hitze::N,пӧсь,жар
87,Raureif::N,гӧр,іній
88,Regenbogen::N,вуюись,райдуга
89,Donner::N,гудыри,грім
90,Strömung::N,бызён,струмина
91,Tropfen::N,шапык,крапля
92,Schaum::N,шукы,піна
93,Schmutz::N,нӧд,бруд
94,Schmutz::N,дэри,бруд
95,See::N,ты,озеро
96,Sumpf::N,нюр,драговина
97,Moor::N,нюр,болото
98,Wiese::N,возь,луг
99,Wiese::N,возь,лука
100,Wiese::N,возьвыл,луг
101,Wiese::N,возьвыл,лука
102,Wald::N,сик,ліс
103,Wald::N,нюлэс,ліс
