,Concept_ID,ps,la
0,Auge::N,سترګه,oculus
1,Ohr::N,غوږ,auris
2,Nase::N,پوزه,nasus
3,Mund::N,خوله,os
4,Zahn::N,غاښ,dens
5,Zunge::N,جبه,lingua
6,Lippe::N,شونډه,labrum
7,Wange::N,باړخو,gena
8,Gesicht::N,مخ,vultus
9,Stirn::N,تندی,frons
10,Stirn::N,وچولی,frons
11,Haar::N,وېښته,capillus
12,Schnurrbart::N,برېت,barba labri superioris
13,Bart::N,ږیره,barba
14,Kinn::N,زنه,mentum
15,Kiefer[Anatomie]::N,جامه,mala
16,Kehle::N,غاړه,iugulums
17,Hals::N,غاړه,collum
18,Genick::N,ورمېږ,cervices
19,Kopf::N,سر,caput
20,Rücken::N,شا,tergum
21,Bauch::N,نس,venter
22,Bauch::N,ګېډه,venter
23,Nabel::N,نوم,umbilicus
24,Busen::N,تی,sinus
25,Brust::N,سینه,pectus
26,Schulter::N,اوږه,umerus
27,Arm::N,لاس,bracchium
28,Ellenbogen::N,څنګل,cubitum
29,Hand::N,لاس,manus
30,Handfläche::N,ورغوی,palma
31,Finger::N,ګوته,digitus
32,Fingernagel::N,نوک,unguiculus
33,Nagel[Anatomie]::N,نوک,unguis
34,Zeh::N,ګوته,digitus
35,Fuß::N,پښه,pes
36,Ferse::N,پونده,calx
37,Knie::N,زنګون,genu
38,Oberschenkel::N,پتون,femur
39,Bein::N,پښه,crus
40,Körper::N,ځان,corpus
41,Haut::N,پوټکی,cutis
42,Haut::N,پوټکی,pellis
43,Blut::N,وینه,sanguis
44,Ader::N,رګ,vena
45,Sehne::N,پله,nervus
46,Knochen::N,هډوکی,os
47,Gehirn::N,ماغزه,cerebrum
48,Herz::N,زړه,cor
49,Herz::N,زړه,animus
50,Magen::N,معده,stomachus
51,Leber::N,ينه,iecur
52,Leber::N,ځیګر,iecur
53,Atem::N,نفس,spiritus
54,Hunger::N,ولږه,fames
55,Träne::N,اوښکه,lacrima
56,Geschmack::N,مزه,sapor
57,Geschmack::N,مزه,gustus
58,Geschmack::N,خوند,sapor
59,Geschmack::N,خوند,gustus
60,Geruch::N,بوی,odor
61,Schlaf::N,خوب,somnus
62,Traum::N,خوب,somnium
63,Himmel::N,اسمان,caelum
64,Sonne::N,لمر,sol
65,Mond::N,سپوږمۍ,luna
66,Stern::N,ستوری,sidus
67,Stern::N,ستوری,stella
68,Luft::N,هوا,aer
69,Wind::N,ورښ,ventus
70,Welle::N,موج,unda
71,Wasser::N,اوبه,aqua
72,Stein::N,ډبره,lapis
73,Boden::N,مځکه,solum
74,Erde::N,خاوره,terra
75,Staub::N,ګرد,pulvis
76,Staub::N,خاوره,pulvis
77,Rauch::N,دود,fumus
78,Rauch::N,لوګی,fumus
79,Funke::N,سپرغۍ,scintilla
80,Feuer::N,اور,ignis
81,Licht::N,رڼا,lux
82,Licht::N,رڼا,lumen
83,Schatten::N,سیوری,umbra
84,Wetter::N,هوا,caelum
85,Wetter::N,هوا,tempestas
86,Nebel::N,لړه,nebula
87,Wolke::N,ورېځ,nubes
88,Regen::N,وریا,imber
89,Regen::N,وریا,pluvia
90,Regen::N,باران,imber
91,Regen::N,باران,pluvia
92,Schnee::N,واوره,nix
93,Eis::N,یخ,glacies
94,Eis::N,کنګل,glacies
95,Frost::N,یخ,gelu
96,Kälte::N,ساړه,frigus
97,Hitze::N,تودوخي,calor
98,Hitze::N,تودوخي,aestus
99,Raureif::N,سپینه پرخه,pruina
100,Regenbogen::N,بوډۍ ټال,arcus
101,Regenbogen::N,سره زرغونه,arcus
102,Donner::N,تالنده,tonitrus
103,Strömung::N,بهېدنه,fluctus
104,Tropfen::N,قطره,gutta
105,Tropfen::N,څاڅکی,gutta
106,Schaum::N,ځګ,spuma
107,Schmutz::N,ناپاکي,sordes
108,Schmutz::N,ناپاکي,squalor
109,See::N,جهیل,lacus
110,Sumpf::N,جبه,palus
111,Moor::N,جبه,palus
112,Wiese::N,چمن,pratum
113,Wiese::N,شنېلی,pratum
114,Wald::N,ځنګل,silva
115,Hügel::N,تپه,collis
116,Anhöhe::N,غونډۍ,specula
117,Berg::N,غ‍‍‍‍‍ر,mons
118,Gipfel::N,څوکه,vertex
119,Höhle::N,کاز,caverna
120,Höhle::N,کاز,spelunca
121,Abhang::N,لمن,declivum
122,Quelle::N,چینه,fons
123,Bach::N,واله,rivus
124,Fluss::N,سیند,flumen
125,Ufer::N,غاړه,ripa
126,Küste::N,ساحل,litus
127,Festland::N,وچه,continens
128,Meer::N,بحر,mare
129,Meer::N,سمندر,mare
130,Bucht::N,کارۍ,sinus
131,Insel::N,ټاپو,insula
132,Insel::N,جزيره,insula
133,Blume::N,ګل,flos
134,Gras::N,واښه,herba
135,Gras::N,واښه,gramen
136,Wurzel::N,ریښه,radix
137,Baum::N,ونه,arbor
138,Stamm::N,ډډ,truncus
139,Rinde::N,پوستکی,cortex
140,Ast::N,ښاخ,ramus
141,Zweig::N,څانګه,ramus
142,Blatt::N,پاڼه,folium
143,Birke::N,توس,betulla
144,Kiefer[Baum]::N,نښتر,pinus
145,Weide[Baum]::N,وله,salix
146,Tanne::N,ناجو,abies
147,Horn::N,ښکر,cornu
148,Feder::N,بڼکه,penna
149,Fell::N,پوستکی,pellis
150,Flügel::N,وزر,ala
151,Klaue::N,پنجه,unguis
152,Klaue::N,منګول,unguis
153,Kralle::N,پنجه,unguis
154,Kralle::N,منګول,unguis
155,Schwanz::N,لکۍ,cauda
156,Ei::N,وۍ,ovum
157,Ei::N,هګۍ,ovum
158,Nest::N,جاله,nidus
159,Bau::N,کاز,cavum
160,Bau::N,کاز,latibulum
161,Tier::N,ژوی,bestia
162,Tier::N,حیوان,bestia
163,Herde::N,رمه,grex
164,Herde::N,غېله,grex
165,Kuh::N,غوا,vacca
166,Bulle::N,غوئی,taurus
167,Pferd::N,آس,equus
168,Schaf::N,پسه,ovis
169,Schwein::N,سرکوزی,sus
170,Schwein::N,سرکوزی,porcus
171,Hund::N,سپی,canis
172,Katze::N,پشه,felis
173,Bär::N,خرس,ursus
174,Eichhörnchen::N,خړ لمی,sciurus
175,Elch::N,ګوزن,alces
176,Fuchs::N,سپلم,vulpes
177,Hase::N,سوی,lepus
178,Maus::N,مږک,mus
179,Wolf::N,لېوه,lupus
180,Vogel::N,مرغه,avis
181,Schwarm::N,سېل,examen
182,Huhn::N,چرګه,gallina
183,Hahn::N,چرګ,gallus
184,Gans::N,بته,anser
185,Adler::N,عقاب,aquila
186,Ente::N,ایلۍ,anas
187,Eule::N,ګونګی,ulula
188,Eule::N,ګونګی,noctua
189,Kranich::N,کلنګ,grus
190,Krähe::N,کارغه,cornix
191,Kuckuck::N,فاخته,cuculus
192,Schwan::N,قو,olor
193,Schwan::N,قو,cycnus
194,Fisch::N,کب,piscis
195,Fisch::N,ماهی,piscis
196,Schlange[Tier]::N,مار,serpens
197,Wurm::N,چینجی,vermis
198,Spinne::N,غڼه,aranea
199,Spinne::N,تارکښ,aranea
200,Ameise::N,مېږی,formica
201,Laus::N,سپږه,pediculus
202,Mücke::N,ماشی,culex
203,Fliege::N,مچ,musca
204,Schmetterling::N,پتنګ,papilio
205,Beere::N,مېوۍ,baca
206,Apfel::N,مڼه,malum
207,Pilz::N,خرېړی,fungus
208,Zwiebel::N,پیاز,cepa
209,Saat::N,تخم,seges
210,Korn::N,تخم,granum
211,Korn::N,دانه,granum
212,Heu::N,بوس,faenum
213,Heu::N,پروړه,faenum
214,Schale::N,پوستکی,putamen
215,Grube::N,کنده,fovea
216,Falle::N,دام,pedica
217,Falle::N,لومه,pedica
218,Schlinge::N,کړۍ,laqueus
219,Spur::N,نښه,vestigium
220,Asche::N,آس,cinis
221,Asche::N,ایره,cinis
222,Dreck::N,ناپاکي,lutum
223,Eisen::N,اوسپنه,ferrum
224,Gold::N,سره زر,aurum
225,Silber::N,نقره,argentum
226,Silber::N,سپین زر,argentum
227,Kohle::N,سکور,carbo
228,Kohle::N,سکاره,carbo
229,Glas::N,ښيښه,vitrum
230,Lehm::N,خټه,lutum
231,Sand::N,شګه,arena
232,Mensch::N,انسان,homo
233,Mann::N,سړی,vir
234,Mann::N,نارینه,vir
235,Frau::N,ښځه,mulier
236,Kind::N,بچی,puer
237,Kind::N,بچی,infans
238,Kind::N,ماشوم,puer
239,Kind::N,ماشوم,infans
240,Junge::N,هلک,puer
241,Mädchen::N,نجلۍ,puella
242,Familie::N,کورنۍ,familia
243,Großvater::N,بابا,avus
244,Großmutter::N,انا,avia
245,Eltern::N,مور او پلار,parentes
246,Vater::N,پلار,pater
247,Mutter::N,مور,mater
248,Sohn::N,زوی,filius
249,Tochter::N,لور,filia
250,Bruder::N,ورور,frater
251,Schwester::N,خور,soror
252,Onkel::N,تره,patruus
253,Onkel::N,تره,avunculus
254,Onkel::N,ماما,patruus
255,Onkel::N,ماما,avunculus
256,Tante::N,خاله,amita
257,Ehemann::N,مېړه,maritus
258,Ehefrau::N,مېرمن,uxor
259,Freude::N,خوشحالي,gaudium
260,Freude::N,خوشحالي,laetitia
261,Gelächter::N,خندا,risus
262,Glück::N,بخت,felicitas
263,Kummer::N,غم,aegritudo
264,Wunsch::N,هيله,voluntas
265,Wunsch::N,هيله,desiderium
266,Wunsch::N,غوښتنه,voluntas
267,Wunsch::N,غوښتنه,desiderium
268,Lust::N,شوق,libido
269,Lust::N,شوق,voluptas
270,Lust::N,مینه,libido
271,Lust::N,مینه,voluptas
272,Geist::N,روح,mens
273,Geist::N,روح,animus
274,Gedanke::N,فکر,sententia
275,Gedächtnis::N,یاد,memoria
276,Gedächtnis::N,حافظه,memoria
277,Verstand::N,عقل,ratio
278,Verstand::N,عقل,ingenium
279,Verstand::N,شعور,ratio
280,Verstand::N,شعور,ingenium
281,Sinn::N,معنی,sensus
282,Grund::N,علت,causa
283,Grund::N,اساس,causa
284,Wahrheit::N,حقیقت,veritas
285,Gespräch::N,مرکه,sermo
286,Gespräch::N,خبرې اترې,sermo
287,Märchen::N,افسانه,fabula
288,Erzählung::N,قصه,fabula
289,Erzählung::N,قصه,narratio
290,Erzählung::N,کیسه,fabula
291,Erzählung::N,کیسه,narratio
292,Nachricht::N,خبر,nuntius
293,Neuigkeit::N,نوی خبر,novitas
294,Name::N,نوم,nomen
295,Rätsel::N,کیسۍ,aenigma
296,Rätsel::N,چیستان,aenigma
297,Rede::N,وینا,oratio
298,Sprache::N,ژبه,lingua
299,Stimme::N,غږ,vox
300,Stimme::N,اواز,vox
301,Wort::N,لغت,verbum
302,Wort::N,لغت,vocabulum
303,Wort::N,کلمه,verbum
304,Wort::N,کلمه,vocabulum
305,Zeichen::N,نښه,signum
306,Zeichen::N,اشاره,signum
307,Ruf::N,ږغ,clamor
308,Ruf::N,بلنه,clamor
