,Concept_ID,hr,se
0,Auge::N,oko,tjelmie
1,Auge::N,oko,tjalmme
2,Auge::N,oko,čalbmi
3,Auge::N,oko,čalme
4,Auge::N,oko,čâ´lmm
5,Auge::N,oko,ча̄лльм
6,Ohr::N,uho,bieljie
7,Ohr::N,uho,biellje
8,Ohr::N,uho,beallji
9,Ohr::N,uho,pelji
10,Ohr::N,uho,pe´llj
11,Ohr::N,uho,пе̄лльй
12,Nase::N,nos,njuenie
13,Nase::N,nos,njunnje
14,Nase::N,nos,njunni
15,Nase::N,nos,njuṇe
16,Nase::N,nos,njuu´nn
17,Nase::N,nos,нюннҍ
18,Mund::N,usta,njaelmie
19,Mund::N,usta,njálmme
20,Mund::N,usta,njálbmi
21,Mund::N,usta,njälmi
22,Mund::N,usta,njä´lmm
23,Mund::N,usta,ня̄лльм
24,Zahn::N,zub,baenie
25,Zahn::N,zub,bádne
26,Zahn::N,zub,bátni
27,Zahn::N,zub,pääṇi
28,Zahn::N,zub,pää´nn
29,Zahn::N,zub,па̄ннҍ
30,Zunge::N,jezik,njoektjeme
31,Zunge::N,jezik,njuovtjav
32,Zunge::N,jezik,njuovčča
33,Zunge::N,jezik,njuovčâ
34,Zunge::N,jezik,njuhččâm
35,Zunge::N,jezik,нюхчем
36,Lippe::N,usna,bangseme
37,Lippe::N,usna,njálmmerabdda
38,Lippe::N,usna,bavssa
39,Lippe::N,usna,poovsâ
40,Lippe::N,usna,põõus
41,Lippe::N,usna,пэ̄кс
42,Wange::N,obraz,skiehrie
43,Wange::N,obraz,nierra
44,Wange::N,obraz,muohtu
45,Wange::N,obraz,nieṛâ
46,Wange::N,obraz,njiõrr
47,Wange::N,obraz,нӣрр
48,Gesicht::N,lice,ååredæjja
49,Gesicht::N,lice,muohto
50,Gesicht::N,lice,muođut
51,Gesicht::N,lice,ámadadju
52,Gesicht::N,lice,muáđuh
53,Gesicht::N,lice,muâđ
54,Gesicht::N,lice,ка̄ссв
55,Stirn::N,čelo,gaalloe
56,Stirn::N,čelo,gállo
57,Stirn::N,čelo,gállu
58,Stirn::N,čelo,kállu
59,Stirn::N,čelo,käll
60,Stirn::N,čelo,вуэххьц
61,Haar::N,kosa,voepte
62,Haar::N,kosa,vuoppta
63,Haar::N,kosa,vuokta
64,Haar::N,kosa,vuop'tâ
65,Haar::N,kosa,vuõpt
66,Haar::N,kosa,вӯппт
67,Schnurrbart::N,brkovi,bijjie-skaavtjoe
68,Schnurrbart::N,brkovi,njunjevuolskávttjá
69,Schnurrbart::N,brkovi,seamu
70,Schnurrbart::N,brkovi,siämu
71,Schnurrbart::N,brkovi,ää´bben
72,Schnurrbart::N,brkovi,о̄а̄бпан
73,Bart::N,brada,skaavtja
74,Bart::N,brada,skaavtjoe
75,Bart::N,brada,skávttjá
76,Bart::N,brada,seamu
77,Bart::N,brada,siämu
78,Bart::N,brada,seäm
79,Bart::N,brada,ся̄м
80,Kinn::N,brada,gaejpie
81,Kinn::N,brada,gájbbe
82,Kinn::N,brada,gáibi
83,Kinn::N,brada,käibi
84,Kinn::N,brada,käi´bb
85,Kinn::N,brada,ка̄ййп
86,Kinn::N,podbradak,gaejpie
87,Kinn::N,podbradak,gájbbe
88,Kinn::N,podbradak,gáibi
89,Kinn::N,podbradak,käibi
90,Kinn::N,podbradak,käi´bb
91,Kinn::N,podbradak,ка̄ййп
92,Kiefer[Anatomie]::N,čeljust,gaejpie
93,Kiefer[Anatomie]::N,čeljust,oalol
94,Kiefer[Anatomie]::N,čeljust,oaloldákte
95,Kiefer[Anatomie]::N,čeljust,gáibi
96,Kiefer[Anatomie]::N,čeljust,uá'lultähti
97,Kiefer[Anatomie]::N,čeljust,vuâl'lõš
98,Kiefer[Anatomie]::N,čeljust,вуаллнешш
99,Kehle::N,grlo,gealoe
100,Kehle::N,grlo,tjåttå
101,Kehle::N,grlo,njiello
102,Kehle::N,grlo,čotta
103,Kehle::N,grlo,čuudâ
104,Kehle::N,grlo,čoodd
105,Kehle::N,grlo,чонт
106,Kehle::N,grlo,кэ̄ҏс
107,Hals::N,vrat,tjeapohke
108,Hals::N,vrat,tjiebet
109,Hals::N,vrat,čeabet
110,Hals::N,vrat,čiäppát
111,Hals::N,vrat,čeäppat
112,Hals::N,vrat,ча̄пэх
113,Genick::N,zatiljak,tjovrese
114,Genick::N,zatiljak,nisske
115,Genick::N,zatiljak,niehkki
116,Genick::N,zatiljak,niski
117,Genick::N,zatiljak,niek'ki
118,Genick::N,zatiljak,nji´šǩǩmaadd
119,Genick::N,zatiljak,нышшькмоант
120,Kopf::N,glava,åejjie
121,Kopf::N,glava,oajvve
122,Kopf::N,glava,oaivi
123,Kopf::N,glava,uái'vi
124,Kopf::N,glava,vuei´vv
125,Kopf::N,glava,вуэййв
126,Rücken::N,leđa,rudtje
127,Rücken::N,leđa,hárddo
128,Rücken::N,leđa,tjavelk
129,Rücken::N,leđa,sealgi
130,Rücken::N,leđa,selgi
131,Rücken::N,leđa,čielgi
132,Rücken::N,leđa,seä´lǧǧ
133,Rücken::N,leđa,се̄лльк
134,Rücken::N,hrbat,rudtje
135,Rücken::N,hrbat,hárddo
136,Rücken::N,hrbat,tjavelk
137,Rücken::N,hrbat,sealgi
138,Rücken::N,hrbat,selgi
139,Rücken::N,hrbat,čielgi
140,Rücken::N,hrbat,seä´lǧǧ
141,Rücken::N,hrbat,се̄лльк
142,Bauch::N,trbuh,tjåejjie
143,Bauch::N,trbuh,tjoajvve
144,Bauch::N,trbuh,čoavji
145,Bauch::N,trbuh,čuáv'ji
146,Bauch::N,trbuh,čåu´jj
147,Bauch::N,trbuh,чо̄ввьй
148,Nabel::N,pupak,naepie
149,Nabel::N,pupak,náhpe
150,Nabel::N,pupak,náhpi
151,Nabel::N,pupak,nääpi
152,Nabel::N,pupak,nää´pp
153,Nabel::N,pupak,на̄бпь
154,Busen::N,sisa,boenge
155,Busen::N,sisa,bållå
156,Busen::N,sisa,čižži
157,Busen::N,sisa,njamma
158,Busen::N,sisa,njižže
159,Busen::N,sisa,nje´ǯǯ
160,Busen::N,sisa,раннҍт
161,Busen::N,njedra,boenge
162,Busen::N,njedra,bållå
163,Busen::N,njedra,čižži
164,Busen::N,njedra,njamma
165,Busen::N,njedra,njižže
166,Busen::N,njedra,nje´ǯǯ
167,Busen::N,njedra,раннҍт
168,Brust::N,prsa,mïelke
169,Brust::N,prsa,radde
170,Brust::N,prsa,mielgga
171,Brust::N,prsa,raddi
172,Brust::N,prsa,radde
173,Brust::N,prsa,râ´dd
174,Brust::N,prsa,раннҍт
175,Schulter::N,rame,åelkie
176,Schulter::N,rame,oalgge
177,Schulter::N,rame,hárdu
178,Schulter::N,rame,ärdee
179,Schulter::N,rame,uál'gi
180,Schulter::N,rame,a´rddi
181,Schulter::N,rame,vuä´lǧǧ
182,Schulter::N,rame,вуэллык
183,Schulter::N,pleći,åelkie
184,Schulter::N,pleći,oalgge
185,Schulter::N,pleći,hárdu
186,Schulter::N,pleći,ärdee
187,Schulter::N,pleći,uál'gi
188,Schulter::N,pleći,a´rddi
189,Schulter::N,pleći,vuä´lǧǧ
190,Schulter::N,pleći,вуэллык
191,Arm::N,ruka,gïete
192,Arm::N,ruka,giehta
193,Arm::N,ruka,giehta
194,Arm::N,ruka,kietâ
195,Arm::N,ruka,kie'tâkaaṿâ
196,Arm::N,ruka,ǩiõtt
197,Arm::N,ruka,кӣдт
198,Ellenbogen::N,lakat,gernjere
199,Ellenbogen::N,lakat,garŋŋel
200,Ellenbogen::N,lakat,gargŋil
201,Ellenbogen::N,lakat,käŋŋir
202,Ellenbogen::N,lakat,kõõnjâr
203,Ellenbogen::N,lakat,карьнэль
204,Hand::N,ruka,gïete
205,Hand::N,ruka,giehta
206,Hand::N,ruka,giehta
207,Hand::N,ruka,kietâ
208,Hand::N,ruka,ǩiõtt
209,Hand::N,ruka,кӣдт
210,Handfläche::N,dlan,gïeten-låapoe
211,Handfläche::N,dlan,giehtavuodo
212,Handfläche::N,dlan,tjårmmåvuodo
213,Handfläche::N,dlan,giehtaloahpu
214,Handfläche::N,dlan,kiämád
215,Handfläche::N,dlan,kuámmir
216,Handfläche::N,dlan,kuä´m'mer
217,Handfläche::N,dlan,ǩiõttǩeä´m'men
218,Handfläche::N,dlan,ко̄а̄ллдэгк
219,Handfläche::N,dlan,кӣдткоалдэгк
