,Concept_ID,ml,no
0,Auge::N,കണ്ണ്,øye
1,Ohr::N,ചെവി,øre
2,Nase::N,മൂക്ക്,nese
3,Mund::N,വായ,munn
4,Zahn::N,പല്ല്,tann
5,Zunge::N,നാക്ക്,tunge
6,Lippe::N,ചുണ്ട്,leppe
7,Wange::N,കവിൾത്തടം,kinn
8,Gesicht::N,മുഖം,fjes
9,Gesicht::N,മുഖം,ansikt
10,Stirn::N,നെറ്റി,panne
11,Haar::N,തലമുടി,hår
12,Schnurrbart::N,മീശ,bart
13,Bart::N,താടിരോമം,skjegg
14,Kinn::N,താടി,hake
15,Kiefer[Anatomie]::N,താടിയെല്ല്,kjeve
16,Kehle::N,കണ്ഠനാളം,strupe
17,Hals::N,കഴുത്ത്,hals
18,Genick::N,പിടലി,nakke
19,Kopf::N,തല,hode
20,Rücken::N,മുതുക്,rygg
21,Bauch::N,നയറ്,buk
22,Bauch::N,നയറ്,mage
23,Nabel::N,നാഭി,navle
24,Busen::N,സ്തനം,barm
25,Brust::N,സ്തനം,bryst
26,Schulter::N,തോൾ,skulder
27,Arm::N,കൈ,arm
28,Ellenbogen::N,കൈമുട്ട്,albue
29,Hand::N,കൈ,hånd
30,Handfläche::N,ഉള്ളം കൈ,håndflate
31,Finger::N,വിരൽ,finger
32,Fingernagel::N,നഖം,fingernegl
33,Nagel[Anatomie]::N,നഖം,negl
34,Zeh::N,കാൽവിരൽ,tå
35,Fuß::N,കാൽപ്പാദം,fot
36,Ferse::N,ഉപ്പൂറ്റി,hæl
37,Knie::N,കാൽമുട്ട്,kne
38,Oberschenkel::N,തുട,lår
39,Bein::N,കാൽ,bein
40,Körper::N,ശരീരം,kropp
41,Körper::N,ശരീരം,legeme
42,Haut::N,ചർമ്മം,hud
43,Haut::N,ചർമ്മം,skinn
44,Blut::N,രക്തം,blod
45,Ader::N,ഞരമ്പ്,åre
46,Sehne::N,സ്നായു,sene
47,Knochen::N,അസ്ഥി,bein
48,Knochen::N,അസ്ഥി,knokkel
49,Gehirn::N,തലച്ചോറ്,hjerne
50,Herz::N,ഹൃദയം,hjerte
51,Magen::N,വയർ,mage
52,Leber::N,കരൾ,lever
53,Atem::N,ശ്വാസം,pust
54,Hunger::N,വിശപ്പ്,sult
55,Träne::N,കണ്ണീർ,tåre
56,Geschmack::N,രുചി,smak
57,Geruch::N,ഗന്ധം,lukt
58,Schlaf::N,ഉറകും,søvn
59,Traum::N,സ്വപ്നം,drøm
60,Himmel::N,ആകാശം,himmel
61,Sonne::N,സൂര്യൻ,sol
62,Mond::N,ചന്ദ്രൻ,måne
63,Stern::N,നക്ഷത്രം,stjerne
64,Luft::N,കാറ്റ്,luft
65,Wind::N,കാറ്റ്,vind
66,Welle::N,തിരമാല,bølge
67,Wasser::N,വെള്ളം,vann
68,Stein::N,ശില,stein
69,Stein::N,കല്ല്,stein
70,Boden::N,തറ,bakke
71,Boden::N,നിലം,bakke
72,Erde::N,മണ്ണ്,jord
73,Staub::N,പൊടി,støv
74,Rauch::N,പുക,røyk
75,Funke::N,തീപ്പൊരി,gnist
76,Feuer::N,തീ,ild
77,Licht::N,വിളക്ക്,lys
78,Licht::N,സൂര്യപ്രകാശം,lys
79,Schatten::N,തണൽ,skygge
80,Wetter::N,കാലാവസ്ഥ,vær
81,Nebel::N,മൂടൽമഞ്ഞ്,tåke
82,Wolke::N,മേഘം,sky
83,Regen::N,മഴ,regn
84,Schnee::N,മഞ്ഞ്,snø
85,Eis::N,ഐസ്,is
86,Frost::N,മൂടൽമഞ്ഞ്,frost
87,Kälte::N,തണുപ്പ്,kulde
88,Hitze::N,ചൂട്,hete
89,Raureif::N,കോടമഞ്ഞ്,rimfrost
90,Regenbogen::N,മഴവില്ല്,regnbue
91,Donner::N,ഇടി,torden
92,Strömung::N,പ്രവാഹം,strømning
93,Tropfen::N,തുള്ളി,dråpe
94,Schaum::N,നുര,skum
