,Concept_ID,bg,bg
0,Auge::N,око,око
1,Ohr::N,ухо,ухо
2,Nase::N,нос,нос
3,Mund::N,уста,уста
4,Zahn::N,зъб,зъб
5,Zunge::N,език,език
6,Lippe::N,устна,устна
7,Wange::N,буза,буза
8,Gesicht::N,лице,лице
9,Gesicht::N,лице,образ
10,Gesicht::N,образ,лице
11,Gesicht::N,образ,образ
12,Stirn::N,чело,чело
13,Haar::N,коса,коса
14,Haar::N,коса,косъм
15,Haar::N,косъм,коса
16,Haar::N,косъм,косъм
17,Schnurrbart::N,мустаци,мустаци
18,Bart::N,брада,брада
19,Kinn::N,брада,брада
20,Kinn::N,брада,брадичка
21,Kinn::N,брадичка,брада
22,Kinn::N,брадичка,брадичка
23,Kiefer[Anatomie]::N,челюст,челюст
24,Kehle::N,гърло,гърло
25,Hals::N,врат,врат
26,Genick::N,тил,тил
27,Kopf::N,глава,глава
28,Rücken::N,гръб,гръб
29,Bauch::N,корем,корем
30,Nabel::N,пъп,пъп
31,Busen::N,бозка,бозка
32,Brust::N,гръд,гръд
33,Schulter::N,рамо,рамо
34,Schulter::N,рамо,плещи
35,Schulter::N,плещи,рамо
36,Schulter::N,плещи,плещи
37,Arm::N,ръка,ръка
38,Ellenbogen::N,лакът,лакът
39,Hand::N,ръка,ръка
40,Hand::N,ръка,китка
41,Hand::N,китка,ръка
42,Hand::N,китка,китка
43,Handfläche::N,длан,длан
44,Finger::N,пръст,пръст
45,Fingernagel::N,нокът,нокът
46,Nagel[Anatomie]::N,нокът,нокът
47,Zeh::N,пръст на крак,пръст на крак
48,Fuß::N,крак,крак
49,Fuß::N,крак,нога
50,Fuß::N,нога,крак
51,Fuß::N,нога,нога
52,Ferse::N,пета,пета
53,Knie::N,коляно,коляно
54,Oberschenkel::N,бедро,бедро
55,Bein::N,крак,крак
56,Bein::N,крак,нога
57,Bein::N,нога,крак
58,Bein::N,нога,нога
59,Körper::N,тяло,тяло
60,Haut::N,кожа,кожа
61,Blut::N,кръв,кръв
62,Ader::N,вена,вена
63,Ader::N,вена,артерия
64,Ader::N,артерия,вена
65,Ader::N,артерия,артерия
66,Sehne::N,жила,жила
67,Sehne::N,жила,сухожилие
68,Sehne::N,сухожилие,жила
69,Sehne::N,сухожилие,сухожилие
70,Knochen::N,кост,кост
71,Gehirn::N,мозък,мозък
72,Herz::N,сърце,сърце
73,Magen::N,стомах,стомах
74,Leber::N,черен дроб,черен дроб
75,Atem::N,дишане,дишане
76,Hunger::N,глад,глад
77,Träne::N,сълза,сълза
78,Geschmack::N,вкус,вкус
79,Geruch::N,миризма,миризма
80,Schlaf::N,сън,сън
81,Traum::N,сън,сън
82,Himmel::N,небе,небе
83,Sonne::N,слънце,слънце
84,Mond::N,луна,луна
85,Mond::N,луна,месец
86,Mond::N,месец,луна
87,Mond::N,месец,месец
88,Stern::N,звезда,звезда
89,Luft::N,въздух,въздух
90,Wind::N,вятър,вятър
91,Welle::N,вълна,вълна
92,Wasser::N,вода,вода
93,Stein::N,камък,камък
94,Boden::N,земя,земя
95,Boden::N,земя,почва
96,Boden::N,почва,земя
97,Boden::N,почва,почва
98,Erde::N,земя,земя
99,Erde::N,земя,почва
100,Erde::N,почва,земя
101,Erde::N,почва,почва
102,Staub::N,прах,прах
103,Rauch::N,дим,дим
104,Rauch::N,дим,пушек
105,Rauch::N,пушек,дим
106,Rauch::N,пушек,пушек
107,Funke::N,искра,искра
108,Feuer::N,огън,огън
109,Licht::N,светлина,светлина
110,Schatten::N,сянка,сянка
111,Wetter::N,време,време
112,Nebel::N,мъгла,мъгла
113,Wolke::N,облак,облак
114,Regen::N,дъжд,дъжд
115,Schnee::N,сняг,сняг
116,Eis::N,лед,лед
117,Frost::N,мраз,мраз
118,Kälte::N,студ,студ
119,Hitze::N,жега,жега
120,Hitze::N,жега,горещина
121,Hitze::N,горещина,жега
122,Hitze::N,горещина,горещина
123,Raureif::N,скреж,скреж
124,Raureif::N,скреж,слана
125,Raureif::N,слана,скреж
126,Raureif::N,слана,слана
127,Regenbogen::N,дъга,дъга
128,Donner::N,гръм,гръм
129,Strömung::N,течение,течение
130,Tropfen::N,капка,капка
131,Schaum::N,пяна,пяна
132,Schmutz::N,кал,кал
133,Schmutz::N,кал,мръсотия
134,Schmutz::N,мръсотия,кал
135,Schmutz::N,мръсотия,мръсотия
136,See::N,езеро,езеро
137,Sumpf::N,блато,блато
138,Moor::N,мочурище,мочурище
139,Wiese::N,ливада,ливада
140,Wald::N,гора,гора
141,Hügel::N,рид,рид
142,Hügel::N,рид,хълм
143,Hügel::N,хълм,рид
144,Hügel::N,хълм,хълм
145,Anhöhe::N,могила,могила
146,Anhöhe::N,могила,възвишение
147,Anhöhe::N,възвишение,могила
148,Anhöhe::N,възвишение,възвишение
149,Berg::N,планина,планина
150,Gipfel::N,връх,връх
151,Höhle::N,пещера,пещера
152,Abhang::N,склон,склон
153,Abhang::N,склон,стръмнина
154,Abhang::N,стръмнина,склон
155,Abhang::N,стръмнина,стръмнина
156,Quelle::N,извор,извор
157,Bach::N,поток,поток
158,Fluss::N,река,река
159,Ufer::N,бряг,бряг
160,Küste::N,бряг,бряг
161,Küste::N,бряг,крайбрежие
162,Küste::N,крайбрежие,бряг
163,Küste::N,крайбрежие,крайбрежие
164,Festland::N,суша,суша
165,Meer::N,море,море
166,Bucht::N,залив,залив
167,Insel::N,остров,остров
168,Blume::N,цвете,цвете
169,Gras::N,трева,трева
170,Wurzel::N,корен,корен
171,Baum::N,дърво,дърво
172,Stamm::N,стъбло,стъбло
173,Rinde::N,кора,кора
174,Ast::N,клон,клон
175,Zweig::N,клон,клон
176,Blatt::N,лист,лист
177,Birke::N,бреза,бреза
178,Kiefer[Baum]::N,бор,бор
179,Weide[Baum]::N,върба,върба
180,Tanne::N,ела,ела
181,Horn::N,рог,рог
182,Feder::N,перо,перо
183,Fell::N,кожа,кожа
184,Flügel::N,крило,крило
185,Klaue::N,нокът,нокът
186,Kralle::N,нокът,нокът
187,Schwanz::N,опашка,опашка
188,Ei::N,яйце,яйце
189,Nest::N,гнездо,гнездо
190,Bau::N,дупка,дупка
191,Tier::N,животно,животно
192,Herde::N,стадо,стадо
193,Kuh::N,крава,крава
194,Bulle::N,бик,бик
195,Pferd::N,кон,кон
196,Schaf::N,овца,овца
197,Schwein::N,свиня,свиня
198,Hund::N,куче,куче
199,Katze::N,котка,котка
200,Bär::N,мечка,мечка
201,Eichhörnchen::N,катерица,катерица
202,Elch::N,лос,лос
203,Fuchs::N,лисица,лисица
204,Hase::N,заек,заек
205,Maus::N,мишка,мишка
206,Wolf::N,вълк,вълк
207,Vogel::N,птица,птица
208,Schwarm::N,рой,рой
209,Schwarm::N,рой,рояк
210,Schwarm::N,рояк,рой
211,Schwarm::N,рояк,рояк
212,Huhn::N,кокошка,кокошка
213,Hahn::N,петел,петел
214,Gans::N,гъска,гъска
215,Adler::N,орел,орел
216,Ente::N,патица,патица
217,Eule::N,сова,сова
218,Kranich::N,жерав,жерав
219,Krähe::N,врана,врана
220,Kuckuck::N,кукувица,кукувица
221,Schwan::N,лебед,лебед
222,Fisch::N,риба,риба
223,Barsch::N,костур,костур
224,Hecht::N,щука,щука
225,Schlange[Tier]::N,змия,змия
226,Wurm::N,червей,червей
227,Spinne::N,паяк,паяк
228,Ameise::N,мравка,мравка
229,Laus::N,въшка,въшка
230,Mücke::N,комар,комар
231,Fliege::N,муха,муха
232,Schmetterling::N,пеперуда,пеперуда
233,Beere::N,плод,плод
234,Apfel::N,ябълка,ябълка
235,Pilz::N,гъба,гъба
236,Zwiebel::N,лук,лук
237,Zwiebel::N,лук,кромид
238,Zwiebel::N,кромид,лук
239,Zwiebel::N,кромид,кромид
240,Saat::N,семе,семе
241,Korn::N,зърно,зърно
242,Heu::N,сено,сено
243,Schale::N,кора,кора
244,Grube::N,яма,яма
245,Grube::N,яма,дупка
246,Grube::N,дупка,яма
247,Grube::N,дупка,дупка
248,Falle::N,примка,примка
249,Schlinge::N,клуп,клуп
250,Spur::N,диря,диря
251,Spur::N,диря,следа
252,Spur::N,следа,диря
253,Spur::N,следа,следа
254,Asche::N,пепел,пепел
255,Dreck::N,кал,кал
256,Eisen::N,желязо,желязо
257,Gold::N,злато,злато
258,Silber::N,сребро,сребро
259,Kohle::N,въглища,въглища
260,Glas::N,стъкло,стъкло
261,Lehm::N,глина,глина
262,Sand::N,пясък,пясък
