,Concept_ID,mdf,sq
0,Auge::N,сельме,sy
1,Ohr::N,пиле,vesh
2,Nase::N,шалхка,hundë
3,Mund::N,курга,gojë
4,Zahn::N,пей,dhëmb
5,Zunge::N,кяль,gjuhë
6,Lippe::N,търва́,buzë
7,Wange::N,щёка,faqe
8,Wange::N,щёка,mollëz
9,Gesicht::N,шама,fytyrë
10,Stirn::N,коня,ballë
11,Haar::N,шя́ярь,flokë
12,Schnurrbart::N,уса́,mustaqe
13,Bart::N,сакал,mjekër
14,Kinn::N,ула,mjekër
15,Kiefer[Anatomie]::N,саласка,nofull
16,Kehle::N,кълдома,fyt
17,Kehle::N,кълдома,grykë
18,Kehle::N,кърга́парь,fyt
19,Kehle::N,кърга́парь,grykë
20,Hals::N,сялдаз,qafë
21,Genick::N,шовонь,arrëz
22,Kopf::N,пря,kokë
23,Rücken::N,копорь,kurriz
24,Bauch::N,пеке,bark
25,Nabel::N,по́кон,kërthizë
26,Busen::N,потя,gji
27,Brust::N,мяште,gjoks
28,Brust::N,мяште,kraharor
29,Schulter::N,лафту,sup
30,Schulter::N,лафту,krah
31,Arm::N,кядь,krah
32,Ellenbogen::N,кенерьба́карь,bërryl
33,Hand::N,кядь,dorë
34,Handfläche::N,кядьлапш,pëllëmbë
35,Finger::N,сур,gisht
36,Fingernagel::N,кенже,thua
37,Nagel[Anatomie]::N,кенже,thua
38,Zeh::N,пильгосу́р,gisht i këmbës
39,Fuß::N,пильге,këmbë
40,Fuß::N,пильгелапа,këmbë
41,Ferse::N,кочкяря,thembër
42,Knie::N,эль,gju
43,Knie::N,пълма́нжа,gju
44,Oberschenkel::N,пильгепукша,kofshë
45,Bein::N,пильге,këmbë
46,Körper::N,ро́нга,trup
47,Körper::N,по́нда,trup
48,Haut::N,киське,lëkurë
49,Blut::N,вер,gjak
50,Ader::N,сан,venë
51,Ader::N,верза́н,venë
52,Sehne::N,коське сан,dell
53,Knochen::N,пакарь,asht
54,Knochen::N,пакарь,kockë
55,Gehirn::N,уй,tru
56,Herz::N,седи,zemër
57,Magen::N,коткърдазь,stomak
58,Leber::N,макса,mëlçi
59,Atem::N,лекома,frymë
60,Atem::N,ваймонь тарксема,frymë
61,Hunger::N,вачеши,uri
62,Träne::N,сельмове́дь,lot
63,Geschmack::N,таньф,shije
64,Geruch::N,шине,erë
65,Schlaf::N,удома́,gjumë
66,Traum::N,он,ëndërr
67,Himmel::N,менель,qiell
68,Sonne::N,ши,diell
69,Mond::N,ков,hënë
70,Stern::N,тяште,yll
71,Luft::N,кожф,ajër
72,Wind::N,варма,erë
73,Welle::N,тавла,valë
74,Welle::N,тавла,dallgë
