,Concept_ID,lbe,uk
0,Auge::N,я,око
1,Ohr::N,вичӏи,вухо
2,Nase::N,май,ніс
3,Mund::N,кьацӏ,рот
4,Zahn::N,ккарччи,зуб
5,Zunge::N,маз,язик
6,Lippe::N,мурччи,губа
7,Wange::N,чӏав,щока
8,Gesicht::N,лажин,обличчя
9,Stirn::N,ненттабакӏ,лоб
10,Haar::N,чӏара,волосся
11,Schnurrbart::N,ссирссилтту,вуса
12,Bart::N,чӏири,борода
13,Kinn::N,лунттубакӏ,підборіддя
14,Kiefer[Anatomie]::N,ххинчулул,щелепа
15,Kehle::N,кьакьари,горло
16,Hals::N,ссурссу,шия
17,Genick::N,махъабакӏ,потилиця
18,Kopf::N,бакӏ,голова
19,Rücken::N,ттиликӏ,спина
20,Bauch::N,лякьа,живіт
21,Nabel::N,цӏумуккутӏ,пупок
22,Busen::N,ккукку,груди
23,Brust::N,хъазам,груди
24,Schulter::N,хъачӏ,плече
25,Arm::N,ка,рука
26,Ellenbogen::N,ссюрхъ,лікоть
27,Hand::N,бартка,рука
28,Handfläche::N,хъат,долоня
29,Handfläche::N,битӏянхъ,долоня
30,Finger::N,кӏисса,палець
31,Fingernagel::N,михь,ніготь
32,Nagel[Anatomie]::N,михь,ніготь
33,Zeh::N,кӏисса,палець на нозі
34,Fuß::N,чӏанччан,нога
35,Ferse::N,никъа,п’ятка
36,Knie::N,ник,коліно
37,Oberschenkel::N,жира,стегно
38,Bein::N,ччан,нога
39,Körper::N,чурх,тіло
40,Haut::N,бурчу,шкіра
41,Blut::N,оь,кров
42,Ader::N,тунну,вена
43,Sehne::N,хьхьа,сухожилля
44,Knochen::N,ттаркӏ,кістка
45,Gehirn::N,ня,мозок
46,Herz::N,дакӏ,серце
47,Herz::N,къюкӏ,серце
48,Magen::N,лякьа,шлунок
49,Atem::N,ссихӏ ласаву,дихання
50,Atem::N,ссихӏ бигьаву,дихання
51,Hunger::N,ккаши,голод
52,Träne::N,макь,сльоза
53,Geschmack::N,тӏин,смак
54,Geschmack::N,тӏааьн,смак
55,Geruch::N,кьанкь,запах
56,Schlaf::N,шану,сон
57,Schlaf::N,шану,сплячка
58,Traum::N,макӏру,сон
59,Himmel::N,ссав,небо
60,Sonne::N,баргъ,сонце
61,Mond::N,барз,місяць
62,Stern::N,цӏуку,зірка
63,Luft::N,гьава,повітря
64,Wind::N,марч,вітер
65,Welle::N,щатӏи,хвиля
66,Wasser::N,щин,вода
67,Stein::N,чару,камінь
68,Boden::N,аьрщи,ґрунт
69,Erde::N,аьрщи,земля
70,Staub::N,ххит,пил
71,Rauch::N,пуркӏу,дим
72,Funke::N,пиягь,іскра
73,Feuer::N,цӏу,вогонь
74,Licht::N,чани,світло
75,Schatten::N,ххют,тінь
76,Wetter::N,гьава,погода
77,Nebel::N,шархь ттурлу,туман
78,Wolke::N,ттурлу,хмара
79,Regen::N,гъарал,дощ
80,Schnee::N,марххала,сніг
81,Eis::N,микӏ,лід
82,Frost::N,дяркъу,мороз
83,Frost::N,замгьар,мороз
84,Kälte::N,дяркъу,холод
85,Hitze::N,кӏиришиву,жар
86,Raureif::N,сил,іній
87,Raureif::N,бурса,іній
88,Regenbogen::N,ссурул ккуртта,райдуга
89,Donner::N,къув,грім
90,Strömung::N,экьинанаву,струмина
91,Tropfen::N,кӏунтӏ,крапля
92,Schaum::N,хьама,піна
93,Schmutz::N,кьяркьи,бруд
94,See::N,бяр,озеро
95,Sumpf::N,кунцӏа,драговина
96,Wiese::N,кьан,луг
97,Wiese::N,кьан,лука
98,Wald::N,вацӏа,ліс
99,Hügel::N,бакӏу,горб
100,Berg::N,зунтту,гора
101,Gipfel::N,мицӏ,вершина
102,Höhle::N,нух,печера
103,Abhang::N,сун,схил
104,Quelle::N,дайдихьу,джерело
105,Quelle::N,бакӏ,джерело
106,Bach::N,чӏрир нех,струмок
107,Fluss::N,нех,річка
108,Ufer::N,зума,берег
109,Küste::N,зумаинхалу,узбережжя
110,Küste::N,зуманицӏалу,узбережжя
111,Festland::N,кьири,суша
112,Meer::N,хьхьири,море
113,Insel::N,жазира,острів
114,Blume::N,тӏутӏи,квітка
115,Gras::N,уртту,трава
116,Wurzel::N,мархха,корінь
117,Baum::N,мурхь,дерево
118,Stamm::N,ттарцӏ,стовбур
119,Rinde::N,ккамара,кора
120,Ast::N,матӏи,гілка
121,Zweig::N,къяртта,галузь
122,Blatt::N,чӏапӏи,лист
123,Birke::N,кӏялахӏи,береза
124,Birke::N,кӏялахӏилул мурхь,береза
125,Kiefer[Baum]::N,ттар,сосна
126,Kiefer[Baum]::N,ттарлил мурхь,сосна
127,Weide[Baum]::N,щавщи,верба
128,Tanne::N,ттарлил мурхь,ялиця
129,Horn::N,хъи,ріг
130,Feder::N,лелуххул тӏиму,перо
131,Fell::N,бурчу,хутро
132,Flügel::N,хъа,крило
133,Flügel::N,ххурупӏайрал тӏиму,крило
134,Klaue::N,михь,кіготь
135,Kralle::N,ххяппа,лапа
136,Schwanz::N,магъ,хвіст
137,Ei::N,ккунук,яйце
138,Nest::N,кюру,гніздо
139,Bau::N,цукъуккутӏ,лігво
140,Tier::N,хӏайван,тварина
141,Herde::N,газу,стадо
142,Kuh::N,оьл,корова
143,Bulle::N,ниц,бик
144,Bulle::N,ниц,бугай
145,Pferd::N,чу,кінь
146,Schaf::N,тта,вівця
147,Schwein::N,дунгъуз,свиня
148,Hund::N,ккаччи,собака
149,Katze::N,ччиту,кішка
150,Bär::N,цуша,ведмідь
151,Eichhörnchen::N,бюрхттукку,білка
152,Elch::N,ниц-бюрин,лось
153,Fuchs::N,цулчӏа,лисиця
154,Fuchs::N,куча цулчӏа,лисиця
155,Hase::N,бюрх,заєць
156,Maus::N,кӏулу,миша
157,Wolf::N,барцӏ,вовк
158,Vogel::N,лелуххи,птах
159,Schwarm::N,гьухъала,зграя
160,Huhn::N,аьнакӏи,курка
161,Hahn::N,ажари,півень
162,Gans::N,къаз,гуска
163,Adler::N,барзу,орел
164,Ente::N,урдак,качка
165,Eule::N,ису,сова
166,Eule::N,ччиккумяв,сова
167,Kranich::N,кьурукь,журавель
168,Krähe::N,хъатӏу,ворона
169,Kuckuck::N,ччикку,зозуля
170,Schwan::N,урттил къаз,лебідь
171,Fisch::N,чавахъ,риба
172,Schlange[Tier]::N,шатта,змія
173,Wurm::N,кьюнукьай шатта,черв’як
174,Spinne::N,ххялцу,павук
175,Ameise::N,митӏикьукьу,мурашка
176,Mücke::N,мичӏак,комар
177,Fliege::N,зимиз,муха
178,Schmetterling::N,чӏимучӏали,метелик
179,Beere::N,хӏаллил ахъулсса,ягода
180,Apfel::N,гьивч,яблуко
181,Pilz::N,ттуккул иис,гриб
182,Zwiebel::N,лаччул чсмусул бакӏ,цибуля
183,Saat::N,гьанна,сім’я
184,Korn::N,къама,зерно
185,Heu::N,ххулув,сіно
186,Schale::N,ккиртту,шкірка
187,Grube::N,кӏаланг,яма
188,Falle::N,къатӏа,пастка
189,Schlinge::N,хӏатӏ,петля
190,Spur::N,ша,слід
191,Asche::N,лах,зола
192,Asche::N,лах,попіл
193,Dreck::N,кьяркьи,бруд
194,Dreck::N,венп,бруд
195,Eisen::N,мах,залізо
196,Gold::N,муси,золото
197,Silber::N,арцу,срібло
198,Kohle::N,кӏалаш,вугілля
199,Kohle::N,хъуручӏ,вугілля
200,Glas::N,пюрун,скло
201,Lehm::N,сина аьрщи,глина
202,Sand::N,къун,пісок
