,Concept_ID,de,sq
0,Auge::N,Auge,sy
1,Ohr::N,Ohr,vesh
2,Nase::N,Nase,hundë
3,Mund::N,Mund,gojë
4,Zahn::N,Zahn,dhëmb
5,Zunge::N,Zunge,gjuhë
6,Lippe::N,Lippe,buzë
7,Wange::N,Wange,faqe
8,Wange::N,Wange,mollëz
9,Gesicht::N,Gesicht,fytyrë
10,Stirn::N,Stirn,ballë
11,Haar::N,Haar,flokë
12,Schnurrbart::N,Schnurrbart,mustaqe
13,Bart::N,Bart,mjekër
14,Kinn::N,Kinn,mjekër
15,Kiefer[Anatomie]::N,Kiefer,nofull
16,Kehle::N,Kehle,fyt
17,Kehle::N,Kehle,grykë
18,Hals::N,Hals,qafë
19,Genick::N,Genick,arrëz
20,Kopf::N,Kopf,kokë
21,Rücken::N,Rücken,kurriz
22,Bauch::N,Bauch,bark
23,Nabel::N,Nabel,kërthizë
24,Busen::N,Busen,gji
25,Brust::N,Brust,gjoks
26,Brust::N,Brust,kraharor
27,Schulter::N,Schulter,sup
28,Schulter::N,Schulter,krah
29,Arm::N,Arm,krah
30,Ellenbogen::N,Ellenbogen,bërryl
31,Hand::N,Hand,dorë
32,Handfläche::N,Handfläche,pëllëmbë
33,Finger::N,Finger,gisht
34,Fingernagel::N,Fingernagel,thua
35,Nagel[Anatomie]::N,Nagel,thua
36,Zeh::N,Zeh,gisht i këmbës
37,Fuß::N,Fuß,këmbë
38,Ferse::N,Ferse,thembër
39,Knie::N,Knie,gju
40,Oberschenkel::N,Oberschenkel,kofshë
41,Bein::N,Bein,këmbë
42,Körper::N,Körper,trup
43,Haut::N,Haut,lëkurë
44,Blut::N,Blut,gjak
45,Ader::N,Ader,venë
46,Sehne::N,Sehne,dell
47,Knochen::N,Knochen,asht
48,Knochen::N,Knochen,kockë
49,Gehirn::N,Gehirn,tru
50,Herz::N,Herz,zemër
51,Magen::N,Magen,stomak
52,Leber::N,Leber,mëlçi
53,Atem::N,Atem,frymë
54,Hunger::N,Hunger,uri
55,Träne::N,Träne,lot
56,Geschmack::N,Geschmack,shije
57,Geruch::N,Geruch,erë
58,Schlaf::N,Schlaf,gjumë
59,Traum::N,Traum,ëndërr
60,Himmel::N,Himmel,qiell
61,Sonne::N,Sonne,diell
62,Mond::N,Mond,hënë
63,Stern::N,Stern,yll
64,Luft::N,Luft,ajër
65,Wind::N,Wind,erë
66,Welle::N,Welle,valë
67,Welle::N,Welle,dallgë
68,Wasser::N,Wasser,ujë
69,Stein::N,Stein,gur
70,Boden::N,Boden,tokë
71,Boden::N,Boden,truall
72,Erde::N,Erde,dhe
73,Erde::N,Erde,baltë
74,Staub::N,Staub,pluhur
75,Rauch::N,Rauch,tym
76,Funke::N,Funke,xixë
77,Funke::N,Funke,shkëndijë
78,Feuer::N,Feuer,zjarr
79,Licht::N,Licht,dritë
80,Schatten::N,Schatten,hije
81,Wetter::N,Wetter,mot
