,Concept_ID,de,ar
0,Auge::N,Auge,عين
1,Ohr::N,Ohr,أذن
2,Nase::N,Nase,أنف
3,Mund::N,Mund,فم
4,Zahn::N,Zahn,سن
5,Zunge::N,Zunge,لسان
6,Lippe::N,Lippe,شفة
7,Wange::N,Wange,خد
8,Wange::N,Wange,وجنة
9,Gesicht::N,Gesicht,وجه
10,Stirn::N,Stirn,جبين
11,Haar::N,Haar,شعر
12,Schnurrbart::N,Schnurrbart,شارب
13,Bart::N,Bart,لحية
14,Kinn::N,Kinn,ذقن
15,Kiefer[Anatomie]::N,Kiefer,فك
16,Kehle::N,Kehle,حلق
17,Hals::N,Hals,عنق
18,Hals::N,Hals,رقبة
19,Genick::N,Genick,قفا
20,Kopf::N,Kopf,رأس
21,Rücken::N,Rücken,ظهر
22,Bauch::N,Bauch,بطن
23,Nabel::N,Nabel,سرة
24,Busen::N,Busen,ثدي
25,Brust::N,Brust,صدر
26,Schulter::N,Schulter,كتف
27,Arm::N,Arm,ذراع
28,Ellenbogen::N,Ellenbogen,كوع
29,Hand::N,Hand,يد
30,Handfläche::N,Handfläche,كف
31,Finger::N,Finger,إصبع
32,Fingernagel::N,Fingernagel,ظفر
33,Nagel[Anatomie]::N,Nagel,ظفر
34,Zeh::N,Zeh,إصبع القدم
35,Fuß::N,Fuß,قدم
36,Ferse::N,Ferse,كعب
37,Knie::N,Knie,ركبة
38,Oberschenkel::N,Oberschenkel,فخذ
39,Bein::N,Bein,ساق
40,Körper::N,Körper,جسم
41,Haut::N,Haut,بشرة
42,Blut::N,Blut,دم
43,Ader::N,Ader,عرق
44,Sehne::N,Sehne,طنب
45,Knochen::N,Knochen,عظم
46,Gehirn::N,Gehirn,دماغ
47,Herz::N,Herz,قلب
48,Magen::N,Magen,معدة
49,Leber::N,Leber,كبد
50,Atem::N,Atem,نفس
51,Hunger::N,Hunger,جوع
52,Träne::N,Träne,دمعة
53,Geschmack::N,Geschmack,طعم
54,Geschmack::N,Geschmack,مذاق
55,Geruch::N,Geruch,رائحة
56,Schlaf::N,Schlaf,نوم
57,Schlaf::N,Schlaf,منام
58,Traum::N,Traum,حلم
59,Himmel::N,Himmel,سماء
60,Sonne::N,Sonne,شمس
61,Mond::N,Mond,قمر
62,Stern::N,Stern,نجم
63,Stern::N,Stern,كوكب
64,Luft::N,Luft,هواء
65,Wind::N,Wind,ريح
66,Welle::N,Welle,موجة
67,Wasser::N,Wasser,ماء
68,Stein::N,Stein,حجر
69,Boden::N,Boden,تراب
70,Erde::N,Erde,أرض
71,Staub::N,Staub,غبار
72,Rauch::N,Rauch,دخان
73,Funke::N,Funke,شرارة
74,Feuer::N,Feuer,نار
75,Licht::N,Licht,نور
76,Licht::N,Licht,ضوء
77,Schatten::N,Schatten,ظل
78,Schatten::N,Schatten,فيء
79,Wetter::N,Wetter,جو
80,Wetter::N,Wetter,طقس
81,Nebel::N,Nebel,ضباب
82,Wolke::N,Wolke,غيمة
83,Wolke::N,Wolke,سحابة
84,Regen::N,Regen,مطر
85,Schnee::N,Schnee,ثلج
86,Eis::N,Eis,جليد
87,Frost::N,Frost,صقيع
88,Kälte::N,Kälte,برد
89,Hitze::N,Hitze,حر
90,Hitze::N,Hitze,حرارة
91,Raureif::N,Raureif,صقيع
92,Regenbogen::N,Regenbogen,قوس قزح
93,Donner::N,Donner,رعد
94,Strömung::N,Strömung,تيار
95,Tropfen::N,Tropfen,قطرة
96,Schaum::N,Schaum,زبد
97,Schaum::N,Schaum,رغوة
98,Schmutz::N,Schmutz,وسخ
99,See::N,See,بحيرة
100,Sumpf::N,Sumpf,مستنقع
101,Moor::N,Moor,مستنقع
102,Wiese::N,Wiese,مرج
103,Wald::N,Wald,غابة
104,Hügel::N,Hügel,تل
105,Anhöhe::N,Anhöhe,تل
106,Berg::N,Berg,جبل
107,Gipfel::N,Gipfel,قمة
108,Höhle::N,Höhle,كهف
109,Abhang::N,Abhang,منحدر
110,Quelle::N,Quelle,منبع
111,Bach::N,Bach,مجرى
112,Fluss::N,Fluss,نهر
113,Ufer::N,Ufer,ضفة
114,Küste::N,Küste,ساحل
115,Festland::N,Festland,بر
116,Meer::N,Meer,بحر
117,Bucht::N,Bucht,خليج
118,Insel::N,Insel,جزيرة
119,Blume::N,Blume,زهرة
120,Gras::N,Gras,حشيش
121,Wurzel::N,Wurzel,أصل
122,Baum::N,Baum,شجرة
123,Stamm::N,Stamm,جذع
124,Rinde::N,Rinde,قشرة
125,Ast::N,Ast,فرع
126,Zweig::N,Zweig,غصن
127,Blatt::N,Blatt,ورقة
128,Birke::N,Birke,قضبان
129,Kiefer[Baum]::N,Kiefer,صنوبرة
130,Weide[Baum]::N,Weide,صفصاف
131,Tanne::N,Tanne,شوح
132,Tanne::N,Tanne,تبوب
133,Horn::N,Horn,قرن
134,Feder::N,Feder,ريشة
135,Fell::N,Fell,فرو
136,Flügel::N,Flügel,جناح
137,Klaue::N,Klaue,مخلب
138,Kralle::N,Kralle,مخلب
139,Schwanz::N,Schwanz,ذيل
140,Ei::N,Ei,بيض
141,Nest::N,Nest,عش
142,Bau::N,Bau,جحر
143,Tier::N,Tier,حيوان
144,Herde::N,Herde,قطيع
145,Kuh::N,Kuh,بقرة
146,Bulle::N,Bulle,ثور
147,Pferd::N,Pferd,خيل
148,Schaf::N,Schaf,شاة
149,Schwein::N,Schwein,خنزير
150,Hund::N,Hund,كلب
151,Katze::N,Katze,قطة
152,Bär::N,Bär,دب
153,Eichhörnchen::N,Eichhörnchen,سنجاب
154,Elch::N,Elch,موظ
155,Fuchs::N,Fuchs,ثعلب
156,Hase::N,Hase,أرنب
157,Maus::N,Maus,فأرة
158,Wolf::N,Wolf,ذئب
159,Vogel::N,Vogel,طير
160,Schwarm::N,Schwarm,سرب
161,Huhn::N,Huhn,دجاجة
162,Hahn::N,Hahn,ديك
163,Gans::N,Gans,وزة
164,Adler::N,Adler,نسر
165,Ente::N,Ente,بطة
166,Eule::N,Eule,بوم
167,Kranich::N,Kranich,كركي
168,Krähe::N,Krähe,غراب
169,Kuckuck::N,Kuckuck,وقواق
170,Schwan::N,Schwan,إوز عراقي
171,Fisch::N,Fisch,سمك
172,Barsch::N,Barsch,فرخ أوربي
173,Hecht::N,Hecht,سمك الكراكي
174,Schlange[Tier]::N,Schlange,حية
175,Schlange[Tier]::N,Schlange,ثعبان
176,Wurm::N,Wurm,دودة
177,Spinne::N,Spinne,عنكبوت
178,Ameise::N,Ameise,نملة
179,Laus::N,Laus,قملة
180,Mücke::N,Mücke,ناموسة
181,Fliege::N,Fliege,ذبابة
182,Schmetterling::N,Schmetterling,فراشة
183,Beere::N,Beere,حبة
184,Apfel::N,Apfel,تفاح
185,Pilz::N,Pilz,فطر
186,Zwiebel::N,Zwiebel,بصل
187,Saat::N,Saat,زرع
188,Korn::N,Korn,حبة
189,Heu::N,Heu,دريس
190,Schale::N,Schale,قشرة
191,Grube::N,Grube,نقرة
192,Falle::N,Falle,فخ
193,Falle::N,Falle,مصيدة
194,Schlinge::N,Schlinge,عروة
195,Spur::N,Spur,أثر
196,Asche::N,Asche,رماد
197,Dreck::N,Dreck,قذر
198,Eisen::N,Eisen,حديد
199,Gold::N,Gold,ذهب
200,Silber::N,Silber,فضة
201,Kohle::N,Kohle,فحم
202,Glas::N,Glas,زجاج
203,Lehm::N,Lehm,طين
204,Sand::N,Sand,رمل
205,Mensch::N,Mensch,إنسان
206,Mann::N,Mann,رجل
207,Frau::N,Frau,امرأة
208,Kind::N,Kind,طفل
209,Junge::N,Junge,ولد
210,Mädchen::N,Mädchen,بنت
211,Familie::N,Familie,عائلة
212,Großvater::N,Großvater,جد
213,Großmutter::N,Großmutter,جدة
214,Eltern::N,Eltern,أبوان
215,Eltern::N,Eltern,والدان
216,Vater::N,Vater,أب
217,Mutter::N,Mutter,أم
218,Sohn::N,Sohn,إبن
219,Tochter::N,Tochter,بنت
220,Tochter::N,Tochter,إبنة
221,Bruder::N,Bruder,أخ
222,Bruder::N,Bruder,شقيق
223,Schwester::N,Schwester,أخت
224,Onkel::N,Onkel,عم
225,Tante::N,Tante,عمة
226,Ehemann::N,Ehemann,زوج
227,Ehefrau::N,Ehefrau,زوجة
228,Freude::N,Freude,فرح
229,Freude::N,Freude,سرور
230,Gelächter::N,Gelächter,قهقهة
231,Glück::N,Glück,سعادة
232,Kummer::N,Kummer,غم
233,Wunsch::N,Wunsch,منية
234,Lust::N,Lust,شهوة
235,Geist::N,Geist,روح
236,Gedanke::N,Gedanke,فكرة
237,Gedächtnis::N,Gedächtnis,ذاكرة
238,Verstand::N,Verstand,عقل
239,Sinn::N,Sinn,معنى
240,Grund::N,Grund,سبب
241,Wahrheit::N,Wahrheit,حقيقة
242,Gespräch::N,Gespräch,محادثة
243,Märchen::N,Märchen,خرافة
