,Concept_ID,av,hu
0,Ohr::N,гӏин,fül
1,Nase::N,мегӏер,orr
2,Mund::N,кӏал,száj
3,Zahn::N,гӏус,fog
4,Zunge::N,мацӏ,nyelv
5,Lippe::N,кӏветӏ,ajak
6,Wange::N,гӏоно,orca
7,Gesicht::N,гьумер,arc
8,Stirn::N,нодо,homlok
9,Haar::N,рас,haj
10,Schnurrbart::N,михъ,bajusz
11,Bart::N,мегеж,szakáll
12,Kinn::N,нилъу,áll
13,Kiefer[Anatomie]::N,чанагъ,állkapocs
14,Kehle::N,щекъер,gége
15,Kehle::N,щекъер,torok
16,Hals::N,габур,nyak
17,Genick::N,гъванща,tarkó
18,Kopf::N,бетӏер,fő
19,Kopf::N,бетӏер,fej
20,Rücken::N,мугъ,hát
21,Bauch::N,чехь,has
22,Nabel::N,цӏину,köldök
23,Busen::N,керен,mell
24,Busen::N,керен,kebel
25,Brust::N,керен,mell
26,Schulter::N,гъажазубетӏер,váll
27,Arm::N,гъеж,kar
28,Ellenbogen::N,гӏункӏрукь,könyök
29,Hand::N,квер,kéz
30,Handfläche::N,огъохъат,tenyér
31,Handfläche::N,жанисахъат,tenyér
32,Finger::N,килищ,ujj
33,Fingernagel::N,малъ,köröm
34,Nagel[Anatomie]::N,малъ,köröm
35,Zeh::N,килищ,lábujj
36,Fuß::N,хӏетӏ,láb
37,Fuß::N,хӏетӏе,láb
38,Ferse::N,эгъе,sarok
39,Knie::N,наку,térd
40,Oberschenkel::N,мачӏ,comb
41,Bein::N,бох,láb
42,Bein::N,бох,lábszár
43,Körper::N,къаркъала,test
44,Haut::N,тӏом,bőr
45,Blut::N,би,vér
46,Ader::N,бидурихь,ér
47,Knochen::N,ракьа,csont
48,Gehirn::N,гӏадалнах,agy
49,Gehirn::N,гӏадалнах,agyvelő
50,Herz::N,ракӏ,szív
51,Magen::N,кванирукъ,gyomor
52,Leber::N,тӏул,máj
53,Atem::N,хӏухь,lehelet
54,Atem::N,хӏухь,lélegzet
55,Hunger::N,ракъи,éhség
56,Träne::N,магӏу,könny
57,Geschmack::N,тату,íz
58,Geruch::N,махӏ,szag
59,Schlaf::N,макьу,álom
60,Schlaf::N,макьу,alvás
61,Traum::N,макьу,álom
62,Himmel::N,зоб,ég
63,Himmel::N,зоб,menny
64,Sonne::N,бакъ,nap
65,Mond::N,моцӏ,hold
66,Stern::N,цӏва,csillag
67,Luft::N,гьава,levegő
68,Wind::N,гьури,szél
69,Welle::N,карачел,hullám
70,Wasser::N,лъим,víz
71,Stein::N,гьецӏо,kő
72,Boden::N,ракь,föld
73,Boden::N,ракь,talaj
74,Erde::N,ракь,föld
75,Erde::N,дуниял,föld
76,Staub::N,хӏур,por
77,Rauch::N,кӏкӏуй,füst
78,Feuer::N,цӏа,tűz
79,Licht::N,канлъи,fény
80,Schatten::N,рагӏад,árnyék
81,Wetter::N,гьава-бакъ,idő
