,Concept_ID,da,pt
254,Lust::N,lyst,vontade
255,Geist::N,ånd,mente
256,Geist::N,ånd,espírito
257,Gedanke::N,tanke,ideia
258,Gedanke::N,tanke,pensamento
259,Gedächtnis::N,hukommelse,memória
260,Verstand::N,forstand,razão
261,Verstand::N,forstand,inteligência
262,Sinn::N,mening,sentido
263,Sinn::N,mening,significado
264,Sinn::N,betydning,sentido
265,Sinn::N,betydning,significado
266,Grund::N,grund,causa
267,Grund::N,grund,motivo
268,Wahrheit::N,sandhed,verdade
269,Gespräch::N,samtale,conversa
270,Gespräch::N,samtale,conversação
271,Märchen::N,eventyr,conto
272,Erzählung::N,fortælling,conto
273,Erzählung::N,fortælling,narrativa
274,Nachricht::N,efterretning,mensagem
275,Neuigkeit::N,nyhed,notícia
276,Neuigkeit::N,nyhed,novidade
277,Name::N,navn,nome
278,Rätsel::N,gåde,adivinha
279,Rede::N,tale,oração
280,Rede::N,tale,discurso
281,Sprache::N,sprog,língua
282,Stimme::N,stemme,voz
283,Wort::N,ord,palavra
284,Zeichen::N,tegn,marca
285,Ruf::N,råb,grito
286,Ruf::N,råb,chamada
287,Lärm::N,larm,ruído
288,Lärm::N,larm,barulho
289,Laut::N,lyd,som
290,Ton::N,tone,tom
291,Lied::N,sang,canção
292,Ruhe::N,ro,calma
293,Ruhe::N,ro,silêncio
294,Ruhe::N,hvile,calma
295,Ruhe::N,hvile,silêncio
296,Leute::N,folk,gente
297,Leute::N,folk,pessoas
298,Leute::N,mennesker,gente
299,Leute::N,mennesker,pessoas
300,Volk::N,folk,povo
301,Volk::N,folk,nação
302,Arbeit::N,arbejde,trabalho
303,Gast::N,gæst,hóspede
304,Gast::N,gæst,convidado
305,Geschenk::N,gave,prenda
306,Geschenk::N,gave,presente
307,Spiel::N,leg,jogo
308,Gesellschaft::N,selskab,companhia
309,Hilfe::N,hjælp,ajuda
310,Hilfe::N,hjælp,socorro
311,Freund::N,ven,amigo
312,Kamerad::N,kammerat,camarada
313,Angelegenheit::N,sag,assunto
314,Angelegenheit::N,anliggende,assunto
315,Anzahl::N,antal,número
316,Anzahl::N,antal,quantidade
317,Art::N,art,tipo
318,Art::N,art,espécie
319,Stück::N,stykke,pedaço
320,Teil::N,del,peça
321,Teil::N,del,parte
322,Hälfte::N,halvdel,metade
323,Kreis::N,cirkel,círculo
324,Kreuz::N,kors,cruz
325,Kreuz::N,kryds,cruz
326,Linie::N,linie,linha
327,Strich::N,streg,traço
328,Abstand::N,afstand,distância
329,Entfernung::N,afstand,distância
330,Gegend::N,egn,área
331,Gegend::N,egn,região
332,Platz::N,plads,lugar
333,Ort::N,sted,sítio
334,Seite::N,side,lado
335,Mitte::N,midte,meio
336,Gegenstand::N,genstand,objecto
337,Sache::N,sag,coisa
338,Rand::N,rand,bordo
339,Rand::N,rand,margem
340,Kante::N,kant,borda
341,Kante::N,kant,aresta
342,Ecke::N,hjørne,esquina
343,Spitze::N,spids,ponta
344,Ende::N,ende,cabo
345,Ende::N,ende,extremo
346,Loch::N,hul,furo
347,Loch::N,hul,buraco
348,Winkel::N,vinkel,canto
349,Winkel::N,vinkel,ângulo
350,Muster::N,mønster,padrão
351,Muster::N,mønster,desenho
352,Größe::N,størrelse,tamanho
353,Länge::N,længde,comprimento
354,Höhe::N,højde,altura
355,Höhe::N,højde,altitude
356,Gewicht::N,vægt,peso
357,Menge::N,mængde,quantidade
358,Haufen::N,bunke,pilha
359,Reihe::N,række,fila
360,Boot::N,båd,barco
361,Ruder::N,åre,remo
362,Schlitten::N,kælk,trenó
363,Schlitten::N,slæde,trenó
364,Ski::N,ski,esqui
365,Lagerfeuer::N,lejrbål,fogueira
366,Last::N,last,carga
367,Last::N,byrde,carga
368,Gang::N,gang,curso
369,Gang::N,gang,caminhada
370,Schritt::N,skridt,passo
371,Norden::N,nord,norte
372,Süden::N,syd,sul
373,Westen::N,vest,oeste
374,Westen::N,vest,ocidente
375,Osten::N,øst,este
376,Osten::N,øst,leste
377,Osten::N,øst,oriente
378,Holz::N,træ,madeira
379,Brett::N,bræt,tábua
380,Brett::N,bræt,prancha
381,Platte::N,plade,laje
382,Platte::N,plade,chapa
383,Stütze::N,støtte,apoio
384,Stütze::N,støtte,suporte
385,Stange::N,stang,vara
386,Stange::N,stang,barra
387,Stock::N,stok,pau
388,Stock::N,stok,bengala
389,Stab::N,stav,bastão
390,Rohr::N,rør,cano
391,Haus::N,hus,casa
392,Heim::N,hjem,lar
393,Heim::N,hjem,casa
394,Ofen::N,ovn,estufa
395,Ofen::N,ovn,aquecedor
396,Fußboden::N,gulv,piso
397,Tisch::N,bord,mesa
398,Stuhl::N,stol,cadeira
399,Wiege::N,vugge,berço
400,Bett::N,seng,cama
401,Regal::N,reol,estante
402,Regal::N,reol,prateleira
403,Kiste::N,kasse,caixa
404,Fenster::N,vindue,janela
405,Tür::N,dør,porta
406,Tor::N,port,portão
407,Zaun::N,stakit,cerca
408,Zaun::N,stakit,vedação
409,Dach::N,tag,telhado
410,Leiter::N,stige,escada
411,Leiter::N,stige,escada móvel
412,Besen::N,kost,vassoura
413,Spaten::N,spade,pá
414,Schaufel::N,skovl,pá
415,Gabel::N,gaffel,garfo
416,Löffel::N,ske,colher
417,Messer::N,kniv,faca
418,Nagel::N,søm,cravo
419,Netz::N,net,rede
420,Haken::N,krog,gancho
421,Griff::N,tag,asa
422,Griff::N,tag,cabo
423,Griff::N,håndtag,asa
424,Griff::N,håndtag,cabo
425,Schloss::N,lås,fechadura
426,Bild::N,billede,imagem
427,Figur::N,figur,figura
428,Puppe::N,dukke,boneca
429,Beutel::N,pose,saco
430,Beutel::N,pose,bolsa
431,Bündel::N,bylt,fardo
432,Bündel::N,bundt,fardo
433,Tasche::N,taske,saco
434,Tasche::N,taske,bolso
435,Eimer::N,spand,balde
436,Deckel::N,låg,tampa
437,Geschirr::N,husgeråd,louça
438,Sack::N,sæk,saca
439,Tasse::N,kop,chávena
440,Topf::N,gryde,tacho
441,Topf::N,gryde,panela
442,Kessel::N,kedel,caldeira
443,Essen::N,måltid,refeição
444,Nahrung::N,mad,comida
445,Nahrung::N,mad,alimento
446,Nahrung::N,næring,comida
447,Nahrung::N,næring,alimento
448,Speise::N,ret,prato
449,Fleisch::N,kød,carne
450,Getreide::N,korn,cereais
451,Brei::N,grød,puré
452,Brot::N,brød,pão
453,Scheibe::N,skive,fatia
454,Fett::N,fedt,banha
455,Fett::N,fedt,gordura
456,Butter::N,smør,manteiga
457,Öl::N,olie,azeite
458,Salz::N,salt,sal
459,Suppe::N,suppe,sopa
460,Suppe::N,suppe,caldo
461,Honig::N,honning,mel
462,Milch::N,mælk,leite
463,Tee::N,te,chá
464,Leder::N,skind,couro
465,Wolle::N,uld,lã
466,Stoff::N,stof,pano
467,Stoff::N,stof,tecido
468,Nadel::N,nål,agulha
469,Faden::N,tråd,fio
470,Knopf::N,knap,botão
471,Knoten::N,knude,nó
472,Farbe::N,farve,corante
473,Kleidung::N,påklædning,roupa
474,Kleidung::N,påklædning,vestuário
475,Hemd::N,skjorte,camisa
476,Kragen::N,krave,gola
477,Ärmel::N,ærme,manga
478,Hose::N,bukser,calça
479,Gürtel::N,bælte,cinto
480,Mütze::N,hue,boné
481,Mütze::N,hue,barrete
482,Schuh::N,sko,sapato
483,Stiefel::N,støvle,bota
484,Ring::N,ring,anel
485,Band::N,bånd,fita
486,Band::N,bånd,faixa
487,Kamm::N,kam,pente
488,Spiegel::N,spejl,espelho
489,Riemen::N,rem,correia
490,Schnur::N,snor,corda
491,Schnur::N,snor,cordel
492,Leine::N,snor,trela
493,Decke::N,tæppe,cobertor
494,Kissen::N,pude,almofada
495,Tuch::N,sjaltørklæde,pano
496,Handtuch::N,håndklæde,toalha
497,Kraft::N,kraft,força
498,Stärke::N,styrke,força
499,Gesundheit::N,sundhed,saúde
500,Krankheit::N,sygdom,doença
501,Krankheit::N,sygdom,enfermidade
502,Schmerz::N,smerte,dor
503,Wunde::N,sår,chaga
504,Wunde::N,sår,ferida
505,Fieber::N,feber,febre
506,Arznei::N,medicin,remédio
507,Arznei::N,lægemiddel,remédio
508,Brücke::N,bro,ponte
509,Brunnen::N,brønd,poço
510,Weide::N,græsgang,pastagem
511,Pfad::N,sti,senda
512,Pfad::N,sti,trilho
513,Weg::N,vej,caminho
514,Straße::N,gade,via
515,Straße::N,gade,estrada
516,Dorf::N,landsby,aldeia
517,Stadt::N,by,cidade
518,Brief::N,brev,carta
519,Buch::N,bog,livro
520,Buchstabe::N,bogstav,letra
521,Zeitung::N,avis,jornal
522,Leben::N,liv,vida
523,Tod::N,død,morte
524,Grab::N,grav,túmulo
525,Grab::N,grav,sepultura
526,Kirche::N,kirke,igreja
527,Sünde::N,synd,pecado
528,Gott::N,gud,deus
529,Arbeiter::N,arbejder,operário
530,Arbeiter::N,arbejder,trabalhador
531,Chef::N,chef,chefe
532,Chef::N,chef,patrão
533,Meister::N,mester,mestre
534,Arzt::N,læge,médico
535,Lehrer::N,lærer,professor
536,Geld::N,penge,dinheiro
537,Geschäft::N,forretning,negócio
538,Laden::N,butik,loja
539,Laden::N,forretning,loja
540,Preis::N,pris,preço
541,Ware::N,vare,mercadoria
542,Nutzen::N,nytte,proveito
543,Reichtum::N,rigdom,riqueza
544,Welt::N,verden,mundo
545,Land::N,land,país
546,Staat::N,stat,Estado
547,König::N,konge,rei
548,Macht::N,magt,poder
549,Macht::N,magt,potência
550,Grenze::N,grænse,fronteira
551,Krieg::N,krig,guerra
552,Feind::N,fjende,inimigo
553,Gewalt::N,vold,violência
554,Kampf::N,kamp,luta
555,Kampf::N,kamp,combate
556,Bogen[Waffe]::N,bue,arco
557,Pfeil::N,pil,seta
558,Pfeil::N,pil,flecha
559,Gewehr::N,gevær,espingarda
560,Fehler::N,fejl,erro
561,Fehler::N,fejl,falha
562,Lüge::N,løgn,mentira
563,Schaden::N,skade,dano
564,Schaden::N,skade,estrago
565,Unglück::N,uheld,desgraça
566,Unglück::N,ulykke,desgraça
567,Schuld::N,skyld,culpa
568,Alter::N,alder,idade
569,Schluss::N,slut,fim
570,Schluss::N,slutning,fim
571,Zeit::N,tid,tempo
572,Tag::N,dag,dia
573,Morgen::N,morgen,manhã
574,Mittag::N,middag,meio-dia
575,Abend::N,aften,noite
576,Abend::N,aften,tardinha
577,Nacht::N,nat,noite
578,Woche::N,uge,semana
579,Monat::N,måned,mês
580,Jahr::N,år,ano
581,Frühling::N,forår,primavera
582,Sommer::N,sommer,verão
583,Herbst::N,efterår,outono
584,Winter::N,vinter,inverno
585,Januar::N,januar,Janeiro
586,Februar::N,februar,Fevereiro
587,März::N,marts,Março
588,April::N,april,Abril
589,Mai::N,maj,Maio
590,Juni::N,juni,Junho
591,Juli::N,juli,Julho
592,August::N,august,Agosto
593,September::N,september,Setembro
594,Oktober::N,oktober,Outubro
595,November::N,november,Novembro
596,Dezember::N,december,Dezembro
597,Montag::N,mandag,segunda-feira
598,Dienstag::N,tirsdag,terça-feira
599,Mittwoch::N,onsdag,quarta-feira
600,Donnerstag::N,torsdag,quinta-feira
601,Freitag::N,fredag,sexta-feira
602,Samstag::N,lørdag,sábado
603,Sonntag::N,søndag,domingo
604,groß::A,stor,grande
605,klein::A,lille,pequeno
606,lang::A,lang,comprido
607,kurz::A,kort,curto
608,breit::A,bred,largo
609,schmal::A,smal,estreito
610,dicht::A,tæt,denso
611,dick[Gegenstand]::A,tyk,grosso
612,dünn::A,tynd,delgado
613,fein::A,fin,fino
614,fein::A,fin,subtil
615,fest::A,fast,firme
616,fest::A,fast,sólido
617,flach::A,flad,plano
618,glatt::A,glat,liso
619,hart::A,hård,duro
620,weich::A,blød,mole
621,rund::A,rund,redondo
622,spitz::A,spids,agudo
623,scharf::A,skarp,afiado
624,stumpf::A,sløv,rombo
625,stumpf::A,stump,rombo
626,schwer::A,tung,pesado
627,schön::A,skøn,belo
628,schön::A,skøn,bonito
629,heiß::A,hed,quente
630,warm::A,varm,quente
631,kalt::A,kold,frio
632,kühl::A,kølig,fresco
633,frisch::A,frisk,fresco
634,feucht::A,fugtig,húmido
635,nass::A,våd,molhado
636,trocken::A,tør,seco
637,voll::A,fuld,cheio
638,leer::A,tom,vazio
639,offen::A,åben,aberto
640,geschlossen::A,lukket,fechado
641,sauber::A,ren,limpo
642,schmutzig::A,snavset,sujo
643,roh::A,rå,cru
644,reif::A,moden,maduro
645,lecker::A,lækker,delicioso
646,süß::A,sød,doce
647,bitter::A,bitter,amargo
648,sauer::A,sur,azedo
649,hell::A,lys,claro
650,dunkel::A,mørk,escuro
651,dunkel::A,mørk,sombrio
652,schwarz::A,sort,preto
653,weiß::A,hvid,branco
654,rot::A,rød,vermelho
655,gelb::A,gul,amarelo
656,blau::A,blå,azul
657,grün::A,grøn,verde
658,grau::A,grå,cinzento
659,bunt::A,broget,colorido
660,billig::A,billig,barato
661,teuer::A,dyr,caro
662,wertvoll::A,værdifuld,valioso
663,wertvoll::A,værdifuld,precioso
664,blind::A,blind,cego
665,taub::A,døv,surdo
666,kräftig::A,kraftig,forte
667,kräftig::A,kraftig,poderoso
668,stark::A,stærk,forte
669,stark::A,stærk,robusto
670,schwach::A,svag,débil
671,fett::A,fed,gordo
672,schlank::A,slank,esbelto
673,hübsch::A,køn,giro
674,hübsch::A,køn,bonito
675,böse::A,ond,mau
676,böse::A,slem,mau
677,dumm::A,dum,parvo
678,dumm::A,dum,estúpido
679,faul::A,doven,preguiçoso
680,fleißig::A,flittig,aplicado
681,fleißig::A,flittig,diligente
682,geizig::A,gerrig,avarento
683,klug::A,klog,prudente
684,klug::A,klog,inteligente
685,geschickt::A,dygtig,hábil
686,geschickt::A,behændig,hábil
687,lieb::A,rar,caro
688,lieb::A,rar,querido
689,lustig::A,lystig,alegre
690,sanft::A,blid,suave
691,sanft::A,blid,brando
692,hungrig::A,sulten,faminto
693,krank::A,syg,doente
694,krank::A,syg,enfermo
695,nackt::A,nøgen,nu
696,nackt::A,nøgen,despido
697,traurig::A,bedrøvet,triste
698,lebendig::A,levende,vivo
699,gut::A,god,bom
700,schlecht::A,dårlig,mau
701,schlecht::A,dårlig,ruim
702,richtig::A,rigtig,justo
703,richtig::A,rigtig,correcto
704,schlimm::A,slem,mau
705,schlimm::A,slem,grave
706,wahr::A,sand,verdadeiro
707,alt::A,gammel,velho
708,alt::A,gammel,antigo
709,neu::A,ny,novo
710,ehemalig::A,forhenværende,antigo
711,alt[Lebewesen]::A,gammel,velho
712,jung::A,ung,jovem
713,arm::A,fattig,pobre
714,reich::A,rig,rico
715,bekannt::A,kendt,conhecido
716,berühmt::A,berømt,famoso
717,berühmt::A,berømt,célebre
718,fremd::A,fremmed,alheio
719,fremd::A,fremmed,estranho
720,verschieden::A,forskellig,diverso
721,verschieden::A,forskellig,diferente
722,nah::A,nær,próximo
723,fern::A,fjern,remoto
724,fern::A,fjern,distante
725,linker::A,venstre,esquerdo
726,rechter::A,højre,direito
727,anderer::A,anden,outro
728,erster::A,første,primeiro
729,zweiter::A,anden,segundo
730,dritter::A,tredje,terceiro
731,letzter::A,sidste,final
732,letzter::A,sidste,último
733,allein::ADV,alene,só
734,auf einmal::ADV,på én gang,de vez
735,zusammen::ADV,sammen,juntos
736,lange::ADV,længe,muito tempo
737,plötzlich::ADV,pludselig,de repente
738,sofort::ADV,straks,imediatamente
739,später::ADV,senere,mais tarde
740,jetzt::ADV,nu,agora
741,heute::ADV,i dag,hoje
742,morgen::ADV,i morgen,amanhã
743,bald::ADV,snart,logo
744,bald::ADV,snart,breve
745,dann::ADV,så,então
746,dann::ADV,så,depois
747,gestern::ADV,i går,ontem
748,einst::ADV,engang,antigamente
749,damals::ADV,dengang,então
750,danach::ADV,derefter,logo
751,danach::ADV,derefter,depois
752,vorher::ADV,før,antes
753,vorher::ADV,forud,antes
754,zuerst::ADV,først,primeiro
755,einmal::ADV,en gang,uma vez
756,manchmal::ADV,sommetider,às vezes
757,oft::ADV,ofte,muitas vezes
758,immer::ADV,altid,sempre
759,niemals::ADV,aldrig,nunca
760,hier::ADV,her,cá
761,hier::ADV,her,aqui
762,hierhin::ADV,hid,para cá
763,hierhin::ADV,herhen,para cá
764,von hier::ADV,herfra,daqui
765,dort::ADV,der,lá
766,dort::ADV,der,ali
767,dorthin::ADV,derhen,lá
768,dorthin::ADV,derhen,para lá
769,geradeaus::ADV,lige ud,em frente
770,vorwärts::ADV,fremad,avante
771,rückwärts::ADV,baglæns,para trás
772,zurück::ADV,tilbage,atrás
773,unten::ADV,nede,debaixo
774,unten::ADV,nede,em baixo
775,unten::ADV,forneden,debaixo
776,unten::ADV,forneden,em baixo
777,hinab::ADV,ned,para baixo
778,hinab::ADV,nedad,para baixo
779,oben::ADV,oppe,em cima
780,oben::ADV,ovenpå,em cima
781,hinauf::ADV,op,para cima
782,hinauf::ADV,opad,para cima
783,überall::ADV,overalt,em toda parte
784,nicht::ADV,ikke,não
785,ein wenig::ADV,lidt,um pouco
786,ein wenig::ADV,lidt,um bocado
787,kaum::ADV,knap,apenas
788,kaum::ADV,næppe,apenas
789,sehr::ADV,meget,muito
790,so::ADV,så,tão
791,so::ADV,så,assim
792,noch::ADV,endnu,ainda
793,nur::ADV,kun,só
794,nur::ADV,kun,apenas
795,nur::ADV,kun,somente
796,nur::ADV,bare,só
797,nur::ADV,bare,apenas
798,nur::ADV,bare,somente
799,schon::ADV,alt,já
800,schon::ADV,allerede,já
801,wieder::ADV,igen,outra vez
802,vergebens::ADV,forgæves,em vão
803,vor::PRP,foran,diante de
804,vor::PRP,uden for,diante de
805,hinter::PRP,bag,atrás de
806,hinter::PRP,bagved,atrás de
807,unter::PRP,under,sob
808,unter::PRP,under,debaixo de
809,durch::PRP,gennem,por
810,durch::PRP,gennem,através de
811,durch::PRP,igennem,por
812,durch::PRP,igennem,através de
813,neben::PRP,ved siden af,junto de
814,neben::PRP,ved siden af,ao lado de
815,zwischen::PRP,mellem,entre
816,wegen::PRP,på grund af,por
817,wegen::PRP,på grund af,por causa de
818,dies::PRN,dette,isto
819,das::PRN,det,isso
820,das::PRN,det,aquilo
821,alles::PRN,alt,todo
822,ich::PRN,jeg,eu
823,du::PRN,du,tu
824,er::PRN,han,ele
825,wir::PRN,vi,nós
826,ihr::PRN,I,vós
827,ihr::PRN,I,vocês
828,sie::PRN,de,eles
829,was::FPRN,hvad,quê
830,wer::FPRN,hvem,quem
831,wo::FADV,hvor,onde
832,wohin::FADV,hvorhen,aonde
833,wohin::FADV,hvorhen,para onde
834,wie::FADV,hvordan,como
835,warum::FADV,hvorfor,porquê
836,warum::FADV,hvorfor,por que
837,wieviel::FNUM,hvor meget,quanto
838,eins::NUM,én,um
839,zwei::NUM,to,dois
840,drei::NUM,tre,três
841,vier::NUM,fire,quatro
842,fünf::NUM,fem,cinco
843,sechs::NUM,seks,seis
844,sieben::NUM,syv,sete
845,acht::NUM,otte,oito
846,neun::NUM,ni,nove
847,zehn::NUM,ti,dez
848,elf::NUM,elleve,onze
849,zwölf::NUM,tolv,doze
850,zwanzig::NUM,tyve,vinte
851,dreißig::NUM,tredive,trinta
852,vierzig::NUM,fyrre,quarenta
853,vierzig::NUM,fyrretyve,quarenta
854,fünfzig::NUM,halvtreds,cinquenta
855,sechzig::NUM,tres,sessenta
856,siebzig::NUM,halvfjerds,setenta
857,achtzig::NUM,firs,oitenta
858,neunzig::NUM,halvfems,noventa
859,hundert::NUM,hundrede,cem
860,hundert::NUM,hundrede,cento
861,tausend::NUM,tusind,mil
862,und::CNJ,og,e
