,Concept_ID,da,pt
0,Auge::N,øje,olho
1,Ohr::N,øre,orelha
2,Nase::N,næse,nariz
3,Mund::N,mund,boca
4,Zahn::N,tand,dente
5,Zunge::N,tunge,língua
6,Lippe::N,læbe,lábio
7,Wange::N,kind,face
8,Gesicht::N,ansigt,cara
9,Gesicht::N,ansigt,rosto
10,Stirn::N,pande,testa
11,Haar::N,hår,cabelo
12,Schnurrbart::N,overskæg,bigode
13,Bart::N,skæg,barba
14,Kinn::N,hage,queixo
15,Kiefer[Anatomie]::N,kæbe,maxila
16,Kiefer[Anatomie]::N,kæbe,mandíbula
17,Kehle::N,strube,garganta
18,Hals::N,hals,colo
19,Hals::N,hals,pescoço
20,Genick::N,nakke,nuca
21,Kopf::N,hoved,cabeça
22,Rücken::N,ryg,dorso
23,Rücken::N,ryg,costas
24,Bauch::N,mave,ventre
25,Bauch::N,mave,barriga
26,Nabel::N,navle,umbigo
27,Busen::N,barm,seio
28,Brust::N,bryst,peito
29,Schulter::N,skulder,ombro
30,Arm::N,arm,braço
31,Ellenbogen::N,albue,cotovelo
32,Hand::N,hånd,mão
33,Handfläche::N,håndflade,palma
34,Handfläche::N,håndflade,palma da mão
35,Finger::N,finger,dedo
36,Fingernagel::N,fingernegl,unha
37,Nagel[Anatomie]::N,negl,unha
38,Zeh::N,tå,dedo do pé
39,Fuß::N,fod,pé
40,Ferse::N,hæl,calcanhar
41,Knie::N,knæ,joelho
42,Oberschenkel::N,lår,coxa
43,Bein::N,ben,perna
44,Körper::N,krop,corpo
45,Körper::N,legeme,corpo
46,Haut::N,hud,pele
47,Blut::N,blod,sangue
48,Ader::N,åre,veia
49,Sehne::N,sene,tendão
50,Knochen::N,ben,osso
51,Gehirn::N,hjerne,cérebro
52,Herz::N,hjerte,coração
53,Magen::N,mave,estômago
54,Leber::N,lever,fígado
55,Atem::N,ånde,fôlego
56,Hunger::N,sult,fome
57,Träne::N,tåre,lágrima
58,Geschmack::N,smag,gosto
59,Geruch::N,lugt,odor
60,Geruch::N,lugt,cheiro
61,Schlaf::N,søvn,sono
62,Traum::N,drøm,sonho
63,Himmel::N,himmel,céu
64,Sonne::N,sol,sol
65,Mond::N,måne,lua
66,Stern::N,stjerne,estrela
67,Luft::N,luft,ar
68,Wind::N,vind,vento
69,Welle::N,bølge,onda
70,Wasser::N,vand,água
71,Stein::N,sten,pedra
72,Boden::N,jord,solo
73,Erde::N,jord,terra
74,Staub::N,støv,pó
75,Rauch::N,røg,fumo
76,Funke::N,gnist,faísca
77,Funke::N,gnist,centelha
78,Feuer::N,ild,fogo
79,Licht::N,lys,luz
80,Schatten::N,skygge,sombra
81,Wetter::N,vejr,tempo
82,Nebel::N,tåge,nevoeiro
83,Wolke::N,sky,nuvem
84,Regen::N,regn,chuva
85,Schnee::N,sne,neve
86,Eis::N,is,gelo
87,Frost::N,frost,gelo
88,Frost::N,frost,geada
89,Kälte::N,kulde,frio
90,Hitze::N,hede,ardor
91,Raureif::N,rimfrost,geada
92,Regenbogen::N,regnbue,arco-iris
93,Donner::N,torden,trovão
94,Strömung::N,strømning,corrente
95,Tropfen::N,dråbe,gota
96,Schaum::N,skum,espuma
97,Schmutz::N,snavs,sujidade
98,Schmutz::N,snavs,imundície
99,See::N,sø,lago
100,Sumpf::N,sump,charco
101,Sumpf::N,sump,pântano
102,Moor::N,mose,pântano
103,Wiese::N,eng,prado
104,Wald::N,skov,bosque
105,Wald::N,skov,floresta
106,Hügel::N,høj,colina
107,Hügel::N,bakke,colina
108,Anhöhe::N,høj,alto
109,Anhöhe::N,høj,outeiro
110,Anhöhe::N,bakke,alto
111,Anhöhe::N,bakke,outeiro
112,Berg::N,bjerg,monte
113,Berg::N,bjerg,montanha
114,Gipfel::N,top,pico
115,Höhle::N,hule,caverna
116,Abhang::N,skrænt,encosta
117,Abhang::N,skråning,encosta
118,Quelle::N,kilde,fonte
119,Bach::N,bæk,regato
120,Bach::N,bæk,ribeiro
121,Fluss::N,flod,rio
122,Ufer::N,bred,beira
123,Küste::N,kyst,costa
124,Festland::N,fastland,terra firme
125,Meer::N,hav,mar
126,Bucht::N,bugt,baía
127,Insel::N,ø,ilha
128,Blume::N,blomst,flor
129,Gras::N,græs,erva
130,Wurzel::N,rod,raiz
131,Baum::N,træ,árvore
132,Stamm::N,stamme,tronco
133,Rinde::N,bark,casca
134,Ast::N,gren,ramo
135,Zweig::N,kvist,galho
136,Blatt::N,blad,folha
137,Birke::N,birk,bétula
138,Kiefer[Baum]::N,fyrretræ,pinheiro
139,Weide[Baum]::N,piletræ,salgueiro
140,Tanne::N,gran,abeto
141,Horn::N,horn,corno
142,Horn::N,horn,chifre
143,Feder::N,fjer,pena
144,Fell::N,skind,pele
145,Flügel::N,vinge,asa
146,Klaue::N,klov,pata
147,Kralle::N,klo,unha
148,Kralle::N,klo,garra
149,Schwanz::N,hale,rabo
150,Schwanz::N,hale,cauda
151,Ei::N,æg,ovo
152,Nest::N,rede,ninho
153,Bau::N,bo,toca
154,Bau::N,bo,covil
155,Tier::N,dyr,animal
156,Herde::N,flok,rebanho
157,Kuh::N,ko,vaca
158,Bulle::N,tyr,touro
159,Pferd::N,hest,cavalo
160,Schaf::N,får,ovelha
161,Schwein::N,gris,porco
162,Hund::N,hund,cão
163,Katze::N,kat,gata
164,Bär::N,bjørn,urso
165,Eichhörnchen::N,egern,esquilo
166,Elch::N,elg,alce
167,Fuchs::N,ræv,raposa
168,Hase::N,hare,lebre
169,Maus::N,mus,rato
170,Wolf::N,ulv,lobo
171,Vogel::N,fugl,ave
172,Vogel::N,fugl,pássaro
173,Schwarm::N,sværm,bando
174,Schwarm::N,sværm,enxame
175,Huhn::N,høne,galinha
176,Hahn::N,hane,galo
177,Gans::N,gås,ganso
178,Adler::N,ørn,águia
179,Ente::N,and,pata
180,Eule::N,ugle,mocho
181,Eule::N,ugle,coruja
182,Kranich::N,trane,grou
183,Krähe::N,krage,gralha
184,Kuckuck::N,gøg,cuco
185,Schwan::N,svane,cisne
186,Fisch::N,fisk,peixe
187,Barsch::N,aborre,perca
188,Hecht::N,gedde,lúcio
189,Schlange[Tier]::N,slange,serpente
190,Wurm::N,orm,verme
191,Spinne::N,edderkop,aranha
192,Ameise::N,myre,formiga
193,Laus::N,lus,piolho
194,Mücke::N,myg,mosquito
195,Fliege::N,flue,mosca
196,Schmetterling::N,sommerfugl,borboleta
197,Beere::N,bær,bago
198,Apfel::N,æble,maçã
199,Pilz::N,svamp,fungo
200,Pilz::N,svamp,cogumelo
201,Zwiebel::N,løg,cebola
202,Saat::N,sæd,sementeira
203,Korn::N,korn,grão
204,Heu::N,hø,feno
205,Schale::N,skræl,casca
206,Grube::N,grav,cova
207,Grube::N,grav,fossa
208,Falle::N,fælde,armadilha
209,Schlinge::N,snare,laço
210,Spur::N,spor,pista
211,Spur::N,spor,vestígio
212,Asche::N,aske,cinza
213,Dreck::N,snavs,sujidade
214,Eisen::N,jern,ferro
215,Gold::N,guld,ouro
216,Silber::N,sølv,prata
217,Kohle::N,kul,carvão
218,Glas::N,glas,vidro
219,Lehm::N,ler,barro
220,Lehm::N,ler,argila
221,Sand::N,sand,areia
222,Mensch::N,mennesge,homem
223,Mensch::N,mennesge,pessoa
224,Mann::N,mand,homem
225,Frau::N,kvinde,mulher
226,Kind::N,barn,filho
227,Kind::N,barn,criança
228,Junge::N,dreng,rapaz
229,Junge::N,dreng,menino
230,Mädchen::N,pige,menina
231,Mädchen::N,pige,rapariga
232,Familie::N,familie,família
233,Großvater::N,bedstefar,avô
234,Großmutter::N,bedstemor,avó
235,Eltern::N,forældre,pais
236,Vater::N,far,pai
237,Mutter::N,mor,mãe
238,Sohn::N,søn,filho
239,Tochter::N,datter,filha
240,Bruder::N,bror,irmão
241,Schwester::N,søster,irmã
242,Onkel::N,onkel,tio
243,Tante::N,tante,tia
244,Ehemann::N,ægtemand,esposo
245,Ehefrau::N,hustru,esposa
246,Freude::N,glæde,prazer
247,Freude::N,glæde,alegria
248,Gelächter::N,latter,risada
249,Gelächter::N,latter,gargalhada
250,Glück::N,lykke,felicidade
251,Kummer::N,sorg,aflição
252,Kummer::N,sorg,desgosto
253,Wunsch::N,ønske,desejo
