,Concept_ID,ps,de
0,Auge::N,سترګه,Auge
1,Ohr::N,غوږ,Ohr
2,Nase::N,پوزه,Nase
3,Mund::N,خوله,Mund
4,Zahn::N,غاښ,Zahn
5,Zunge::N,جبه,Zunge
6,Lippe::N,شونډه,Lippe
7,Wange::N,باړخو,Wange
8,Gesicht::N,مخ,Gesicht
9,Stirn::N,تندی,Stirn
10,Stirn::N,وچولی,Stirn
11,Haar::N,وېښته,Haar
12,Schnurrbart::N,برېت,Schnurrbart
13,Bart::N,ږیره,Bart
14,Kinn::N,زنه,Kinn
15,Kiefer[Anatomie]::N,جامه,Kiefer
16,Kehle::N,غاړه,Kehle
17,Hals::N,غاړه,Hals
18,Genick::N,ورمېږ,Genick
19,Kopf::N,سر,Kopf
20,Rücken::N,شا,Rücken
21,Bauch::N,نس,Bauch
22,Bauch::N,ګېډه,Bauch
23,Nabel::N,نوم,Nabel
24,Busen::N,تی,Busen
25,Brust::N,سینه,Brust
26,Schulter::N,اوږه,Schulter
27,Arm::N,لاس,Arm
28,Ellenbogen::N,څنګل,Ellenbogen
29,Hand::N,لاس,Hand
30,Handfläche::N,ورغوی,Handfläche
31,Finger::N,ګوته,Finger
32,Fingernagel::N,نوک,Fingernagel
33,Nagel[Anatomie]::N,نوک,Nagel
34,Zeh::N,ګوته,Zeh
35,Fuß::N,پښه,Fuß
36,Ferse::N,پونده,Ferse
37,Knie::N,زنګون,Knie
38,Oberschenkel::N,پتون,Oberschenkel
39,Bein::N,پښه,Bein
40,Körper::N,ځان,Körper
41,Haut::N,پوټکی,Haut
42,Blut::N,وینه,Blut
43,Ader::N,رګ,Ader
44,Sehne::N,پله,Sehne
45,Knochen::N,هډوکی,Knochen
46,Gehirn::N,ماغزه,Gehirn
47,Herz::N,زړه,Herz
48,Magen::N,معده,Magen
49,Leber::N,ينه,Leber
50,Leber::N,ځیګر,Leber
51,Atem::N,نفس,Atem
52,Hunger::N,ولږه,Hunger
53,Träne::N,اوښکه,Träne
54,Geschmack::N,مزه,Geschmack
55,Geschmack::N,خوند,Geschmack
56,Geruch::N,بوی,Geruch
57,Schlaf::N,خوب,Schlaf
58,Traum::N,خوب,Traum
59,Himmel::N,اسمان,Himmel
60,Sonne::N,لمر,Sonne
61,Mond::N,سپوږمۍ,Mond
62,Stern::N,ستوری,Stern
63,Luft::N,هوا,Luft
64,Wind::N,ورښ,Wind
65,Welle::N,موج,Welle
66,Wasser::N,اوبه,Wasser
67,Stein::N,ډبره,Stein
68,Boden::N,مځکه,Boden
69,Erde::N,خاوره,Erde
70,Staub::N,ګرد,Staub
71,Staub::N,خاوره,Staub
72,Rauch::N,دود,Rauch
73,Rauch::N,لوګی,Rauch
74,Funke::N,سپرغۍ,Funke
75,Feuer::N,اور,Feuer
76,Licht::N,رڼا,Licht
77,Schatten::N,سیوری,Schatten
78,Wetter::N,هوا,Wetter
79,Nebel::N,لړه,Nebel
80,Wolke::N,ورېځ,Wolke
81,Regen::N,وریا,Regen
82,Regen::N,باران,Regen
83,Schnee::N,واوره,Schnee
84,Eis::N,یخ,Eis
85,Eis::N,کنګل,Eis
86,Frost::N,یخ,Frost
87,Kälte::N,ساړه,Kälte
88,Hitze::N,تودوخي,Hitze
89,Raureif::N,سپینه پرخه,Raureif
90,Regenbogen::N,بوډۍ ټال,Regenbogen
91,Regenbogen::N,سره زرغونه,Regenbogen
92,Donner::N,تالنده,Donner
93,Strömung::N,بهېدنه,Strömung
94,Tropfen::N,قطره,Tropfen
95,Tropfen::N,څاڅکی,Tropfen
96,Schaum::N,ځګ,Schaum
97,Schmutz::N,ناپاکي,Schmutz
98,See::N,جهیل,See
99,Sumpf::N,جبه,Sumpf
100,Moor::N,جبه,Moor
101,Wiese::N,چمن,Wiese
102,Wiese::N,شنېلی,Wiese
103,Wald::N,ځنګل,Wald
104,Hügel::N,تپه,Hügel
105,Anhöhe::N,غونډۍ,Anhöhe
106,Berg::N,غ‍‍‍‍‍ر,Berg
107,Gipfel::N,څوکه,Gipfel
108,Höhle::N,کاز,Höhle
109,Abhang::N,لمن,Abhang
110,Quelle::N,چینه,Quelle
111,Bach::N,واله,Bach
112,Fluss::N,سیند,Fluss
113,Ufer::N,غاړه,Ufer
114,Küste::N,ساحل,Küste
115,Festland::N,وچه,Festland
116,Meer::N,بحر,Meer
117,Meer::N,سمندر,Meer
118,Bucht::N,کارۍ,Bucht
119,Insel::N,ټاپو,Insel
120,Insel::N,جزيره,Insel
121,Blume::N,ګل,Blume
122,Gras::N,واښه,Gras
123,Wurzel::N,ریښه,Wurzel
124,Baum::N,ونه,Baum
125,Stamm::N,ډډ,Stamm
126,Rinde::N,پوستکی,Rinde
127,Ast::N,ښاخ,Ast
128,Zweig::N,څانګه,Zweig
129,Blatt::N,پاڼه,Blatt
130,Birke::N,توس,Birke
131,Kiefer[Baum]::N,نښتر,Kiefer
132,Weide[Baum]::N,وله,Weide
133,Tanne::N,ناجو,Tanne
134,Horn::N,ښکر,Horn
135,Feder::N,بڼکه,Feder
136,Fell::N,پوستکی,Fell
137,Flügel::N,وزر,Flügel
138,Klaue::N,پنجه,Klaue
139,Klaue::N,منګول,Klaue
140,Kralle::N,پنجه,Kralle
141,Kralle::N,منګول,Kralle
142,Schwanz::N,لکۍ,Schwanz
143,Ei::N,وۍ,Ei
144,Ei::N,هګۍ,Ei
145,Nest::N,جاله,Nest
146,Bau::N,کاز,Bau
147,Tier::N,ژوی,Tier
148,Tier::N,حیوان,Tier
149,Herde::N,رمه,Herde
150,Herde::N,غېله,Herde
151,Kuh::N,غوا,Kuh
152,Bulle::N,غوئی,Bulle
153,Pferd::N,آس,Pferd
154,Schaf::N,پسه,Schaf
155,Schwein::N,سرکوزی,Schwein
156,Hund::N,سپی,Hund
157,Katze::N,پشه,Katze
158,Bär::N,خرس,Bär
159,Eichhörnchen::N,خړ لمی,Eichhörnchen
160,Elch::N,ګوزن,Elch
161,Fuchs::N,سپلم,Fuchs
162,Hase::N,سوی,Hase
163,Maus::N,مږک,Maus
164,Wolf::N,لېوه,Wolf
165,Vogel::N,مرغه,Vogel
166,Schwarm::N,سېل,Schwarm
167,Huhn::N,چرګه,Huhn
168,Hahn::N,چرګ,Hahn
169,Gans::N,بته,Gans
170,Adler::N,عقاب,Adler
171,Ente::N,ایلۍ,Ente
172,Eule::N,ګونګی,Eule
173,Kranich::N,کلنګ,Kranich
174,Krähe::N,کارغه,Krähe
175,Kuckuck::N,فاخته,Kuckuck
176,Schwan::N,قو,Schwan
177,Fisch::N,کب,Fisch
178,Fisch::N,ماهی,Fisch
179,Schlange[Tier]::N,مار,Schlange
180,Wurm::N,چینجی,Wurm
181,Spinne::N,غڼه,Spinne
182,Spinne::N,تارکښ,Spinne
183,Ameise::N,مېږی,Ameise
184,Laus::N,سپږه,Laus
185,Mücke::N,ماشی,Mücke
186,Fliege::N,مچ,Fliege
187,Schmetterling::N,پتنګ,Schmetterling
188,Beere::N,مېوۍ,Beere
189,Apfel::N,مڼه,Apfel
190,Pilz::N,خرېړی,Pilz
191,Zwiebel::N,پیاز,Zwiebel
192,Saat::N,تخم,Saat
193,Korn::N,تخم,Korn
194,Korn::N,دانه,Korn
195,Heu::N,بوس,Heu
196,Heu::N,پروړه,Heu
197,Schale::N,پوستکی,Schale
198,Grube::N,کنده,Grube
199,Falle::N,دام,Falle
200,Falle::N,لومه,Falle
201,Schlinge::N,کړۍ,Schlinge
202,Spur::N,نښه,Spur
203,Asche::N,آس,Asche
204,Asche::N,ایره,Asche
205,Dreck::N,ناپاکي,Dreck
206,Eisen::N,اوسپنه,Eisen
207,Gold::N,سره زر,Gold
208,Silber::N,نقره,Silber
209,Silber::N,سپین زر,Silber
210,Kohle::N,سکور,Kohle
211,Kohle::N,سکاره,Kohle
212,Glas::N,ښيښه,Glas
213,Lehm::N,خټه,Lehm
214,Sand::N,شګه,Sand
215,Mensch::N,انسان,Mensch
216,Mann::N,سړی,Mann
217,Mann::N,نارینه,Mann
218,Frau::N,ښځه,Frau
219,Kind::N,بچی,Kind
220,Kind::N,ماشوم,Kind
221,Junge::N,هلک,Junge
222,Mädchen::N,نجلۍ,Mädchen
223,Familie::N,کورنۍ,Familie
224,Großvater::N,بابا,Großvater
225,Großmutter::N,انا,Großmutter
226,Eltern::N,مور او پلار,Eltern
227,Vater::N,پلار,Vater
228,Mutter::N,مور,Mutter
229,Sohn::N,زوی,Sohn
230,Tochter::N,لور,Tochter
231,Bruder::N,ورور,Bruder
232,Schwester::N,خور,Schwester
233,Onkel::N,تره,Onkel
234,Onkel::N,ماما,Onkel
235,Tante::N,خاله,Tante
236,Ehemann::N,مېړه,Ehemann
237,Ehefrau::N,مېرمن,Ehefrau
238,Freude::N,خوشحالي,Freude
239,Gelächter::N,خندا,Gelächter
240,Glück::N,بخت,Glück
241,Kummer::N,غم,Kummer
242,Wunsch::N,هيله,Wunsch
243,Wunsch::N,غوښتنه,Wunsch
244,Lust::N,شوق,Lust
245,Lust::N,مینه,Lust
246,Geist::N,روح,Geist
247,Gedanke::N,فکر,Gedanke
248,Gedächtnis::N,یاد,Gedächtnis
249,Gedächtnis::N,حافظه,Gedächtnis
250,Verstand::N,عقل,Verstand
251,Verstand::N,شعور,Verstand
252,Sinn::N,معنی,Sinn
253,Grund::N,علت,Grund
254,Grund::N,اساس,Grund
255,Wahrheit::N,حقیقت,Wahrheit
256,Gespräch::N,مرکه,Gespräch
257,Gespräch::N,خبرې اترې,Gespräch
258,Märchen::N,افسانه,Märchen
259,Erzählung::N,قصه,Erzählung
260,Erzählung::N,کیسه,Erzählung
261,Nachricht::N,خبر,Nachricht
262,Neuigkeit::N,نوی خبر,Neuigkeit
263,Name::N,نوم,Name
264,Rätsel::N,کیسۍ,Rätsel
265,Rätsel::N,چیستان,Rätsel
266,Rede::N,وینا,Rede
267,Sprache::N,ژبه,Sprache
268,Stimme::N,غږ,Stimme
269,Stimme::N,اواز,Stimme
270,Wort::N,لغت,Wort
271,Wort::N,کلمه,Wort
272,Zeichen::N,نښه,Zeichen
273,Zeichen::N,اشاره,Zeichen
274,Ruf::N,ږغ,Ruf
275,Ruf::N,بلنه,Ruf
276,Lärm::N,غالمغال,Lärm
277,Laut::N,ږغ,Laut
278,Ton::N,اواز,Ton
279,Lied::N,غزله,Lied
280,Lied::N,سندره,Lied
281,Ruhe::N,ارامي,Ruhe
282,Leute::N,خلک,Leute
283,Volk::N,ولس,Volk
284,Arbeit::N,کار,Arbeit
285,Gast::N,مېلمه,Gast
286,Geschenk::N,تحفه,Geschenk
287,Geschenk::N,سوغات,Geschenk
288,Spiel::N,لوبه,Spiel
289,Gesellschaft::N,ډله,Gesellschaft
290,Hilfe::N,کومک,Hilfe
291,Hilfe::N,مرسته,Hilfe
292,Freund::N,ملګری,Freund
293,Kamerad::N,انډيوال,Kamerad
294,Angelegenheit::N,موضوع,Angelegenheit
295,Anzahl::N,شمېر,Anzahl
296,Anzahl::N,تعداد,Anzahl
297,Art::N,ډول,Art
298,Stück::N,ټوټه,Stück
299,Teil::N,برخه,Teil
300,Hälfte::N,نیم,Hälfte
301,Kreis::N,دایره,Kreis
302,Kreuz::N,صلیب,Kreuz
303,Linie::N,خط,Linie
304,Linie::N,لیکه,Linie
305,Strich::N,کرښه,Strich
306,Abstand::N,فاصله,Abstand
307,Entfernung::N,واټن,Entfernung
