,Concept_ID,az,eu
0,Auge::N,göz,begi
1,Ohr::N,qulaq,belarri
2,Nase::N,burun,sudur
3,Mund::N,ağız,aho
4,Zahn::N,diş,hortz
5,Zunge::N,dil,mihi
6,Lippe::N,dodaq,ezpain
7,Wange::N,yanaq,masail
8,Gesicht::N,üz,aurpegi
9,Stirn::N,alın,bekoki
10,Haar::N,saç,ile
11,Haar::N,saç,bilo
12,Schnurrbart::N,bığ,bibote
13,Schnurrbart::N,bığ,sudurpeko
14,Bart::N,saqqal,bizar
15,Kinn::N,çənə,kokots
16,Kiefer[Anatomie]::N,çənə,masailezur
17,Kehle::N,boğaz,eztarri
18,Hals::N,boyun,sama
19,Genick::N,ənsə,garondo
20,Kopf::N,baş,buru
21,Rücken::N,bel,bizkar
22,Bauch::N,qarın,sabel
23,Nabel::N,göbək,zilbor
24,Busen::N,məmə,titi
25,Busen::N,məmə,ugatz
26,Brust::N,döş,bular
27,Schulter::N,çiyin,besaburu
28,Arm::N,qol,beso
29,Ellenbogen::N,dirsək,ukondo
30,Hand::N,əl,esku
31,Handfläche::N,ovuc,ahur
32,Finger::N,barmaq,hatz
33,Fingernagel::N,barmaq dırnağı,azazkal
34,Nagel[Anatomie]::N,dırnak,azazkal
35,Zeh::N,ayaq barmağı,behatz
36,Fuß::N,ayaq,oin
37,Ferse::N,daban,orpo
38,Ferse::N,daban,oinburu
39,Knie::N,diz,belaun
40,Oberschenkel::N,bud,izter
41,Bein::N,qıç,zango
42,Körper::N,əndam,soin
43,Haut::N,dəri,azal
44,Blut::N,qan,odol
45,Ader::N,damar,zain
46,Sehne::N,vətər,gihar-zain
47,Knochen::N,sümük,hezur
48,Gehirn::N,beyin,garun
49,Gehirn::N,beyin,burmuin
50,Herz::N,ürək,bihotz
51,Magen::N,mədə,urdail
52,Leber::N,qara ciyər,gibel
53,Atem::N,nəfəs,hats
54,Atem::N,nəfəs,arnasa
55,Hunger::N,aclıq,gose
56,Träne::N,göz yaşı,malko
57,Geschmack::N,tam,dasta
58,Geschmack::N,ləzzət,dasta
59,Geruch::N,qoxu,usain
60,Schlaf::N,yuxu,lo
61,Traum::N,röya,amets
62,Himmel::N,göy,zeru
63,Himmel::N,səma,zeru
64,Sonne::N,günəş,eguzki
65,Mond::N,ay,ilargi
66,Stern::N,ulduz,izar
67,Luft::N,hava,aire
68,Wind::N,yel,haize
69,Wind::N,külək,haize
70,Welle::N,dalğa,uhin
71,Welle::N,dalğa,olatu
72,Wasser::N,su,ur
73,Stein::N,daş,harri
74,Boden::N,yer,lur
75,Boden::N,yer,zoru
76,Boden::N,zəmin,lur
77,Boden::N,zəmin,zoru
78,Erde::N,yer torpaq,lur
79,Staub::N,toz,hauts
80,Rauch::N,tüstü,ke
81,Funke::N,qığılcım,zirta
82,Funke::N,qığılcım,txinparta
83,Feuer::N,od,su
84,Licht::N,işıq,argi
85,Schatten::N,kölgə,itzal
86,Schatten::N,kölgə,geriza
87,Wetter::N,hava,eguraldi
88,Nebel::N,duman,laino
89,Wolke::N,bulud,hodei
90,Regen::N,yağış,euri
91,Regen::N,yağmur,euri
92,Schnee::N,qar,elur
93,Eis::N,buz,horma
94,Frost::N,ayaz,izotzaldi
95,Kälte::N,soyuq,hotz
96,Hitze::N,coşğunluq,bero
97,Raureif::N,qırov,antzigar
98,Regenbogen::N,göy qurşağı,ostadar
99,Regenbogen::N,göy qurşağı,ortzadar
100,Donner::N,göy gurultusu,ostots
101,Donner::N,göy gurultusu,ihurtzuri
102,Strömung::N,axın,laster
103,Tropfen::N,damcı,xorta
104,Schaum::N,köpük,bits
105,Schmutz::N,çamır,lohi
106,Schmutz::N,çamır,zikin
107,See::N,göl,laku
108,See::N,göl,aintzira
109,Sumpf::N,bataqlıq,zingira
110,Moor::N,bataqlıq,zohikaztegi
