,Concept_ID,hi,os
0,Auge::N,आँख,цӕст
1,Auge::N,चक्षु,цӕст
2,Ohr::N,कान,хъус
3,Ohr::N,कर्ण,хъус
4,Nase::N,नाक,фындз
5,Nase::N,नासा,фындз
6,Mund::N,मुख,дзых
7,Mund::N,मुँह,дзых
8,Zahn::N,दंत,дӕндаг
9,Zahn::N,दाँत,дӕндаг
10,Zunge::N,जीभ,ӕвзаг
11,Zunge::N,ज़बान,ӕвзаг
12,Zunge::N,जिह्वा,ӕвзаг
13,Lippe::N,ओंठ,был
14,Lippe::N,होंठ,был
15,Wange::N,गाल,рус
16,Wange::N,गाल,уадул
17,Wange::N,गाल,ӕхсӕрфарс
18,Wange::N,कपोल,рус
19,Wange::N,कपोल,уадул
20,Wange::N,कपोल,ӕхсӕрфарс
21,Gesicht::N,मुँह,цӕсгом
22,Gesicht::N,चेहरा,цӕсгом
23,Stirn::N,माथा,ных
24,Stirn::N,मस्तक,ных
25,Haar::N,बाल,хил
26,Schnurrbart::N,मूँछें,рихи
27,Bart::N,दाढ़ी,зачъе
28,Kinn::N,चिबुक,роцъо
29,Kiefer[Anatomie]::N,जबड़ा,ӕфсӕр
30,Kehle::N,गला,хъуыр
31,Hals::N,गला,къубал
32,Hals::N,गरदन,къубал
33,Genick::N,गरदन,къӕбут
34,Genick::N,ग्रीवा,къӕбут
35,Kopf::N,सिर,сӕр
36,Kopf::N,शीर्ष,сӕр
37,Rücken::N,पीठ,фӕсонтӕ
38,Bauch::N,उदर,гуыбын
39,Nabel::N,नाभि,бикъ
40,Nabel::N,ढोंढी,бикъ
41,Busen::N,कुच,дзидзи
42,Busen::N,स्तन,дзидзи
43,Brust::N,वक्ष,риу
44,Schulter::N,कंधा,уӕхск
45,Schulter::N,स्कंध,уӕхск
46,Arm::N,बाँह,цонг
47,Arm::N,बाज़ू,цонг
48,Ellenbogen::N,कुहनी,рæмбын
49,Hand::N,हाथ,къух
50,Hand::N,हस्त,къух
51,Handfläche::N,हथेली,армытъӕпӕн
52,Finger::N,उँगली,ӕнруылдз
53,Finger::N,अँगुली,ӕнруылдз
54,Fingernagel::N,नख,ных
55,Fingernagel::N,नाख़ून,ных
56,Nagel[Anatomie]::N,नख,ных
57,Nagel[Anatomie]::N,नाख़ून,ных
58,Zeh::N,उँगली,къух
59,Zeh::N,पाँव की उँगली,къух
60,Fuß::N,चरण,фад
61,Fuß::N,पाँव,фад
62,Ferse::N,एड़ी,зӕвӕт
63,Knie::N,जानु,уӕраг
64,Knie::N,घुटना,уӕраг
65,Oberschenkel::N,उरु,агъд
66,Bein::N,टाँग,зӕнг
67,Körper::N,तन,буар
68,Körper::N,देह,буар
69,Körper::N,शरीर,буар
70,Haut::N,चर्म,царм
71,Haut::N,त्वचा,царм
72,Blut::N,लहू,туг
73,Blut::N,ख़ून,туг
74,Ader::N,रग,дадзин
75,Ader::N,रग,тугдадзин
76,Ader::N,शिरा,дадзин
77,Ader::N,शिरा,тугдадзин
78,Sehne::N,कंडरा,хъиутæ
79,Sehne::N,कंडरा,нуар
80,Sehne::N,स्नायु,хъиутæ
81,Sehne::N,स्नायु,нуар
82,Knochen::N,अस्थि,стӕг
83,Gehirn::N,दिमाग़,магъз
84,Gehirn::N,मस्तिष्क,магъз
85,Herz::N,दिल,зӕрдӕ
86,Herz::N,हृदय,зӕрдӕ
87,Magen::N,मेदा,ахсӕн
88,Magen::N,अमाशय,ахсӕн
89,Leber::N,जिगर,игæр
90,Leber::N,यकृत्,игæр
91,Atem::N,दम,улӕфт
92,Atem::N,साँस,улӕфт
93,Atem::N,श्वास,улӕфт
94,Hunger::N,भूख,стонг
95,Hunger::N,क्षुधा,стонг
96,Träne::N,आँसू,цæссыг
97,Träne::N,अश्रु,цæссыг
98,Geschmack::N,स्वाद,ад
99,Geschmack::N,ज़ायक़ा,ад
100,Geruch::N,बू,смаг
101,Geruch::N,गंध,смаг
102,Schlaf::N,नींद,хуыссӕг
103,Schlaf::N,निद्रा,хуыссӕг
104,Traum::N,सपना,фын
105,Traum::N,स्वप्न,фын
106,Himmel::N,आकाश,арв
107,Himmel::N,आकाश,уӕларв
108,Himmel::N,आसमान,арв
109,Himmel::N,आसमान,уӕларв
110,Sonne::N,रवि,хур
111,Sonne::N,सूरज,хур
112,Sonne::N,सूर्य,хур
113,Mond::N,चाँद,мӕй
114,Mond::N,चंद्र,мӕй
115,Stern::N,तारा,стъалы
116,Stern::N,सितारा,стъалы
117,Luft::N,हवा,уӕлдӕф
118,Luft::N,वायु,уӕлдӕф
119,Wind::N,पाद,дымгӕ
120,Welle::N,लहर,уылӕн
121,Welle::N,तरंग,уылӕн
122,Wasser::N,जल,дон
123,Wasser::N,पानी,дон
124,Stein::N,पत्थर,дур
125,Boden::N,मिट्टी,зӕхх
126,Erde::N,भूमि,сыджыт
127,Erde::N,ज़मीन,сыджыт
128,Staub::N,धूल,рыг
129,Rauch::N,धूआँ,фӕздӕг
130,Rauch::N,धुम्र,фӕздӕг
131,Funke::N,चिनगारी,цӕхӕр
132,Funke::N,स्फुलिंग,цӕхӕр
133,Feuer::N,आग,зынг
134,Feuer::N,आतिश,зынг
135,Feuer::N,अग्नि,зынг
136,Licht::N,रोशनी,рухс
137,Licht::N,प्रकाश,рухс
138,Schatten::N,छाया,аууон
139,Schatten::N,परछाई,аууон
140,Wetter::N,ऋतु,боныхъӕд
141,Wetter::N,मौसम,боныхъӕд
142,Nebel::N,धुँध,мигъ
143,Nebel::N,कुहरा,мигъ
144,Wolke::N,मेघ,ӕврагъ
145,Wolke::N,अभ्र,ӕврагъ
146,Regen::N,मेंह,уарын
147,Regen::N,बारिश,уарын
148,Schnee::N,हिम,мит
149,Schnee::N,बर्फ़,мит
150,Eis::N,हिम,их
151,Eis::N,बर्फ़,их
152,Frost::N,ठंड,ихæн
153,Kälte::N,सर्दी,уазал
154,Kälte::N,शीतलता,уазал
155,Hitze::N,ताप,ӕнтӕф
156,Hitze::N,गरमी,ӕнтӕф
157,Raureif::N,पाला,халас
158,Regenbogen::N,इंद्र-धनुष,арвырон
159,Regenbogen::N,इंद्र-धनुष,арвырдын
160,Donner::N,गरज,æрвнæрын
161,Donner::N,मेघ-गर्जन,æрвнæрын
162,Strömung::N,बहाव,цыд
163,Strömung::N,प्रवाह,цыд
164,Tropfen::N,बूँद,æртах
165,Schaum::N,झाग,фынк
166,Schmutz::N,गंद,цъыф
167,Schmutz::N,कीचड़,цъыф
168,See::N,झील,цад
169,See::N,सरोवर,цад
170,Sumpf::N,दलदल,цъыфдзаст
171,Sumpf::N,धँसान,цъыфдзаст
172,Moor::N,झाबर,цъыфдзаст
173,Moor::N,धँसान,цъыфдзаст
174,Wiese::N,घास-स्थल,уыгӕрдӕн
175,Wald::N,जंगल,хъӕд
176,Hügel::N,टीला,обау
177,Hügel::N,टीला,къуыбыр
178,Hügel::N,पहाड़,обау
179,Hügel::N,पहाड़,къуыбыр
180,Anhöhe::N,टीला,уæлвæз
181,Anhöhe::N,टीला,уæлхох
182,Anhöhe::N,पहाड़ी,уæлвæз
183,Anhöhe::N,पहाड़ी,уæлхох
184,Berg::N,पहाड़,хох
185,Gipfel::N,शिखर,цъупп
186,Höhle::N,गुहा,лӕгӕт
187,Höhle::N,गुफ़ा,лӕгӕт
188,Abhang::N,ढाल,къул
189,Abhang::N,ढलान,къул
190,Quelle::N,चश्मा,суадон
191,Bach::N,सोता,мӕсчъыдон
192,Bach::N,नदिका,мӕсчъыдон
193,Fluss::N,नदी,дон
194,Fluss::N,नदी,цӕугӕдон
195,Fluss::N,सरिता,дон
196,Fluss::N,सरिता,цӕугӕдон
197,Ufer::N,तट,был
198,Ufer::N,किनारा,был
199,Küste::N,समुद्र-तट,донбыл
200,Festland::N,महाद्वीप,сурзæхх
201,Meer::N,सागर,денджыз
202,Meer::N,समुद्र,денджыз
203,Bucht::N,खाड़ी,донбакæлæн
204,Insel::N,टापू,сакъадах
205,Insel::N,द्वीप,сакъадах
206,Blume::N,फूल,дидинӕг
207,Blume::N,पुष्प,дидинӕг
208,Gras::N,घास,кӕрдӕг
209,Wurzel::N,मूल,уидаг
210,Baum::N,पेड़,бӕлас
211,Baum::N,वृक्ष,бӕлас
212,Stamm::N,धड़,хӕтӕл
213,Rinde::N,छाल,цъар
214,Rinde::N,वल्कल,цъар
215,Ast::N,डाल,арх
216,Ast::N,शाखा,арх
217,Zweig::N,टहनी,къалиу
218,Blatt::N,पत्र,сыф
219,Blatt::N,पत्ता,сыф
220,Birke::N,भूर्ज,бæрз
