,Concept_ID,kn,mdf
0,Auge::N,ಕಣ್ಣು,сельме
1,Ohr::N,ಕಿವಿ,пиле
2,Nase::N,ಮೂಗು,шалхка
3,Mund::N,ಬಾಯಿ,курга
4,Zahn::N,ಹಲ್ಲು,пей
5,Zunge::N,ನಾಲಿಗೆ,кяль
6,Lippe::N,ತುಟಿ,търва́
7,Wange::N,ಗಲ್ಲ,щёка
8,Gesicht::N,ಮುಖ,шама
9,Stirn::N,ಹಣೆ,коня
10,Haar::N,ಕೂದಲು,шя́ярь
11,Schnurrbart::N,ಮೀಸೆ,уса́
12,Bart::N,ಗಡ್ಡ,сакал
13,Kinn::N,ಗದ್ದ,ула
14,Kiefer[Anatomie]::N,ದವಡೆ,саласка
15,Kehle::N,ಗಂಟಲು,кълдома
16,Kehle::N,ಗಂಟಲು,кърга́парь
17,Hals::N,ಕೊರಳು,сялдаз
18,Genick::N,ಹಿಂಗತ್ತು,шовонь
19,Kopf::N,ತಲೆ,пря
20,Rücken::N,ಬೆನ್ನು,копорь
21,Bauch::N,ಹೊಟ್ಟೆ,пеке
22,Nabel::N,ಹೊಕ್ಕುಳು,по́кон
23,Busen::N,ಸ್ತನ,потя
24,Brust::N,ಎದೆ,мяште
25,Schulter::N,ಭುಜ,лафту
26,Arm::N,ತೋಳು,кядь
27,Ellenbogen::N,ಮೊಣಕೈ,кенерьба́карь
28,Hand::N,ಕೈ,кядь
29,Handfläche::N,ಅಂಗೈ,кядьлапш
30,Finger::N,ಕೈಬೆರಳು,сур
31,Fingernagel::N,ಉಗುರು,кенже
32,Nagel[Anatomie]::N,ಉಗುರು,кенже
33,Zeh::N,ಕಾಲ್ಬೆರಳು,пильгосу́р
34,Fuß::N,ಪಾದ,пильге
35,Fuß::N,ಪಾದ,пильгелапа
36,Ferse::N,ಹಿಮ್ಮಡಿ,кочкяря
37,Knie::N,ಮಂಡಿ,эль
38,Knie::N,ಮಂಡಿ,пълма́нжа
39,Oberschenkel::N,ತೊಡೆ,пильгепукша
40,Bein::N,ಕಾಲು,пильге
41,Körper::N,ದೇಹ,ро́нга
42,Körper::N,ದೇಹ,по́нда
43,Haut::N,ಚರ್ಮ,киське
44,Blut::N,ರಕ್ತ,вер
45,Ader::N,ನರ,сан
46,Ader::N,ನರ,верза́н
47,Sehne::N,ನರ,коське сан
48,Knochen::N,ಮೂಳೆ,пакарь
49,Gehirn::N,ಮಿದುಳು,уй
50,Herz::N,ಹೃದಯ,седи
51,Magen::N,ಉದರ,коткърдазь
52,Leber::N,ಯಕೃತ್ತು,макса
53,Atem::N,ಉಸಿರು,лекома
54,Atem::N,ಉಸಿರು,ваймонь тарксема
55,Hunger::N,ಹಸಿವು,вачеши
56,Träne::N,ಕಣ್ಣೀರು,сельмове́дь
57,Geschmack::N,ರುಚಿ,таньф
58,Geruch::N,ವಾಸನೆ,шине
59,Schlaf::N,ನಿದ್ರೆ,удома́
60,Traum::N,ಕನಸು,он
61,Himmel::N,ಬಾನು,менель
62,Sonne::N,ಸೂರ್ಯ,ши
63,Mond::N,ಚಂದ್ರ,ков
64,Stern::N,ಚುಕ್ಕಿ,тяште
65,Luft::N,ವಾಯು,кожф
66,Wind::N,ಗಾಳಿ,варма
67,Welle::N,ಅಲೆ,тавла
68,Wasser::N,ನೀರು,ведь
69,Stein::N,ಕಲ್ಲು,кев
70,Boden::N,ನೆಲ,мода
71,Boden::N,ನೆಲ,потмакс
72,Erde::N,ಭೂಮಿ,мода
73,Erde::N,ಭೂಮಿ,мастор
74,Staub::N,ದೂಳು,пуль
75,Rauch::N,ಹೊಗೆ,качам
76,Funke::N,ಕಿಡಿ,ця́тка
77,Feuer::N,ಬೆಂಕಿ,тол
78,Licht::N,ಬೆಳಕು,ва́лда
79,Schatten::N,ನೆರಳು,цильф
80,Wetter::N,ಹವ,уша
81,Nebel::N,ಮಂಜು,тума́н
82,Wolke::N,ಮೋಡ,ковол
83,Regen::N,ಮಳೆ,пизем
84,Schnee::N,ಹಿಮ,лов
85,Eis::N,ಮಂಜುಗಡ್ಡೆ,эй
86,Frost::N,ಮಂಜು,ке́льме
87,Kälte::N,ಹಿಮ,якшама
88,Hitze::N,ಉಷ್ಣ,пси
89,Raureif::N,ಇಬ್ಬನಿ,леш
90,Regenbogen::N,ಇಂದ್ರಚಾಪ,а́тямъёнга
91,Donner::N,ಗುಡುಗು,атям
92,Strömung::N,ಪ್ರವಾಹ,шудема́
93,Tropfen::N,ತೊಟ್ಟು,путькс
94,Tropfen::N,ತೊಟ್ಟು,пътняфкс
95,Schaum::N,ನೊರೆ,шов
96,Schmutz::N,ಕಸ,ърда́з
97,See::N,ಸರೋವರ,эрьхке
98,Sumpf::N,ಜೌಗುಸ್ಥಳ,шяй
99,Moor::N,ಬಂಜರು ಭೂಮಿ,шяй
100,Wiese::N,ಹುಲ್ಲುಗಾವಲು,луга
101,Wald::N,ಕಾಡು,вирь
102,Hügel::N,ಗುಡ್ಡೆ,губо́р
103,Hügel::N,ಗುಡ್ಡೆ,пандоня
104,Anhöhe::N,ದಿಬ್ಬ,губо́р
105,Berg::N,ಮಲೆ,панда
106,Berg::N,ಪರ್ವತ,панда
107,Gipfel::N,ಶೃಂಗ,пря
108,Höhle::N,ಗುಹೆ,у́нда
109,Abhang::N,ಇಳಿಜಾರು,па́нда ша́ма
110,Quelle::N,ಮೂಲ,эшиня
111,Bach::N,ತೊರೆ,шудерькс
112,Fluss::N,ನದಿ,ляй
113,Ufer::N,ತೀರ,търва́
114,Küste::N,ದಂಡೆ,ляйтърва́
115,Festland::N,ಭೂಮಿ,мода
116,Meer::N,ಕಡಲು,моря
117,Bucht::N,ಖಾರಿ,ведьуське
118,Insel::N,ದ್ವೀಪ,цёнга
119,Blume::N,ಸುಮ,панчф
120,Gras::N,ಹುಲ್ಲು,тише
121,Wurzel::N,ಬೇರು,юр
122,Wurzel::N,ಬೇರು,ункс
123,Baum::N,ಮರ,шуфта
124,Stamm::N,ಕಾಂಡ,ро́нга
125,Rinde::N,ತೂಗಟಿ,кер
126,Ast::N,ಶಾಖೆ,морга
127,Zweig::N,ರೆಂಬೆ,тарад
128,Blatt::N,ಎಲೆ,лопа
129,Birke::N,ಬರ್ಚ್ ಮರ,ке́лу
130,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,пиче
131,Weide[Baum]::N,ವಿಲೋಮರ,каль
132,Tanne::N,ಭದ್ರದಾರು,куз
133,Horn::N,ಕೊಂಬು,сюра
134,Feder::N,ಪುಕ್ಕ,толга
135,Fell::N,ರೋಮ,кедь
136,Flügel::N,ರೆಕ್ಕೆ,паця
137,Klaue::N,ಪಂಜ,кенже
138,Kralle::N,ಉಗುರು,кенже
139,Schwanz::N,ಬಾಲ,пула
140,Ei::N,ಮೊಟ್ಟೆ,ал
141,Nest::N,ಗೂಡು,пиза
142,Bau::N,ಅಡಗುದಾಣ,пиза
143,Tier::N,ಪ್ರಾಣಿ,жува́та
144,Herde::N,ಗುಂಪು,нал
145,Herde::N,ಗುಂಪು,стада
146,Kuh::N,ಹಸು,скал
147,Kuh::N,ಹಸು,тракс
148,Bulle::N,ಗೂಳಿ,бука
149,Pferd::N,ಕುದುರೆ,лишме
150,Schaf::N,ಕುರಿ,уча́
151,Schwein::N,ಹಂದಿ,тува
152,Hund::N,ನಾಯಿ,пине
