,Concept_ID,sk,lv
0,Auge::N,oko,син
1,Auge::N,oko,acs
2,Ohr::N,ucho,пель
3,Ohr::N,ucho,auss
4,Nase::N,nos,ныр
5,Nase::N,nos,deguns
6,Mund::N,ústa,вом
7,Mund::N,ústa,mute
8,Zahn::N,zub,пинь
9,Zahn::N,zub,zobs
10,Zunge::N,jazyk,кыв
11,Zunge::N,jazyk,mēle
12,Lippe::N,pera,вом дор
13,Lippe::N,pera,lūpa
14,Wange::N,líce,бан
15,Wange::N,líce,vaigs
16,Gesicht::N,tvár,чужӧм
17,Gesicht::N,tvár,seja
18,Gesicht::N,tvár,ģīmis
19,Gesicht::N,obličaj,чужӧм
20,Gesicht::N,obličaj,seja
21,Gesicht::N,obličaj,ģīmis
22,Stirn::N,čelo,плеш
23,Stirn::N,čelo,кымӧс
24,Stirn::N,čelo,piere
25,Haar::N,vlas,си
26,Haar::N,vlas,юрси
27,Haar::N,vlas,mats
28,Schnurrbart::N,fúzy,ус
29,Schnurrbart::N,fúzy,пыртсим
30,Schnurrbart::N,fúzy,ūsas
31,Bart::N,brada,тош
32,Bart::N,brada,bārda
33,Kinn::N,brada,тшӧка
34,Kinn::N,brada,zods
35,Kinn::N,brada,smakrs
36,Kiefer[Anatomie]::N,čeľusť,черлы
37,Kiefer[Anatomie]::N,čeľusť,алака лы
38,Kiefer[Anatomie]::N,čeľusť,вомкӧтш лы
39,Kiefer[Anatomie]::N,čeľusť,žoklis
40,Kehle::N,hrdlo,голя
41,Kehle::N,hrdlo,rīkle
42,Hals::N,krk,сьылі
43,Hals::N,krk,kakls
44,Genick::N,väzy,юрбӧр
45,Genick::N,väzy,балябӧж
46,Genick::N,väzy,sprands
47,Kopf::N,hlava,юр
48,Kopf::N,hlava,galva
49,Rücken::N,chrbát,мыш
50,Rücken::N,chrbát,mugura
51,Bauch::N,brucho,рушку
52,Bauch::N,brucho,vēders
53,Nabel::N,pupok,гӧг
54,Nabel::N,pupok,naba
55,Busen::N,prsia,морӧс
56,Busen::N,prsia,krūts
57,Brust::N,hruď,морӧс
58,Brust::N,hruď,krūts
59,Schulter::N,plece,пельпом
60,Schulter::N,plece,plecs
61,Arm::N,rameno,ки
62,Arm::N,rameno,roka
63,Arm::N,rameno,delms
64,Ellenbogen::N,lakeť,гырддза
65,Ellenbogen::N,lakeť,elkonis
66,Hand::N,ruka,ки
67,Hand::N,ruka,roka
68,Hand::N,ruka,plauksta
69,Handfläche::N,dlaň,ки пыдӧс
70,Handfläche::N,dlaň,delna
71,Handfläche::N,dlaň,plauksta
72,Finger::N,prst,чунь
73,Finger::N,prst,pirksts
74,Fingernagel::N,necht,гыж
75,Fingernagel::N,necht,nags
76,Nagel[Anatomie]::N,necht,гыж
77,Nagel[Anatomie]::N,necht,nags
78,Zeh::N,prst na nohe,кок чунь
79,Zeh::N,prst na nohe,pirksts
80,Fuß::N,noha,кок
81,Fuß::N,noha,kāja
82,Ferse::N,päta,кокбӧр
83,Ferse::N,päta,papēdis
84,Knie::N,koleno,пидзӧс
85,Knie::N,koleno,celis
86,Oberschenkel::N,stehno,лядьвей
87,Oberschenkel::N,stehno,бек
88,Oberschenkel::N,stehno,ciska
89,Oberschenkel::N,stehno,augšstilbs
90,Bein::N,noha,кок
91,Bein::N,noha,kāja
92,Körper::N,telo,туша
93,Körper::N,telo,вывтыр
94,Körper::N,telo,miesa
95,Körper::N,telo,ķermenis
96,Haut::N,koža,ку
97,Haut::N,koža,āda
98,Blut::N,krv,вир
99,Blut::N,krv,asins
100,Ader::N,žila,сӧн
101,Ader::N,žila,asinsvads
102,Sehne::N,šľacha,вез
103,Sehne::N,šľacha,dzīsla
104,Knochen::N,kosť,лы
105,Knochen::N,kosť,kauls
106,Gehirn::N,mozog,вем
107,Gehirn::N,mozog,smadzenes
108,Herz::N,srdce,сьӧлӧм
109,Herz::N,srdce,sirds
110,Magen::N,žalúdok,кынӧм
111,Magen::N,žalúdok,kuņģis
112,Leber::N,pečeň,мус
113,Leber::N,pečeň,aknas
114,Atem::N,dych,лов
115,Atem::N,dych,elpa
116,Hunger::N,hlad,тшыг
117,Hunger::N,hlad,bads
118,Hunger::N,hlad,izsalkums
119,Träne::N,slza,синва
120,Träne::N,slza,asara
121,Geschmack::N,chuť,кӧр
122,Geschmack::N,chuť,чӧсмӧс
123,Geschmack::N,chuť,garša
124,Geruch::N,pach,зын
125,Geruch::N,pach,дук
126,Geruch::N,pach,smaka
127,Schlaf::N,spánok,узьӧм
128,Schlaf::N,spánok,miegs
129,Traum::N,sen,вӧт
130,Traum::N,sen,вӧтасьӧм
131,Traum::N,sen,sapnis
132,Himmel::N,nebo,енэж
133,Himmel::N,nebo,debess
134,Sonne::N,slnko,шонді
135,Sonne::N,slnko,saule
136,Mond::N,mesiac,тӧлысь
137,Mond::N,mesiac,mēness
138,Stern::N,hviezda,кодзув
139,Stern::N,hviezda,zvaigzne
140,Luft::N,vzduch,сынӧд
141,Luft::N,vzduch,gaiss
142,Wind::N,vietor,тӧв
143,Wind::N,vietor,vējš
144,Welle::N,vlna,гы
145,Welle::N,vlna,vilnis
146,Wasser::N,voda,ва
147,Wasser::N,voda,ūdens
148,Stein::N,kameň,из
149,Stein::N,kameň,akmens
150,Boden::N,zem,му
151,Boden::N,zem,augsne
152,Boden::N,pôda,му
153,Boden::N,pôda,augsne
154,Erde::N,zem,му
155,Erde::N,zem,му-ва
156,Erde::N,zem,zeme
157,Staub::N,prach,бус
158,Staub::N,prach,putekļi
159,Rauch::N,dym,тшын
160,Rauch::N,dym,dūmi
161,Funke::N,iskra,кинь
162,Funke::N,iskra,би кинь
163,Funke::N,iskra,dzirkstele
164,Feuer::N,oheň,би
165,Feuer::N,oheň,uguns
166,Licht::N,svetlo,югӧр
167,Licht::N,svetlo,gaisma
168,Schatten::N,tieň,вуджӧр
169,Schatten::N,tieň,ēna
170,Wetter::N,počasie,поводдя
171,Wetter::N,počasie,laiks
172,Nebel::N,hmla,ру
173,Nebel::N,hmla,онь
174,Nebel::N,hmla,migla
175,Wolke::N,oblak,кымӧр
176,Wolke::N,oblak,mākonis
177,Wolke::N,mračno,кымӧр
178,Wolke::N,mračno,mākonis
179,Regen::N,dážď,зэр
180,Regen::N,dážď,lietus
181,Schnee::N,sneh,лым
182,Schnee::N,sneh,sniegs
183,Eis::N,ľad,йи
184,Eis::N,ľad,ledus
185,Frost::N,mráz,кӧдзыд
186,Frost::N,mráz,sals
187,Kälte::N,zima,кӧдзыд
188,Kälte::N,zima,saltums
189,Kälte::N,zima,aukstums
190,Kälte::N,chlad,кӧдзыд
191,Kälte::N,chlad,saltums
192,Kälte::N,chlad,aukstums
193,Hitze::N,horúčava,пӧсь
194,Hitze::N,horúčava,гожӧд
195,Hitze::N,horúčava,karstums
196,Raureif::N,srieň,пуж
197,Raureif::N,srieň,гыӧр
198,Raureif::N,srieň,sarma
199,Raureif::N,inovať,пуж
200,Raureif::N,inovať,гыӧр
201,Raureif::N,inovať,sarma
202,Regenbogen::N,dúha,ӧшкамӧшка
203,Regenbogen::N,dúha,varavīksne
204,Donner::N,hrom,гым
205,Donner::N,hrom,pērkons
206,Strömung::N,prúdenie,ва ныр
207,Strömung::N,prúdenie,визувтӧм
208,Strömung::N,prúdenie,straume
209,Strömung::N,prúdenie,strāvojums
210,Tropfen::N,kvapka,войт
211,Tropfen::N,kvapka,lāse
212,Schaum::N,pena,быг
213,Schaum::N,pena,быгзьӧм
214,Schaum::N,pena,putas
215,Schmutz::N,špina,няйт
216,Schmutz::N,špina,dubļi
217,Schmutz::N,nečistota,няйт
218,Schmutz::N,nečistota,dubļi
219,See::N,jazero,ты
220,See::N,jazero,ezers
221,Sumpf::N,bahno,гыбад
222,Sumpf::N,bahno,кад
223,Sumpf::N,bahno,dumbrājs
224,Sumpf::N,bahno,staignājs
225,Moor::N,močiar,нюр
226,Moor::N,močiar,purvs
227,Moor::N,močiar,muklājs
228,Wiese::N,lúka,видз
229,Wiese::N,lúka,pļava
230,Wald::N,les,вӧр
231,Wald::N,les,mežs
232,Wald::N,hora,вӧр
233,Wald::N,hora,mežs
234,Hügel::N,vŕšok,дзиб
235,Hügel::N,vŕšok,мыльк
236,Hügel::N,vŕšok,нӧрыс
237,Hügel::N,vŕšok,paugurs
238,Anhöhe::N,výšina,мыльк
239,Anhöhe::N,výšina,нӧрыс
240,Anhöhe::N,výšina,paugurs
241,Anhöhe::N,vyvýšenina,мыльк
242,Anhöhe::N,vyvýšenina,нӧрыс
243,Anhöhe::N,vyvýšenina,paugurs
244,Berg::N,hora,чой
245,Berg::N,hora,керӧс
246,Berg::N,hora,kalns
247,Gipfel::N,vrchol,чук
248,Gipfel::N,vrchol,virsotne
249,Höhle::N,jaskyňa,рудӧг
250,Höhle::N,jaskyňa,ala
251,Abhang::N,úbočie,ньывк
252,Abhang::N,úbočie,бокша
253,Abhang::N,úbočie,nogāze
254,Quelle::N,prameň,ӧшмӧс
255,Quelle::N,prameň,avots
256,Bach::N,potok,шор
257,Bach::N,potok,urga
258,Bach::N,potok,strauts
259,Fluss::N,rieka,ю
260,Fluss::N,rieka,upe
261,Ufer::N,breh,вадор
262,Ufer::N,breh,krasts
263,Küste::N,pobrežie,вадор
264,Küste::N,pobrežie,piekraste
265,Festland::N,pevnina,му
266,Festland::N,pevnina,sauszeme
267,Meer::N,more,саридз
268,Meer::N,more,jūra
269,Bucht::N,záliv,куръя
270,Bucht::N,záliv,līcis
271,Bucht::N,zátoka,куръя
272,Bucht::N,zátoka,līcis
273,Insel::N,ostrov,ді
274,Insel::N,ostrov,sala
275,Blume::N,kvet,дзоридз
276,Blume::N,kvet,puķe
277,Blume::N,kvet,zieds
278,Blume::N,kvetina,дзоридз
279,Blume::N,kvetina,puķe
280,Blume::N,kvetina,zieds
281,Gras::N,tráva,турун
282,Gras::N,tráva,zāle
283,Wurzel::N,koreň,вуж
284,Wurzel::N,koreň,sakne
285,Baum::N,strom,пу
286,Baum::N,strom,koks
287,Stamm::N,kmeň,пучер
288,Stamm::N,kmeň,stumbrs
289,Rinde::N,kôra,кырсь
290,Rinde::N,kôra,miza
291,Ast::N,konár,ув
292,Ast::N,konár,zars
293,Zweig::N,vetva,вож
294,Zweig::N,vetva,nozare
295,Blatt::N,list,кор
296,Blatt::N,list,lapa
297,Birke::N,breza,кыдз
298,Birke::N,breza,bērzs
299,Kiefer[Baum]::N,sosna,пожӧм
300,Kiefer[Baum]::N,sosna,priede
301,Kiefer[Baum]::N,borovica,пожӧм
302,Kiefer[Baum]::N,borovica,priede
303,Weide[Baum]::N,vŕba,бадь
304,Weide[Baum]::N,vŕba,kārkls
305,Tanne::N,jedľa,коз
306,Tanne::N,jedľa,egle
307,Horn::N,roh,сюр
