,Concept_ID,ko,be
0,Auge::N,눈,вока
1,Ohr::N,귀,вуха
2,Nase::N,코,нос
3,Mund::N,입,рот
4,Zahn::N,이,зуб
5,Zunge::N,혀,язык
6,Lippe::N,입술,губа
7,Wange::N,뺨,шчака
8,Gesicht::N,얼굴,твар
9,Stirn::N,이마,лоб
10,Haar::N,털,волас
11,Haar::N,털,валасы
12,Schnurrbart::N,윗수몀,вус
13,Schnurrbart::N,윗수몀,вусы
14,Schnurrbart::N,코밑수염,вус
15,Schnurrbart::N,코밑수염,вусы
16,Bart::N,수엄,барада
17,Kinn::N,아래턱,падбародак
18,Kiefer[Anatomie]::N,턱,сківіца
19,Kehle::N,인후,горла
20,Hals::N,목,шыя
21,Genick::N,먹덜이,патыліца
22,Kopf::N,머리,галава
23,Rücken::N,든,спіна
24,Bauch::N,배,жывот
25,Nabel::N,배꼽,пупок
26,Busen::N,가슴속,грудзі
27,Brust::N,가슴,грудзі
28,Schulter::N,어깨,плячо
29,Arm::N,팔,рука
30,Ellenbogen::N,팔쿰치,локаць
31,Hand::N,손,кісць
32,Handfläche::N,손바닥,далонь
33,Finger::N,속가락,палец
34,Fingernagel::N,손톱,ногаць
35,Nagel[Anatomie]::N,손톱,ногаць
36,Zeh::N,발가락,палец
37,Fuß::N,발,нага
38,Ferse::N,발꿈치,пята
39,Ferse::N,발꿈치,пятка
40,Knie::N,무릎,калена
41,Oberschenkel::N,허벅다리,бядро
42,Oberschenkel::N,허벅다리,сцягно
43,Bein::N,다리,нага
44,Körper::N,구간,цела
45,Haut::N,살갗,скура
46,Blut::N,피,кроў
47,Ader::N,정맥,вена
48,Ader::N,정맥,сасуд
49,Sehne::N,현,жыла
50,Sehne::N,현,цеціва
51,Sehne::N,현,сухажылле
52,Knochen::N,뼈,косць
53,Gehirn::N,뇌,мозг
54,Gehirn::N,뇌수,мозг
55,Herz::N,염통,сэрца
56,Magen::N,위,страўнік
57,Leber::N,간,печань
58,Atem::N,기식,дыханне
59,Hunger::N,공복,голад
60,Träne::N,눈물,сляза
61,Geschmack::N,기호,смак
62,Geruch::N,냄새,пах
63,Schlaf::N,수면,сон
64,Traum::N,쿰,сон
65,Himmel::N,하늘,неба
66,Sonne::N,해,сонца
67,Mond::N,달,месяц
68,Stern::N,별,зорка
69,Luft::N,동준,паветра
70,Luft::N,가스채,паветра
71,Wind::N,바람,вецер
72,Welle::N,물결,хваля
73,Wasser::N,물,вада
74,Stein::N,돌,камень
75,Boden::N,바닥,глеба
76,Erde::N,흙,зямля
77,Staub::N,먼지,пыл
78,Rauch::N,연기,дым
79,Funke::N,불티,іскра
80,Feuer::N,불,агонь
81,Licht::N,불,святло
82,Schatten::N,어스레함,цень
83,Wetter::N,기상,пагода
84,Wetter::N,기상,надворʼе
85,Nebel::N,안개,туман
86,Wolke::N,구름,воблака
87,Regen::N,비,дождж
88,Schnee::N,눈,снег
89,Eis::N,얼음,лёд
90,Frost::N,혹한,мароз
91,Kälte::N,추위,холад
92,Kälte::N,차가움,холад
93,Hitze::N,고온,спёка
94,Hitze::N,더위,спёка
95,Regenbogen::N,무지개,вясёлка
96,Donner::N,뇌명,гром
97,Strömung::N,유동,цячэнне
98,Tropfen::N,물방울,кропля
99,Schaum::N,포말,пена
100,Schmutz::N,때,гразь
101,See::N,호수,возера
102,Sumpf::N,습지,багна
103,Moor::N,저습지,балота
104,Wiese::N,목초지,луг
105,Wald::N,숲,лес
106,Hügel::N,언덕,узгорак
107,Anhöhe::N,언덕,узвышша
108,Berg::N,산,гара
109,Gipfel::N,졀졍,вяршыня
110,Höhle::N,공동,пячора
111,Abhang::N,몰매,схіл
112,Quelle::N,근원,крыніца
113,Bach::N,내,ручай
114,Fluss::N,강,рака
115,Ufer::N,강변,бераг
116,Ufer::N,바닷가,бераг
117,Küste::N,해변,узбярэжжа
118,Küste::N,해변가,узбярэжжа
119,Festland::N,본토,суша
120,Meer::N,바다,мора
121,Bucht::N,협만,бухта
122,Insel::N,섬,востраў
123,Blume::N,꽃,кветка
124,Gras::N,풀,трава
125,Wurzel::N,뿌리,корань
126,Baum::N,나무,дрэва
127,Stamm::N,대,ствол
128,Rinde::N,나무껍질,кара
129,Ast::N,가지,сук
130,Zweig::N,가지,галіна
131,Blatt::N,잎,ліст
132,Birke::N,자작나무,бяроза
133,Kiefer[Baum]::N,소나무,хвоя
134,Kiefer[Baum]::N,소나무,сасна
135,Weide[Baum]::N,쉬양버들,вярба
136,Tanne::N,전나무,яліна
137,Horn::N,뿔,рог
138,Feder::N,깃털,пяро
139,Fell::N,피혁모피,шкура
140,Flügel::N,날개,крыло
141,Klaue::N,갈고리 발톺,кіпцюр
142,Kralle::N,발툭,лапа
143,Schwanz::N,꼬리,хвост
144,Ei::N,알,яйка
145,Nest::N,보금자리,гняздо
146,Bau::N,굴,нара
147,Tier::N,짐승,жывёла
148,Herde::N,가축의떼,статак
149,Kuh::N,암소,карова
150,Bulle::N,황소,бык
151,Pferd::N,말,конь
152,Schaf::N,양,авечка
153,Schwein::N,돼지,свіння
154,Hund::N,개,сабака
155,Katze::N,고양이,кошка
156,Bär::N,콤,мядзведзь
157,Eichhörnchen::N,다람쥐,вавёрка
158,Elch::N,고라니,лось
159,Fuchs::N,여우,ліса
160,Hase::N,토끼,заяц
161,Maus::N,쥐,мыш
162,Wolf::N,늑대,воўк
163,Vogel::N,새,птах
164,Vogel::N,새,птушка
165,Schwarm::N,뗴,чарада
166,Huhn::N,암탉,курыца
167,Hahn::N,수탉,певень
168,Gans::N,거위,гусь
169,Adler::N,수리,арол
170,Ente::N,오리,качка
171,Eule::N,부엉이,сава
172,Kranich::N,두루미,жораў
