,Concept_ID,tr,ps
0,Auge::N,göz,سترګه
1,Ohr::N,kulak,غوږ
2,Nase::N,burun,پوزه
3,Mund::N,ağız,خوله
4,Zahn::N,diş,غاښ
5,Zunge::N,dil,جبه
6,Lippe::N,dudak,شونډه
7,Wange::N,yanak,باړخو
8,Gesicht::N,yüz,مخ
9,Stirn::N,alın,تندی
10,Stirn::N,alın,وچولی
11,Haar::N,saç,وېښته
12,Schnurrbart::N,bıyık,برېت
13,Bart::N,sakal,ږیره
14,Kinn::N,çene,زنه
15,Kiefer[Anatomie]::N,çene,جامه
16,Kehle::N,boğaz,غاړه
17,Hals::N,boyun,غاړه
18,Hals::N,gerdan,غاړه
19,Genick::N,ense,ورمېږ
20,Kopf::N,baş,سر
21,Kopf::N,kafa,سر
22,Rücken::N,arka,شا
23,Bauch::N,karın,نس
24,Bauch::N,karın,ګېډه
25,Nabel::N,göbek,نوم
26,Busen::N,koyun,تی
27,Brust::N,göğüs,سینه
28,Schulter::N,omuz,اوږه
29,Arm::N,kol,لاس
30,Ellenbogen::N,dirsek,څنګل
31,Hand::N,el,لاس
32,Handfläche::N,avuç,ورغوی
33,Handfläche::N,el ayası,ورغوی
34,Finger::N,parmak,ګوته
35,Fingernagel::N,el tırnağı,نوک
36,Nagel[Anatomie]::N,tırnak,نوک
37,Zeh::N,ayak parmağı,ګوته
38,Fuß::N,ayak,پښه
39,Ferse::N,topuk,پونده
40,Knie::N,diz,زنګون
41,Oberschenkel::N,uyluk,پتون
42,Bein::N,bacak,پښه
43,Körper::N,vücut,ځان
44,Haut::N,cilt,پوټکی
45,Blut::N,kan,وینه
46,Ader::N,damar,رګ
47,Sehne::N,kiriş,پله
48,Knochen::N,kemik,هډوکی
49,Gehirn::N,beyin,ماغزه
50,Herz::N,kalp,زړه
51,Herz::N,yürek,زړه
52,Magen::N,mide,معده
53,Leber::N,karaciğer,ينه
54,Leber::N,karaciğer,ځیګر
55,Atem::N,nefes,نفس
56,Hunger::N,açlık,ولږه
57,Träne::N,gözyaşı,اوښکه
58,Geschmack::N,tat,مزه
59,Geschmack::N,tat,خوند
60,Geschmack::N,lezzet,مزه
61,Geschmack::N,lezzet,خوند
62,Geruch::N,koku,بوی
63,Schlaf::N,uyku,خوب
64,Traum::N,düş,خوب
65,Traum::N,rüya,خوب
66,Himmel::N,gök,اسمان
67,Sonne::N,güneş,لمر
68,Mond::N,ay,سپوږمۍ
69,Stern::N,yıldız,ستوری
70,Luft::N,hava,هوا
71,Wind::N,yel,ورښ
72,Wind::N,rüzgâr,ورښ
73,Welle::N,dalga,موج
74,Wasser::N,su,اوبه
75,Stein::N,taş,ډبره
76,Boden::N,yer,مځکه
77,Boden::N,zemin,مځکه
78,Erde::N,toprak,خاوره
79,Staub::N,toz,ګرد
80,Staub::N,toz,خاوره
81,Rauch::N,duman,دود
82,Rauch::N,duman,لوګی
83,Funke::N,kıvılcım,سپرغۍ
84,Feuer::N,ateş,اور
85,Licht::N,ışık,رڼا
86,Schatten::N,gölge,سیوری
87,Wetter::N,hava,هوا
88,Nebel::N,pus,لړه
89,Wolke::N,bulut,ورېځ
90,Regen::N,yağmur,وریا
91,Regen::N,yağmur,باران
92,Schnee::N,kar,واوره
93,Eis::N,buz,یخ
94,Eis::N,buz,کنګل
95,Frost::N,don,یخ
96,Kälte::N,soğukluk,ساړه
97,Hitze::N,sıcaklık,تودوخي
98,Raureif::N,kırç,سپینه پرخه
99,Regenbogen::N,gökkuşağı,بوډۍ ټال
100,Regenbogen::N,gökkuşağı,سره زرغونه
101,Donner::N,gök gürlemesi,تالنده
102,Strömung::N,akıntı,بهېدنه
103,Strömung::N,cereyan,بهېدنه
104,Tropfen::N,damla,قطره
105,Tropfen::N,damla,څاڅکی
106,Schaum::N,köpük,ځګ
107,Schmutz::N,çamur,ناپاکي
108,Schmutz::N,pislik,ناپاکي
109,See::N,göl,جهیل
110,Sumpf::N,batak,جبه
111,Moor::N,cılgıt,جبه
112,Wiese::N,çimen,چمن
113,Wiese::N,çimen,شنېلی
114,Wald::N,koru,ځنګل
115,Wald::N,orman,ځنګل
116,Hügel::N,tepe,تپه
117,Anhöhe::N,tümsek,غونډۍ
118,Anhöhe::N,yükseklik,غونډۍ
119,Berg::N,dağ,غ‍‍‍‍‍ر
120,Gipfel::N,zirve,څوکه
121,Höhle::N,in,کاز
122,Höhle::N,mağara,کاز
123,Abhang::N,bayır,لمن
124,Quelle::N,pınar,چینه
125,Quelle::N,kaynak,چینه
126,Bach::N,çay,واله
127,Bach::N,dere,واله
128,Fluss::N,nehir,سیند
129,Ufer::N,kıyı,غاړه
130,Ufer::N,sahil,غاړه
131,Küste::N,kıyı,ساحل
132,Küste::N,sahil,ساحل
133,Festland::N,kara,وچه
134,Meer::N,deniz,بحر
135,Meer::N,deniz,سمندر
136,Bucht::N,koy,کارۍ
137,Bucht::N,körfez,کارۍ
138,Insel::N,ada,ټاپو
139,Insel::N,ada,جزيره
140,Blume::N,çiçek,ګل
141,Gras::N,ot,واښه
142,Gras::N,çim,واښه
143,Wurzel::N,kök,ریښه
144,Baum::N,ağaç,ونه
145,Stamm::N,gövde,ډډ
146,Rinde::N,kabuk,پوستکی
147,Ast::N,dal,ښاخ
148,Ast::N,budak,ښاخ
149,Zweig::N,dal,څانګه
150,Blatt::N,yaprak,پاڼه
151,Birke::N,huş,توس
152,Kiefer[Baum]::N,çam,نښتر
153,Weide[Baum]::N,söğüt,وله
154,Tanne::N,çam,ناجو
155,Tanne::N,köknar,ناجو
156,Horn::N,boynuz,ښکر
157,Feder::N,tüy,بڼکه
158,Fell::N,post,پوستکی
159,Flügel::N,kanat,وزر
160,Klaue::N,pençe,پنجه
161,Klaue::N,pençe,منګول
162,Kralle::N,tırnak,پنجه
163,Kralle::N,tırnak,منګول
164,Schwanz::N,kuyruk,لکۍ
165,Ei::N,yumurta,وۍ
166,Ei::N,yumurta,هګۍ
167,Nest::N,yuva,جاله
168,Bau::N,in,کاز
169,Tier::N,hayvan,ژوی
170,Tier::N,hayvan,حیوان
171,Herde::N,sürü,رمه
172,Herde::N,sürü,غېله
173,Kuh::N,inek,غوا
174,Bulle::N,boğa,غوئی
175,Pferd::N,at,آس
176,Pferd::N,beygir,آس
177,Schaf::N,koyun,پسه
178,Schwein::N,domuz,سرکوزی
179,Hund::N,it,سپی
180,Hund::N,köpek,سپی
181,Katze::N,kedi,پشه
182,Bär::N,ayı,خرس
183,Eichhörnchen::N,sincap,خړ لمی
184,Elch::N,büyük kuzey geyiği,ګوزن
185,Fuchs::N,tilki,سپلم
186,Hase::N,tavşan,سوی
187,Maus::N,fare,مږک
188,Maus::N,sıçan,مږک
189,Wolf::N,kurt,لېوه
190,Vogel::N,kuş,مرغه
191,Schwarm::N,sürü,سېل
192,Huhn::N,tavuk,چرګه
193,Hahn::N,horoz,چرګ
194,Gans::N,kaz,بته
195,Adler::N,kartal,عقاب
196,Adler::N,karakuş,عقاب
197,Ente::N,ördek,ایلۍ
198,Eule::N,baykuş,ګونګی
199,Kranich::N,turna,کلنګ
200,Krähe::N,karga,کارغه
201,Kuckuck::N,guguk,فاخته
202,Schwan::N,kuğu,قو
203,Fisch::N,balık,کب
204,Fisch::N,balık,ماهی
205,Barsch::N,hani,
206,Barsch::N,levrek,
207,Hecht::N,turnabalığı,
208,Schlange[Tier]::N,yılan,مار
209,Wurm::N,kurt,چینجی
210,Wurm::N,solucan,چینجی
211,Spinne::N,örümcek,غڼه
212,Spinne::N,örümcek,تارکښ
213,Ameise::N,karınca,مېږی
214,Laus::N,bit,سپږه
215,Mücke::N,sivrisinek,ماشی
216,Fliege::N,sinek,مچ
217,Schmetterling::N,kelebek,پتنګ
218,Beere::N,tane,مېوۍ
219,Apfel::N,elma,مڼه
220,Pilz::N,mantar,خرېړی
221,Zwiebel::N,soğan,پیاز
222,Saat::N,ekin,تخم
223,Korn::N,tane,تخم
224,Korn::N,tane,دانه
225,Heu::N,kuru ot,بوس
226,Heu::N,kuru ot,پروړه
227,Schale::N,kabuk,پوستکی
228,Grube::N,çukur,کنده
229,Falle::N,tuzak,دام
230,Falle::N,tuzak,لومه
231,Schlinge::N,ilmik,کړۍ
232,Spur::N,iz,نښه
233,Asche::N,kül,آس
234,Asche::N,kül,ایره
235,Dreck::N,pislik,ناپاکي
236,Eisen::N,demir,اوسپنه
237,Gold::N,altın,سره زر
238,Silber::N,gümüş,نقره
239,Silber::N,gümüş,سپین زر
240,Kohle::N,kömür,سکور
241,Kohle::N,kömür,سکاره
242,Glas::N,cam,ښيښه
243,Lehm::N,balçık,خټه
244,Sand::N,kum,شګه
245,Mensch::N,insan,انسان
246,Mann::N,adam,سړی
247,Mann::N,adam,نارینه
248,Mann::N,erkek,سړی
249,Mann::N,erkek,نارینه
250,Frau::N,bayan,ښځه
251,Kind::N,çocuk,بچی
252,Kind::N,çocuk,ماشوم
253,Junge::N,erkek çocuk,هلک
254,Mädchen::N,kız,نجلۍ
255,Familie::N,aile,کورنۍ
256,Großvater::N,dede,بابا
257,Großvater::N,büyükbaba,بابا
258,Großmutter::N,nine,انا
259,Großmutter::N,büyükanne,انا
260,Eltern::N,ebeveyn,مور او پلار
261,Eltern::N,ana baba,مور او پلار
262,Vater::N,ata,پلار
263,Vater::N,baba,پلار
264,Mutter::N,ana,مور
265,Mutter::N,anne,مور
266,Sohn::N,oğul,زوی
267,Tochter::N,kız,لور
268,Tochter::N,kız evlât,لور
269,Bruder::N,abi,ورور
270,Bruder::N,erkek kardeş,ورور
271,Schwester::N,abla,خور
272,Schwester::N,kız kardeş,خور
273,Onkel::N,dayı,تره
274,Onkel::N,dayı,ماما
275,Tante::N,hala,خاله
276,Tante::N,teyze,خاله
277,Ehemann::N,koca,مېړه
278,Ehefrau::N,karı,مېرمن
279,Freude::N,neşe,خوشحالي
280,Freude::N,sevinç,خوشحالي
281,Gelächter::N,gülme,خندا
282,Gelächter::N,kahkaha,خندا
283,Glück::N,mutluluk,بخت
284,Kummer::N,dert,غم
285,Kummer::N,keder,غم
286,Wunsch::N,arzu,هيله
287,Wunsch::N,arzu,غوښتنه
288,Wunsch::N,istek,هيله
289,Wunsch::N,istek,غوښتنه
290,Lust::N,arzu,شوق
291,Lust::N,arzu,مینه
292,Lust::N,heves,شوق
293,Lust::N,heves,مینه
294,Geist::N,tin,روح
295,Gedanke::N,fikir,فکر
296,Gedanke::N,düşünce,فکر
297,Gedächtnis::N,bellek,یاد
298,Gedächtnis::N,bellek,حافظه
299,Verstand::N,zekâ,عقل
300,Verstand::N,zekâ,شعور
301,Sinn::N,anlam,معنی
302,Grund::N,sebep,علت
303,Grund::N,sebep,اساس
304,Wahrheit::N,doğruluk,حقیقت
305,Wahrheit::N,gerçeklik,حقیقت
306,Gespräch::N,görüşme,مرکه
307,Gespräch::N,görüşme,خبرې اترې
308,Märchen::N,masal,افسانه
309,Erzählung::N,öykü,قصه
310,Erzählung::N,öykü,کیسه
311,Erzählung::N,hikâye,قصه
312,Erzählung::N,hikâye,کیسه
313,Nachricht::N,haber,خبر
314,Neuigkeit::N,haber,نوی خبر
315,Name::N,ad,نوم
316,Name::N,isim,نوم
317,Rätsel::N,bilmece,کیسۍ
318,Rätsel::N,bilmece,چیستان
319,Rede::N,söylev,وینا
320,Rede::N,konuşma,وینا
321,Sprache::N,dil,ژبه
322,Sprache::N,lisan,ژبه
323,Stimme::N,ses,غږ
324,Stimme::N,ses,اواز
325,Wort::N,kelime,لغت
326,Wort::N,kelime,کلمه
327,Zeichen::N,işaret,نښه
328,Zeichen::N,işaret,اشاره
329,Ruf::N,çağırma,ږغ
330,Ruf::N,çağırma,بلنه
331,Lärm::N,şamata,غالمغال
332,Lärm::N,gürültü,غالمغال
333,Laut::N,ses,ږغ
334,Ton::N,ses,اواز
335,Lied::N,türkü,غزله
336,Lied::N,türkü,سندره
337,Ruhe::N,sakinlik,ارامي
338,Leute::N,halk,خلک
339,Leute::N,insanlar,خلک
340,Volk::N,ulus,ولس
341,Volk::N,millet,ولس
342,Arbeit::N,iş,کار
343,Arbeit::N,çalışma,کار
344,Gast::N,konuk,مېلمه
345,Gast::N,misafir,مېلمه
346,Geschenk::N,hediye,تحفه
347,Geschenk::N,hediye,سوغات
348,Geschenk::N,armağan,تحفه
349,Geschenk::N,armağan,سوغات
350,Spiel::N,oyun,لوبه
351,Gesellschaft::N,çevre,ډله
352,Gesellschaft::N,arkadaşlık,ډله
353,Hilfe::N,yardım,کومک
354,Hilfe::N,yardım,مرسته
355,Freund::N,dost,ملګری
356,Freund::N,arkadaş,ملګری
357,Kamerad::N,arkadaş,انډيوال
358,Angelegenheit::N,iş,موضوع
359,Angelegenheit::N,husus,موضوع
360,Anzahl::N,sayı,شمېر
361,Anzahl::N,sayı,تعداد
362,Art::N,çeşit,ډول
363,Stück::N,tane,ټوټه
364,Stück::N,parça,ټوټه
365,Teil::N,kısım,برخه
366,Hälfte::N,yarı,نیم
367,Kreis::N,daire,دایره
368,Kreuz::N,haç,صلیب
369,Linie::N,hat,خط
370,Linie::N,hat,لیکه
371,Linie::N,çizgi,خط
372,Linie::N,çizgi,لیکه
373,Strich::N,çizgi,کرښه
374,Abstand::N,aralık,فاصله
375,Entfernung::N,mesafe,واټن
376,Entfernung::N,uzaklık,واټن
377,Gegend::N,yöre,سیمه
378,Gegend::N,yöre,منطقه
379,Platz::N,yer,ځای
380,Ort::N,yer,ځای
381,Seite::N,yan,مخ
382,Seite::N,yan,اړخ
383,Seite::N,taraf,مخ
384,Seite::N,taraf,اړخ
385,Mitte::N,orta,وسط
386,Mitte::N,orta,مینځ
387,Mitte::N,merkez,وسط
388,Mitte::N,merkez,مینځ
389,Gegenstand::N,şey,شی
390,Sache::N,iş,شی
391,Sache::N,iş,څيز
392,Sache::N,şey,شی
393,Sache::N,şey,څيز
394,Rand::N,kenar,څنډه
395,Rand::N,kenar,کناره
396,Kante::N,kenar,اړخ
397,Ecke::N,köşe,ګوټ
398,Spitze::N,uç,څوکه
399,Spitze::N,baş,څوکه
400,Ende::N,uç,څوکه
401,Loch::N,oyuk,سوری
402,Loch::N,delik,سوری
403,Winkel::N,köşe,کنج
404,Winkel::N,köşe,کوتی
405,Muster::N,örnek,نمونه
406,Größe::N,büyüklük,قد
407,Größe::N,büyüklük,لويوالی
408,Länge::N,uzunluk,طول
409,Länge::N,uzunluk,اوږد والی
410,Höhe::N,yükseklik,جګوالی
411,Gewicht::N,ağırlık,وزن
412,Menge::N,miktar,اندازه
413,Haufen::N,küme,کوټه
414,Haufen::N,yığın,کوټه
415,Reihe::N,sıra,صف
416,Reihe::N,sıra,کتار
417,Boot::N,kayık,قايق
418,Boot::N,sandal,قايق
419,Ruder::N,kürek,چپه
420,Schlitten::N,kızak,ښویېدونی
421,Ski::N,kayak,سکي
422,Lagerfeuer::N,kamp ateşi,اور
423,Last::N,yük,بار
424,Last::N,yük,پېټی
425,Gang::N,gidiş,تګ
426,Gang::N,yürüyüş,تګ
427,Schritt::N,adım,ګام
428,Norden::N,kuzey,شمال
429,Süden::N,güney,سوېل
430,Westen::N,batı,لوېدېځ
431,Osten::N,doğu,شرق
432,Osten::N,doğu,ختیځ
433,Holz::N,ağaç,لرګی
434,Holz::N,tahta,لرګی
435,Brett::N,tahta,تخته
436,Platte::N,levha,تخته
437,Stütze::N,dayak,تکیوان
438,Stütze::N,destek,تکیوان
439,Stange::N,çubuk,ډاګه
440,Stock::N,sopa,لرګی
441,Stock::N,değnek,لرګی
442,Stab::N,sırık,چيخله
443,Stab::N,baston,چيخله
444,Rohr::N,boru,نل
445,Haus::N,ev,کور
446,Heim::N,ev,کور
447,Heim::N,yurt,کور
448,Ofen::N,soba,تودنۍ
449,Fußboden::N,taban,غولی
450,Fußboden::N,döşeme,غولی
451,Tisch::N,masa,مېز
452,Stuhl::N,iskemle,چوکۍ
453,Stuhl::N,sandalye,چوکۍ
454,Wiege::N,beşik,زانګو
455,Bett::N,yatak,کټ
456,Bett::N,yatak,چپرکټ
457,Regal::N,raf,تاخچۍ
458,Kiste::N,sandık,صندوق
459,Fenster::N,pencere,کړکۍ
460,Tür::N,kapı,دروازه
461,Tor::N,kapı,دروازه
462,Zaun::N,çit,کټاره
463,Dach::N,dam,بام
464,Dach::N,çatı,بام
465,Leiter::N,merdiven,زينه
466,Besen::N,süpürge,جارو
467,Spaten::N,bel,یوم
468,Schaufel::N,kürek,بېلچه
469,Gabel::N,çatal,پنجه
470,Löffel::N,kaşık,کاشوغه
471,Messer::N,bıçak,چاقو
472,Nagel::N,çivi,ميخ
473,Netz::N,ağ,جال
474,Haken::N,çengel,څنګک
475,Griff::N,kulp,لاستی
476,Griff::N,tutamak,لاستی
477,Schloss::N,kilit,کلپ
478,Bild::N,imaj,رسم
479,Bild::N,resim,رسم
480,Figur::N,şekil,قدوقامت
481,Figur::N,heykel,قدوقامت
482,Puppe::N,kukla,ګوډۍ
483,Beutel::N,kese,کڅوړه
484,Beutel::N,torba,کڅوړه
485,Bündel::N,deste,دسته
486,Tasche::N,çanta,بکس
487,Tasche::N,çanta,توبره
488,Eimer::N,kova,سطل
489,Deckel::N,kapak,سرپوښ
490,Geschirr::N,kap kacak,لوښی
491,Sack::N,torba,جوال
492,Tasse::N,fincan,پیاله
493,Topf::N,tencere,دېګی
494,Kessel::N,kazan,دېګ
495,Essen::N,yemek,خوراک
496,Nahrung::N,gıda,خوراک
497,Nahrung::N,besin,خوراک
498,Speise::N,yemek,خواړه
499,Fleisch::N,et,غوښه
500,Getreide::N,tahıl,غله
501,Getreide::N,hububat,غله
502,Brei::N,ezme,اوګره
503,Brot::N,ekmek,ډوډۍ
504,Scheibe::N,dilim,مړۍ
505,Fett::N,yağ,غوړي
506,Butter::N,tereyağı,کوچ
507,Öl::N,yağ,تېل
508,Öl::N,akar yağ,تېل
509,Salz::N,tuz,مالګه
510,Suppe::N,çorba,شوربا
511,Honig::N,bal,شات
512,Milch::N,süt,شوده
513,Tee::N,çay,چای
514,Leder::N,deri,څرمن
515,Leder::N,meşin,څرمن
516,Wolle::N,yün,پشم
517,Stoff::N,kumaş,ټوټه
518,Nadel::N,iğne,ستن
519,Faden::N,tire,تار
520,Faden::N,iplik,تار
521,Knopf::N,düğme,تڼۍ
522,Knopf::N,düğme,تکمه
523,Knoten::N,düğüm,غوټه
524,Farbe::N,boya,رنګ
525,Kleidung::N,giyim,کالي
526,Hemd::N,gömlek,کميس
527,Kragen::N,yaka,غاړه
528,Ärmel::N,yen,لستوڼی
529,Ärmel::N,elbise kolu,لستوڼی
530,Hose::N,pantolon,پطلون
531,Gürtel::N,kuşak,کمربند
532,Mütze::N,bere,خولۍ
533,Mütze::N,kasket,خولۍ
534,Schuh::N,kundura,بوټ
535,Schuh::N,ayakkabı,بوټ
536,Stiefel::N,çizme,موزه
537,Ring::N,yüzük,ګوته
538,Band::N,bağ,فيته
539,Band::N,şerit,فيته
540,Kamm::N,tarak,ګمنځ
541,Spiegel::N,ayna,ایینه
542,Spiegel::N,ayna,هنداره
543,Riemen::N,kayış,تسمه
544,Schnur::N,ip,مزی
545,Schnur::N,sicim,مزی
546,Leine::N,kayış,رسۍ
547,Decke::N,örtü,بړستن
548,Decke::N,yorgan,بړستن
549,Kissen::N,yastık,بالښت
550,Tuch::N,bez,ټیکری
551,Handtuch::N,havlu,دسمال
552,Kraft::N,güç,زور
553,Kraft::N,güç,توان
554,Kraft::N,kuvvet,زور
555,Kraft::N,kuvvet,توان
556,Stärke::N,kuvvet,قوت
557,Gesundheit::N,sağlık,صحت
558,Gesundheit::N,sağlık,روغتیا
559,Krankheit::N,hastalık,مرض
560,Krankheit::N,hastalık,ناروغي
561,Schmerz::N,ağrı,درد
562,Schmerz::N,sancı,درد
563,Wunde::N,yara,ټپ
564,Wunde::N,yara,زخم
565,Fieber::N,ateş,تبه
566,Arznei::N,ilâç,دوا
567,Arznei::N,ilâç,دارو
568,Brücke::N,köprü,پول
569,Brunnen::N,kuyu,څاه
570,Brunnen::N,kuyu,کوهی
571,Brunnen::N,çeşme,څاه
572,Brunnen::N,çeşme,کوهی
573,Weide::N,otlak,وله
574,Pfad::N,patika,تړه
575,Pfad::N,keçiyolu,تړه
576,Weg::N,yol,لیار
577,Straße::N,yol,سړک
578,Straße::N,cadde,سړک
579,Dorf::N,köy,کلی
580,Stadt::N,kent,ښار
581,Stadt::N,şehir,ښار
582,Brief::N,mektup,لیک
583,Brief::N,mektup,مکتوب
584,Buch::N,kitap,کتاب
585,Buchstabe::N,harf,حرف
586,Buchstabe::N,harf,توری
587,Zeitung::N,gazete,اخبار
588,Leben::N,hayat,ژوند
589,Tod::N,ölüm,مرګ
590,Tod::N,ölüm,مړینه
591,Grab::N,kabir,قبر
592,Grab::N,kabir,ډورۍ
593,Kirche::N,kilise,کلیسا
594,Sünde::N,günah,ګناه
595,Gott::N,tanrı,خدای
596,Arbeiter::N,işçi,کاریګر
597,Chef::N,şef,آمر
598,Chef::N,müdür,آمر
599,Meister::N,usta,استاد
600,Arzt::N,hekim,طبیب
601,Arzt::N,hekim,ډاکټر
602,Arzt::N,doktor,طبیب
603,Arzt::N,doktor,ډاکټر
604,Lehrer::N,hoca,معلم
605,Lehrer::N,hoca,ښوونکی
606,Lehrer::N,öğretmen,معلم
607,Lehrer::N,öğretmen,ښوونکی
608,Geld::N,para,پیسې
609,Geschäft::N,ticaret,سوداګري
610,Laden::N,dükkân,دکان
611,Laden::N,dükkân,مغازه
612,Preis::N,fiyat,بیه
613,Ware::N,mal,مال
614,Nutzen::N,fayda,ګټه
615,Reichtum::N,servet,شتمني
616,Reichtum::N,zenginlik,شتمني
617,Welt::N,dünya,نړۍ
618,Welt::N,dünya,دنیا
619,Land::N,ülke,هېواد
620,Staat::N,devlet,دولت
621,König::N,kral,باچا
622,König::N,kral,پادشاه
623,Macht::N,kudret,قدرت
624,Macht::N,iktidar,قدرت
625,Grenze::N,had,حد
626,Grenze::N,had,سرحد
627,Grenze::N,sınır,حد
628,Grenze::N,sınır,سرحد
629,Krieg::N,savaş,جګړه
630,Feind::N,düşman,دښمن
631,Gewalt::N,zor,زور
632,Gewalt::N,zor,تشدد
633,Gewalt::N,cebir,زور
634,Gewalt::N,cebir,تشدد
635,Kampf::N,savaş,جنګ
636,Kampf::N,savaş,مبارزه
637,Bogen[Waffe]::N,yay,لیندۍ
638,Pfeil::N,ok,غشی
639,Gewehr::N,tüfek,ټوپک
640,Fehler::N,hata,خطا
641,Fehler::N,hata,غلطي
642,Fehler::N,yanlış,خطا
643,Fehler::N,yanlış,غلطي
644,Lüge::N,yalan,دروغ
645,Schaden::N,zarar,زیان
646,Schaden::N,zarar,تاوان
647,Unglück::N,felâket,بدبختي
648,Unglück::N,talihsizlik,بدبختي
649,Schuld::N,suç,ګناه
650,Schuld::N,kabahat,ګناه
651,Alter::N,yaş,منګ
652,Schluss::N,son,اخر
653,Zeit::N,zaman,وخت
654,Tag::N,gün,ورځ
655,Morgen::N,sabah,سبا
656,Morgen::N,sabah,سهار
657,Mittag::N,öğle,غرمه
658,Abend::N,akşam,ماښام
659,Nacht::N,gece,شپه
660,Woche::N,hafta,اونۍ
661,Monat::N,ay,مياشت
662,Jahr::N,yıl,کال
663,Jahr::N,sene,کال
664,Frühling::N,ilkbahar,پسرلی
665,Sommer::N,yaz,دوبی
666,Herbst::N,güz,منی
667,Herbst::N,güz,خزان
668,Herbst::N,sonbahar,منی
669,Herbst::N,sonbahar,خزان
670,Winter::N,kış,ژمی
671,Januar::N,ocak,جنوري
672,Februar::N,şubat,فبروري
673,März::N,mart,مارچ
674,April::N,nisan,اپریل
675,Mai::N,mayıs,مې
676,Juni::N,haziran,جون
677,Juli::N,temmuz,جولای
678,August::N,ağustos,اګست
679,September::N,eylül,سپټامبر
680,Oktober::N,ekim,اکتوبر
681,November::N,kasım,نومبر
682,Dezember::N,aralık,دسمبر
683,Montag::N,pazartesi,دوشنبه
684,Dienstag::N,salı,سه شنبه
685,Mittwoch::N,çarşamba,چارشنبه
686,Donnerstag::N,perşembe,پنجشنبه
687,Freitag::N,cuma,جمعه
688,Samstag::N,cumartesi,خالي
689,Sonntag::N,pazar,یکشنبه
690,groß::A,büyük,لوی
691,klein::A,ufak,وړوکی
692,klein::A,küçük,وړوکی
693,lang::A,uzun,اوړد
694,kurz::A,kısa,لنډ
695,breit::A,enli,پراخه
696,breit::A,geniş,پراخه
697,schmal::A,dar,تنګ
698,dicht::A,sık,ګڼ
699,dicht::A,yoğun,ګڼ
700,dick[Gegenstand]::A,kalın,پنډ
701,dick[Gegenstand]::A,iri,پنډ
702,dünn::A,ince,نری
703,fein::A,ince,نازک
704,fein::A,narin,نازک
705,fest::A,sabit,کلک
706,fest::A,sabit,ټینګ
