,Concept_ID,ar,ml
0,Auge::N,عين,കണ്ണ്
1,Ohr::N,أذن,ചെവി
2,Nase::N,أنف,മൂക്ക്
3,Mund::N,فم,വായ
4,Zahn::N,سن,പല്ല്
5,Zunge::N,لسان,നാക്ക്
6,Lippe::N,شفة,ചുണ്ട്
7,Wange::N,خد,കവിൾത്തടം
8,Wange::N,وجنة,കവിൾത്തടം
9,Gesicht::N,وجه,മുഖം
10,Stirn::N,جبين,നെറ്റി
11,Haar::N,شعر,തലമുടി
12,Schnurrbart::N,شارب,മീശ
13,Bart::N,لحية,താടിരോമം
14,Kinn::N,ذقن,താടി
15,Kiefer[Anatomie]::N,فك,താടിയെല്ല്
16,Kehle::N,حلق,കണ്ഠനാളം
17,Hals::N,عنق,കഴുത്ത്
18,Hals::N,رقبة,കഴുത്ത്
19,Genick::N,قفا,പിടലി
20,Kopf::N,رأس,തല
21,Rücken::N,ظهر,മുതുക്
22,Bauch::N,بطن,നയറ്
23,Nabel::N,سرة,നാഭി
24,Busen::N,ثدي,സ്തനം
25,Brust::N,صدر,സ്തനം
26,Schulter::N,كتف,തോൾ
27,Arm::N,ذراع,കൈ
28,Ellenbogen::N,كوع,കൈമുട്ട്
29,Hand::N,يد,കൈ
30,Handfläche::N,كف,ഉള്ളം കൈ
31,Finger::N,إصبع,വിരൽ
32,Fingernagel::N,ظفر,നഖം
33,Nagel[Anatomie]::N,ظفر,നഖം
34,Zeh::N,إصبع القدم,കാൽവിരൽ
35,Fuß::N,قدم,കാൽപ്പാദം
36,Ferse::N,كعب,ഉപ്പൂറ്റി
37,Knie::N,ركبة,കാൽമുട്ട്
38,Oberschenkel::N,فخذ,തുട
39,Bein::N,ساق,കാൽ
40,Körper::N,جسم,ശരീരം
41,Haut::N,بشرة,ചർമ്മം
42,Blut::N,دم,രക്തം
43,Ader::N,عرق,ഞരമ്പ്
44,Sehne::N,طنب,സ്നായു
45,Knochen::N,عظم,അസ്ഥി
46,Gehirn::N,دماغ,തലച്ചോറ്
47,Herz::N,قلب,ഹൃദയം
48,Magen::N,معدة,വയർ
49,Leber::N,كبد,കരൾ
50,Atem::N,نفس,ശ്വാസം
51,Hunger::N,جوع,വിശപ്പ്
52,Träne::N,دمعة,കണ്ണീർ
53,Geschmack::N,طعم,രുചി
54,Geschmack::N,مذاق,രുചി
55,Geruch::N,رائحة,ഗന്ധം
56,Schlaf::N,نوم,ഉറകും
57,Schlaf::N,منام,ഉറകും
58,Traum::N,حلم,സ്വപ്നം
59,Himmel::N,سماء,ആകാശം
60,Sonne::N,شمس,സൂര്യൻ
61,Mond::N,قمر,ചന്ദ്രൻ
62,Stern::N,نجم,നക്ഷത്രം
63,Stern::N,كوكب,നക്ഷത്രം
64,Luft::N,هواء,കാറ്റ്
65,Wind::N,ريح,കാറ്റ്
66,Welle::N,موجة,തിരമാല
67,Wasser::N,ماء,വെള്ളം
68,Stein::N,حجر,ശില
69,Stein::N,حجر,കല്ല്
70,Boden::N,تراب,തറ
71,Boden::N,تراب,നിലം
72,Erde::N,أرض,മണ്ണ്
73,Staub::N,غبار,പൊടി
74,Rauch::N,دخان,പുക
75,Funke::N,شرارة,തീപ്പൊരി
76,Feuer::N,نار,തീ
77,Licht::N,نور,വിളക്ക്
78,Licht::N,نور,സൂര്യപ്രകാശം
79,Licht::N,ضوء,വിളക്ക്
80,Licht::N,ضوء,സൂര്യപ്രകാശം
81,Schatten::N,ظل,തണൽ
82,Schatten::N,فيء,തണൽ
83,Wetter::N,جو,കാലാവസ്ഥ
84,Wetter::N,طقس,കാലാവസ്ഥ
85,Nebel::N,ضباب,മൂടൽമഞ്ഞ്
86,Wolke::N,غيمة,മേഘം
87,Wolke::N,سحابة,മേഘം
88,Regen::N,مطر,മഴ
89,Schnee::N,ثلج,മഞ്ഞ്
90,Eis::N,جليد,ഐസ്
91,Frost::N,صقيع,മൂടൽമഞ്ഞ്
92,Kälte::N,برد,തണുപ്പ്
93,Hitze::N,حر,ചൂട്
94,Hitze::N,حرارة,ചൂട്
95,Raureif::N,صقيع,കോടമഞ്ഞ്
96,Regenbogen::N,قوس قزح,മഴവില്ല്
97,Donner::N,رعد,ഇടി
98,Strömung::N,تيار,പ്രവാഹം
99,Tropfen::N,قطرة,തുള്ളി
100,Schaum::N,زبد,നുര
101,Schaum::N,رغوة,നുര
102,Schmutz::N,وسخ,അഴുക്ക്
103,See::N,بحيرة,തടാകം
104,Sumpf::N,مستنقع,ചതുപ്പുനിലം
105,Moor::N,مستنقع,പാഴ്നിലം
106,Wiese::N,مرج,പുൽത്തകിടി
107,Wald::N,غابة,വനം
108,Wald::N,غابة,കാട്
109,Hügel::N,تل,കുന്ന്
110,Anhöhe::N,تل,ഉയർന്ന ഭൂമി
111,Berg::N,جبل,പർവ്വതം
112,Gipfel::N,قمة,ഉച്ചകോടി
113,Höhle::N,كهف,ഗുഹ
114,Abhang::N,منحدر,ചരിവ്
115,Quelle::N,منبع,ഉറവിടം
116,Bach::N,مجرى,അരുവി
117,Fluss::N,نهر,നദി
118,Ufer::N,ضفة,തീരം
119,Küste::N,ساحل,കടൽത്തീരം
120,Festland::N,بر,കര
121,Meer::N,بحر,കടൽ
122,Bucht::N,خليج,ഉൾക്കടല്
123,Insel::N,جزيرة,ദ്വീപ്
124,Blume::N,زهرة,പൂവ്
125,Gras::N,حشيش,പുല്ല്
126,Wurzel::N,أصل,വേര്
127,Baum::N,شجرة,മരം
128,Stamm::N,جذع,തായ്ത്തടി
129,Rinde::N,قشرة,പട്ട
130,Ast::N,فرع,ശാഖ
131,Zweig::N,غصن,ശാഖ
132,Blatt::N,ورقة,ഇല
133,Birke::N,قضبان,പൂവരശ്
134,Kiefer[Baum]::N,صنوبرة,പൈൻമരം
135,Weide[Baum]::N,صفصاف,വില്ലോ
136,Tanne::N,شوح,ദേവദാരു
137,Tanne::N,تبوب,ദേവദാരു
138,Horn::N,قرن,മൃഗത്തിൻറെ കൊമ്പ്
139,Feder::N,ريشة,തൂവൽ
140,Fell::N,فرو,മൃദുരോമം
141,Flügel::N,جناح,ചിറക്
142,Klaue::N,مخلب,നഖം
143,Kralle::N,مخلب,നഖം
144,Schwanz::N,ذيل,വാൽ
145,Ei::N,بيض,മുട്ട
146,Nest::N,عش,കൂട്
147,Bau::N,جحر,മാളം
148,Tier::N,حيوان,മൃഗം
149,Herde::N,قطيع,കൂട്ടം
150,Kuh::N,بقرة,പശു
151,Bulle::N,ثور,കാള
152,Pferd::N,خيل,കുതിര
153,Schaf::N,شاة,ആട്
154,Schwein::N,خنزير,പന്നി
155,Hund::N,كلب,നായ്
156,Katze::N,قطة,പൂച്ച
157,Bär::N,دب,കരടി
158,Eichhörnchen::N,سنجاب,അണ്ണാൻ
159,Elch::N,موظ,കടമാന്
160,Fuchs::N,ثعلب,കുറുക്കൻ
