,Concept_ID,es,fa
0,Auge::N,ojo,چشم
1,Ohr::N,oreja,گوش
2,Nase::N,nariz,بینی
3,Mund::N,boca,دهان
4,Zahn::N,diente,دندان
5,Zunge::N,lengua,زبان
6,Lippe::N,labio,لب
7,Wange::N,mejilla,لپ
8,Gesicht::N,cara,رو
9,Gesicht::N,cara,چهره
10,Stirn::N,frente,پیشانی
11,Haar::N,cabello,مو
12,Schnurrbart::N,bigote,سبیل
13,Bart::N,barba,ریش
14,Kinn::N,barbilla,چانه
15,Kiefer[Anatomie]::N,mandíbula,فک
16,Kiefer[Anatomie]::N,mandíbula,آرواره
17,Kehle::N,garganta,حلق
18,Hals::N,cuello,گردن
19,Genick::N,nuca,پشت گردن
20,Genick::N,cerviz,پشت گردن
21,Kopf::N,cabeza,سر
22,Kopf::N,cabeza,کله
23,Rücken::N,espalda,پشت
24,Bauch::N,vientre,شکم
25,Nabel::N,ombligo,ناف
26,Busen::N,pecho,پستان
27,Brust::N,pecho,سینه
28,Schulter::N,hombro,دوش
29,Schulter::N,hombro,شانه
30,Arm::N,brazo,بازو
31,Ellenbogen::N,codo,آرنج
32,Hand::N,mano,دست
33,Handfläche::N,palma,کف دست
34,Finger::N,dedo,انگشت
35,Fingernagel::N,uña,ناخن دست
36,Nagel[Anatomie]::N,uña,ناخن
37,Zeh::N,dedo del pie,انگشت پا
38,Fuß::N,pie,پا
39,Ferse::N,talón,پاشنه
40,Knie::N,rodilla,زانو
41,Oberschenkel::N,muslo,ران
42,Bein::N,pierna,پا
43,Bein::N,pierna,لنگ
44,Körper::N,cuerpo,تن
45,Körper::N,cuerpo,بدن
46,Haut::N,piel,پوست
47,Blut::N,sangre,خون
48,Ader::N,vena,رگ
49,Sehne::N,tendón,زردپی
50,Knochen::N,hueso,استخوان
51,Gehirn::N,cerebro,مخ
52,Gehirn::N,cerebro,مغز
53,Gehirn::N,encéfalo,مخ
54,Gehirn::N,encéfalo,مغز
55,Herz::N,corazón,دل
56,Herz::N,corazón,قلب
57,Magen::N,estómago,معده
58,Leber::N,hígado,کبد
59,Atem::N,aliento,نفس
60,Hunger::N,hambre,گرسنگی
61,Träne::N,lágrima,اشک
62,Geschmack::N,gusto,مزه
63,Geruch::N,olor,بو
64,Schlaf::N,sueño,خواب
65,Traum::N,sueño,رؤیا
66,Traum::N,ensueño,رؤیا
67,Himmel::N,cielo,فلک
68,Himmel::N,cielo,آسمان
69,Sonne::N,sol,آفتاب
70,Sonne::N,sol,خورشید
71,Mond::N,luna,ماه
72,Stern::N,estrella,ستاره
73,Luft::N,aire,هوا
74,Wind::N,viento,باد
75,Welle::N,ola,موج
76,Welle::N,onda,موج
77,Wasser::N,agua,آب
78,Stein::N,piedra,سنگ
79,Boden::N,suelo,زمین
80,Erde::N,tierra,خاک
81,Erde::N,tierra,زمین
82,Staub::N,polvo,گرد
83,Staub::N,polvo,غبار
84,Rauch::N,humo,دود
85,Funke::N,chispa,جرقه
86,Feuer::N,fuego,آتش
87,Licht::N,luz,نور
88,Licht::N,luz,روشنی
89,Schatten::N,sombra,سایه
90,Wetter::N,tiempo,هوا
91,Nebel::N,niebla,مه
92,Wolke::N,nube,ابر
93,Regen::N,lluvia,باران
94,Schnee::N,nieve,برف
95,Eis::N,hielo,یخ
96,Frost::N,helada,یخبندان
97,Kälte::N,frío,سرما
98,Hitze::N,calor,گرما
99,Hitze::N,calor,حرارت
100,Raureif::N,escarcha,برف ریزه
101,Regenbogen::N,arco iris,رنگین‌کمان
102,Donner::N,trueno,رعد
103,Strömung::N,corriente,جریان
104,Tropfen::N,gota,قطره
105,Schaum::N,espuma,کف
106,Schmutz::N,suciedad,گل
107,Schmutz::N,suciedad,کثافت
108,See::N,lago,دریاچه
109,Sumpf::N,pantano,مرداب
110,Sumpf::N,pantano,باتلاق
111,Moor::N,turbera,باتلاق
112,Wiese::N,prado,چمن
113,Wiese::N,pradera,چمن
114,Wald::N,bosque,جنگل
115,Hügel::N,colina,تل
116,Hügel::N,colina,تپه
117,Anhöhe::N,cerro,بلندی
118,Berg::N,monte,کوه
119,Berg::N,montaña,کوه
120,Gipfel::N,cima,قله
121,Gipfel::N,cumbre,قله
122,Höhle::N,cueva,غار
123,Höhle::N,caverna,غار
124,Abhang::N,cuesta,سرازیری
125,Abhang::N,declive,سرازیری
126,Quelle::N,fuente,چشمه
127,Quelle::N,manantial,چشمه
128,Bach::N,arroyo,نهر
