,Concept_ID,mrj,az
0,Auge::N,сӹнзӓ,göz
1,Ohr::N,пӹлӹш,qulaq
2,Nase::N,нер,burun
3,Mund::N,ышма,ağız
4,Zahn::N,пӱ,diş
5,Zunge::N,йӹлмӹ,dil
6,Lippe::N,тӹрвӹ,dodaq
7,Wange::N,шӹргӹ,yanaq
8,Gesicht::N,лицӓ,üz
9,Stirn::N,лепкӓ,alın
10,Haar::N,ӱп,saç
11,Schnurrbart::N,öрш,bığ
12,Bart::N,пандаш,saqqal
13,Kinn::N,онгылаш,çənə
14,Kiefer[Anatomie]::N,пӱ арата,çənə
15,Kehle::N,логер,boğaz
16,Hals::N,шӱ,boyun
17,Genick::N,ланга,ənsə
18,Kopf::N,вуй,baş
19,Rücken::N,туп,bel
20,Bauch::N,мӹшкӹр,qarın
21,Nabel::N,кӹлӹмдӹ,göbək
22,Busen::N,цӹзӹ,məmə
23,Brust::N,мел,döş
24,Schulter::N,ӹнгӹжӓ,çiyin
25,Arm::N,кид,qol
26,Ellenbogen::N,кӹнервуй,dirsək
27,Hand::N,лапа,əl
28,Handfläche::N,кид лапа,ovuc
29,Finger::N,парня,barmaq
30,Fingernagel::N,кӹч,barmaq dırnağı
31,Nagel[Anatomie]::N,кӹч,dırnak
32,Zeh::N,парня,ayaq barmağı
33,Fuß::N,ял лапа,ayaq
34,Ferse::N,ялгавал,daban
35,Ferse::N,ял кавал,daban
36,Knie::N,пылвуй,diz
37,Oberschenkel::N,ӓрдӹ,bud
38,Bein::N,ял,qıç
39,Körper::N,монгыр,əndam
40,Haut::N,кавашты,dəri
41,Blut::N,вӹр,qan
42,Ader::N,вӹршӓр,damar
43,Sehne::N,кукшышӱн,vətər
44,Knochen::N,лу,sümük
45,Gehirn::N,вим,beyin
46,Herz::N,шӱм,ürək
47,Magen::N,шӱм,mədə
48,Leber::N,мокш,qara ciyər
49,Atem::N,шӱлӹш,nəfəs
50,Hunger::N,шужымаш,aclıq
51,Träne::N,сӹнзӓвӹд,göz yaşı
52,Geschmack::N,тот,tam
53,Geschmack::N,тот,ləzzət
54,Geruch::N,пыш,qoxu
55,Schlaf::N,ом,yuxu
56,Traum::N,ом,röya
57,Himmel::N,пӹлгом,göy
58,Himmel::N,пӹлгом,səma
