,Concept_ID,ta,ku
0,Auge::N,கண்,çav
1,Ohr::N,காது,guh
2,Nase::N,மூக்கு,bêvil
3,Mund::N,வாய்,dev
4,Zahn::N,பல்,didan
5,Zunge::N,நாக்கு,ziman
6,Lippe::N,உதடு,lêv
7,Wange::N,கன்னம்,dêm
8,Wange::N,கன்னம்,hinarik
9,Gesicht::N,முகம்,rû
10,Stirn::N,முன்னெற்றி,enî
11,Haar::N,முடி,por
12,Schnurrbart::N,மீசை,simbêl
13,Bart::N,தாடி,rih
14,Kinn::N,கீழதாடை,zenî
15,Kiefer[Anatomie]::N,தாடை,arguşk
16,Kehle::N,தொண்டை,qirik
17,Hals::N,கழுத்து,stû
18,Hals::N,கழுத்து,qirik
19,Genick::N,கழுத்து,stû
20,Kopf::N,தலை,serî
21,Rücken::N,முதுகு,pişt
22,Bauch::N,வயிறு,ûr
23,Bauch::N,வயிறு,zik
24,Nabel::N,தொப்புள்,navik
25,Busen::N,மார்பகம்,sîng
26,Brust::N, மார்பு,sîng
27,Schulter::N,தோள்பட்டை,mil
28,Arm::N,கரம்,çepil
29,Ellenbogen::N,முழங்கை,enîşk
30,Hand::N,கை,dest
31,Handfläche::N,உள்ளங்கை,kefadest
32,Finger::N,விரல்,tilî
33,Fingernagel::N,விரல் நகம்,neynuk
34,Nagel[Anatomie]::N,நகம்,bizmar
35,Zeh::N,கால்விரல்,tilî linga
36,Fuß::N,கால்,ling
37,Ferse::N,குதிகால்,pahnî
38,Knie::N,முழங்கால்,kabok
39,Oberschenkel::N,தொடை,rahn
40,Bein::N,கால்,çip
41,Körper::N,உடல்,laş
42,Körper::N,உடல்,gowde
43,Haut::N,சருமம்,çerm
44,Blut::N,இரத்தம்,xwîn
45,Ader::N,நாளம்,reh
46,Sehne::N,தசைநார்,reh
47,Knochen::N,எலுமபு,hestî
48,Gehirn::N,மூனை,mêjî
49,Herz::N,இதயம,dil
50,Magen::N,வயிறு,navêş
51,Leber::N,கல்லீரல்,kezeb
52,Atem::N,மூச்சு,hilm
53,Hunger::N,பசி,birçîtî
54,Träne::N,கண்ணீர்,hêstir
55,Geschmack::N,நறுமணம்,tam
56,Geruch::N,துர்நாற்றம்,bêhn
57,Schlaf::N,தூக்கம்,xew
58,Traum::N,கனவு,xewn
59,Himmel::N,வானம்,ezman
60,Sonne::N,சூரியன்,roj
61,Mond::N,சந்திரன்,heyv
62,Stern::N,நட்சத்திரம்,stêrk
63,Luft::N,காறறு,ba
64,Wind::N,காற்று,ba
65,Welle::N,அலை,şewl
66,Wasser::N,நீர்,av
67,Stein::N,கல்,kevir
68,Boden::N,தரை,herd
69,Erde::N,மண்,ax
70,Staub::N,தூசி,toz
71,Rauch::N,புகை,dû
72,Funke::N,தீப்பொறி,çirûşk
73,Feuer::N,தீ,agir
74,Licht::N,வெளிச்சம்,ronahî
75,Schatten::N,நிழல்,sî
76,Wetter::N,வானிலை,hewa
77,Nebel::N,பனிமூட்டம்,mij
78,Wolke::N,மேகம்,ewr
79,Regen::N,மழை,baran
80,Schnee::N,உறைபனி,berf
81,Eis::N,பனிக்கட்டி,qeşa
82,Frost::N,உறைபனி,xûsik
83,Kälte::N,குளிர்ந்த,serma
84,Hitze::N,சூடு,germayî
85,Raureif::N,உறைபனி வெண்திரை,şext
86,Regenbogen::N,வானவில்,heftreng
87,Donner::N,இடி,gire-gir
88,Strömung::N,நீரோட்டம்,şewl
89,Tropfen::N,துளி,dilop
90,Schaum::N,நுரை,kef
91,Schmutz::N,அழுக்கு,gemar
92,See::N,ஏரி,gol
93,Sumpf::N,சதுப்பு நிலம்,hezek
94,Moor::N,முட்புதற்காடு,mafêl
95,Wiese::N,பசும் புல்தரை,sûrik
96,Wald::N,காடு,çiya
97,Wald::N,காடு,daristan
98,Hügel::N,குன்று,gir
99,Anhöhe::N,பதுக்கை,sere gir
100,Berg::N,மலை,kaş
101,Gipfel::N,உச்சி மாநாடு,sere gir
102,Höhle::N,குகை,şikeft
103,Abhang::N,சரிவு,kaş
104,Quelle::N,மூலம்,kanî
105,Bach::N,ஓடை,çem
106,Fluss::N,ஆறு,çem
107,Fluss::N,ஆறு,rûbar
108,Ufer::N,நீர்க்கரை,kevî
109,Küste::N,கடற்கரை,berav
110,Festland::N,நிலம்,bejahî
111,Meer::N,கடல்,behr
112,Bucht::N,சிறுகுடா,derav
