,Concept_ID,ps,ps
0,Auge::N,سترګه,سترګه
1,Ohr::N,غوږ,غوږ
2,Nase::N,پوزه,پوزه
3,Mund::N,خوله,خوله
4,Zahn::N,غاښ,غاښ
5,Zunge::N,جبه,جبه
6,Lippe::N,شونډه,شونډه
7,Wange::N,باړخو,باړخو
8,Gesicht::N,مخ,مخ
9,Stirn::N,تندی,تندی
10,Stirn::N,تندی,وچولی
11,Stirn::N,وچولی,تندی
12,Stirn::N,وچولی,وچولی
13,Haar::N,وېښته,وېښته
14,Schnurrbart::N,برېت,برېت
15,Bart::N,ږیره,ږیره
16,Kinn::N,زنه,زنه
17,Kiefer[Anatomie]::N,جامه,جامه
18,Kehle::N,غاړه,غاړه
19,Hals::N,غاړه,غاړه
20,Genick::N,ورمېږ,ورمېږ
21,Kopf::N,سر,سر
22,Rücken::N,شا,شا
23,Bauch::N,نس,نس
24,Bauch::N,نس,ګېډه
25,Bauch::N,ګېډه,نس
26,Bauch::N,ګېډه,ګېډه
27,Nabel::N,نوم,نوم
28,Busen::N,تی,تی
29,Brust::N,سینه,سینه
30,Schulter::N,اوږه,اوږه
31,Arm::N,لاس,لاس
32,Ellenbogen::N,څنګل,څنګل
33,Hand::N,لاس,لاس
34,Handfläche::N,ورغوی,ورغوی
35,Finger::N,ګوته,ګوته
36,Fingernagel::N,نوک,نوک
37,Nagel[Anatomie]::N,نوک,نوک
38,Zeh::N,ګوته,ګوته
39,Fuß::N,پښه,پښه
40,Ferse::N,پونده,پونده
41,Knie::N,زنګون,زنګون
42,Oberschenkel::N,پتون,پتون
43,Bein::N,پښه,پښه
44,Körper::N,ځان,ځان
45,Haut::N,پوټکی,پوټکی
46,Blut::N,وینه,وینه
47,Ader::N,رګ,رګ
48,Sehne::N,پله,پله
49,Knochen::N,هډوکی,هډوکی
50,Gehirn::N,ماغزه,ماغزه
51,Herz::N,زړه,زړه
52,Magen::N,معده,معده
53,Leber::N,ينه,ينه
54,Leber::N,ينه,ځیګر
55,Leber::N,ځیګر,ينه
56,Leber::N,ځیګر,ځیګر
57,Atem::N,نفس,نفس
58,Hunger::N,ولږه,ولږه
59,Träne::N,اوښکه,اوښکه
60,Geschmack::N,مزه,مزه
61,Geschmack::N,مزه,خوند
62,Geschmack::N,خوند,مزه
63,Geschmack::N,خوند,خوند
64,Geruch::N,بوی,بوی
65,Schlaf::N,خوب,خوب
66,Traum::N,خوب,خوب
67,Himmel::N,اسمان,اسمان
68,Sonne::N,لمر,لمر
69,Mond::N,سپوږمۍ,سپوږمۍ
70,Stern::N,ستوری,ستوری
71,Luft::N,هوا,هوا
72,Wind::N,ورښ,ورښ
73,Welle::N,موج,موج
74,Wasser::N,اوبه,اوبه
75,Stein::N,ډبره,ډبره
76,Boden::N,مځکه,مځکه
77,Erde::N,خاوره,خاوره
78,Staub::N,ګرد,ګرد
79,Staub::N,ګرد,خاوره
80,Staub::N,خاوره,ګرد
81,Staub::N,خاوره,خاوره
82,Rauch::N,دود,دود
83,Rauch::N,دود,لوګی
84,Rauch::N,لوګی,دود
85,Rauch::N,لوګی,لوګی
86,Funke::N,سپرغۍ,سپرغۍ
87,Feuer::N,اور,اور
88,Licht::N,رڼا,رڼا
89,Schatten::N,سیوری,سیوری
90,Wetter::N,هوا,هوا
91,Nebel::N,لړه,لړه
92,Wolke::N,ورېځ,ورېځ
93,Regen::N,وریا,وریا
94,Regen::N,وریا,باران
95,Regen::N,باران,وریا
96,Regen::N,باران,باران
97,Schnee::N,واوره,واوره
