,Concept_ID,hu,ta
0,Auge::N,szem,கண்
1,Ohr::N,fül,காது
2,Nase::N,orr,மூக்கு
3,Mund::N,száj,வாய்
4,Zahn::N,fog,பல்
5,Zunge::N,nyelv,நாக்கு
6,Lippe::N,ajak,உதடு
7,Wange::N,orca,கன்னம்
8,Gesicht::N,arc,முகம்
9,Stirn::N,homlok,முன்னெற்றி
10,Haar::N,haj,முடி
11,Schnurrbart::N,bajusz,மீசை
12,Bart::N,szakáll,தாடி
13,Kinn::N,áll,கீழதாடை
14,Kiefer[Anatomie]::N,állkapocs,தாடை
15,Kehle::N,gége,தொண்டை
16,Kehle::N,torok,தொண்டை
17,Hals::N,nyak,கழுத்து
18,Genick::N,tarkó,கழுத்து
19,Kopf::N,fő,தலை
20,Kopf::N,fej,தலை
21,Rücken::N,hát,முதுகு
22,Bauch::N,has,வயிறு
23,Nabel::N,köldök,தொப்புள்
24,Busen::N,mell,மார்பகம்
25,Busen::N,kebel,மார்பகம்
26,Brust::N,mell, மார்பு
27,Schulter::N,váll,தோள்பட்டை
28,Arm::N,kar,கரம்
29,Ellenbogen::N,könyök,முழங்கை
30,Hand::N,kéz,கை
31,Handfläche::N,tenyér,உள்ளங்கை
32,Finger::N,ujj,விரல்
33,Fingernagel::N,köröm,விரல் நகம்
34,Nagel[Anatomie]::N,köröm,நகம்
35,Zeh::N,lábujj,கால்விரல்
36,Fuß::N,láb,கால்
37,Ferse::N,sarok,குதிகால்
38,Knie::N,térd,முழங்கால்
39,Oberschenkel::N,comb,தொடை
40,Bein::N,láb,கால்
41,Bein::N,lábszár,கால்
42,Körper::N,test,உடல்
43,Haut::N,bőr,சருமம்
44,Blut::N,vér,இரத்தம்
45,Ader::N,ér,நாளம்
46,Sehne::N,ín,தசைநார்
47,Knochen::N,csont,எலுமபு
48,Gehirn::N,agy,மூனை
49,Gehirn::N,agyvelő,மூனை
50,Herz::N,szív,இதயம
51,Magen::N,gyomor,வயிறு
52,Leber::N,máj,கல்லீரல்
53,Atem::N,lehelet,மூச்சு
54,Atem::N,lélegzet,மூச்சு
55,Hunger::N,éhség,பசி
56,Träne::N,könny,கண்ணீர்
57,Geschmack::N,íz,நறுமணம்
58,Geruch::N,szag,துர்நாற்றம்
59,Schlaf::N,álom,தூக்கம்
60,Schlaf::N,alvás,தூக்கம்
61,Traum::N,álom,கனவு
62,Himmel::N,ég,வானம்
63,Himmel::N,menny,வானம்
64,Sonne::N,nap,சூரியன்
65,Mond::N,hold,சந்திரன்
66,Stern::N,csillag,நட்சத்திரம்
67,Luft::N,levegő,காறறு
68,Wind::N,szél,காற்று
69,Welle::N,hullám,அலை
70,Wasser::N,víz,நீர்
71,Stein::N,kő,கல்
72,Boden::N,föld,தரை
73,Boden::N,talaj,தரை
74,Erde::N,föld,மண்
75,Staub::N,por,தூசி
76,Rauch::N,füst,புகை
77,Funke::N,szikra,தீப்பொறி
78,Feuer::N,tűz,தீ
79,Licht::N,fény,வெளிச்சம்
80,Schatten::N,árnyék,நிழல்
81,Wetter::N,idő,வானிலை
82,Wetter::N,időjárás,வானிலை
83,Nebel::N,köd,பனிமூட்டம்
84,Wolke::N,felhő,மேகம்
85,Regen::N,eső,மழை
86,Schnee::N,hó,உறைபனி
87,Eis::N,jég,பனிக்கட்டி
88,Frost::N,fagy,உறைபனி
89,Kälte::N,hideg,குளிர்ந்த
90,Hitze::N,hő,சூடு
91,Hitze::N,hőség,சூடு
92,Raureif::N,zúzmara,உறைபனி வெண்திரை
93,Regenbogen::N,szivárvány,வானவில்
94,Donner::N,dörgés,இடி
95,Donner::N,mennydörgés,இடி
96,Strömung::N,áramlat,நீரோட்டம்
97,Tropfen::N,csepp,துளி
98,Schaum::N,hab,நுரை
99,Schaum::N,tajték,நுரை
100,Schmutz::N,piszok,அழுக்கு
101,See::N,tó,ஏரி
102,Sumpf::N,mocsár,சதுப்பு நிலம்
103,Moor::N,láp,முட்புதற்காடு
104,Wiese::N,rét,பசும் புல்தரை
105,Wiese::N,mező,பசும் புல்தரை
106,Wald::N,erdő,காடு
107,Hügel::N,domb,குன்று
108,Anhöhe::N,magaslat,பதுக்கை
