,Concept_ID,mrj,hi
0,Auge::N,сӹнзӓ,आँख
1,Auge::N,сӹнзӓ,चक्षु
2,Ohr::N,пӹлӹш,कान
3,Ohr::N,пӹлӹш,कर्ण
4,Nase::N,нер,नाक
5,Nase::N,нер,नासा
6,Mund::N,ышма,मुख
7,Mund::N,ышма,मुँह
8,Zahn::N,пӱ,दंत
9,Zahn::N,пӱ,दाँत
10,Zunge::N,йӹлмӹ,जीभ
11,Zunge::N,йӹлмӹ,ज़बान
12,Zunge::N,йӹлмӹ,जिह्वा
13,Lippe::N,тӹрвӹ,ओंठ
14,Lippe::N,тӹрвӹ,होंठ
15,Wange::N,шӹргӹ,गाल
16,Wange::N,шӹргӹ,कपोल
17,Gesicht::N,лицӓ,मुँह
18,Gesicht::N,лицӓ,चेहरा
19,Stirn::N,лепкӓ,माथा
20,Stirn::N,лепкӓ,मस्तक
21,Haar::N,ӱп,बाल
22,Schnurrbart::N,öрш,मूँछें
23,Bart::N,пандаш,दाढ़ी
24,Kinn::N,онгылаш,चिबुक
25,Kiefer[Anatomie]::N,пӱ арата,जबड़ा
26,Kehle::N,логер,गला
27,Hals::N,шӱ,गला
28,Hals::N,шӱ,गरदन
29,Genick::N,ланга,गरदन
30,Genick::N,ланга,ग्रीवा
31,Kopf::N,вуй,सिर
32,Kopf::N,вуй,शीर्ष
33,Rücken::N,туп,पीठ
34,Bauch::N,мӹшкӹр,उदर
35,Nabel::N,кӹлӹмдӹ,नाभि
36,Nabel::N,кӹлӹмдӹ,ढोंढी
37,Busen::N,цӹзӹ,कुच
38,Busen::N,цӹзӹ,स्तन
39,Brust::N,мел,वक्ष
40,Schulter::N,ӹнгӹжӓ,कंधा
41,Schulter::N,ӹнгӹжӓ,स्कंध
42,Arm::N,кид,बाँह
43,Arm::N,кид,बाज़ू
44,Ellenbogen::N,кӹнервуй,कुहनी
45,Hand::N,лапа,हाथ
46,Hand::N,лапа,हस्त
47,Handfläche::N,кид лапа,हथेली
48,Finger::N,парня,उँगली
49,Finger::N,парня,अँगुली
50,Fingernagel::N,кӹч,नख
51,Fingernagel::N,кӹч,नाख़ून
52,Nagel[Anatomie]::N,кӹч,नख
53,Nagel[Anatomie]::N,кӹч,नाख़ून
54,Zeh::N,парня,उँगली
55,Zeh::N,парня,पाँव की उँगली
56,Fuß::N,ял лапа,चरण
57,Fuß::N,ял лапа,पाँव
58,Ferse::N,ялгавал,एड़ी
59,Ferse::N,ял кавал,एड़ी
60,Knie::N,пылвуй,जानु
61,Knie::N,пылвуй,घुटना
62,Oberschenkel::N,ӓрдӹ,उरु
63,Bein::N,ял,टाँग
64,Körper::N,монгыр,तन
65,Körper::N,монгыр,देह
66,Körper::N,монгыр,शरीर
67,Haut::N,кавашты,चर्म
68,Haut::N,кавашты,त्वचा
69,Blut::N,вӹр,लहू
70,Blut::N,вӹр,ख़ून
71,Ader::N,вӹршӓр,रग
72,Ader::N,вӹршӓр,शिरा
73,Sehne::N,кукшышӱн,कंडरा
74,Sehne::N,кукшышӱн,स्नायु
75,Knochen::N,лу,अस्थि
76,Gehirn::N,вим,दिमाग़
77,Gehirn::N,вим,मस्तिष्क
78,Herz::N,шӱм,दिल
79,Herz::N,шӱм,हृदय
80,Magen::N,шӱм,मेदा
81,Magen::N,шӱм,अमाशय
82,Leber::N,мокш,जिगर
83,Leber::N,мокш,यकृत्
84,Atem::N,шӱлӹш,दम
85,Atem::N,шӱлӹш,साँस
86,Atem::N,шӱлӹш,श्वास
87,Hunger::N,шужымаш,भूख
88,Hunger::N,шужымаш,क्षुधा
89,Träne::N,сӹнзӓвӹд,आँसू
90,Träne::N,сӹнзӓвӹд,अश्रु
91,Geschmack::N,тот,स्वाद
92,Geschmack::N,тот,ज़ायक़ा
93,Geruch::N,пыш,बू
94,Geruch::N,пыш,गंध
95,Schlaf::N,ом,नींद
96,Schlaf::N,ом,निद्रा
97,Traum::N,ом,सपना
98,Traum::N,ом,स्वप्न
99,Himmel::N,пӹлгом,आकाश
100,Himmel::N,пӹлгом,आसमान
101,Sonne::N,кечӹ,रवि
102,Sonne::N,кечӹ,सूरज
103,Sonne::N,кечӹ,सूर्य
104,Mond::N,тӹлзӹ,चाँद
105,Mond::N,тӹлзӹ,चंद्र
106,Stern::N,шӹдӹр,तारा
107,Stern::N,шӹдӹр,सितारा
108,Luft::N,юж,हवा
109,Luft::N,юж,वायु
110,Luft::N,воздух,हवा
111,Luft::N,воздух,वायु
112,Wind::N,мардеж,पाद
113,Welle::N,ко,लहर
114,Welle::N,ко,तरंग
115,Welle::N,коэ,लहर
116,Welle::N,коэ,तरंग
117,Wasser::N,вӹд,जल
118,Wasser::N,вӹд,पानी
119,Stein::N,кӱ,पत्थर
120,Boden::N,рок,मिट्टी
121,Erde::N,свет,भूमि
122,Erde::N,свет,ज़मीन
123,Staub::N,пырак,धूल
124,Rauch::N,шӹкш,धूआँ
125,Rauch::N,шӹкш,धुम्र
126,Funke::N,ип,चिनगारी
127,Funke::N,ип,स्फुलिंग
128,Funke::N,тылип,चिनगारी
129,Funke::N,тылип,स्फुलिंग
130,Feuer::N,тыл,आग
131,Feuer::N,тыл,आतिश
132,Feuer::N,тыл,अग्नि
133,Licht::N,соты,रोशनी
134,Licht::N,соты,प्रकाश
135,Licht::N,валгыды,रोशनी
136,Licht::N,валгыды,प्रकाश
