,Concept_ID,sl,cs
0,Auge::N,okó,oko
1,Ohr::N,uhó,ucho
2,Nase::N,nós,nos
3,Mund::N,ústa,pusa
4,Zahn::N,zób,zub
5,Zunge::N,jêzik,jazyk
6,Lippe::N,ústnica,ret
7,Wange::N,líce,tvář
8,Gesicht::N,oblíčje,obličej
9,Stirn::N,čêlo,čelo
10,Haar::N,lás,vlas
11,Haar::N,lás,vlasy
12,Schnurrbart::N,bŕki,kníry
13,Bart::N,bráda,vousy
14,Kinn::N,bráda,brada
15,Kiefer[Anatomie]::N,čeljúst,čelist
16,Kehle::N,gŕlo,hrdlo
17,Hals::N,vrát,krk
18,Genick::N,zatílnik,týl
19,Kopf::N,gláva,hlava
20,Rücken::N,hrbèt,záda
21,Rücken::N,hrbèt,hřbet
22,Bauch::N,trébuh,břicho
23,Nabel::N,pópek,pupek
24,Busen::N,nédrja,ňadra
25,Brust::N,pŕsi,prsa
26,Schulter::N,ráma,plece
27,Schulter::N,ráma,rameno
28,Schulter::N,plêče,plece
29,Schulter::N,plêče,rameno
30,Arm::N,rôka,ruka
31,Ellenbogen::N,komólec,loket
32,Hand::N,rôka,ruka
33,Handfläche::N,dlán,dlaň
34,Finger::N,pŕst,prst
35,Fingernagel::N,nóht na rôki,nehet
36,Nagel[Anatomie]::N,nóht,nehet
37,Zeh::N,pŕst na nôgi,prst u nohy
38,Fuß::N,nôga,noha
39,Ferse::N,pêta,pata
40,Knie::N,koléno,koleno
41,Oberschenkel::N,stêgno,stehno
42,Bein::N,nôga,noha
43,Körper::N,teló,tělo
44,Haut::N,kóža,kůže
45,Blut::N,krí,krev
46,Ader::N,žíla,céva
47,Sehne::N,kíta,šlacha
48,Knochen::N,kóst,kost
49,Gehirn::N,možgáni,mozek
50,Herz::N,srcé,srdce
51,Magen::N,želódec,žaludek
52,Leber::N,jétra,játra
53,Atem::N,díh,dech
54,Hunger::N,glád,hlad
55,Träne::N,sólza,slza
56,Geschmack::N,okús,vkus
57,Geruch::N,vónj,vůně
58,Geruch::N,vónj,zápach
59,Schlaf::N,sèn,spánek
60,Schlaf::N,spánec,spánek
61,Traum::N,sánje,sen
62,Himmel::N,nebó,nebe
63,Sonne::N,sónce,slunce
64,Mond::N,lúna,měsíc
65,Mond::N,mésec,měsíc
66,Stern::N,zvézda,hvězda
67,Luft::N,zràk,vzduch
68,Wind::N,véter,vítr
69,Welle::N,vál,vlna
70,Wasser::N,vôda,voda
71,Stein::N,kámen,kámen
72,Boden::N,tlà,půda
73,Erde::N,pŕst,země
74,Erde::N,zêmlja,země
75,Staub::N,práh,prach
76,Rauch::N,dìm,dým
77,Rauch::N,dìm,kouř
78,Funke::N,ískra,jiskra
79,Feuer::N,ôgenj,oheň
80,Licht::N,lúč,světlo
81,Schatten::N,sénca,stín
82,Wetter::N,vrême,počasí
83,Nebel::N,meglà,mlha
84,Wolke::N,oblák,mrak
85,Wolke::N,oblák,oblak
86,Regen::N,dèž,déšť
87,Schnee::N,snég,sníh
88,Eis::N,léd,led
89,Frost::N,zmrzál,mráz
90,Kälte::N,mràz,chlad
91,Hitze::N,pripéka,horko
92,Raureif::N,ívje,jinovatka
93,Raureif::N,slána,jinovatka
94,Regenbogen::N,mávrica,duha
95,Donner::N,gròm,hrom
96,Strömung::N,strúja,proudění
97,Tropfen::N,káplja,kapka
98,Schaum::N,péna,pěna
99,Schmutz::N,nesnága,špína
100,See::N,jézero,jezero
101,Sumpf::N,močvírje,močál
102,Sumpf::N,močvírje,bažina
103,Moor::N,bárje,bažina
104,Moor::N,bárje,slatina
105,Wiese::N,trávnik,louka
106,Wald::N,lés,les
107,Wald::N,gòzd,les
108,Hügel::N,brég,kopec
109,Hügel::N,goríca,kopec
110,Anhöhe::N,gríč,pahorek
111,Anhöhe::N,višína,pahorek
112,Berg::N,gôra,hora
113,Berg::N,planína,hora
114,Gipfel::N,vŕh,vrchol
115,Höhle::N,jáma,jeskyně
116,Höhle::N,votlína,jeskyně
117,Abhang::N,pobóčje,svah
118,Abhang::N,pobóčje,stráň
119,Quelle::N,izvír,pramen
120,Bach::N,pôtok,potok
121,Fluss::N,réka,řeka
122,Ufer::N,brég,břeh
123,Küste::N,obála,pobřeží
124,Küste::N,obréžje,pobřeží
125,Festland::N,celína,souš
126,Festland::N,celína,pevnina
127,Festland::N,kopnína,souš
128,Festland::N,kopnína,pevnina
129,Meer::N,mórje,moře
130,Bucht::N,zalív,záliv
131,Bucht::N,zalív,zátoka
132,Insel::N,ôtok,ostrov
133,Blume::N,cvetlíca,květina
134,Gras::N,tráva,tráva
135,Wurzel::N,korenína,kořen
136,Baum::N,drevó,strom
137,Stamm::N,dêblo,kmen
138,Rinde::N,lúbje,kůra
139,Rinde::N,skórja,kůra
140,Ast::N,véja,větev
141,Zweig::N,véja,větev
142,Blatt::N,líst,lupen
143,Birke::N,bréza,bříza
144,Kiefer[Baum]::N,bòr,sosna
145,Kiefer[Baum]::N,bòr,borovice
146,Weide[Baum]::N,vŕba,vrba
147,Tanne::N,hója,jedle
148,Horn::N,róg,roh
149,Feder::N,peró,pero
150,Fell::N,kŕzno,srst
151,Flügel::N,krílo,křídlo
152,Klaue::N,párkelj,dráp
153,Klaue::N,párkelj,pazneht
154,Kralle::N,krémpelj,dráp
155,Schwanz::N,rèp,ocas
156,Ei::N,jájce,vejce
157,Nest::N,gnézdo,hnízdo
158,Bau::N,brlòg,nora
159,Tier::N,živál,zvíře
160,Herde::N,čréda,stádo
161,Kuh::N,kráva,kráva
162,Bulle::N,bìk,býk
163,Pferd::N,kònj,kůň
164,Schaf::N,ôvca,ovce
165,Schwein::N,svínja,vepř
166,Schwein::N,svínja,prase
167,Hund::N,pès,pes
168,Katze::N,máčka,kočka
169,Bär::N,mêdved,medvěd
170,Eichhörnchen::N,véverica,veverka
171,Elch::N,lós,los
172,Fuchs::N,lisíca,liška
173,Hase::N,zájec,zajíc
174,Maus::N,mìš,myš
175,Wolf::N,vólk,vlk
176,Vogel::N,ptìč,pták
177,Vogel::N,ptíca,pták
178,Schwarm::N,játa,roj
179,Schwarm::N,játa,hejno
180,Huhn::N,kokóš,kuře
181,Huhn::N,kokóš,slepice
182,Hahn::N,petêlin,kohout
183,Gans::N,gós,husa
184,Adler::N,ôrel,orel
185,Ente::N,ráca,kachna
186,Eule::N,sôva,sova
187,Kranich::N,žerjàv,jeřáb
188,Krähe::N,vrána,vrána
189,Kuckuck::N,kúkavica,kukačka
190,Schwan::N,labód,labuť
191,Fisch::N,ríba,ryba
192,Barsch::N,ostríž,okoun
193,Hecht::N,ščúka,štika
194,Schlange[Tier]::N,káča,had
195,Wurm::N,čr̀v,červ
196,Wurm::N,glísta,červ
197,Spinne::N,pájek,pavouk
198,Ameise::N,mrávlja,mravenec
199,Laus::N,úš,veš
200,Mücke::N,komár,komár
201,Fliege::N,múha,moucha
202,Schmetterling::N,metúlj,motýl
203,Beere::N,jágoda,bobule
204,Apfel::N,jábolko,jablko
205,Pilz::N,góba,houba
206,Zwiebel::N,čebúla,cibule
207,Saat::N,séme,osivo
208,Korn::N,zŕno,zrno
209,Heu::N,senó,seno
210,Schale::N,lupína,slupka
211,Schale::N,lupína,skořápka
212,Grube::N,jáma,jáma
213,Falle::N,pást,past
214,Falle::N,pást,léčka
215,Schlinge::N,zánka,smyčka
216,Schlinge::N,pêtlja,smyčka
217,Spur::N,sléd,stopa
218,Asche::N,pepél,popel
219,Dreck::N,bláto,špína
220,Eisen::N,želézo,železo
221,Gold::N,zlató,zlato
222,Silber::N,srebró,stříbro
223,Kohle::N,ógel,uhlí
224,Glas::N,stêklo,sklo
225,Lehm::N,ílo,jíl
226,Lehm::N,ílo,hlína
227,Sand::N,pések,písek
228,Mensch::N,člôvek,člověk
229,Mann::N,móž,muž
230,Mann::N,môški,muž
231,Frau::N,gospá,žena
232,Frau::N,žénska,žena
233,Kind::N,déte,dítě
234,Kind::N,otròk,dítě
235,Junge::N,fànt,hoch
236,Junge::N,fànt,chlapec
237,Junge::N,déček,hoch
238,Junge::N,déček,chlapec
239,Mädchen::N,deklè,děvče
240,Mädchen::N,déklica,děvče
241,Familie::N,družína,rodina
242,Großvater::N,dèd,děd
243,Großvater::N,dèd,dědeček
244,Großvater::N,dédek,děd
245,Großvater::N,dédek,dědeček
246,Großmutter::N,bábica,babička
247,Eltern::N,stárši,rodiče
248,Vater::N,ôče,otec
249,Mutter::N,máma,matka
250,Sohn::N,sín,syn
251,Tochter::N,hčí,dcera
252,Tochter::N,hčérka,dcera
253,Bruder::N,bràt,bratr
254,Schwester::N,sêstra,sestra
255,Onkel::N,újec,strýc
256,Onkel::N,stríc,strýc
257,Tante::N,têta,teta
258,Tante::N,strína,teta
259,Ehemann::N,móž,choť
260,Ehemann::N,móž,manžel
261,Ehemann::N,sopróg,choť
262,Ehemann::N,sopróg,manžel
263,Ehefrau::N,žêna,choť
264,Ehefrau::N,žêna,manželka
265,Ehefrau::N,sopróga,choť
266,Ehefrau::N,sopróga,manželka
267,Freude::N,rádost,radost
268,Freude::N,vesêlje,radost
269,Gelächter::N,sméh,smích
270,Gelächter::N,grohòt,smích
271,Glück::N,sréča,štěstí
272,Kummer::N,gorjé,žal
273,Kummer::N,gorjé,trápení
274,Wunsch::N,žêlja,přání
275,Lust::N,poželênje,chuť
276,Geist::N,dúša,duch
277,Gedanke::N,mísel,myšlenka
278,Gedächtnis::N,pámet,paměť
279,Sinn::N,pomèn,smysl
280,Sinn::N,smísel,smysl
281,Grund::N,vzròk,důvod
282,Wahrheit::N,resníca,pravda
283,Gespräch::N,pogóvor,rozhovor
284,Märchen::N,právljica,pohádka
285,Erzählung::N,povést,povídka
286,Nachricht::N,sporočílo,zpráva
287,Neuigkeit::N,novóst,novina
288,Neuigkeit::N,novóst,novinka
289,Name::N,imé,jméno
290,Rätsel::N,ugánka,hádanka
291,Rede::N,góvor,řeč
292,Rede::N,góvor,proslov
293,Sprache::N,jêzik,řeč
294,Sprache::N,jêzik,jazyk
295,Stimme::N,glás,hlas
296,Wort::N,beséda,slovo
297,Zeichen::N,znák,znamení
298,Ruf::N,klíc,zavolání
299,Lärm::N,hrúp,hluk
300,Lärm::N,trúšč,hluk
301,Laut::N,glás,zvuk
302,Ton::N,tón,tón
303,Lied::N,pésem,píseň
304,Ruhe::N,pokòj,klid
305,Ruhe::N,pokòj,pokoj
306,Leute::N,ljudjé,lidé
307,Volk::N,národ,národ
308,Arbeit::N,délo,práce
309,Gast::N,gòst,host
310,Geschenk::N,darílo,dar
311,Spiel::N,ígra,hra
312,Gesellschaft::N,drúžba,společnost
313,Hilfe::N,pomóč,pomoc
314,Freund::N,prijátelj,přítel
315,Kamerad::N,továriš,kamarád
316,Angelegenheit::N,zadéva,záležitost
317,Anzahl::N,števílo,počet
318,Art::N,vŕsta,druh
319,Stück::N,kós,kus
320,Stück::N,kós,kousek
321,Teil::N,dél,díl
322,Teil::N,dél,část
323,Hälfte::N,polovíca,půl
324,Kreis::N,króg,kruh
325,Kreis::N,kolobár,kruh
326,Kreuz::N,kríž,kříž
327,Linie::N,próga,linka
328,Strich::N,čŕta,čára
329,Strich::N,čŕta,čárka
330,Abstand::N,preslédek,vzdálenost
331,Entfernung::N,oddáljenost,vzdálenost
332,Gegend::N,kràj,krajina
333,Gegend::N,dežêla,krajina
334,Platz::N,prôstor,prostor
335,Ort::N,mésto,místo
336,Seite::N,bòk,strana
337,Seite::N,strán,strana
338,Mitte::N,sredína,střed
339,Mitte::N,sredína,prostředek
340,Gegenstand::N,prédmet,předmět
341,Sache::N,réč,věc
342,Sache::N,stvár,věc
343,Rand::N,kràj,kraj
344,Rand::N,kràj,okraj
345,Kante::N,rób,hrana
346,Ecke::N,vogál,roh
347,Spitze::N,óst,hrot
348,Spitze::N,óst,špička
349,Ende::N,kônec,konec
350,Loch::N,lúknja,díra
351,Winkel::N,kót,kout
352,Muster::N,vzórec,vzor
353,Größe::N,veličína,velikost
354,Länge::N,dolžína,délka
355,Höhe::N,vršína,výška
356,Gewicht::N,téža,váha
357,Menge::N,količína,množství
358,Haufen::N,kùp,kupa
359,Haufen::N,kùp,hromada
360,Haufen::N,kopíca,kupa
361,Haufen::N,kopíca,hromada
362,Reihe::N,níz,řada
363,Reihe::N,níz,řádek
364,Reihe::N,vŕsta,řada
365,Reihe::N,vŕsta,řádek
366,Boot::N,čóln,člun
367,Ruder::N,vêslo,veslo
368,Schlitten::N,saní,sáně
369,Ski::N,smučí,lyže
370,Lagerfeuer::N,táborni ôgenj,táborák
371,Last::N,tôvor,náklad
372,Last::N,tôvor,břemeno
373,Gang::N,hòd,chůze
374,Gang::N,hòd,chodba
375,Schritt::N,korák,krok
376,Norden::N,séver,sever
377,Süden::N,júg,jih
378,Westen::N,zapàd,západ
379,Osten::N,vzhòd,východ
380,Holz::N,lés,dřevo
381,Brett::N,deskà,prkno
382,Platte::N,plôča,deska
383,Stütze::N,opóra,opěra
384,Stütze::N,zaslómba,opěra
385,Stange::N,gréd,tyč
386,Stange::N,gréd,tyčka
387,Stock::N,pálica,hůlka
388,Stab::N,pálica,hůl
389,Rohr::N,cév,trubka
390,Haus::N,híša,dům
391,Heim::N,dóm,domov
392,Ofen::N,péč,kamna
393,Fußboden::N,pòd,podlaha
394,Tisch::N,míza,stůl
395,Stuhl::N,stòl,židle
