,Concept_ID,no,myv
107,Moor::N,myr,чей
108,Moor::N,myrhei,чей
109,Wiese::N,eng,луга
110,Wald::N,skog,вирь
111,Hügel::N,haug,губорь
112,Hügel::N,haug,пандыне
113,Hügel::N,bakke,губорь
114,Hügel::N,bakke,пандыне
115,Anhöhe::N,haug,губорь
116,Anhöhe::N,haug,пандыне
117,Anhöhe::N,bakke,губорь
118,Anhöhe::N,bakke,пандыне
119,Berg::N,berg,пандо
120,Berg::N,fjell,пандо
121,Gipfel::N,topp,пря
122,Höhle::N,hule,пещера
123,Abhang::N,li,пандочама
124,Abhang::N,skråning,пандочама
125,Quelle::N,kilde,ушодкс
126,Bach::N,bekk,чудикерькс
127,Fluss::N,elv,лей
128,Ufer::N,bredd,чире
129,Küste::N,kyst,лейчире
130,Festland::N,fastland,мода
131,Meer::N,hav,моря
132,Bucht::N,bukt,усия
133,Insel::N,øy,усия
134,Blume::N,blomst,цеця
135,Gras::N,gress,тикше
136,Wurzel::N,rot,юр
137,Wurzel::N,rot,ундокс
138,Baum::N,tre,чувто
139,Stamm::N,stamme,рунго
140,Rinde::N,bark,суд
141,Rinde::N,bark,керь
142,Ast::N,gren,морго
143,Zweig::N,kvist,тарад
144,Blatt::N,blad,лопа
145,Birke::N,bjørk,килей
146,Kiefer[Baum]::N,furu,пиче
147,Weide[Baum]::N,selje,каль
148,Weide[Baum]::N,piletre,каль
149,Tanne::N,gran,куз
150,Horn::N,horn,сюро
151,Feder::N,fjær,толга
152,Fell::N,skinn,пона
153,Flügel::N,vinge,сёлмо
154,Klaue::N,klauv,кенже
155,Kralle::N,klo,кенже
156,Schwanz::N,hale,пуло
157,Ei::N,egg,ал
158,Nest::N,rede,пизэ
159,Bau::N,hi,варя
160,Bau::N,hi,пизе
161,Tier::N,dyr,ракша
162,Herde::N,flokk,стада
163,Kuh::N,ku,скал
164,Bulle::N,tyr,бука
165,Pferd::N,hest,лишме
166,Schaf::N,får,реве
167,Schwein::N,gris,туво
168,Hund::N,hund,пине
169,Hund::N,hund,киска
170,Katze::N,katt,псака
171,Bär::N,bjørn,овто
172,Eichhörnchen::N,ekorn,ур
173,Elch::N,elg,сярдо
174,Fuchs::N,rev,ривезь
175,Hase::N,hare,нумоло
176,Maus::N,mus,чеерь
177,Wolf::N,ulv,верьгиз
178,Wolf::N,varg,верьгиз
179,Vogel::N,fugl,нармунь
180,Schwarm::N,sverm,полк
181,Schwarm::N,sverm,стада
182,Huhn::N,høne,сараз
183,Hahn::N,hane,атякш
184,Gans::N,gås,гала
185,Gans::N,gås,мацей
186,Adler::N,ørn,куцькан
187,Adler::N,ørn,тумоатякш
188,Ente::N,and,яксярго
189,Eule::N,ugle,корж
190,Kranich::N,trane,карго
191,Krähe::N,kråke,варака
192,Kuckuck::N,gjøk,куко
193,Schwan::N,svane,локсей
194,Fisch::N,fisk,кал
195,Barsch::N,abbor,окунь
196,Hecht::N,gjedde,щука
197,Schlange[Tier]::N,orm,гуй
198,Schlange[Tier]::N,slange,гуй
199,Wurm::N,orm,сукс
200,Wurm::N,mark,сукс
201,Spinne::N,edderkopp,шанжав
202,Ameise::N,maur,коткудав
203,Laus::N,lus,сий
204,Mücke::N,mygg,сеське
205,Fliege::N,flue,карво
206,Schmetterling::N,sommerfugl,нимиляв
207,Beere::N,bær,умарь
208,Apfel::N,eple,умарь
209,Pilz::N,sopp,панго
210,Zwiebel::N,løk,чурька
211,Saat::N,sæd,видьметь
212,Korn::N,korn,сюро
213,Heu::N,høy,тикше
214,Schale::N,skall,кедь
215,Schale::N,skall,ваткавкс
216,Grube::N,grop,латко
217,Falle::N,felle,тувор
218,Falle::N,felle,кундамка
219,Schlinge::N,snare,килькш
220,Spur::N,spor,челькс
221,Spur::N,spor,пильгеки
222,Asche::N,aske,кулов
223,Dreck::N,møkk,рудаз
224,Dreck::N,skitt,рудаз
225,Eisen::N,jern,кшни
226,Gold::N,gull,сырне
227,Silber::N,sølv,сия
228,Kohle::N,kol,сэдь
229,Kohle::N,kol,уголия
230,Kohle::N,kull,сэдь
231,Kohle::N,kull,уголия
232,Glas::N,glass,сулика
233,Lehm::N,leire,сёвонь
234,Sand::N,sand,човар
235,Mensch::N,menneske,ломань
236,Mann::N,mann,аля
237,Mann::N,mann,цёраломань
238,Frau::N,kvinne,ава
239,Kind::N,barn,эйкакш
240,Junge::N,gutt,цёрыне
241,Mädchen::N,pike,тейтерне
242,Mädchen::N,jente,тейтерне
243,Familie::N,familie,семия
244,Großvater::N,bestefar,покштя
245,Großmutter::N,bestemor,баба
246,Eltern::N,foreldre,тетят-ават
247,Vater::N,far,тетя
248,Mutter::N,mor,ава
249,Sohn::N,sønn,цёра
250,Tochter::N,datter,тейтерь
251,Bruder::N,bror,леля
252,Bruder::N,bror,ялакс
253,Schwester::N,søster,сазор
254,Onkel::N,onkel,леля
255,Tante::N,tante,патя
256,Ehemann::N,ektemann,мирде
257,Ehefrau::N,hustru,ни
258,Freude::N,glede,кеняркс
259,Gelächter::N,latter,ракамо
260,Gelächter::N,latter,пейдема
261,Glück::N,lykke,уцяска
262,Kummer::N,sorg,рискс
263,Kummer::N,sorg,мелявкс
264,Wunsch::N,ønske,мель
265,Wunsch::N,ønske,бажамо
266,Lust::N,lyst,бажамо
267,Geist::N,ånd,ойме
268,Gedanke::N,tanke,мель
269,Gedächtnis::N,minne,мель
270,Gedächtnis::N,hukommelse,мель
271,Verstand::N,forstand,прев
272,Sinn::N,mening,толк
273,Sinn::N,mening,смысла
274,Sinn::N,betydning,толк
275,Sinn::N,betydning,смысла
276,Grund::N,grunn,тувтал
277,Wahrheit::N,sannhet,видечи
278,Gespräch::N,samtale,кортнема
279,Märchen::N,eventyr,ёвкс
280,Erzählung::N,fortelling,ёвтнема
281,Nachricht::N,melding,куля
282,Neuigkeit::N,nyhet,куля
283,Name::N,navn,лем
284,Rätsel::N,gåte,содамоёвкс
285,Rede::N,tale,кортамо
286,Sprache::N,språk,кель
287,Stimme::N,stemme,ваигель
288,Wort::N,ord,вал
289,Zeichen::N,tegn,теште
290,Ruf::N,rop,тердема
291,Lärm::N,bråk,шалнома
292,Laut::N,lyd,вайгель
293,Ton::N,tone,гайнема
294,Lied::N,vise,моро
295,Ruhe::N,ro,оймамо
296,Leute::N,folk,ломанть
297,Volk::N,folk,народ
298,Arbeit::N,arbeid,тев
299,Gast::N,gjest,инже
300,Geschenk::N,gave,казне
301,Spiel::N,lek,налксема
302,Spiel::N,spill,налксема
303,Gesellschaft::N,selskap,община
304,Hilfe::N,hjelp,лездамо
305,Freund::N,venn,оя
306,Freund::N,venn,ялга
307,Kamerad::N,kamerat,оя
308,Kamerad::N,kamerat,ялга
309,Angelegenheit::N,sak,тев
310,Angelegenheit::N,anliggende,тев
311,Anzahl::N,antall,ламоксчи
312,Art::N,art,вид
313,Art::N,slag,вид
314,Stück::N,stykke,пакш
315,Stück::N,stykke,пелькс
316,Teil::N,del,часть
317,Teil::N,del,пелькс
318,Hälfte::N,halvdel,пель
319,Hälfte::N,halvdel,пелькс
320,Kreis::N,ring,кирькс
321,Kreis::N,sirkel,кирькс
322,Kreuz::N,kors,крёст
323,Kreuz::N,kryss,крёст
324,Linie::N,linje,кикс
325,Strich::N,strek,межа
326,Abstand::N,avstand,ютко
327,Entfernung::N,avstand,ютко
328,Gegend::N,strøk,тарка
329,Gegend::N,strøk,пертьпелькс
330,Platz::N,plass,васолкс
331,Ort::N,sted,тарка
332,Seite::N,side,ён
333,Seite::N,side,чире
334,Mitte::N,midte,куншка
335,Gegenstand::N,gjenstand,предмет
336,Sache::N,sak,тев
337,Sache::N,sak,веща
338,Rand::N,rand,пе
339,Rand::N,rand,чире
340,Kante::N,kant,ирдез
341,Ecke::N,hjørne,ужо
342,Spitze::N,spiss,пряне
343,Spitze::N,spiss,пе
344,Ende::N,ende,пе
345,Loch::N,hull,варя
346,Winkel::N,vinkel,ужо
347,Muster::N,mønster,сёрма
348,Größe::N,størrelse,сэрь
349,Größe::N,størrelse,покшолма
350,Länge::N,lengde,кувалмо
351,Höhe::N,høyde,сэрь
352,Höhe::N,høyde,пандо
353,Gewicht::N,vekt,сталмо
354,Menge::N,mengde,лововкс
355,Haufen::N,haug,мар
356,Haufen::N,haug,валявкс
357,Haufen::N,bunke,мар
358,Haufen::N,bunke,валявкс
359,Reihe::N,rekke,ряд
360,Boot::N,båt,венч
361,Ruder::N,åre,милё
362,Schlitten::N,slede,нурдт
363,Schlitten::N,kjelke,нурдт
364,Ski::N,ski,сокс
365,Lagerfeuer::N,leirbål,толбандя
366,Last::N,bør,сталмо
367,Last::N,bør,кандома
368,Last::N,last,сталмо
369,Last::N,last,кандома
370,Gang::N,gang,молема
371,Gang::N,gang,якамо
372,Schritt::N,steg,эскелькс
373,Schritt::N,skritt,эскелькс
374,Norden::N,nord,якшамо ёнкс
375,Süden::N,sør,лембе ёнкс
376,Westen::N,vest,чивалгома
377,Osten::N,øst,чилисема
378,Holz::N,tre,чувто
379,Brett::N,fjøl,лаз
380,Brett::N,brett,лаз
381,Platte::N,plate,плита
382,Stütze::N,støtte,неже
383,Stange::N,stang,олга
384,Stock::N,pinne,мандо
385,Stab::N,stav,олога
386,Stab::N,kjepp,олога
387,Rohr::N,rør,турба
388,Haus::N,hus,кудо
389,Heim::N,hjem,кудо
390,Ofen::N,ovn,каштомо
391,Fußboden::N,gulv,киякс
392,Tisch::N,bord,столь
393,Stuhl::N,stol,стул
394,Wiege::N,vogge,лавсь
395,Wiege::N,vogge,нурямот
396,Bett::N,seng,ацамо
397,Regal::N,reol,лався
398,Regal::N,reol,лавсяланго
399,Regal::N,hylle,лався
400,Regal::N,hylle,лавсяланго
401,Kiste::N,kasse,горобия
402,Kiste::N,kasse,сундук
403,Fenster::N,vindu,вальма
404,Tür::N,dør,кенкш
405,Tor::N,port,ортат
406,Zaun::N,gjerde,пирявт
407,Zaun::N,gjerde,пирвякс
408,Dach::N,tak,кудопря
409,Leiter::N,stige,кузтема
410,Besen::N,kost,тенсть
411,Spaten::N,spade,койме
412,Schaufel::N,skuffe,кече
413,Schaufel::N,skuffe,келей койме
414,Gabel::N,gaffel,сянгине
415,Löffel::N,skje,пенч
416,Messer::N,kniv,пеель
417,Nagel::N,spiker,эске
418,Netz::N,nett,алтыма
419,Haken::N,krok,кечказ
420,Griff::N,tak,кедне
421,Griff::N,håndtak,кедне
422,Schloss::N,lås,замок
423,Schloss::N,lås,панжома
424,Bild::N,bilde,картина
425,Figur::N,figur,рунго
426,Puppe::N,dukke,няка
427,Beutel::N,pose,кескав
428,Bündel::N,bylt,керькс
429,Tasche::N,veske,юдма
430,Eimer::N,bøtte,ведра
431,Deckel::N,lokk,велькс
432,Geschirr::N,kjøkkentøy,кедьге
433,Sack::N,sekk,кескав
434,Tasse::N,kopp,чакш
435,Topf::N,gryte,кастрюля
436,Kessel::N,kjele,котёл
437,Essen::N,mål,ярсамо
438,Nahrung::N,mat,ярсамопель
439,Nahrung::N,næring,ярсамопель
440,Speise::N,matrett,ярсамопель
441,Fleisch::N,kjøtt,сывель
442,Getreide::N,korn,сюро
443,Brei::N,grøt,каша
444,Brot::N,brød,кши
445,Scheibe::N,skive,кочом
446,Scheibe::N,skive,сускомо
447,Fett::N,fett,куя
448,Butter::N,smør,ой
449,Öl::N,olje,ой
450,Salz::N,salt,сал
451,Suppe::N,suppe,ям
452,Honig::N,honning,медь
453,Milch::N,melk,ловсо
454,Tee::N,te,чай
455,Leder::N,lær,киське
456,Leder::N,skinn,киське
457,Wolle::N,ull,пона
458,Stoff::N,tøy,коцт
459,Stoff::N,stoff,коцт
460,Nadel::N,nål,салмукс
461,Faden::N,tråd,суре
462,Knopf::N,knapp,пов
463,Knoten::N,knute,сюлмо
464,Farbe::N,farge,артомапель
465,Kleidung::N,påkledning,оршамот
466,Hemd::N,skjorte,панар
467,Kragen::N,krage,сиве
468,Ärmel::N,erme,ожа
469,Hose::N,bukse,понкст
470,Gürtel::N,belte,каркс
471,Mütze::N,lue,чапка
