,Concept_ID,mn,uk
0,Auge::N,нүд,око
1,Ohr::N,чих,вухо
2,Nase::N,хамар,ніс
3,Mund::N,ам,рот
4,Zahn::N,шүд,зуб
5,Zunge::N,хэл,язик
6,Lippe::N,уруул,губа
7,Wange::N,хацар,щока
8,Gesicht::N,царай,обличчя
9,Gesicht::N,нүүр,обличчя
10,Stirn::N,дух,лоб
11,Haar::N,үс,волосся
12,Schnurrbart::N,дээд сахал,вуса
13,Schnurrbart::N,живэр сахал,вуса
14,Bart::N,сахал,борода
15,Kinn::N,эрүү,підборіддя
16,Kiefer[Anatomie]::N,эрүү,щелепа
17,Kehle::N,хоолой,горло
18,Hals::N,хүзүү,шия
19,Genick::N,шил,потилиця
20,Genick::N,хүзүү,потилиця
21,Kopf::N,толгой,голова
22,Rücken::N,ар,спина
23,Rücken::N,нуруу,спина
24,Bauch::N,хэвлий,живіт
25,Bauch::N,гэдэс,живіт
26,Nabel::N,хүйс,пупок
27,Busen::N,хөх,груди
28,Brust::N,цээж,груди
29,Schulter::N,мөр,плече
30,Schulter::N,бугалга,плече
31,Arm::N,гар,рука
32,Ellenbogen::N,тохой,лікоть
33,Hand::N,гар,рука
34,Hand::N,алга,рука
35,Handfläche::N,алга,долоня
36,Finger::N,хуруу,палець
37,Fingernagel::N,хурууны хумс,ніготь
38,Nagel[Anatomie]::N,хумс,ніготь
39,Zeh::N,хуруу,палець на нозі
40,Fuß::N,хөл,нога
41,Ferse::N,өсгий,п’ятка
42,Knie::N,өвдөг,коліно
43,Oberschenkel::N,гуя,стегно
44,Bein::N,хөл,нога
45,Körper::N,бие,тіло
46,Haut::N,арьс,шкіра
47,Blut::N,цус,кров
48,Ader::N,судас,вена
49,Sehne::N,бүлх,сухожилля
50,Sehne::N,шандас,сухожилля
51,Knochen::N,яс,кістка
52,Gehirn::N,тархи,мозок
53,Herz::N,зүрх,серце
54,Magen::N,ходоод,шлунок
55,Leber::N,элэг,печінка
56,Atem::N,амьсгаа,дихання
57,Hunger::N,өлсгөлөн,голод
58,Träne::N,нулимс,сльоза
59,Geschmack::N,амт,смак
60,Geruch::N,үнэр,запах
61,Schlaf::N,нойр,сон
62,Schlaf::N,нойр,сплячка
63,Traum::N,зүүд,сон
64,Himmel::N,тэнгэр,небо
65,Himmel::N,огторгуй,небо
66,Sonne::N,нар,сонце
67,Mond::N,сар,місяць
68,Stern::N,од,зірка
69,Luft::N,агаар,повітря
70,Wind::N,салхи,вітер
71,Welle::N,долгио,хвиля
72,Welle::N,давалгаа,хвиля
73,Wasser::N,ус,вода
74,Stein::N,чулуу,камінь
75,Boden::N,хөрс,ґрунт
76,Erde::N,газар,земля
77,Erde::N,шороо,земля
78,Staub::N,тоос,пил
79,Rauch::N,утаа,дим
80,Funke::N,оч,іскра
81,Feuer::N,гал,вогонь
82,Licht::N,гэрэл,світло
83,Licht::N,гэгээ,світло
84,Schatten::N,сүүдэр,тінь
85,Wetter::N,тэнгэр,погода
86,Wetter::N,цаг уур,погода
87,Nebel::N,будан,туман
88,Wolke::N,үүл,хмара
89,Regen::N,бороо,дощ
90,Schnee::N,цас,сніг
91,Eis::N,мөс,лід
92,Frost::N,хүйт,мороз
93,Kälte::N,хүйт,холод
94,Hitze::N,халуун,жар
95,Raureif::N,цан,іній
96,Raureif::N,хяруу,іній
97,Regenbogen::N,солонго,райдуга
98,Donner::N,тэнгэрийн дуу,грім
99,Strömung::N,урсгал,струмина
100,Tropfen::N,дусал,крапля
