,Concept_ID,sah,cy
0,Auge::N,харах,llygad
1,Ohr::N,кулгаах,clust
2,Nase::N,мурун,trwyn
3,Mund::N,айах,ceg
4,Zahn::N,тиис,dant
5,Zunge::N,тыл,tafod
6,Lippe::N,уос,gwefus
7,Wange::N,иэдэс,boch
8,Gesicht::N,сирэй,wyneb
9,Stirn::N,сүүс,talcen
10,Haar::N,баттах,blew
11,Schnurrbart::N,уос бытыга,mwstas
12,Bart::N,сэҥийэ бытыга,barf
13,Kinn::N,сэҥийэ,gên
14,Kiefer[Anatomie]::N,сыҥаах,gên
15,Kehle::N,тамах,gwddf
16,Kehle::N,күөмэй,gwddf
17,Hals::N,моой,gwddf
18,Genick::N,кэтэх,gwar
19,Genick::N,кэтэх,gwegil
20,Kopf::N,бас,pen
21,Rücken::N,көҕүс,cefn
22,Bauch::N,ис,bol
23,Nabel::N,киин,bogail
24,Busen::N,эмиий,bron
25,Brust::N,түөс,brest
26,Schulter::N,сарын,ysgwydd
27,Arm::N,илии,braich
28,Ellenbogen::N,тоҕонох,penelin
29,Hand::N,илии,llaw
30,Handfläche::N,ытыс,palf
31,Finger::N,тарбах,bys
32,Fingernagel::N,тыҥырах,ewin
33,Nagel[Anatomie]::N,тыҥырах,ewin
34,Zeh::N,тарбах,bys troed
35,Fuß::N,уллуҥах,troed
36,Ferse::N,тилэх,sawdl
37,Knie::N,тобук,glin
38,Knie::N,дьилбэк,glin
39,Oberschenkel::N,уллук,clun
40,Oberschenkel::N,өттүк,clun
41,Bein::N,атах,coes
42,Körper::N,бэйэ,corff
43,Haut::N,тирии,croen
44,Blut::N,хаан,gwaed
45,Ader::N,вена,gwythïen
46,Ader::N,күөх_тымыр,gwythïen
47,Sehne::N,иҥиир,gewyn
48,Knochen::N,уҥуох,asgwrn
49,Knochen::N,уҥгуох,asgwrn
50,Gehirn::N,мэйии,ymennydd
51,Herz::N,сүрэх,calon
52,Magen::N,куртах,cylla
53,Magen::N,куртах,stumog
54,Leber::N,быар,iau
55,Atem::N,тыын,anadl
56,Hunger::N,аас,newyn
57,Träne::N,харах уута,deigryn
58,Geschmack::N,амтан,cyflas
59,Geruch::N,сыт,aroglau
60,Schlaf::N,утуйуу,cwsg
61,Traum::N,түүл,breuddwyd
62,Himmel::N,халлаан,awyr
63,Sonne::N,күн,haul
64,Mond::N,ый,lleuad
65,Stern::N,сулус,seren
66,Luft::N,салгын,awyr
67,Wind::N,тыал,gwynt
68,Welle::N,долгун,ton
69,Welle::N,балхаан,ton
70,Wasser::N,уу,dŵr
71,Stein::N,таас,carreg
72,Boden::N,сир,llawr
73,Erde::N,буор,pridd
74,Staub::N,быыл,llwch
75,Rauch::N,буруо,mwg
76,Funke::N,кыым,gwreichioni
77,Feuer::N,уот,tân
78,Licht::N,уот,golau
79,Schatten::N,күлүк,cysgod
80,Wetter::N,күн-дьыл,tywydd
81,Nebel::N,туман,niwl
82,Wolke::N,былыт,cwmwl
83,Regen::N,самыыр,glaw
84,Schnee::N,хаар,ôd
85,Schnee::N,хаар,eira
86,Eis::N,муус,iâ
87,Frost::N,тымныы,rhew
88,Kälte::N,тымныы,oerni
89,Kälte::N,тымныы,annwyd
90,Hitze::N,куйаас,gwres
91,Raureif::N,кырыа,barrug
92,Regenbogen::N,кустук,enfys
93,Donner::N,этиҥ,tyrfau
94,Strömung::N,сүүрүк,cerrynt
95,Tropfen::N,таммах,dafn
96,Tropfen::N,таммах,diferyn
97,Tropfen::N,хааппыла,dafn
98,Tropfen::N,хааппыла,diferyn
99,Schaum::N,күүгэн,ewyn
100,Schmutz::N,кир,baw
101,Schmutz::N,кир,budreddi
102,See::N,күөл,llyn
103,Sumpf::N,бадараан,cors
104,Moor::N,дьэбэрэ,rhos
105,Wiese::N,ходуһа,dôl
106,Wald::N,ойуур,coedwig
107,Hügel::N,булгунньах,bryn
108,Anhöhe::N,үрдэл,bryn
109,Berg::N,хайа,mynydd
110,Gipfel::N,чыпчаал,copa
111,Höhle::N,хайа_хаспаҕа,ogof
112,Höhle::N,көҥүс,ogof
113,Abhang::N,эниэ,llethr
114,Quelle::N,дьүүктэ,tarddiad
115,Quelle::N,дьүүктэ,ffynhonnell
116,Bach::N,үрүйэ,nant
117,Bach::N,үрүйэ,afonig
118,Bach::N,үрүйэ,cornant
119,Fluss::N,өрүс,afon
120,Ufer::N,биэрэк,glan
121,Küste::N,кытыл,traeth
122,Küste::N,кытыл,arfordir
123,Festland::N,кураанах сир,tir
124,Meer::N,муора,môr
125,Bucht::N,хомо,bae
126,Bucht::N,бухта,bae
127,Insel::N,арыы,ynys
128,Blume::N,сибэкки,blodyn
129,Gras::N,от,glaswellt
130,Wurzel::N,силис,gwreiddyn
131,Baum::N,мас,coeden
132,Stamm::N,умнас,colfen
133,Stamm::N,умнас,boncyff
134,Rinde::N,хатырык,rhisgl
135,Ast::N,мутук,cangen
136,Zweig::N,лабаа,cainc
137,Zweig::N,лабаа,cangen
138,Blatt::N,сэбирдэх,deilen
139,Birke::N,хатыҥ,bedwen
140,Kiefer[Baum]::N,бэс,pinwydden
141,Weide[Baum]::N,үөт,helygen
142,Weide[Baum]::N,талах,helygen
143,Tanne::N,харыйа,ffynidwydden
144,Horn::N,муос,corn
145,Feder::N,куорсун,plufyn
146,Fell::N,тирии,ffwr
147,Flügel::N,кынат,adain
148,Klaue::N,тыҥырах,crafanc
149,Kralle::N,баппаҕай,ewin
150,Schwanz::N,кутурук,cwt
151,Schwanz::N,кутурук,cynffon
152,Ei::N,сымыыт,wy
153,Nest::N,уйа,nyth
154,Bau::N,хороон,ffau
155,Tier::N,кыыл,anifail
156,Tier::N,харамай,anifail
157,Herde::N,үөр,praidd
158,Herde::N,үөр,diadell
159,Kuh::N,ынах,buwch
160,Bulle::N,оҕус,tarw
161,Pferd::N,сылгы,ceffyl
162,Schaf::N,овца,dafad
163,Schwein::N,сибиинньэ,mochyn
164,Hund::N,ыт,ci
165,Katze::N,куоска,cath
166,Bär::N,эһэ,arth
167,Eichhörnchen::N,тииҥ,gwiwer
168,Elch::N,тайах,elc
169,Fuchs::N,саһыл,cadno
170,Hase::N,куобах,ysgyfarnog
171,Maus::N,кутуйах,llygoden
172,Wolf::N,бөрө,blaidd
173,Vogel::N,көтөр,aderyn
174,Schwarm::N,бөлөх,haid
175,Huhn::N,куурусса,cyw
176,Hahn::N,бөтүүк,ceiliog
177,Gans::N,хаас,gŵydd
178,Adler::N,хотой,eryr
179,Ente::N,кус,hwyad
180,Eule::N,мэкчиргэ,tylluan
181,Kranich::N,туруйа,garan
182,Kranich::N,туруйа,crychydd
183,Krähe::N,тураах,brân
184,Kuckuck::N,кэҕэ,cog
185,Kuckuck::N,кэҕэ,cwcw
186,Schwan::N,куба,alarch
187,Fisch::N,балык,pysgod
188,Barsch::N,алыһар,draenog
189,Hecht::N,сордон,penhwyad
190,Schlange[Tier]::N,моҕой,neidr
191,Schlange[Tier]::N,эриэн үөн,neidr
192,Wurm::N,үөн,abwydyn
193,Wurm::N,үөн,pryf genwair
194,Spinne::N,ооҕуй,cor
195,Spinne::N,ооҕуй,pryf copyn
196,Ameise::N,кымырдаҕас,morgrugyn
197,Laus::N,быт,lleuen
198,Mücke::N,кумаар,gwybedyn
199,Fliege::N,сахсырҕа,cleren
200,Schmetterling::N,лыах,glöyn byw
201,Schmetterling::N,лыах,iâr fach yr haf
202,Schmetterling::N,үрүмэччи,glöyn byw
203,Schmetterling::N,үрүмэччи,iâr fach yr haf
204,Beere::N,отон,aeronen
205,Apfel::N,яблоко,afal
206,Pilz::N,тэллэй,madarch
207,Zwiebel::N,луук,nionyn
208,Zwiebel::N,луук,winwnsyn
209,Saat::N,сиэмэ,had
210,Korn::N,сиэмэ,grawn
211,Heu::N,от,gwair
212,Schale::N,хах,croen
213,Schale::N,хах,plisgyn
214,Grube::N,дьаама,pwll
215,Grube::N,дьаама,pydew
216,Falle::N,сохсо,magl
217,Schlinge::N,уктаа,cwlwm rhedeg
218,Spur::N,суол,ôl
219,Asche::N,күл,lludw
220,Dreck::N,бадараан,baw
221,Dreck::N,бадараан,budreddi
222,Eisen::N,тимир,haearn
223,Gold::N,көмүс,aur
224,Gold::N,кыһыл көмүс,aur
225,Silber::N,көмүс,arian
226,Silber::N,үрүҥ көмүс,arian
227,Kohle::N,чох,glo
228,Glas::N,өстүөкүлэ,gwydr
229,Lehm::N,туой,clai
230,Sand::N,кумах,tywod
231,Mensch::N,киһи,dyn
232,Mann::N,эр,dyn
233,Frau::N,дьахтар,merch
234,Frau::N,дьахтар,gwraig
235,Kind::N,оҕо,plentyn
236,Junge::N,уол,hogyn
237,Junge::N,уол,bachgen
238,Mädchen::N,кыыс оҕо,merch
239,Mädchen::N,кыыс оҕо,geneth
240,Familie::N,кэргэн,teulu
241,Familie::N,кэргэн,tylwyth
242,Großvater::N,эһэ,taid
243,Großvater::N,эһэ,tad-cu
244,Großmutter::N,эбэ,nain
245,Großmutter::N,эбэ,mam-gu
246,Eltern::N,аҕа-ийэ,rhieni
247,Vater::N,аҕа,tad
248,Mutter::N,ийэ,mam
249,Sohn::N,уол,mab
250,Tochter::N,кыыс,merch
251,Bruder::N,убай,brawd
252,Bruder::N,быраат,brawd
253,Schwester::N,аҕас,chwaer
254,Schwester::N,балыс,chwaer
255,Onkel::N,таай,ewythr
256,Onkel::N,абаҕа,ewythr
257,Tante::N,эдьиий,modryb
258,Ehemann::N,эр,gŵr
259,Ehefrau::N,ойох,gwraig
260,Freude::N,үөрүү,gorfoledd
261,Gelächter::N,күлүү,chwerthin
262,Glück::N,дьол,hapusrwydd
263,Glück::N,соргу,hapusrwydd
264,Kummer::N,кутурҕан,galar
265,Wunsch::N,баҕарыы,dymuniad
266,Lust::N,баҕа,chwant
267,Geist::N,тыын,ysbryd
268,Gedanke::N,санаа,meddwl
269,Gedächtnis::N,өй,cof
270,Verstand::N,өй,meddwl
271,Sinn::N,суолта,ystyr
272,Grund::N,төрүөт,achos
273,Grund::N,төрүөт,rheswm
274,Wahrheit::N,кырдьык,gwir
275,Wahrheit::N,кырдьык,gwirionedd
276,Gespräch::N,бэсиэдэ,sgwrs
277,Gespräch::N,кэпсэтии,sgwrs
278,Märchen::N,остуоруйа,chwedl werin
279,Erzählung::N,кэпсээн,stori
280,Nachricht::N,биллэриллии,neges
281,Neuigkeit::N,сонун,newydd
282,Name::N,аат,enw
283,Rätsel::N,таабырын,pos
284,Rede::N,этии,araith
285,Sprache::N,тыл,iaith
286,Stimme::N,куолас,llais
287,Wort::N,тыл,gair
288,Zeichen::N,бэлиэ,arwydd
289,Ruf::N,ыҥырыы,galwad
290,Lärm::N,айдаан,trwst
291,Laut::N,тыас,sain
292,Ton::N,дорҕоон,tôn
293,Lied::N,ырыа,cân
294,Ruhe::N,уу чуумпу,tawelwch
295,Leute::N,дьон,pobl
296,Volk::N,дьон,pobl
297,Volk::N,норуот,pobl
298,Arbeit::N,үлэ,gwaith
299,Gast::N,ыалдьыт,gwestai
300,Geschenk::N,бэлэх,rhodd
301,Geschenk::N,бэлэх,anrheg
302,Spiel::N,оонньуу,chwarae
303,Gesellschaft::N,общество,cwmni
304,Hilfe::N,көмө,cymorth
305,Freund::N,доҕор,cyfaill
306,Kamerad::N,атас,cydymaith
307,Angelegenheit::N,дьыала,pwnc
308,Anzahl::N,ахсаан,cyfrif
309,Art::N,биис,bath
310,Stück::N,кырбас,darn
311,Teil::N,ирээт,rhan
312,Hälfte::N,аҥар,hanner
313,Kreis::N,төгүрүк,cylch
314,Kreis::N,төгүрүмтэ,cylch
315,Kreuz::N,кириэс,croes
316,Linie::N,сурааһын,llinell
317,Strich::N,сурааһын,strôc
318,Strich::N,сурааһын,trawiad
319,Abstand::N,арыт,bwlch
320,Abstand::N,арыт,pellter
321,Entfernung::N,ыраах,pellter
322,Gegend::N,сир,cylch
323,Platz::N,арыт,lle
324,Ort::N,сир,lle
325,Seite::N,өрүт,ochr
326,Seite::N,сирэй,ochr
327,Mitte::N,орто,canol
328,Gegenstand::N,предмет,eitem
329,Sache::N,мал,peth
330,Rand::N,кытыы,cwr
331,Rand::N,кытыы,ymyl
332,Rand::N,ойоҕос,cwr
333,Rand::N,ойоҕос,ymyl
334,Kante::N,кырыы,min
335,Kante::N,кырыы,ymyl
336,Ecke::N,муннук,cornel
337,Spitze::N,чыпчаал,blaen
338,Ende::N,төбө,pen
339,Loch::N,тэһэҕэс,twll
340,Loch::N,дьөлөҕөс,twll
341,Winkel::N,муннук,congl
342,Muster::N,оһуор,patrwm
343,Größe::N,кээмэй,maint
344,Größe::N,кээмэй,maintioli
345,Länge::N,уста,hyd
346,Höhe::N,үрдүк,uchder
347,Gewicht::N,ыйааһын,pwysau
348,Menge::N,ахсаан,swm
349,Menge::N,ахсаан,maint
350,Haufen::N,чөмчөх,pentwr
351,Reihe::N,кэккэ,rhes
352,Boot::N,оҥочо,cwch
353,Ruder::N,эрдии,rhwyf
354,Schlitten::N,сыарҕа,sled
355,Schlitten::N,сыарҕа,car llusg
356,Ski::N,хайыһар,sgi
357,Lagerfeuer::N,кутаа,coelcerth
358,Last::N,ыарахан,llwyth
359,Gang::N,хаамыы,tro
360,Schritt::N,хардыы,cam
361,Norden::N,хоту,gogledd
362,Süden::N,соҕуруу,de
363,Westen::N,арҕаа,gorllewin
364,Osten::N,илин,dwyrain
365,Holz::N,мас,pren
366,Brett::N,дуоска,bwrdd
367,Brett::N,дуоска,astell
368,Brett::N,хаптаһын,bwrdd
369,Brett::N,хаптаһын,astell
370,Platte::N,билиитэ,llech
371,Stütze::N,тулааһын,ateg
372,Stütze::N,тулааһын,cynhalydd
373,Stange::N,ураҕас,polyn
374,Stock::N,мас,ffon
375,Stock::N,мас,brigyn
376,Stock::N,баалкы,ffon
377,Stock::N,баалкы,brigyn
378,Stab::N,ураҕас,ffon
379,Rohr::N,турба,pibell
380,Haus::N,дьиэ,tŷ
381,Heim::N,дьиэ,cartref
382,Ofen::N,оһох,stof
383,Fußboden::N,муоста,llawr
384,Tisch::N,остуол,bwrdd
385,Stuhl::N,устуул,cadair
386,Wiege::N,биһик,crud
387,Bett::N,кырабаат,gwely
388,Regal::N,долбуур,silff
389,Kiste::N,дьааһык,bocs
390,Kiste::N,дьааһык,blwch
