,Concept_ID,ro,myv
0,Auge::N,ochi,сельме
1,Ohr::N,ureche,пиле
2,Nase::N,nas,судо
3,Mund::N,gură,курго
4,Zahn::N,dinte,пей
5,Zunge::N,limbă,кель
6,Lippe::N,buză,турва
7,Wange::N,bucă,чамабока
8,Wange::N,bucă,чамаумарь
9,Wange::N,obraz,чамабока
10,Wange::N,obraz,чамаумарь
11,Gesicht::N,față,чама
12,Gesicht::N,figură,чама
13,Stirn::N,frunte,коня
14,Haar::N,păr,черь
15,Schnurrbart::N,mustață,ус
16,Schnurrbart::N,mustață,муюк
17,Bart::N,barbă,сакал
18,Kinn::N,bărbie,уло
19,Kiefer[Anatomie]::N,falcă,пейпакар
20,Kiefer[Anatomie]::N,falcă,пейловажа
21,Kehle::N,beregată,кирьгапарь
22,Hals::N,gât,кирьга
23,Genick::N,ceafă,човонь
24,Kopf::N,cap,пря
25,Rücken::N,dos,копорь
26,Rücken::N,spate,копорь
27,Rücken::N,spinare,копорь
28,Bauch::N,burtă,пеке
29,Bauch::N,pântece,пеке
30,Nabel::N,buric,почо
31,Busen::N,sân,поте
32,Brust::N,piept,меште
33,Schulter::N,umăr,лавтов
34,Schulter::N,spate,лавтов
35,Arm::N,braț,кедь
36,Ellenbogen::N,cot,кенерепакарь
37,Hand::N,mână,кедь
38,Handfläche::N,palmă,кедькуншка
39,Handfläche::N,palmă,кедьлапушка
40,Finger::N,deget,сур
41,Fingernagel::N,unghie,кенже
42,Nagel[Anatomie]::N,unghie,кенже
43,Zeh::N,deget de la picior,пильге сур
44,Fuß::N,picior,пильге
45,Ferse::N,călcâi,кочкаря
46,Knie::N,genunchi,эле
47,Knie::N,genunchi,эзне
48,Knie::N,genunchi,кумажа
49,Oberschenkel::N,coapsă,качо
50,Bein::N,picior,пильге
51,Körper::N,corp,рунго
52,Haut::N,piele,киське
53,Blut::N,sânge,верь
54,Ader::N,vână,сан
55,Ader::N,arteră,сан
56,Sehne::N,tendon,коське сан
57,Knochen::N,os,пакарь
58,Gehirn::N,creier,удем
59,Herz::N,inimă,седей
60,Magen::N,stomac,пеке
61,Leber::N,ficat,максо
62,Atem::N,răsuflare,лексема
63,Atem::N,răsuflare,оймень таргсема
64,Atem::N,respirație,лексема
65,Atem::N,respirație,оймень таргсема
66,Hunger::N,foame,вачочи
67,Träne::N,lacrimă,селведь
68,Geschmack::N,gust,тансть
69,Geruch::N,miros,чине
70,Schlaf::N,somn,удома
71,Traum::N,vis,он
72,Himmel::N,cer,менель
73,Sonne::N,soare,чи
74,Mond::N,lună,ков
75,Stern::N,stea,теште
76,Luft::N,aer,кошт
77,Wind::N,vânt,варма
78,Welle::N,val,толкун
79,Welle::N,undă,толкун
80,Wasser::N,apă,ведь
81,Stein::N,piatră,кев
82,Boden::N,sol,мода
83,Boden::N,pământ,мода
84,Erde::N,pământ,мастор
85,Staub::N,praf,пуль
86,Rauch::N,fum,качамо
87,Funke::N,scânteie,сятко
88,Feuer::N,foc,тол
89,Licht::N,lumină,валдо
90,Schatten::N,umbră,сулей
91,Schatten::N,umbră,сулейкс
92,Wetter::N,timp,ушо
93,Wetter::N,vreme,ушо
94,Nebel::N,ceață,сув
95,Nebel::N,negură,сув
96,Wolke::N,nor,пель
97,Regen::N,ploaie,пиземс
98,Schnee::N,zăpadă,лов
99,Eis::N,gheață,эй
100,Frost::N,ger,кельме
101,Kälte::N,frig,якшамо
102,Hitze::N,arșiță,пси
103,Hitze::N,căldură,пси
104,Raureif::N,chiciură,лекш
105,Regenbogen::N,curcubeu,пурьгинечирьке
106,Regenbogen::N,curcubeu,пурьгинеёнкс
107,Donner::N,tunet,пурьгине
108,Strömung::N,curent,чудема
109,Strömung::N,curent,чудевкс
110,Tropfen::N,picătură,петнявкс
111,Schaum::N,spumă,чов
112,Schmutz::N,murdărie,рудаз
113,See::N,lac,эрьке
114,Sumpf::N,mlaștină,чей
115,Moor::N,bărăgan,чей
116,Wiese::N,fânaț,луга
117,Wiese::N,livadă,луга
118,Wald::N,codru,вирь
119,Wald::N,pădure,вирь
120,Hügel::N,deal,губорь
121,Hügel::N,deal,пандыне
122,Hügel::N,movilă,губорь
123,Hügel::N,movilă,пандыне
124,Anhöhe::N,deal,губорь
125,Anhöhe::N,deal,пандыне
126,Anhöhe::N,ridicătură,губорь
127,Anhöhe::N,ridicătură,пандыне
128,Berg::N,munte,пандо
129,Gipfel::N,pisc,пря
130,Höhle::N,peșteră,пещера
131,Abhang::N,pantă,пандочама
132,Abhang::N,versant,пандочама
133,Quelle::N,izvor,ушодкс
134,Bach::N,gârlă,чудикерькс
135,Fluss::N,râu,лей
136,Fluss::N,fluviu,лей
