,Concept_ID,mhr,xal
0,Auge::N,шинча́,нүдн
1,Ohr::N,пы́лыш,чикн
2,Nase::N,нер,хамр
3,Mund::N,умша́,амн
4,Zahn::N,пӱй,шүдн
5,Zunge::N,йы́лме,келн
6,Lippe::N,тӱ́рвӧ,урл
7,Wange::N,шӱ́ргӧ,халх
8,Gesicht::N,чури́й,нүр
9,Stirn::N,саҥга́,маңна
10,Haar::N,ӱп,үсн
11,Schnurrbart::N,ӧ́рыш,сахл
12,Bart::N,понда́ш,сахл
13,Bart::N,понда́ш,өргнә сахл
14,Kinn::N,оҥыла́ш,өргн
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,өргн
16,Kiefer[Anatomie]::N,пӱйората́,өргн
17,Kehle::N,лога́р,хол
18,Hals::N,шӱй,күзүн
19,Genick::N,шӱйло́дыш,гиҗг
20,Kopf::N,вуй,толһа
21,Rücken::N,туп,нурһн
22,Bauch::N,мӱ́шкыр,гесн
23,Nabel::N,кы́лымде,киисн
24,Busen::N,чы́зе,көкн
25,Brust::N,оҥ,чееҗ
26,Schulter::N,ва́че,ээм
27,Arm::N,кид,һар
28,Ellenbogen::N,кынерву́й,тоха
29,Hand::N,кид,баһлцг
30,Hand::N,копа́,баһлцг
31,Handfläche::N,со́во,альхн
32,Finger::N,парня́,хурһн
33,Finger::N,парня́,һарин хурһн
34,Fingernagel::N,кидкӱ́ч,хумсн
35,Fingernagel::N,парнягӱ́ч,хумсн
36,Nagel[Anatomie]::N,кӱч,хумсн
37,Zeh::N,йолварня́,хурһн
38,Zeh::N,йолварня́,көлин хурһн
39,Fuß::N,йол,тавг
40,Fuß::N,йолкопа́,тавг
41,Ferse::N,тага́н,өскә
42,Knie::N,пулву́й,өвдг
43,Oberschenkel::N,э́рде,һуй
44,Bein::N,йол,көл
45,Körper::N,кап,махмуд
46,Haut::N,кова́ште,арсн
47,Blut::N,вӱр,цусн
48,Ader::N,шӧн,судцн
49,Sehne::N,шӧн,шүрүсн
50,Sehne::N,кӱсе́н,шүрүсн
51,Knochen::N,лу,ясн
52,Gehirn::N,вем,экн
53,Gehirn::N,вуйве́м,экн
54,Herz::N,шӱм,зүркн
55,Magen::N,пага́р,гесн
56,Leber::N,мокш,элкн
57,Atem::N,шӱ́лыш,әмсхл
58,Hunger::N,шужыма́ш,харһнлһн
59,Träne::N,шинчавӱ́д,нульмсн
60,Geschmack::N,там,амтн
61,Geruch::N,пуш,үнр
62,Schlaf::N,о́мо,нөр
63,Traum::N,йӱдо́мо,зүүдн
64,Himmel::N,кава́,теңгр
65,Sonne::N,ке́че,нарн
66,Mond::N,ты́лзе,сар
67,Stern::N,шӱ́дыр,одн
68,Luft::N,юж,аһар
69,Wind::N,марде́ж,салькн
70,Welle::N,то́лкын,дольган
71,Wasser::N,вӱд,усн
72,Stein::N,кӱ,чолун
73,Boden::N,рок,Һазр
74,Erde::N,мла́нде,Һазр
75,Staub::N,пура́к,тоосн
76,Rauch::N,шикш,утан
77,Funke::N,сеске́м,очн
78,Funke::N,тулйы́п,очн
79,Feuer::N,тул,һал
80,Licht::N,со́то,герл
81,Schatten::N,ӱ́мыл,сүүдр
82,Wetter::N,иге́че,теңгр
83,Nebel::N,тӱтыра́,будн
84,Wolke::N,пыл,үүлн
85,Regen::N,йӱр,хур
86,Schnee::N,лум,цасн
87,Eis::N,ий,мөсн
88,Frost::N,чатлама́,киитн
89,Kälte::N,йӱ́штӧ,киитн
90,Hitze::N,шо́кшо,халун
91,Raureif::N,пӧрш,цаң
92,Raureif::N,пӧрш,кирү
93,Raureif::N,по́кшым,цаң
94,Raureif::N,по́кшым,кирү
95,Regenbogen::N,шонанпы́л,солңһ
96,Donner::N,кӱ́дырчӧ,оһтрһун дун
97,Strömung::N,йо́гын,урсхл
98,Tropfen::N,чӱча́лтыш,дусал
99,Schaum::N,шоҥ,көөсн
100,Schmutz::N,лавыра́,кир
101,See::N,ер,нур
102,Sumpf::N,лӱ́кӧ,унул
103,Moor::N,куп,улм
104,Wiese::N,о́лык,хадлһн
105,Wald::N,чодыра́,ө-модн
106,Hügel::N,арка́,толһа
