,Concept_ID,ml,os
0,Auge::N,കണ്ണ്,цӕст
1,Ohr::N,ചെവി,хъус
2,Nase::N,മൂക്ക്,фындз
3,Mund::N,വായ,дзых
4,Zahn::N,പല്ല്,дӕндаг
5,Zunge::N,നാക്ക്,ӕвзаг
6,Lippe::N,ചുണ്ട്,был
7,Wange::N,കവിൾത്തടം,рус
8,Wange::N,കവിൾത്തടം,уадул
9,Wange::N,കവിൾത്തടം,ӕхсӕрфарс
10,Gesicht::N,മുഖം,цӕсгом
11,Stirn::N,നെറ്റി,ных
12,Haar::N,തലമുടി,хил
13,Schnurrbart::N,മീശ,рихи
14,Bart::N,താടിരോമം,зачъе
15,Kinn::N,താടി,роцъо
16,Kiefer[Anatomie]::N,താടിയെല്ല്,ӕфсӕр
17,Kehle::N,കണ്ഠനാളം,хъуыр
18,Hals::N,കഴുത്ത്,къубал
19,Genick::N,പിടലി,къӕбут
20,Kopf::N,തല,сӕр
21,Rücken::N,മുതുക്,фӕсонтӕ
22,Bauch::N,നയറ്,гуыбын
23,Nabel::N,നാഭി,бикъ
24,Busen::N,സ്തനം,дзидзи
25,Brust::N,സ്തനം,риу
26,Schulter::N,തോൾ,уӕхск
27,Arm::N,കൈ,цонг
28,Ellenbogen::N,കൈമുട്ട്,рæмбын
29,Hand::N,കൈ,къух
30,Handfläche::N,ഉള്ളം കൈ,армытъӕпӕн
31,Finger::N,വിരൽ,ӕнруылдз
32,Fingernagel::N,നഖം,ных
33,Nagel[Anatomie]::N,നഖം,ных
34,Zeh::N,കാൽവിരൽ,къух
35,Fuß::N,കാൽപ്പാദം,фад
36,Ferse::N,ഉപ്പൂറ്റി,зӕвӕт
37,Knie::N,കാൽമുട്ട്,уӕраг
38,Oberschenkel::N,തുട,агъд
39,Bein::N,കാൽ,зӕнг
40,Körper::N,ശരീരം,буар
41,Haut::N,ചർമ്മം,царм
42,Blut::N,രക്തം,туг
43,Ader::N,ഞരമ്പ്,дадзин
44,Ader::N,ഞരമ്പ്,тугдадзин
45,Sehne::N,സ്നായു,хъиутæ
46,Sehne::N,സ്നായു,нуар
47,Knochen::N,അസ്ഥി,стӕг
48,Gehirn::N,തലച്ചോറ്,магъз
49,Herz::N,ഹൃദയം,зӕрдӕ
50,Magen::N,വയർ,ахсӕн
51,Leber::N,കരൾ,игæр
52,Atem::N,ശ്വാസം,улӕфт
53,Hunger::N,വിശപ്പ്,стонг
54,Träne::N,കണ്ണീർ,цæссыг
55,Geschmack::N,രുചി,ад
56,Geruch::N,ഗന്ധം,смаг
57,Schlaf::N,ഉറകും,хуыссӕг
58,Traum::N,സ്വപ്നം,фын
59,Himmel::N,ആകാശം,арв
60,Himmel::N,ആകാശം,уӕларв
61,Sonne::N,സൂര്യൻ,хур
62,Mond::N,ചന്ദ്രൻ,мӕй
63,Stern::N,നക്ഷത്രം,стъалы
64,Luft::N,കാറ്റ്,уӕлдӕф
65,Wind::N,കാറ്റ്,дымгӕ
66,Welle::N,തിരമാല,уылӕн
67,Wasser::N,വെള്ളം,дон
68,Stein::N,ശില,дур
69,Stein::N,കല്ല്,дур
70,Boden::N,തറ,зӕхх
71,Boden::N,നിലം,зӕхх
72,Erde::N,മണ്ണ്,сыджыт
73,Staub::N,പൊടി,рыг
74,Rauch::N,പുക,фӕздӕг
75,Funke::N,തീപ്പൊരി,цӕхӕр
76,Feuer::N,തീ,зынг
77,Licht::N,വിളക്ക്,рухс
78,Licht::N,സൂര്യപ്രകാശം,рухс
79,Schatten::N,തണൽ,аууон
80,Wetter::N,കാലാവസ്ഥ,боныхъӕд
81,Nebel::N,മൂടൽമഞ്ഞ്,мигъ
82,Wolke::N,മേഘം,ӕврагъ
83,Regen::N,മഴ,уарын
84,Schnee::N,മഞ്ഞ്,мит
85,Eis::N,ഐസ്,их
86,Frost::N,മൂടൽമഞ്ഞ്,ихæн
87,Kälte::N,തണുപ്പ്,уазал
88,Hitze::N,ചൂട്,ӕнтӕф
89,Raureif::N,കോടമഞ്ഞ്,халас
90,Regenbogen::N,മഴവില്ല്,арвырон
91,Regenbogen::N,മഴവില്ല്,арвырдын
92,Donner::N,ഇടി,æрвнæрын
93,Strömung::N,പ്രവാഹം,цыд
94,Tropfen::N,തുള്ളി,æртах
95,Schaum::N,നുര,фынк
96,Schmutz::N,അഴുക്ക്,цъыф
97,See::N,തടാകം,цад
98,Sumpf::N,ചതുപ്പുനിലം,цъыфдзаст
99,Moor::N,പാഴ്നിലം,цъыфдзаст
100,Wiese::N,പുൽത്തകിടി,уыгӕрдӕн
101,Wald::N,വനം,хъӕд
102,Wald::N,കാട്,хъӕд
103,Hügel::N,കുന്ന്,обау
104,Hügel::N,കുന്ന്,къуыбыр
105,Anhöhe::N,ഉയർന്ന ഭൂമി,уæлвæз
106,Anhöhe::N,ഉയർന്ന ഭൂമി,уæлхох
107,Berg::N,പർവ്വതം,хох
108,Gipfel::N,ഉച്ചകോടി,цъупп
109,Höhle::N,ഗുഹ,лӕгӕт
110,Abhang::N,ചരിവ്,къул
111,Quelle::N,ഉറവിടം,суадон
112,Bach::N,അരുവി,мӕсчъыдон
113,Fluss::N,നദി,дон
114,Fluss::N,നദി,цӕугӕдон
115,Ufer::N,തീരം,был
116,Küste::N,കടൽത്തീരം,донбыл
117,Festland::N,കര,сурзæхх
118,Meer::N,കടൽ,денджыз
119,Bucht::N,ഉൾക്കടല്,донбакæлæн
120,Insel::N,ദ്വീപ്,сакъадах
121,Blume::N,പൂവ്,дидинӕг
122,Gras::N,പുല്ല്,кӕрдӕг
123,Wurzel::N,വേര്,уидаг
124,Baum::N,മരം,бӕлас
125,Stamm::N,തായ്ത്തടി,хӕтӕл
126,Rinde::N,പട്ട,цъар
127,Ast::N,ശാഖ,арх
128,Zweig::N,ശാഖ,къалиу
129,Blatt::N,ഇല,сыф
130,Birke::N,പൂവരശ്,бæрз
131,Kiefer[Baum]::N,പൈൻമരം,нӕзы
132,Weide[Baum]::N,വില്ലോ,хӕрис
133,Tanne::N,ദേവദാരു,наз
134,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,сыкъа
135,Feder::N,തൂവൽ,сис
136,Fell::N,മൃദുരോമം,царм
137,Flügel::N,ചിറക്,базыр
138,Klaue::N,നഖം,ных
139,Kralle::N,നഖം,дзӕмбы
140,Schwanz::N,വാൽ,къӕдзил
141,Ei::N,മുട്ട,айк
142,Nest::N,കൂട്,ахстон
143,Bau::N,മാളം,хуынкъ
144,Tier::N,മൃഗം,сырд
145,Tier::N,മൃഗം,цӕрӕгой
146,Herde::N,കൂട്ടം,дзуг
147,Herde::N,കൂട്ടം,рӕгъау
148,Kuh::N,പശു,хъуг
149,Bulle::N,കാള,гал
150,Pferd::N,കുതിര,бӕх
151,Schaf::N,ആട്,фыс
152,Schwein::N,പന്നി,хуы
153,Hund::N,നായ്,куыдз
154,Katze::N,പൂച്ച,гӕды
155,Bär::N,കരടി,арс
156,Eichhörnchen::N,അണ്ണാൻ,æхсæрæг
157,Elch::N,കടമാന്,цæгатаг саг
158,Fuchs::N,കുറുക്കൻ,рувас
159,Hase::N,മുയൽ,тæрхъус
160,Maus::N,ചുണ്ടലി,мыст
161,Wolf::N,ചെന്നായ,бирӕгъ
162,Vogel::N,പക്ഷി,цъиу
163,Vogel::N,പക്ഷി,маргъ
164,Schwarm::N,കൂട്ടം,бал
165,Huhn::N,കോഴി,карк
166,Hahn::N,പൂവൻകോഴി,уасӕг
167,Gans::N,അരയന്നം,хъаз
168,Adler::N,കഴുകൻ,цӕргӕс
169,Ente::N,താറാവ്,ацц
170,Eule::N,മൂങ്ങ, уыг
171,Eule::N,മൂങ്ങ,сидахъ
172,Kranich::N,കൊക്ക്,зырнæг
173,Kranich::N,കൊക്ക്,хърихъупп
174,Krähe::N,കാക്ക,халон
175,Kuckuck::N,കുയിൽ,гаккук
176,Schwan::N,അരയന്നം,доныхъаз
177,Fisch::N,മത്സ്യം,кӕсаг
178,Barsch::N,ഒരിനം മത്സ്യം,окунь
179,Hecht::N,ഒരു മത്സ്യം,хихор кӕсаг
180,Schlange[Tier]::N,പാമ്പ്,калм
181,Wurm::N,വിര,зулкъ
182,Wurm::N,വിര,къуыдыргалм
183,Spinne::N,ചിലന്തി,хӕлуарӕг
184,Ameise::N,ഉറുമ്പ്,мæлдзыг
185,Laus::N,പേന്,сыст
186,Mücke::N,മശകം,къогъо
187,Fliege::N,ഈച്ച,бындз
188,Schmetterling::N,ചിത്രശലഭം,гæлæбу
189,Beere::N,ബെറി,гагадыргъ
190,Apfel::N,ആപ്പിൾ,фӕткъуы
191,Pilz::N,കൂൺ,зокъо
192,Pilz::N,കൂൺ,къозо
193,Zwiebel::N,സവാള,хъӕдындз
194,Saat::N,വിത്ത്,тауинаг
195,Saat::N,വിത്ത്,мыггаг
196,Korn::N,ധാന്യം,мыггаг
197,Korn::N,ധാന്യം,тауинаг
198,Heu::N,വയ്ക്കോൽ,хос
199,Schale::N,തൊലി,цъар
200,Grube::N,കുഴി,урм
201,Grube::N,കുഴി,къахт
202,Grube::N,കുഴി,дзыхъхъ
203,Falle::N,കെണി,цъысым
204,Falle::N,കെണി,къӕппӕг
205,Schlinge::N,കുടുക്ക്,цасм
206,Spur::N,ചുവട്,фæд
207,Asche::N,ചാരം,фӕнык
208,Asche::N,ചാരം,ӕртхутӕг
209,Dreck::N,അഴുക്ക്,цъыф
210,Eisen::N,ഇരുമ്പ്,ӕфсӕйнаг
211,Gold::N,സ്വർണ്ണം,сыгъзӕрин
212,Silber::N,വെള്ളി,ӕвзист
213,Kohle::N,കൽക്കരി,ӕвзалы
214,Glas::N,ഗ്ലാസ്,авг
215,Lehm::N,കളിമണ്ണ്,ӕлыг
216,Sand::N,മണൽ,змис
217,Mensch::N,മനുഷ്യർ,лӕг
218,Mensch::N,മനുഷ്യർ,адӕймаг
219,Mensch::N,മനുഷ്യർ,удгоймаг
220,Mann::N,പുരുഷൻ,лӕг
221,Mann::N,പുരുഷൻ,нӕлгоймаг
222,Frau::N,സ്ത്രീ,сылгоймаг
223,Kind::N,കുഞ്ഞ്,сывӕллон
224,Junge::N,ആൺകുട്ടി,лӕппу
225,Mädchen::N,പെൺകുട്ടി,чызг
226,Familie::N,കുടുംബം,бинонтæ
227,Großvater::N,അപ്പൂപ്പൻ,фыдыфыд
228,Großvater::N,അപ്പൂപ്പൻ,мадыфыд
229,Großmutter::N,അമ്മുമ്മ,фыды мад
230,Großmutter::N,അമ്മുമ്മ,мады мад
231,Eltern::N,മാതാപിതാക്കള്,ныййарджытæ
232,Vater::N,അച്ഛൻ,фыд
233,Mutter::N,അമ്മ,мад
234,Sohn::N,മകൻ,фырт
235,Tochter::N,മകൾ,чызг
236,Bruder::N,ചേട്ടൻ,ӕфсымӕр
237,Bruder::N,അനിയൻ,ӕфсымӕр
238,Schwester::N,ചേച്ചി,хо
239,Schwester::N,അനിയത്തി,хо
240,Onkel::N,അമ്മാവൻ,фыдыфсымӕр
241,Tante::N,മാമി,мадыхо
242,Ehemann::N,ഭർത്താവ്,мой
243,Ehefrau::N,ഭാര്യ,ус
244,Freude::N,ആഹ്ലാദം,цин
245,Freude::N,ആഹ്ലാദം,циндзинад
246,Gelächter::N,ചിരിയുടെ ശബ്ദം,худын
247,Gelächter::N,ചിരിയുടെ ശബ്ദം,худт
248,Gelächter::N,ചിരിയുടെ ശബ്ദം,худæг
249,Glück::N,സന്തോഷം,амонд
250,Glück::N,സന്തുഷ്ടി,амонд
251,Kummer::N,ശോകം,хъыг
252,Wunsch::N,ആഗ്രഹം,бӕллиц
253,Lust::N,ആഗ്രഹം,монц
254,Geist::N,ചുറുചുറുക്ക്,уд
255,Gedanke::N,ചിന്ത,хъуыды
256,Gedächtnis::N,ഓർമ്മശക്തി,мысæн
257,Gedächtnis::N,ഓർമ്മശക്തി,мысын
258,Gedächtnis::N,ഓർമ്മശക്തി,зæрдылдарын
259,Verstand::N,മനസ്സ്,зонд
260,Sinn::N,അർത്ഥം,нысаниуæг
261,Grund::N,കാരണം,ӕфсон
262,Wahrheit::N,സത്യം,æцæг
263,Gespräch::N,സല്ലാപം,ныхас
264,Märchen::N,യക്ഷിക്കഥ,аргъау
265,Erzählung::N,കഥ,радзырд
266,Nachricht::N,സന്ദേശം,уац
267,Neuigkeit::N,വാർത്ത,хабар
268,Name::N,പേര്,ном
269,Rätsel::N,പ്രഹേളിക,уыци-уыци
270,Rätsel::N,പ്രഹേളിക,базон-базон
271,Rede::N,സംസാരം,раныхас
272,Sprache::N,ഭാഷ,ӕвзаг
273,Stimme::N,സ്വരം,хъӕлӕс
274,Wort::N,വാക്ക്,дзырд
275,Zeichen::N,സംജ്ഞ,нысан
276,Ruf::N,വിളി,сидт
277,Lärm::N,ആരവം,уынæр
278,Laut::N,ശബ്ദം,зӕл
279,Laut::N,ശബ്ദം,мыр
280,Ton::N,സ്വരഭേദം,мыр
281,Lied::N,പാട്ട്,зарӕг
282,Ruhe::N,നിശ്ചലത,æнцой
283,Leute::N,ജനങ്ങൾ,адӕм
284,Volk::N,രാഷ്ടം,адӕм
285,Arbeit::N,ജോലി,фӕллой
286,Gast::N,അതിലി,уазӕг
287,Geschenk::N,സമ്മാനം,хуын
288,Spiel::N,കളി,хъазт
289,Gesellschaft::N,കൂട്ടായ്മ,дзыллæ
290,Gesellschaft::N,കൂട്ടായ്മ,æхсæнад
291,Hilfe::N,സഹായം,æххуыс
292,Hilfe::N,സഹായം,ахъаз
293,Freund::N,സുഹൃത്ത്,лымӕн
294,Kamerad::N,കൂട്ടാളി,ӕмбал
295,Angelegenheit::N,കാര്യം,хъуыддаг
296,Anzahl::N,എണ്ണം,бӕрц
297,Art::N,തരം,хуыз
298,Art::N,തരം,хуызад
299,Stück::N,കഷണം,кæрдих
300,Stück::N,കഷണം,комдзаг
301,Teil::N,ഭാഗം,хай
302,Hälfte::N,പകുതി,æрдæг
303,Hälfte::N,പകുതി,æмбис
304,Kreis::N,വൃത്തം,зиллакк
