,Concept_ID,es,ady
0,Auge::N,ojo,нэ
1,Ohr::N,oreja,тхьакӏу́м
2,Nase::N,nariz,пэ
3,Mund::N,boca,жэ
4,Zahn::N,diente,цэ
5,Zunge::N,lengua,бзэгу
6,Lippe::N,labio,ӏупшӏэ́
7,Wange::N,mejilla,нэкӏу́шъу
8,Gesicht::N,cara,нэ́гу
9,Stirn::N,frente,натӏэ́
10,Haar::N,cabello,шъхьацы́
11,Schnurrbart::N,bigote,
12,Bart::N,barba,жакӏэ́
13,Kinn::N,barbilla,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,mandíbula,жэпкъы́
15,Kehle::N,garganta,чый
16,Hals::N,cuello,пшъэ
17,Genick::N,nuca,шъхьэпхэтыку
18,Genick::N,cerviz,шъхьэпхэтыку
19,Kopf::N,cabeza,шъхьэ́
20,Rücken::N,espalda,кӏыбы́
21,Bauch::N,vientre,ныбэ́
22,Nabel::N,ombligo,
23,Busen::N,pecho,бгъэ́
24,Brust::N,pecho,бгъэ́
25,Schulter::N,hombro,блыпкъ
26,Arm::N,brazo,ӏэ
27,Ellenbogen::N,codo,ӏэнтэ́гъу
28,Hand::N,mano,ӏэтхьэцу
29,Handfläche::N,palma,ӏэ́гу
30,Finger::N,dedo,ӏэхъуа́мб
31,Fingernagel::N,uña,ӏэбжъа́н
32,Nagel[Anatomie]::N,uña,ӏэбжъа́н
33,Zeh::N,dedo del pie,ӏэхъуа́мб
34,Fuß::N,pie,лъэгу
35,Ferse::N,talón,лъэдакъэ
36,Knie::N,rodilla,лъагуа́ндж
37,Oberschenkel::N,muslo,ко
38,Bein::N,pierna,лъакъо́
39,Körper::N,cuerpo,пкъышъол
40,Haut::N,piel,кӏы́шъу
41,Blut::N,sangre,лъы
42,Ader::N,vena,льытф
43,Sehne::N,tendón,фэ
44,Knochen::N,hueso,къупшъхьэ́
45,Gehirn::N,cerebro,куцӏы
46,Gehirn::N,encéfalo,куцӏы
47,Herz::N,corazón,гу
48,Magen::N,estómago,мышкӏу
49,Leber::N,hígado,шӏу
50,Atem::N,aliento,къэщэныр
51,Hunger::N,hambre,гъаблэ́
52,Träne::N,lágrima,нэпсы
53,Geschmack::N,gusto,ӏэшӏугъа́кӏ
54,Geruch::N,olor,мэ
55,Schlaf::N,sueño,пчыхьы́пӏ
56,Traum::N,sueño,пчыхьы́пӏ
57,Traum::N,ensueño,пчыхьы́пӏ
58,Himmel::N,cielo,уашъо́
59,Sonne::N,sol,тыгъэ
60,Mond::N,luna,мазэ
61,Stern::N,estrella,жъуагъо́
62,Luft::N,aire,жьы
63,Wind::N,viento,жьыбгъэ́
64,Welle::N,ola,ор
65,Welle::N,ola,оры
66,Welle::N,onda,ор
67,Welle::N,onda,оры
68,Wasser::N,agua,псы
69,Stein::N,piedra,мыжъо́
70,Boden::N,suelo,чӏ́ыгу
71,Erde::N,tierra,чӏ́ыгу
72,Staub::N,polvo,сап
73,Rauch::N,humo,ӏугъо́
74,Funke::N,chispa,мэшӏуа́ч
75,Feuer::N,fuego,машӏо́
76,Licht::N,luz,нэфы
77,Licht::N,luz,нэфын
78,Schatten::N,sombra,жьау́
79,Schatten::N,sombra,ныбжьыкъу
80,Wetter::N,tiempo,
81,Nebel::N,niebla,пща́гъу
82,Wolke::N,nube,ошъуапщэ
83,Regen::N,lluvia,ощхы
84,Schnee::N,nieve,осы́
85,Eis::N,hielo,мылы
86,Frost::N,helada,
87,Kälte::N,frío,чъыӏэ́
88,Hitze::N,calor,фэба́е
89,Raureif::N,escarcha,
90,Regenbogen::N,arco iris, лэгъупэкъо́пс
91,Donner::N,trueno,шыблэ́
92,Strömung::N,corriente,ток
93,Tropfen::N,gota,ткӏопс
94,Tropfen::N,gota,гъуаткӏу
95,Schaum::N,espuma,тхъурбэ
96,Schmutz::N,suciedad,псынжъы
97,See::N,lago,хыку́м
98,See::N,lago,псыхъура́й
99,Sumpf::N,pantano,орыжъ
100,Moor::N,turbera,орыжъ
101,Wiese::N,prado,хъупӏэ́
102,Wiese::N,prado,мэкъупӏ
103,Wiese::N,pradera,хъупӏэ́
104,Wiese::N,pradera,мэкъупӏ
105,Wald::N,bosque,мэзы́
106,Hügel::N,colina,ӏуашъхь
107,Anhöhe::N,cerro,чӏыӏэтыгъ
108,Berg::N,monte,къушъхьэ́
109,Berg::N,montaña,къушъхьэ́
110,Gipfel::N,cima,шыгу
111,Gipfel::N,cumbre,шыгу
112,Höhle::N,cueva,гъочӏэгъ
113,Höhle::N,caverna,гъочӏэгъ
114,Abhang::N,cuesta,чапэ
115,Abhang::N,declive,чапэ
116,Quelle::N,fuente,псынэчэ́чъ
117,Quelle::N,manantial,псынэчэ́чъ
118,Bach::N,arroyo,псышкуашку
119,Fluss::N,río,псыхъо́
120,Ufer::N,orilla,нэпкъы
121,Küste::N,costa,ӏушъо
122,Festland::N,tierra firme,чӏл́ыгу
123,Meer::N,mar,хы
124,Bucht::N,cala,хыблыгу
125,Bucht::N,bahía,хыблыгу
126,Insel::N,isla,хыгъэхъу́н
127,Blume::N,flor,къэгъа́гь
128,Gras::N,hierba,уцы́
129,Wurzel::N,raíz,лъапсэ́
130,Baum::N,árbol,чъыгы́
131,Stamm::N,tronco,пкъы
132,Rinde::N,corteza,пхъашъо́
133,Ast::N,rama,куамэ
134,Zweig::N,ramo,къутамэ́
135,Blatt::N,hoja,тхьап
136,Birke::N,abedul,пчэн
137,Kiefer[Baum]::N,pino,сэснэй
138,Weide[Baum]::N,sauce,пце́л
139,Tanne::N,abeto,ель
140,Horn::N,asta,бжъэ
141,Horn::N,cuerno,бжъэ
142,Feder::N,pluma,къамӏы́й
143,Fell::N,piel,шъо
144,Flügel::N,ala,тамэ́
145,Klaue::N,garra,лъэбжъа́н
146,Kralle::N,uña,лъакъо
147,Kralle::N,garra,лъакъо
148,Schwanz::N,cola,кӏэ
149,Ei::N,huevo,кӏэнкӏэ́
150,Nest::N,nido,набгъо́
151,Bau::N,madriguera,гъу
152,Bau::N,madriguera,бы
153,Tier::N,animal,псэу́шъхь
154,Herde::N,rebaño,ӏэхъогъу
155,Kuh::N,vaca,чэмы́
156,Bulle::N,toro,цу
157,Pferd::N,caballo,шы
158,Schaf::N,oveja,мэлы́
159,Schwein::N,cerdo,къо
160,Hund::N,perro,бьэ
161,Katze::N,gato,чэты́у
162,Bär::N,oso,мышъэ́
163,Eichhörnchen::N,ardilla,цызэ́
164,Elch::N,alce,лось
165,Fuchs::N,zorro,баджэ́
166,Hase::N,liebre,тхьакӏумкӏы́хь
167,Maus::N,ratón,цыгъо́
168,Wolf::N,lobo,тыгъу́жъ
169,Vogel::N,ave,бзы́у
170,Vogel::N,pájaro,бзы́у
171,Schwarm::N,bandada,отэр
172,Huhn::N,gallina,чэты́
173,Hahn::N,gallo,атакъэ́
174,Gans::N,oca,къа́з
175,Gans::N,ganso,къа́з
176,Adler::N,águila,
177,Ente::N,pato,псычэ́т
178,Eule::N,lechuza,тыгъурыгъу
179,Kranich::N,grulla,къэрэ́у
180,Krähe::N,corneja,къолэ́жъ
181,Kuckuck::N,cuco,куку́у
182,Schwan::N,cisne,
183,Fisch::N,pez,пцэжъы́й
184,Barsch::N,perca,тхыкъэц
185,Hecht::N,lucio,лэнд
186,Schlange[Tier]::N,serpiente,блэ́
187,Wurm::N,gusano,хьамлыу
188,Spinne::N,araña,бэдж
189,Ameise::N,hormiga,къамзэ́гу
190,Laus::N,piojo,цӏэ
191,Mücke::N,mosquito,аргъо́й
192,Fliege::N,mosca,бадзэ́
193,Schmetterling::N,mariposa,хьампӏыра́шъу
194,Beere::N,baya,маткӏо
195,Apfel::N,manzana,мыӏэры́с
196,Pilz::N,seta,хьаӏу
197,Pilz::N,hongo,хьаӏу
198,Zwiebel::N,cebolla,бжьыны́
199,Saat::N,siembra,чылапхъ
200,Korn::N,grano,цэ
201,Heu::N,heno,мэкъу
202,Schale::N,cáscara,кӏы́шъу
203,Grube::N,foso,машэ́
204,Falle::N,trampa,зэраубытырэ́ ӏэмэпсы́м
