,Concept_ID,ab,xal
0,Auge::N,ала,нүдн
1,Ohr::N,алымҳа,чикн
2,Nase::N,аҧынҵа,хамр
3,Mund::N,аҧышə,амн
4,Zahn::N,ахаҧыц,шүдн
5,Zunge::N,абз,келн
6,Lippe::N,ақьышə,урл
7,Wange::N,аӡамҩа,халх
8,Gesicht::N,аҿы,нүр
9,Stirn::N,алахь,маңна
10,Haar::N,ахəыц,үсн
11,Schnurrbart::N,аҧаҵа,сахл
12,Bart::N,ажакьа,сахл
13,Bart::N,ажакьа,өргнә сахл
14,Kinn::N,ацламкəыгə,өргн
15,Kiefer[Anatomie]::N,ацламҳəа,өргн
16,Kehle::N,ахəда,хол
17,Hals::N,ахəда,күзүн
18,Genick::N,ахəдаџьал,гиҗг
19,Kopf::N,ахы,толһа
20,Rücken::N,азқəа,нурһн
21,Bauch::N,амгəа,гесн
22,Nabel::N,аҷапан,киисн
23,Busen::N,агəыҧҳəы,көкн
24,Brust::N,агəышҧы,чееҗ
25,Schulter::N,ажəҩахыр,ээм
26,Arm::N,амахəар,һар
27,Ellenbogen::N,амашьхəылҵ,тоха
28,Hand::N,анапы,баһлцг
29,Handfläche::N,анапсаргəыҵа,альхн
30,Finger::N,анацəа,хурһн
31,Finger::N,анацəа,һарин хурһн
32,Fingernagel::N,анапхыц,хумсн
33,Nagel[Anatomie]::N,ашьапхыц,хумсн
34,Zeh::N,ашьацəа,хурһн
35,Zeh::N,ашьацəа,көлин хурһн
36,Fuß::N,ашьапсыргəыҵа,тавг
37,Ferse::N,ашьхəа,өскә
38,Knie::N,ашьамхы,өвдг
39,Oberschenkel::N,ауаҭəа,һуй
40,Bein::N,ашьапы,көл
41,Körper::N,ацəеижь,махмуд
42,Haut::N,ацəа,арсн
43,Blut::N,ашьа,цусн
44,Ader::N,ада,судцн
45,Sehne::N,адаш,шүрүсн
46,Knochen::N,абаҩ,ясн
47,Gehirn::N,ахшлыбаҩ,экн
48,Gehirn::N,ахшыбаҩ,экн
49,Herz::N,агəы,зүркн
50,Magen::N,аца,гесн
51,Magen::N,ацар,гесн
52,Leber::N,агəаҵəа,элкн
53,Atem::N,аҧсыҧлагаҩгара,әмсхл
54,Hunger::N,амла,харһнлһн
55,Träne::N,алабжыш,нульмсн
56,Geschmack::N,агьама,амтн
57,Geruch::N,афҩы,үнр
58,Schlaf::N,ацəа,нөр
59,Traum::N,аҧхыӡ,зүүдн
60,Himmel::N,ажəҩан,теңгр
61,Sonne::N,амра,нарн
62,Mond::N,амза,сар
63,Stern::N,аеҵəа,одн
64,Luft::N,аҳаир,аһар
65,Wind::N,аҧша,салькн
66,Welle::N,ацəқəырҧа,дольган
67,Wasser::N,аӡы,усн
68,Stein::N,ахаҳə,чолун
69,Boden::N,адгьыл,Һазр
70,Erde::N,адгьыл,Һазр
71,Staub::N,асаба,тоосн
72,Rauch::N,алҩа,утан
73,Funke::N,акəиц,очн
74,Funke::N,ацҧхь,очн
75,Feuer::N,амца,һал
76,Licht::N,алашара,герл
77,Schatten::N,ашəшьыра,сүүдр
78,Wetter::N,амш,теңгр
79,Nebel::N,анаҟəа,будн
80,Wolke::N,аҧсҭҳəа,үүлн
81,Regen::N,ақəа,хур
82,Schnee::N,асы,цасн
83,Eis::N,аҵаа,мөсн
84,Frost::N,аҵаа,киитн
85,Kälte::N,ахьҭа,киитн
86,Hitze::N,ашоура,халун
87,Raureif::N,аҵааҧшқа,цаң
88,Raureif::N,аҵааҧшқа,кирү
89,Regenbogen::N,ацəаҟəа,солңһ
90,Donner::N,адыд,оһтрһун дун
91,Strömung::N,аиасра,урсхл
92,Strömung::N,амҩасра,урсхл
93,Tropfen::N,ацəыкəбар,дусал
94,Schaum::N,ашəах,көөсн
95,Schmutz::N,алымт,кир
96,See::N,аӡиа,нур
97,Sumpf::N,аӡмах,унул
98,Wiese::N,адəы,хадлһн
99,Wald::N,абна,ө-модн
100,Hügel::N,ахəы,толһа
101,Anhöhe::N,аҳаракыра,хамр
102,Berg::N,ашьха,уул
103,Gipfel::N,ацəқəа,ора
104,Höhle::N,аҳаҧы,хадин көндә
105,Abhang::N,анаара,ташу
106,Quelle::N,аҵҵырҭа,булг
107,Bach::N,акəараҷҷа,һооҗур
108,Fluss::N,аӡиас,һол
109,Ufer::N,ахықə,көвә
110,Küste::N,ахықə,көвә
111,Küste::N,ахықə,теңгсин көвә
112,Festland::N,абарра,хүүрә һазр
113,Meer::N,амшын,теңгс
114,Bucht::N,аӡбжьахала,цекә
115,Bucht::N,аӡбжьахала,теңгсин цекә
116,Insel::N,адгьылбжьаха,арл
117,Blume::N,ашəҭ,цецг
118,Gras::N,аҳасакьын,ноһан
119,Wurzel::N,адац,уңг
120,Baum::N,аҵла,модн
121,Stamm::N,ашьапы,шилв
122,Stamm::N,ашьапы,һол модн
123,Rinde::N,ацəа,көрсн
124,Ast::N,амахə,ац
125,Ast::N,амахəҭа,ац
126,Zweig::N,амахə,ац
127,Zweig::N,амахəҭа,ац
128,Blatt::N,абҕьы,хамтхасн
129,Birke::N,аҵааҵла,хусм модн
130,Kiefer[Baum]::N,амза,шар харһа
131,Weide[Baum]::N,аҧслыш,удн
132,Tanne::N,аҧсаӡ,җөөлн цаһан модн
133,Horn::N,атəыҩа,өвр
134,Feder::N,ахӡы,өрвлг
135,Fell::N,ацəа,арсн
136,Flügel::N,амҵəыжəа,җивр
137,Klaue::N,ашьапхыц,хумсн
138,Schwanz::N,аҵыхəа,сүл
139,Ei::N,акəтаӷь,өндгн
140,Nest::N,аҭра,үр
141,Nest::N,аҵысҭра,үр
142,Bau::N,аҭыҩра,нүкн
143,Tier::N,аҧстəы,мал
144,Tier::N,агыгшəыг,мал
145,Herde::N,агəарҭа,сүрг мал
146,Kuh::N,ажə,үкр
147,Bulle::N,ацə,бух
148,Pferd::N,аҽы,мөрн
149,Schaf::N,ауаса,хөн
150,Schwein::N,аҳəа,һаха
151,Hund::N,ала,ноха
152,Katze::N,ацгəы,мис
153,Bär::N,амшə,аю
154,Eichhörnchen::N,аеш,кермн
155,Elch::N,аҽаҩа,хандһа
156,Fuchs::N,абгахəыҷы,арат
157,Hase::N,ажьа,туула
158,Maus::N,аҳəынаҧ,хулһн
159,Wolf::N,абгаду,чон
160,Vogel::N,аҧсаатə,шовун
161,Huhn::N,акəты,така
162,Hahn::N,арбаҕь,эр така
163,Gans::N,аҟыз,һалун
164,Adler::N,ауарба,һәрд
165,Ente::N,акəата,нуһсн
166,Eule::N,аты,һурвлһ
167,Kranich::N,апҟа,тоһрун
168,Krähe::N,аҟəараан,шаазһа
169,Kuckuck::N,акəыкəу,эргин хуцдг
170,Schwan::N,агьад,хун
171,Fisch::N,аҧсыӡ,заһсн
172,Barsch::N,ацəыбла,шүрг
173,Hecht::N,ахиаала,цурх
174,Schlange[Tier]::N,амаҭ,моһа
175,Wurm::N,ахəа,өтн
176,Wurm::N,ахəац,өтн
177,Spinne::N,абызкаҭаҳа,аралҗн
178,Ameise::N,ашышкамс,шорһлҗн
179,Laus::N,аҵа,бөөсн
180,Mücke::N,акəыбры,бөкүн
181,Fliege::N,амҵ,батхн
182,Schmetterling::N,аҧарҧалыкь,эрвәкә
183,Beere::N,аргуц,бөөлҗрһн
184,Apfel::N,аҵəа,альмн
185,Pilz::N,акəкəбаа,теңгрин ки
186,Zwiebel::N,аџьымшьы,мәңгрснә толһа
187,Zwiebel::N,аџьымшьхы,мәңгрснә толһа
188,Saat::N,ажəла,буудян экн
189,Korn::N,арыц,экн
190,Heu::N,аҭəа,өвсн
191,Schale::N,ацəа,хальсн
192,Grube::N,ажра,нүкн
193,Grube::N,атыша,нүкн
194,Falle::N,арыҧҟьа,урх
195,Falle::N,арыҧҟьа,хавх
196,Schlinge::N,аҟəараҟəантə,бүтү
197,Spur::N,ашьҭа,мөр
198,Asche::N,ахəа,үмсн
199,Dreck::N,аҳəынҵəа,бальчг
200,Dreck::N,аҟьамсар,бальчг
201,Eisen::N,аиха,төмр
202,Gold::N,ахьы,алтн
203,Silber::N,аразны,мөңгн
204,Silber::N,аразны,цаһан мөңгн
205,Kohle::N,арацəа,нүүрсн
206,Glas::N,асаркьа,шил
207,Lehm::N,анышəаҧшь,шавр
208,Sand::N,аҧслымӡ,элсн
209,Mensch::N,ауаҩы,күн
210,Mensch::N,ауаҩы,күмн
211,Mann::N,ахаҵа,эр
212,Frau::N,аҧҳəыс,күүкд күн
213,Kind::N,ахəыҷы,үрн
214,Junge::N,аҷкəын,көвүн
215,Junge::N,ахаҵарҧыс,көвүн
216,Mädchen::N,аӡӷаб,бичкн күүкн
217,Familie::N,аҭаацəа,бүл
218,Großvater::N,абду,өвк эцк
219,Großvater::N,абду,наһц эцк
220,Großmutter::N,анду,эмг эк
221,Großmutter::N,анду,наһц эк
222,Eltern::N,ани аби,эк эцк хойр
223,Vater::N,аб,эцк
224,Mutter::N,ан,эк
225,Sohn::N,аҧа,көвүн
226,Tochter::N,аҧҳа,күүкн
227,Bruder::N,аиашьа,дү көвүн
228,Schwester::N,Аҳəшьа,эгч
229,Schwester::N,Аҳəшьа,дү күүкн
230,Onkel::N,абиашьа,авһ
231,Onkel::N,абиашьа,наһцх
232,Onkel::N,аншьа,авһ
233,Onkel::N,аншьа,наһцх
234,Tante::N,абиаҳəшьа,наһц эгч
235,Ehemann::N,ахаҵа,залу
236,Ehemann::N,аҧшəма,залу
237,Ehefrau::N,аҧҳəыс,гергн
238,Freude::N,агəырӷьара,байр
239,Gelächter::N,ачча,инәдн
240,Gelächter::N,аччара,инәдн
241,Glück::N,аразҟы,җирһл
242,Glück::N,аразҟы,сәәхн җирһл
243,Kummer::N,агəырҩа,зовлң
244,Wunsch::N,агəхəтəы,дурн
245,Wunsch::N,аҭахра,дурн
246,Lust::N,агəазыҳəара,җилвтлһн
247,Geist::N,аҧсы,зөрг
248,Gedanke::N,ахəыцырҭа,ухан
249,Gedächtnis::N,агəынкылара,чееҗин тодлвр
250,Verstand::N,ахшыҩ,ухан
251,Sinn::N,аҵакы,учр-утх
252,Grund::N,амзыз,учр
253,Grund::N,амзыз,шалтан
254,Wahrheit::N,аиаша,үнн
255,Gespräch::N,аиҿцәажәара,күүндвүр
256,Märchen::N,алакə,тууль
257,Erzählung::N,ажәабжь,келвр
258,Nachricht::N,адырраҭара,медүллһн
259,Neuigkeit::N,ажәабжь ҿыц,зәңг
260,Name::N,ахьӡ,нерн
261,Rätsel::N,ацуфара,тәәлвртә тууль
262,Rede::N,ажәа,келлһн
263,Sprache::N,абызшəа,келн
264,Stimme::N,абжьы,дун
265,Wort::N,ажәа,үг
266,Zeichen::N,адырга,темдг
267,Ruf::N,аҿҭы,дуудлһн
268,Lärm::N,ашьҭыбжь,шууган
269,Laut::N,ашьҭыбжь,ә
270,Ton::N,атон,дун
271,Lied::N,ашəа,дун
272,Ruhe::N,аҭынчра,амулң
273,Leute::N,ауаа,әмтн
274,Volk::N,ажəлар,улс
275,Arbeit::N,аусура,көдлмш
276,Gast::N,асас,гиич
277,Geschenk::N,аҳамҭа,белг
278,Geschenk::N,аҿанҵа,белг
279,Spiel::N,ахəмарра,наадн
280,Gesellschaft::N,агəыҧ,олн
281,Hilfe::N,ацхыраара,нөкд
282,Freund::N,аҩыза,иньг
283,Kamerad::N,Аҧхнагьла,үр
284,Angelegenheit::N,аус,керг
285,Anzahl::N,ахыҧхьаӡара,то
286,Art::N,ахкы,зүүл
287,Stück::N,аҽыҭ,хусг
288,Teil::N,ахəҭа,хүв
289,Hälfte::N,абжа,өрәл
290,Kreis::N,агьагьа,төгрг
291,Kreuz::N,аџьар,кирс
292,Linie::N,аицтәар,зурасн
293,Strich::N,ацəаҳəа,татасн
294,Abstand::N,абжьара,зә
295,Entfernung::N,абжьара,һазр
296,Gegend::N,аҭыҧ,һазр
297,Platz::N,аҭыҧ,зә
298,Ort::N,аҭыҧ,бәәрн
299,Seite::N,аган,тал
300,Seite::N,аган,хаҗу
301,Seite::N,аган,хәврһ
302,Mitte::N,агəҭа,дунд
303,Gegenstand::N,амаҭəар,юмн
304,Rand::N,аҵкар,зах
305,Kante::N,авардым,ирмәг
306,Ecke::N,акəакь,өнцг
307,Spitze::N,аҧынҵа,үзүр
308,Ende::N,анаӡара,үзүр
309,Loch::N,акылҵəара,хаһрха
310,Winkel::N,агҿаҩра,булң
311,Winkel::N,акəындхə,булң
312,Winkel::N,акəакь,булң
313,Muster::N,аҟҟа,намч
314,Größe::N,изаҟароу,кемҗән
315,Länge::N,аура,ут
316,Höhe::N,агылара,өндр
317,Gewicht::N,акапан,күнд
318,Gewicht::N,акапан,чиңнүр
319,Haufen::N,ачаҟəа,ова
320,Reihe::N,ацəаҳəа,зерг
321,Reihe::N,ацəаҳəа,зерглән
322,Boot::N,анышь,оңһц
323,Ruder::N,ажəҩа,хәәв
324,Schlitten::N,ашəаҩауардын,цан
325,Ski::N,ашəаҩа,лыҗ
326,Ski::N,ашьахаха,лыҗ
327,Lagerfeuer::N,еиқуу амца,костёр
328,Last::N,ахьанҭара,күнд
329,Gang::N,аныҟəара,йовлһн
330,Schritt::N,ашьаҿа,ишкм
331,Norden::N,аҩада,ар үзг
332,Süden::N,алада,өмн
333,Süden::N,алада,өмн үзг
334,Westen::N,амраҭашəара,барун
335,Westen::N,амраҭашəара,барун үзг
336,Osten::N,амрагылара,зүн
337,Osten::N,амрагылара,зүн үзг
338,Holz::N,амҿымаҭəахə,модн
339,Brett::N,аӷəы,харһа
340,Platte::N,ахаҳәцәы,хавтха чолун
341,Stütze::N,аҵаргəа,тулг
342,Stütze::N,агəышьаҟа,тулг
343,Stange::N,акьат,уньн
344,Stock::N,алаба,модн
345,Stab::N,акьат,шуург
346,Rohr::N,абыкь,турва
347,Haus::N,аҩны,гер
348,Heim::N,аҭаацəа,гер-бул
349,Ofen::N,аҳақə,беш
350,Ofen::N,ауаџьаҟ,беш
351,Ofen::N,афрына,беш
352,Fußboden::N,адашьма,девскр
353,Tisch::N,аишәа,ширә
354,Stuhl::N,аҟəардə,стул
355,Wiege::N,агара,өлгә
356,Wiege::N,агара,дүүҗң
357,Bett::N,акаруаҭ,орн
358,Bett::N,акаруаҭ,орндг
359,Regal::N,акыӷəра,таг
360,Regal::N,акыӷəра,тәвц
361,Kiste::N,аидчаҧала,яршг
362,Fenster::N,аҧенџьыр,терз
363,Tür::N,ашə,үүдн
364,Tor::N,агəашə,үүдн
365,Tor::N,агəашə,өргн үүдн
366,Tor::N,агəашə,хашан үүдн
367,Zaun::N,аанда,хаша
368,Dach::N,ахыб,деевр
369,Leiter::N,амардуан,шат
370,Leiter::N,амардуан,давшур
371,Besen::N,аҧссага,сәвүр
372,Spaten::N,ажыга,күрз
373,Schaufel::N,аҭəарӷəы,совг
374,Gabel::N,ачқьыҧ,серә
375,Löffel::N,амҳаҵə,ухр
376,Messer::N,аҳəызба,утх
377,Nagel::N,аҵəымӷ,хадасн
378,Netz::N,акаҭа,гөлм
379,Haken::N,аҵəаҳə,дегә
380,Griff::N,амаа,иш
381,Griff::N,амаа,бәрүл
382,Schloss::N,асаҧаҭ,оньс
383,Bild::N,асахьа,зург
384,Figur::N,афигура,фигур
385,Puppe::N,акьанџьа,наадһа
386,Beutel::N,асакь,мишг
387,Bündel::N,аҿаҳəара,багла
388,Bündel::N,аҿаҳəара,боодһа
389,Tasche::N,арҭмаҟ,сумк
390,Eimer::N,аведра,суулһ
391,Deckel::N,ахҩа,бүркәсн
392,Geschirr::N,ачысмаҭəа,сав
393,Geschirr::N,ачысмаҭəа,сав-сарх
394,Sack::N,асакь,мишг
395,Tasse::N,аҵəца,ааһ
396,Topf::N,акаструлиа,кастрюль
397,Kessel::N,ачуан,хәәсн
398,Nahrung::N,афатə,теҗәл
399,Speise::N,афатə,хот
400,Fleisch::N,акəац,махн
401,Getreide::N,ачакуа,хот болҗ эдлгддг цецгүдтә урһмл
402,Brei::N,ақашь,хаш
403,Brot::N,ача,өдмг
404,Scheibe::N,аҽыҭ,зүсм
405,Scheibe::N,аҿаҵа,зүсм
406,Fett::N,ашша,өөкн
407,Butter::N,ахəша,тосн
408,Öl::N,азеҭ,тосн
409,Salz::N,аџьыка,давсн
410,Suppe::N,асуҧ,шөлн
411,Honig::N,ацха,бал
412,Milch::N,ахш,үсн
413,Tee::N,ачаи,цә
414,Leder::N,ацəа,арсн
415,Wolle::N,аласа,утцн
416,Wolle::N,аласа,эд
417,Stoff::N,Аба,эд
418,Nadel::N,агəыр,зүн
419,Faden::N,арахəыц,утцн
420,Knopf::N,аҳəынҵəра,товч
421,Knoten::N,аиқəҳəала,зәңгдә
422,Farbe::N,ашəыга,будг
423,Kleidung::N,амаҭəа,хувцн
424,Kleidung::N,амаҭəа,хувц-хунр
425,Hemd::N,акьаҿ,киилг
426,Kragen::N,ахəда,зах
427,Ärmel::N,амаӷра,ханцн
428,Hose::N,аиқəа,шалвур
429,Gürtel::N,амаҟа,бүс
430,Mütze::N,ахылҧа,махла
431,Schuh::N,аимаа,башмгуд
432,Stiefel::N,амагə,һосн
433,Ring::N,амацəаз,билцг
434,Band::N,алента,лент
435,Kamm::N,ахҳəа,сам
436,Spiegel::N,асаркьа,толь
437,Riemen::N,аа,бүс
438,Schnur::N,ашаха,деесн
439,Leine::N,аҕура,бурнтг
440,Leine::N,аҕура,нохан көтлвр
441,Decke::N,ахыза,көнҗл
442,Kissen::N,ахчы,дер
443,Tuch::N,акасы,альчур
444,Handtuch::N,ампахьшьы,полотенц
445,Handtuch::N,ампахьшьы,һар-нүүрин альчур
446,Kraft::N,амч,күчн
447,Stärke::N,амч,чидл
448,Gesundheit::N,агəабзиара,эрүл-менд
449,Krankheit::N,ачымазара,өвчн
450,Schmerz::N,ахьаа,өвдлһн
451,Wunde::N,ахəра,шав
452,Fieber::N,ашоура,безг
453,Arznei::N,ахəшə,эм
454,Brücke::N,ацҳа,тагт
455,Brunnen::N,аҵыџь,худг
456,Weide::N,аҳəырҭа,малын идг
457,Pfad::N,амхəасҭа,цувг
458,Weg::N,амҩа,хаалһ
459,Straße::N,амҩа,зам
