,Concept_ID,fi,sv
192,Hund::N,koira,hund
193,Katze::N,kissa,katt
194,Bär::N,karhu,björn
195,Eichhörnchen::N,orava,ekorre
196,Elch::N,hirvi,älg
197,Fuchs::N,kettu,räv
198,Hase::N,jänis,hare
199,Maus::N,hiiri,mus
200,Wolf::N,susi,varg
201,Vogel::N,lintu,fågel
202,Schwarm::N,parvi,svärm
203,Huhn::N,kana,höns
204,Hahn::N,kukko,tupp
205,Gans::N,hanhi,gås
206,Adler::N,kotka,örn
207,Ente::N,ankka,anka
208,Eule::N,pöllö,uggla
209,Kranich::N,kurki,trana
210,Krähe::N,varis,kråka
211,Kuckuck::N,käki,gök
212,Schwan::N,joutsen,svan
213,Fisch::N,kala,fisk
214,Barsch::N,ahven,abborre
215,Hecht::N,hauki,gädda
216,Schlange[Tier]::N,käärme,orm
217,Wurm::N,mato,mask
218,Spinne::N,hämähäkki,spindel
219,Ameise::N,muurahainen,myra
220,Laus::N,täi,lus
221,Mücke::N,sääski,mygga
222,Mücke::N,hyttynen,mygga
223,Fliege::N,kärpänen,fluga
224,Schmetterling::N,perhonen,fjäril
225,Beere::N,marja,bär
226,Apfel::N,omena,äpple
227,Pilz::N,sieni,svamp
228,Zwiebel::N,sipuli,lök
229,Saat::N,siemenet,sådd
230,Korn::N,jyvä,korn
231,Korn::N,vilja,korn
232,Heu::N,heinä,hö
233,Schale::N,kuori,skal
234,Grube::N,kuoppa,grop
235,Falle::N,loukku,fälla
236,Schlinge::N,ansa,snara
237,Spur::N,jälki,spår
238,Asche::N,tuhka,aska
239,Dreck::N,lika,lort
240,Eisen::N,rauta,järn
241,Gold::N,kulta,guld
242,Silber::N,hopea,silver
243,Kohle::N,hiili,kol
244,Glas::N,lasi,glas
245,Lehm::N,savi,lera
246,Sand::N,hiekka,sand
247,Mensch::N,ihminen,människa
248,Mann::N,mies,man
249,Frau::N,nainen,kvinna
250,Kind::N,lapsi,barn
251,Junge::N,poika,pojke
252,Mädchen::N,tyttö,flicka
253,Familie::N,perhe,familj
254,Großvater::N,isoisä,morfar
255,Großmutter::N,isoäiti,farmor
256,Eltern::N,vanhemmat,föräldrar
257,Vater::N,isä,far
258,Mutter::N,äiti,mor
259,Sohn::N,poika,son
260,Tochter::N,tytär,dotter
261,Bruder::N,veli,bror
262,Schwester::N,sisko,syster
263,Onkel::N,eno,morbror
264,Onkel::N,setä,morbror
265,Tante::N,täti,tant
266,Ehemann::N,mies,äkta man
267,Ehemann::N,aviomies,äkta man
268,Ehefrau::N,vaimo,hustru
269,Ehefrau::N,aviovaimo,hustru
270,Freude::N,ilo,fröjd
271,Freude::N,ilo,glädje
272,Freude::N,riemu,fröjd
273,Freude::N,riemu,glädje
274,Gelächter::N,nauru,åtlöje
275,Glück::N,onni,lycka
276,Kummer::N,suru,sorg
277,Kummer::N,murhe,sorg
278,Wunsch::N,toive,önskan
279,Wunsch::N,toivomus,önskan
280,Lust::N,himo,lust
281,Geist::N,henki,ande
282,Gedanke::N,aate,tanke
283,Gedanke::N,ajatus,tanke
284,Gedächtnis::N,muisti,minne
285,Verstand::N,äly,förstånd
286,Verstand::N,järki,förstånd
287,Verstand::N,ymmärrys,förstånd
288,Sinn::N,merkitys,mening
289,Sinn::N,merkitys,betydelse
290,Grund::N,syy,skäl
291,Grund::N,syy,grund
292,Grund::N,peruste,skäl
293,Grund::N,peruste,grund
294,Wahrheit::N,tosi,sanning
295,Wahrheit::N,totuus,sanning
296,Gespräch::N,puhelu,samtal
297,Gespräch::N,keskustelu,samtal
