,Concept_ID,kv,ps
0,Auge::N,син,سترګه
1,Ohr::N,пель,غوږ
2,Nase::N,ныр,پوزه
3,Mund::N,ӧм,خوله
4,Zahn::N,пинь,غاښ
5,Zunge::N,кыв,جبه
6,Lippe::N,тырп,شونډه
7,Wange::N,рожабан,باړخو
8,Gesicht::N,бан,مخ
9,Stirn::N,кымӧс,تندی
10,Stirn::N,кымӧс,وچولی
11,Haar::N,юрси,وېښته
12,Schnurrbart::N,уссэз,برېت
13,Bart::N,тош,ږیره
14,Kinn::N,тшӧка,زنه
15,Kiefer[Anatomie]::N,ан,جامه
16,Kehle::N,юан,غاړه
17,Hals::N,юан,غاړه
18,Genick::N,юр бӧр,ورمېږ
19,Kopf::N,юр,سر
20,Rücken::N,мышк,شا
21,Bauch::N,кынӧм,نس
22,Bauch::N,кынӧм,ګېډه
23,Nabel::N,гӧг,نوم
24,Busen::N,морос,تی
25,Brust::N,морос,سینه
26,Schulter::N,пельпон,اوږه
27,Arm::N,ки,لاس
28,Ellenbogen::N,гырдзза,څنګل
29,Hand::N,кикар,لاس
30,Handfläche::N,ки пыдӧс,ورغوی
31,Finger::N,чунь,ګوته
32,Fingernagel::N,гыж,نوک
33,Nagel[Anatomie]::N,гыж,نوک
34,Zeh::N,чунь,ګوته
35,Fuß::N,кокпыдӧс,پښه
36,Ferse::N,кокдзир,پونده
37,Knie::N,пидзӧс,زنګون
38,Oberschenkel::N,лядьбей,پتون
39,Bein::N,кок,پښه
40,Körper::N,вывтыр,ځان
41,Haut::N,кучик,پوټکی
42,Blut::N,вир,وینه
43,Ader::N,сӧн,رګ
44,Sehne::N,жила,پله
45,Knochen::N,коска,هډوکی
46,Gehirn::N,вем,ماغزه
47,Herz::N,сьӧлӧм,زړه
48,Magen::N,жӧвдӧк,معده
49,Leber::N,мус,ينه
50,Leber::N,мус,ځیګر
51,Atem::N,лолалӧм,نفس
52,Hunger::N,тшыг,ولږه
53,Träne::N,синва,اوښکه
54,Geschmack::N,кӧр,مزه
55,Geschmack::N,кӧр,خوند
56,Geruch::N,дук,بوی
57,Schlaf::N,он,خوب
58,Traum::N,вӧт,خوب
59,Himmel::N,небо,اسمان
60,Sonne::N,шондi,لمر
61,Mond::N,тӧлiсь,سپوږمۍ
62,Stern::N,кӧдзыв,ستوری
63,Luft::N,ру,هوا
64,Wind::N,тӧв,ورښ
65,Welle::N,гы,موج
66,Wasser::N,ва,اوبه
67,Stein::N,из,ډبره
68,Boden::N,му,مځکه
69,Erde::N,му,خاوره
70,Staub::N,бус,ګرد
71,Staub::N,бус,خاوره
72,Rauch::N,тшын,دود
73,Rauch::N,тшын,لوګی
74,Funke::N,бичир,سپرغۍ
75,Feuer::N,би,اور
76,Licht::N,би,رڼا
77,Schatten::N,вуджӧр,سیوری
78,Wetter::N,погоддя,هوا
79,Nebel::N,туман,لړه
80,Wolke::N,кымӧр,ورېځ
81,Regen::N,зэр,وریا
82,Regen::N,зэр,باران
83,Schnee::N,лым,واوره
84,Eis::N,йы,یخ
85,Eis::N,йы,کنګل
86,Frost::N,мороз,یخ
87,Kälte::N,кӧдзыт,ساړه
88,Hitze::N,ӧд,تودوخي
89,Raureif::N,кижа,سپینه پرخه
90,Regenbogen::N,енӧшка,بوډۍ ټال
91,Regenbogen::N,енӧшка,سره زرغونه
92,Donner::N,гым,تالنده
93,Strömung::N,визывтӧм,بهېدنه
94,Tropfen::N,тёп,قطره
95,Tropfen::N,тёп,څاڅکی
96,Schaum::N,быг,ځګ
97,Schmutz::N,нять,ناپاکي
98,See::N,ты,جهیل
99,Sumpf::N,арай,جبه
100,Moor::N,нюр,جبه
101,Wiese::N,видз,چمن
102,Wiese::N,видз,شنېلی
103,Wald::N,вӧр,ځنګل
104,Hügel::N,мыльк,تپه
105,Anhöhe::N,вывтас,غونډۍ
106,Anhöhe::N,вылынін,غونډۍ
107,Berg::N,керӧс,غ‍‍‍‍‍ر
108,Gipfel::N,йыв,څوکه
109,Höhle::N,нора,کاز
110,Abhang::N,покат,لمن
111,Quelle::N,больган,چینه
112,Bach::N,шор,واله
113,Fluss::N,ю,سیند
114,Ufer::N,берег,غاړه
115,Küste::N,берег,ساحل
116,Festland::N,му,وچه
117,Meer::N,море,بحر
118,Meer::N,море,سمندر
119,Bucht::N,курья,کارۍ
120,Blume::N,цветок,ګل
121,Gras::N,турун,واښه
122,Wurzel::N,вуж,ریښه
123,Baum::N,пу,ونه
124,Stamm::N,мыр,ډډ
125,Stamm::N,кер,ډډ
126,Rinde::N,кач,پوستکی
127,Ast::N,ув,ښاخ
128,Zweig::N,ув,څانګه
129,Blatt::N,лист,پاڼه
130,Birke::N,кыдз,توس
131,Kiefer[Baum]::N,пожум,نښتر
132,Weide[Baum]::N,бадь,وله
133,Tanne::N,кӧз,ناجو
134,Horn::N,сюр,ښکر
135,Feder::N,гӧн,بڼکه
136,Fell::N,кучик,پوستکی
137,Flügel::N,борд,وزر
138,Klaue::N,гыж,پنجه
139,Klaue::N,гыж,منګول
140,Kralle::N,кабыр,پنجه
141,Kralle::N,кабыр,منګول
142,Schwanz::N,бӧж,لکۍ
143,Ei::N,кольть,وۍ
144,Ei::N,кольть,هګۍ
145,Nest::N,поз,جاله
146,Bau::N,осьта,کاز
147,Bau::N,нора,کاز
148,Tier::N,зверь,ژوی
149,Tier::N,зверь,حیوان
150,Herde::N,гурт,رمه
151,Herde::N,гурт,غېله
152,Kuh::N,мӧс,غوا
153,Bulle::N,ӧшка,غوئی
154,Pferd::N,вӧв,آس
155,Schaf::N,баля,پسه
156,Schwein::N,порсь,سرکوزی
157,Hund::N,пон,سپی
158,Katze::N,кань,پشه
159,Bär::N,ош,خرس
160,Eichhörnchen::N,ур,خړ لمی
161,Elch::N,вӧр мӧс,ګوزن
162,Fuchs::N,руч,سپلم
163,Hase::N,кӧч,سوی
164,Maus::N,шыр,مږک
165,Wolf::N,кӧин,لېوه
166,Vogel::N,кай,مرغه
167,Schwarm::N,стая,سېل
168,Schwarm::N,чукӧр,سېل
169,Huhn::N,курӧг,چرګه
170,Hahn::N,петух,چرګ
171,Hahn::N,ай курӧг,چرګ
172,Gans::N,дзодзог,بته
173,Adler::N,куч,عقاب
174,Adler::N,кутш,عقاب
175,Ente::N,утка,ایلۍ
176,Eule::N,тупка,ګونګی
