,Concept_ID,vep,ta
0,Auge::N,sil'm,கண்
1,Ohr::N,korv,காது
2,Nase::N,nena,மூக்கு
3,Mund::N,su,வாய்
4,Zahn::N,pi,பல்
5,Zahn::N,hambaz,பல்
6,Zunge::N,kel',நாக்கு
7,Lippe::N,hul',உதடு
8,Wange::N,modpolišk,கன்னம்
9,Gesicht::N,mod,முகம்
10,Stirn::N,oc,முன்னெற்றி
11,Haar::N,tuk,முடி
12,Haar::N,hibuz,முடி
13,Schnurrbart::N,habinod,மீசை
14,Bart::N,bard,தாடி
15,Kinn::N,löug,கீழதாடை
16,Kiefer[Anatomie]::N,hambazlu,தாடை
17,Kehle::N,kurk,தொண்டை
18,Hals::N,kagl,கழுத்து
19,Genick::N,tagarai,கழுத்து
20,Kopf::N,pä,தலை
21,Rücken::N,sel'g,முதுகு
22,Bauch::N,vac,வயிறு
23,Bauch::N,koht,வயிறு
24,Nabel::N,naba,தொப்புள்
25,Busen::N,niža,மார்பகம்
26,Brust::N,rind, மார்பு
27,Schulter::N,oug,தோள்பட்டை
28,Arm::N,käzi,கரம்
29,Ellenbogen::N,künambruz,முழங்கை
30,Hand::N,käzi,கை
31,Hand::N,käzitera,கை
32,Handfläche::N,kämen,உள்ளங்கை
33,Finger::N,sor'm,விரல்
34,Fingernagel::N,künz',விரல் நகம்
35,Nagel[Anatomie]::N,künz',நகம்
36,Zeh::N,barbaz,கால்விரல்
37,Fuß::N,jaug,கால்
38,Ferse::N,kand,குதிகால்
39,Knie::N,komb,முழங்கால்
40,Knie::N,pol'v,முழங்கால்
41,Oberschenkel::N,riiže,தொடை
42,Bein::N,jaug,கால்
43,Körper::N,hibj,உடல்
44,Haut::N,nahk,சருமம்
45,Blut::N,čak,இரத்தம்
46,Blut::N,veri,இரத்தம்
47,Ader::N,son',நாளம்
48,Sehne::N,jände,தசைநார்
49,Knochen::N,lu,எலுமபு
50,Gehirn::N,aivod,மூனை
51,Herz::N,südäin,இதயம
52,Magen::N,südäikoht,வயிறு
53,Leber::N,maks,கல்லீரல்
54,Atem::N,hengaiduz,மூச்சு
55,Hunger::N,näl'g,பசி
56,Träne::N,kündal',கண்ணீர்
57,Geschmack::N,magu,நறுமணம்
58,Geruch::N,haju,துர்நாற்றம்
59,Schlaf::N,uni,தூக்கம்
60,Traum::N,unikuva,கனவு
61,Himmel::N,taivaz,வானம்
62,Sonne::N,päiväine,சூரியன்
63,Mond::N,kudmaine,சந்திரன்
64,Stern::N,tähtaz,நட்சத்திரம்
65,Luft::N,il'm,காறறு
66,Wind::N,döl,காற்று
67,Wind::N,tullei,காற்று
68,Welle::N,ald,அலை
69,Welle::N,laineh,அலை
70,Wasser::N,vezi,நீர்
71,Stein::N,kivi,கல்
72,Boden::N,ma,தரை
73,Boden::N,pohj,தரை
74,Erde::N,ma,மண்
75,Staub::N,pölü,தூசி
76,Rauch::N,savu,புகை
77,Funke::N,kibin,தீப்பொறி
78,Feuer::N,lämoi,தீ
79,Licht::N,vauktuz,வெளிச்சம்
80,Schatten::N,pil'vez,நிழல்
81,Schatten::N,kuvahaine,நிழல்
82,Wetter::N,sä,வானிலை
83,Nebel::N,sumeg,பனிமூட்டம்
84,Wolke::N,pil'v,மேகம்
85,Regen::N,vihm,மழை
86,Schnee::N,lumi,உறைபனி
87,Eis::N,jä,பனிக்கட்டி
88,Frost::N,hala,உறைபனி
89,Frost::N,pakaine,உறைபனி
90,Kälte::N,vilu,குளிர்ந்த
91,Hitze::N,räk,சூடு
92,Raureif::N,hüde,உறைபனி வெண்திரை
93,Regenbogen::N,jumalanbembel',வானவில்
94,Donner::N,juru,இடி
95,Donner::N,jumalanjuru,இடி
96,Strömung::N,joksmuz,நீரோட்டம்
97,Tropfen::N,tilkuine,துளி
98,Schaum::N,vaht,நுரை
99,Schmutz::N,redu,அழுக்கு
100,Schmutz::N,pačak,அழுக்கு
101,See::N,järv,ஏரி
102,Sumpf::N,so,சதுப்பு நிலம்
103,Moor::N,so,முட்புதற்காடு
104,Wiese::N,nit,பசும் புல்தரை
105,Wald::N,mec,காடு
106,Hügel::N,kukaz,குன்று
107,Anhöhe::N,kukaz,பதுக்கை
108,Berg::N,mägi,மலை
109,Gipfel::N,ladv,உச்சி மாநாடு
110,Höhle::N,mägionduz,குகை
111,Abhang::N,paute,சரிவு
112,Quelle::N,lähte,மூலம்
113,Bach::N,oja,ஓடை
114,Fluss::N,jogi,ஆறு
115,Ufer::N,rand,நீர்க்கரை
116,Küste::N,randišt,கடற்கரை
117,Festland::N,kuivma,நிலம்
118,Meer::N,meri,கடல்
119,Bucht::N,laht,சிறுகுடா
120,Insel::N,sar',தீவு
121,Blume::N,änik,பூ
122,Gras::N,hein,புல்தரை
123,Wurzel::N,jur',வேர்
124,Baum::N,pu,மரம்
125,Stamm::N,tüvi,அடிமரம்
126,Rinde::N,kor',பட்டை
127,Rinde::N,kor',மரப்பட்டை
128,Ast::N,oks,கினை
129,Zweig::N,oks,குச்சி
130,Zweig::N,barb,குச்சி
131,Blatt::N,lehtez,இலை
132,Birke::N,koiv,பிர்ச் மரம்
133,Kiefer[Baum]::N,pedai,தேவதாரு மரம்
134,Weide[Baum]::N,raid,மர வகைகளுள் ஒன்று
135,Tanne::N,kuz',சாதிக்கய்
136,Horn::N,sar'v,கொம்பு
137,Feder::N,höuneh,இறகு
138,Fell::N,nahk,மென்முடி
139,Flügel::N,suug,இறக்கை
140,Klaue::N,künz',நகம்
141,Kralle::N,künz',நகம்
142,Schwanz::N,händ,வால்
143,Ei::N,muna,முட்டை
144,Nest::N,peza,கூடு
145,Bau::N,uru,குகை
146,Tier::N,živat,விலங்கு
147,Herde::N,kogo,கூட்டம்
148,Kuh::N,lehm,பசு
149,Bulle::N,härg,காளை
150,Pferd::N,hebo,குதிரை
151,Schaf::N,lambaz,செம்மறிஆடு
152,Schwein::N,siga,பன்றி
153,Hund::N,koir,நாய்
154,Katze::N,kaži,பூனை
155,Bär::N,kondi,கரடி
156,Eichhörnchen::N,orav,அணில்
157,Elch::N,hirb',கடம்பை
158,Fuchs::N,reboi,நரி
159,Hase::N,jäniš,முயல்
160,Maus::N,hir',எலி
161,Wolf::N,händikaz,ஓநாய்
162,Vogel::N,lind,பறவை
163,Schwarm::N,parveh,தொகுதி
164,Huhn::N,kana,கோழிக்குஞசு
165,Hahn::N,kukoi,சேவல்
166,Gans::N,hanh',பெண் வாத்து
167,Adler::N,orl,பருநது
168,Ente::N,sorz,வாத்து
169,Eule::N,hir'pulo,ஆந்தை
170,Kranich::N,kurg,நாரை
171,Krähe::N,variš,காகம்
172,Kuckuck::N,kägi,குயில்
