,Concept_ID,ga,mhr
0,Auge::N,súil,шинча́
1,Ohr::N,cluas,пы́лыш
2,Nase::N,soc,нер
3,Mund::N,béal,умша́
4,Zahn::N,fiacail,пӱй
5,Zunge::N,teanga,йы́лме
6,Lippe::N,liopa,тӱ́рвӧ
7,Wange::N,grua,шӱ́ргӧ
8,Wange::N,leiceann,шӱ́ргӧ
9,Gesicht::N,éadan,чури́й
10,Gesicht::N,aghaidh,чури́й
11,Stirn::N,baithis,саҥга́
12,Stirn::N,clár éadain,саҥга́
13,Haar::N,gruaig,ӱп
14,Schnurrbart::N,croiméal,ӧ́рыш
15,Bart::N,féasóg,понда́ш
16,Kinn::N,smig,оҥыла́ш
17,Kiefer[Anatomie]::N,giall,пӱйдӱ́ҥ
18,Kiefer[Anatomie]::N,giall,пӱйората́
19,Kehle::N,scornach,лога́р
20,Hals::N,muinéal,шӱй
21,Genick::N,baic,шӱйло́дыш
22,Kopf::N,ceann,вуй
23,Rücken::N,droim,туп
24,Bauch::N,bolg,мӱ́шкыр
25,Nabel::N,imleacán,кы́лымде
26,Busen::N,cíoch,чы́зе
27,Brust::N,brollach,оҥ
28,Schulter::N,gualainn,ва́че
29,Arm::N,lámh,кид
30,Ellenbogen::N,uillinn,кынерву́й
31,Hand::N,lámh,кид
32,Hand::N,lámh,копа́
33,Handfläche::N,bos,со́во
34,Finger::N,méar,парня́
35,Fingernagel::N,ionga,кидкӱ́ч
36,Fingernagel::N,ionga,парнягӱ́ч
37,Nagel[Anatomie]::N,ionga,кӱч
38,Zeh::N,ladhar,йолварня́
39,Fuß::N,cos,йол
40,Fuß::N,cos,йолкопа́
41,Fuß::N,troigh,йол
42,Fuß::N,troigh,йолкопа́
43,Ferse::N,sáil,тага́н
44,Knie::N,glúin,пулву́й
45,Oberschenkel::N,ceathrú,э́рде
46,Bein::N,cos,йол
47,Körper::N,corp,кап
48,Körper::N,colainn,кап
49,Haut::N,cneas,кова́ште
50,Haut::N,craiceann,кова́ште
51,Blut::N,fuil,вӱр
52,Sehne::N,teannán,шӧн
53,Sehne::N,teannán,кӱсе́н
54,Sehne::N,féitheog,шӧн
55,Sehne::N,féitheog,кӱсе́н
56,Knochen::N,cnámh,лу
57,Gehirn::N,inchinn,вем
58,Gehirn::N,inchinn,вуйве́м
59,Herz::N,croí,шӱм
60,Magen::N,bolg,пага́р
61,Magen::N,goile,пага́р
62,Leber::N,ae,мокш
63,Atem::N,anáil,шӱ́лыш
64,Hunger::N,ocras,шужыма́ш
65,Träne::N,deoir,шинчавӱ́д
66,Geschmack::N,blas,там
67,Geruch::N,boladh,пуш
68,Schlaf::N,suan,о́мо
69,Schlaf::N,codladh,о́мо
70,Traum::N,taibhreamh,йӱдо́мо
71,Himmel::N,spéir,кава́
72,Sonne::N,grian,ке́че
73,Mond::N,ré,ты́лзе
74,Mond::N,gealach,ты́лзе
75,Stern::N,rinn,шӱ́дыр
76,Stern::N,réalta,шӱ́дыр
77,Luft::N,aer,юж
78,Wind::N,gaoth,марде́ж
79,Welle::N,tonn,то́лкын
80,Wasser::N,uisce,вӱд
81,Stein::N,cloch,кӱ
82,Boden::N,talamh,рок
83,Erde::N,cré,мла́нде
84,Erde::N,ithir,мла́нде
85,Staub::N,dusta,пура́к
86,Staub::N,deannach,пура́к
87,Rauch::N,toit,шикш
88,Rauch::N,deatach,шикш
89,Funke::N,drithle,сеске́м
90,Funke::N,drithle,тулйы́п
91,Feuer::N,tine,тул
92,Licht::N,solas,со́то
93,Schatten::N,scáth,ӱ́мыл
94,Wetter::N,aimsir,иге́че
95,Nebel::N,ceo,тӱтыра́
96,Wolke::N,néal,пыл
97,Wolke::N,scamall,пыл
98,Regen::N,báisteach,йӱр
99,Regen::N,fearthainn,йӱр
100,Schnee::N,sneachta,лум
101,Eis::N,oighear,ий
102,Frost::N,sioc,чатлама́
103,Kälte::N,fuacht,йӱ́штӧ
104,Hitze::N,teas,шо́кшо
105,Hitze::N,teocht,шо́кшо
106,Raureif::N,sioc bán,пӧрш
107,Raureif::N,sioc bán,по́кшым
108,Regenbogen::N,stua ceatha,шонанпы́л
