,Concept_ID,te,ku
0,Auge::N,కన్ను,çav
1,Ohr::N,చెవి,guh
2,Nase::N,ముక్కు,bêvil
3,Mund::N,నోరు,dev
4,Zahn::N,పల్లు,didan
5,Zunge::N,నాలుక,ziman
6,Lippe::N,పెదవి,lêv
7,Wange::N,చెంప,dêm
8,Wange::N,చెంప,hinarik
9,Gesicht::N,ముఖము,rû
10,Stirn::N,నుదురు,enî
11,Haar::N,వెండ్రుక,por
12,Schnurrbart::N,మీసము,simbêl
13,Bart::N,గడ్డము,rih
14,Kinn::N,గడ్డము,zenî
15,Kiefer[Anatomie]::N,దౌడ,arguşk
16,Kehle::N,గొంతు,qirik
17,Hals::N,మెడ,stû
18,Hals::N,మెడ,qirik
19,Genick::N,మూపు,stû
20,Kopf::N,తల,serî
21,Rücken::N,వెన్ను,pişt
22,Bauch::N,కడుపు,ûr
23,Bauch::N,కడుపు,zik
24,Nabel::N,బొడ్డు,navik
25,Busen::N,స్తనము,sîng
26,Brust::N,ఱొమ్ము,sîng
27,Schulter::N,భుజము,mil
28,Arm::N,చేయి,çepil
29,Ellenbogen::N,మోచేయి,enîşk
30,Hand::N,చేయి,dest
31,Handfläche::N,అరచేయు,kefadest
32,Finger::N,చేతిప్రేలు,tilî
33,Fingernagel::N,గోరు,neynuk
34,Nagel[Anatomie]::N,గోరు,bizmar
35,Zeh::N,కాలిప్రేలు,tilî linga
36,Fuß::N,అడుగు,ling
37,Ferse::N,మడమ,pahnî
38,Knie::N,మోకాలు,kabok
39,Oberschenkel::N,తొడ,rahn
40,Bein::N,కాలు,çip
41,Körper::N,కాయము,laş
42,Körper::N,కాయము,gowde
43,Haut::N,చర్మము,çerm
44,Blut::N,రక్తము,xwîn
45,Ader::N,సిర,reh
46,Sehne::N,స్నాయువు,reh
47,Knochen::N,ఎముక,hestî
48,Gehirn::N,మెదడు,mêjî
49,Herz::N,హృదయము,dil
50,Magen::N,కడుపు,navêş
51,Leber::N,కాలేయము,kezeb
52,Atem::N,ఉపిరి,hilm
53,Hunger::N,ఆకలి,birçîtî
54,Träne::N,కన్నీటిచుక్క,hêstir
55,Geschmack::N,రుచి,tam
56,Geruch::N,వాసన,bêhn
57,Schlaf::N,నిద్ర,xew
58,Traum::N,కల,xewn
59,Himmel::N,ఆకాశము,ezman
60,Sonne::N,సూర్యుడు,roj
61,Mond::N,చంద్రుడు,heyv
62,Stern::N,నక్షత్రము,stêrk
63,Luft::N,గాలి,ba
64,Wind::N,వీచుచున్నగాలి,ba
65,Welle::N,అల,şewl
66,Wasser::N,నీరు,av
67,Stein::N,ఱాయి,kevir
68,Boden::N,నేల,herd
69,Erde::N,మన్ను,ax
70,Staub::N,దుమ్ము,toz
71,Rauch::N,పొగ,dû
72,Funke::N,అగ్నికణము,çirûşk
73,Feuer::N,అగ్ని,agir
74,Licht::N,కాంతి,ronahî
75,Schatten::N,నీడ,sî
76,Wetter::N,వాతావరణ స్థితి,hewa
77,Nebel::N,పొగమంచు,mij
78,Wolke::N,మేఘము,ewr
79,Regen::N,వాన,baran
80,Schnee::N,హిమము,berf
81,Eis::N,మంచుగడ్డ,qeşa
82,Frost::N,పేరిన మంచు,xûsik
83,Kälte::N,చలి,serma
84,Hitze::N,వేడిమి,germayî
