,Concept_ID,ca,fr
0,Auge::N,ull,œil
1,Ohr::N,orella,oreille
2,Nase::N,nas,nez
3,Mund::N,boca,bouche
4,Zahn::N,dent,dent
5,Zunge::N,llēngua,langue
6,Lippe::N,llavi,lèvre
7,Wange::N,galta,joue
8,Gesicht::N,cara,face
9,Gesicht::N,cara,visage
10,Stirn::N,front,front
11,Haar::N,cabēll,cheveu
12,Schnurrbart::N,bigoti,moustache
13,Bart::N,barba,barbe
14,Kinn::N,mentó,menton
15,Kinn::N,barbeta,menton
16,Kiefer[Anatomie]::N,queix,mâchoire
17,Kiefer[Anatomie]::N,mandíbula,mâchoire
18,Kehle::N,gola,gorge
19,Kehle::N,gorja,gorge
20,Hals::N,coll,cou
21,Genick::N,nuca,nuque
22,Kopf::N,cap,tête
23,Rücken::N,esquena,dos
24,Bauch::N,panxa,ventre
25,Nabel::N,llombrígol,nombril
26,Busen::N,pit,sein
27,Busen::N,mama,sein
28,Brust::N,pit,poitrine
29,Schulter::N,espatlla,épaule
30,Arm::N,braç,bras
31,Ellenbogen::N,colze,coude
32,Hand::N,mà,main
33,Handfläche::N,palma,paume
34,Finger::N,dit,doigt
35,Fingernagel::N,ungla,ongle
36,Nagel[Anatomie]::N,ungla,ongle
37,Zeh::N,dit del peu,orteil
38,Zeh::N,dit del peu,doigt de pied
39,Fuß::N,peu,pied
40,Ferse::N,taló,talon
41,Knie::N,genoll,genou
42,Oberschenkel::N,cuixa,cuisse
43,Bein::N,cama,jambe
44,Körper::N,cos,corps
45,Haut::N,pell,peau
46,Blut::N,sang,sang
47,Ader::N,vena,veine
48,Sehne::N,tendó,tendon
49,Knochen::N,os,os
50,Gehirn::N,cervell,cerveau
51,Herz::N,cor,cœur
52,Magen::N,estómac,estomac
53,Leber::N,fetge,foie
54,Atem::N,alè,haleine
55,Atem::N,hàlit,haleine
56,Hunger::N,fam,faim
57,Hunger::N,gana,faim
58,Träne::N,llàgrima,larme
59,Geschmack::N,gust,goût
60,Geschmack::N,gust,saveur
61,Geschmack::N,sabor,goût
62,Geschmack::N,sabor,saveur
63,Geruch::N,olor,odeur
64,Schlaf::N,son,sommeil
65,Traum::N,somni,songe
66,Himmel::N,celm,ciel
67,Sonne::N,sol,soleil
68,Mond::N,lluna,lune
69,Stern::N,estel,étoile
70,Stern::N,estrella,étoile
71,Luft::N,aire,air
72,Wind::N,vent,vent
73,Welle::N,ona,vague
74,Wasser::N,āigua,eau
75,Stein::N,pedra,pierre
76,Boden::N,sòl,sol
77,Boden::N,sòl,terrain
78,Erde::N,terra,terre
79,Staub::N,pols,poussière
80,Rauch::N,fum,fumée
81,Funke::N,guspira,étincelle
82,Funke::N,centella,étincelle
83,Feuer::N,foc,feu
84,Licht::N,llum,lumière
85,Schatten::N,ombra,ombre
86,Wetter::N,temps,temps
87,Nebel::N,boira,brume
88,Nebel::N,boira,brouillard
89,Wolke::N,núvol,nuage
90,Regen::N,pluja,pluie
91,Schnee::N,neu,neige
92,Eis::N,gel,glace
93,Eis::N,glaç,glace
94,Frost::N,glaçada,gel
95,Frost::N,glaçada,gelée
96,Kälte::N,fred,froid
97,Hitze::N,calor,chaleur
98,Raureif::N,gebre,givre
99,Regenbogen::N,arc iris,arc-en-ciel
100,Donner::N,tro,tonnerre
101,Strömung::N,corrent,courant
102,Tropfen::N,gota,goutte
103,Schaum::N,escuma,écume
104,Schaum::N,escuma,mousse
105,Schmutz::N,brutícia,boue
106,Schmutz::N,brutícia,saleté
107,See::N,llac,lac
108,Sumpf::N,pantà,marais
109,Sumpf::N,pantà,marécage
110,Moor::N,pantà,tourbière
111,Wiese::N,prat,pré
112,Wiese::N,prada,pré
113,Wald::N,bosc,bois
114,Wald::N,bosc,forêt
115,Hügel::N,puig,coteau
116,Hügel::N,puig,colline
117,Hügel::N,pujol,coteau
118,Hügel::N,pujol,colline
119,Anhöhe::N,turó,éminence
120,Anhöhe::N,turó,élévation
121,Berg::N,muntanya,mont
122,Berg::N,muntanya,montagne
123,Gipfel::N,cim,cime
124,Gipfel::N,cim,sommet
125,Höhle::N,cova,caverne
126,Abhang::N,coster,pente
127,Abhang::N,coster,versant
128,Quelle::N,font,source
129,Quelle::N,font,fontaine
130,Bach::N,riera,ruisseau
131,Fluss::N,riu,fleuve
132,Fluss::N,riu,rivière
133,Ufer::N,riba,bord
134,Ufer::N,riba,rivage
135,Küste::N,costa,côte
136,Festland::N,terra ferma,terre ferme
137,Meer::N,mar,mer
138,Bucht::N,cala,baie
139,Bucht::N,badia,baie
140,Insel::N,illa,île
141,Blume::N,flor,fleur
142,Gras::N,herba,herbe
143,Wurzel::N,rel,racine
144,Wurzel::N,arrel,racine
145,Baum::N,arbre,arbre
146,Stamm::N,tronc,tronc
147,Rinde::N,escorça,écorce
148,Ast::N,branca,branche
149,Zweig::N,ram,rameau
150,Blatt::N,fulla,feuille
151,Birke::N,bedoll,bouleau
152,Kiefer[Baum]::N,pi,pin
153,Weide[Baum]::N,salze,saule
154,Tanne::N,avet,sapin
155,Horn::N,corn,corne
156,Horn::N,banya,corne
157,Feder::N,ploma,plume
158,Fell::N,pell,peau
159,Flügel::N,ala,aile
160,Klaue::N,urpa,serre
161,Kralle::N,grapa,ongle
162,Kralle::N,grapa,griffe
163,Schwanz::N,cua,queue
164,Ei::N,ou,œuf
165,Nest::N,niu,nid
166,Bau::N,cau,terrier
167,Tier::N,animāl,animal
168,Herde::N,ramat,troupeau
169,Kuh::N,vaca,vache
170,Bulle::N,toro,taureau
171,Pferd::N,cavāll,cheval
172,Schaf::N,be,mouton
173,Schaf::N,ovella,mouton
174,Schwein::N,bacó,porc
175,Schwein::N,bacó,cochon
176,Hund::N,ca,chien
177,Hund::N,gos,chien
178,Katze::N,gat,chat
179,Bär::N,ós,ours
180,Eichhörnchen::N,esquirol,écureuil
181,Elch::N,ant,élan
182,Fuchs::N,guilla,renard
183,Hase::N,llebre,lièvre
184,Maus::N,ratolí,souris
185,Wolf::N,llop,loup
186,Vogel::N,au,oiseau
187,Vogel::N,ocēll,oiseau
188,Schwarm::N,bandada,nuée
189,Schwarm::N,bandada,volée
190,Huhn::N,gallina,poule
191,Hahn::N,gall,coq
192,Gans::N,oca,oie
193,Adler::N,àguila,aigle
194,Ente::N,ànec,canard
195,Eule::N,òliba,hibou
196,Eule::N,mussol,hibou
197,Kranich::N,grua,grue
198,Krähe::N,cornella,corneille
199,Kuckuck::N,cucut,coucou
200,Schwan::N,cigne,cygne
201,Fisch::N,peix,poisson
202,Barsch::N,perca,perche
203,Hecht::N,lluç,brochet
204,Schlange[Tier]::N,serp,serpent
205,Wurm::N,cuc,ver
206,Spinne::N,aranya,araignée
207,Ameise::N,formiga,fourmi
208,Laus::N,poll,pou
209,Mücke::N,mosquit,moucheron
210,Fliege::N,mosca,mouche
211,Schmetterling::N,papallona,papillon
212,Beere::N,baia,baie
213,Apfel::N,poma,pomme
214,Pilz::N,bolet,champignon
215,Zwiebel::N,ceba,oignon
216,Saat::N,sembra,semence
217,Korn::N,gra,grain
218,Heu::N,fenc,foin
219,Schale::N,closca,pelure
220,Grube::N,sot,fosse
221,Grube::N,clot,fosse
222,Falle::N,trampa,piège
223,Schlinge::N,baga,lacs
224,Spur::N,traça,trace
225,Asche::N,cendra,cendre
226,Dreck::N,llot,crotte
227,Eisen::N,ferro,fer
228,Gold::N,or,or
229,Silber::N,plata,argent
230,Kohle::N,carbó,charbon
231,Glas::N,vidre,verre
232,Lehm::N,fang,glaise
233,Lehm::N,argila,glaise
234,Sand::N,arena,sable
235,Mensch::N,humà,homme
236,Mensch::N,persona,homme
237,Mann::N,home,homme
238,Frau::N,dona,femme
239,Kind::N,nen,enfant
240,Junge::N,noi,garçon
241,Mädchen::N,noia,fille
242,Mädchen::N,noia,jeune fille
243,Familie::N,família,famille
244,Großvater::N,avi,grand-père
245,Großmutter::N,àvia,grand-mère
246,Eltern::N,pares,parents
247,Vater::N,pare,père
248,Mutter::N,mare,mère
249,Sohn::N,fill,fils
250,Tochter::N,filla,fille
251,Bruder::N,germà,frère
252,Schwester::N,germana,sœur
253,Onkel::N,oncle,oncle
254,Tante::N,tia,tante
255,Ehemann::N,espòs,mari
256,Ehemann::N,espòs,époux
257,Ehefrau::N,muller,femme
258,Ehefrau::N,muller,épouse
259,Freude::N,goig,joie
260,Freude::N,goig,plaisir
261,Freude::N,alegria,joie
262,Freude::N,alegria,plaisir
263,Gelächter::N,riallada,rires
264,Glück::N,felicitat,bonheur
265,Kummer::N,pena,peine
266,Kummer::N,pena,chagrin
267,Wunsch::N,desig,désir
268,Lust::N,ganes,envie
269,Geist::N,ment,esprit
270,Geist::N,esperit,esprit
271,Gedanke::N,pensament,idée
272,Gedanke::N,pensament,pensée
273,Gedächtnis::N,memòria,mémoire
274,Verstand::N,raó,raison
275,Verstand::N,seny,raison
276,Sinn::N,solta,sens
277,Sinn::N,sentit,sens
278,Grund::N,raó,cause
279,Grund::N,raó,raison
280,Grund::N,causa,cause
281,Grund::N,causa,raison
282,Wahrheit::N,veritāt,vérité
283,Gespräch::N,conversa,conversation
284,Märchen::N,conte,conte
285,Märchen::N,conte,conte de fées
286,Erzählung::N,narració,conte
287,Erzählung::N,narració,narration
288,Nachricht::N,missatge,message
289,Neuigkeit::N,novetat,nouvelle
290,Name::N,nom,nom
291,Rätsel::N,endevinalla,énigme
292,Rätsel::N,endevinalla,devinette
293,Rede::N,discurs,parole
294,Rede::N,discurs,discours
295,Sprache::N,llēngua,langue
296,Sprache::N,llēngua,langage
297,Stimme::N,veu,voix
298,Wort::N,mot,mot
299,Wort::N,paraula,mot
300,Zeichen::N,signe,signe
301,Zeichen::N,senyal,signe
302,Ruf::N,crida,cri
303,Ruf::N,crida,appel
304,Lärm::N,sorōll,bruit
305,Laut::N,so,son
306,Ton::N,to,ton
307,Lied::N,cançó,chant
308,Lied::N,cançó,chanson
309,Ruhe::N,calma,calme
310,Ruhe::N,calma,tranquillité
311,Ruhe::N,silenci,calme
312,Ruhe::N,silenci,tranquillité
313,Leute::N,gent,gens
314,Volk::N,poble,peuple
315,Arbeit::N,labor,travail
316,Arbeit::N,treball,travail
317,Gast::N,hoste,hôte
318,Gast::N,hoste,invité
319,Geschenk::N,regal,cadeau
320,Geschenk::N,regal,présent
321,Geschenk::N,obsequi,cadeau
322,Geschenk::N,obsequi,présent
323,Spiel::N,joc,jeu
324,Gesellschaft::N,companyia,compagnie
325,Hilfe::N,ajut,aide
326,Hilfe::N,ajut,secours
327,Freund::N,amīc,ami
328,Kamerad::N,company,copain
329,Kamerad::N,company,camarade
330,Kamerad::N,camarada,copain
331,Kamerad::N,camarada,camarade
332,Angelegenheit::N,afer,affaire
333,Angelegenheit::N,assumpte,affaire
334,Anzahl::N,nombre,nombre
335,Anzahl::N,quantitat,nombre
336,Art::N,tipus,sorte
337,Art::N,tipus,espèce
338,Art::N,classe,sorte
339,Art::N,classe,espèce
340,Stück::N,peça,morceau
341,Teil::N,part,part
342,Teil::N,part,partie
343,Hälfte::N,meitat,moitié
344,Kreis::N,cercle,cercle
345,Kreuz::N,creu,croix
346,Linie::N,línia,ligne
347,Strich::N,traç,trait
348,Strich::N,ratlla,trait
349,Abstand::N,distància,écart
350,Entfernung::N,distància,distance
351,Gegend::N,regió,région
352,Gegend::N,regió,contrée
353,Gegend::N,contrada,région
354,Gegend::N,contrada,contrée
355,Platz::N,cabuda,place
356,Ort::N,lloc,lieu
357,Ort::N,lloc,endroit
358,Seite::N,banda,côté
359,Seite::N,costāt,côté
360,Mitte::N,mig,milieu
361,Mitte::N,centre,milieu
362,Gegenstand::N,objecte,objet
363,Sache::N,cosa,chose
364,Rand::N,vora,bord
365,Rand::N,marge,bord
366,Kante::N,caire,arête
367,Kante::N,cantell,arête
368,Ecke::N,cantonada,coin
369,Ecke::N,cantonada,tournant
370,Spitze::N,punta,cime
371,Spitze::N,punta,pointe
372,Ende::N,cap,bout
373,Loch::N,forāt,trou
374,Winkel::N,racó,coin
375,Winkel::N,racó,réduit
376,Muster::N,dibuix,dessin
377,Muster::N,disseny,dessin
378,Größe::N,grandària,grandeur
379,Länge::N,longitud,longueur
380,Höhe::N,altura,hauteur
381,Höhe::N,altura,altitude
382,Höhe::N,altitud,hauteur
383,Höhe::N,altitud,altitude
384,Gewicht::N,pes,poids
385,Menge::N,quantitat,quantité
386,Haufen::N,pila,tas
387,Reihe::N,fila,file
388,Reihe::N,fila,rangée
389,Boot::N,bot,canot
390,Boot::N,bot,bateau
391,Boot::N,barca,canot
392,Boot::N,barca,bateau
393,Ruder::N,rem,rame
394,Ruder::N,rem,aviron
395,Schlitten::N,trineu,traîneau
396,Ski::N,esquí,ski
397,Lagerfeuer::N,foc de campament,feu de camp
398,Last::N,càrrega,charge
399,Last::N,càrrega,fardeau
400,Gang::N,marxa,tour
401,Gang::N,marxa,marche
402,Schritt::N,pas,pas
403,Norden::N,nord,nord
404,Süden::N,sud,sud
405,Westen::N,oest,ouest
406,Westen::N,oest,occident
407,Westen::N,occident,ouest
408,Westen::N,occident,occident
409,Osten::N,est,est
410,Osten::N,est,orient
411,Osten::N,orient,est
412,Osten::N,orient,orient
413,Holz::N,fusta,bois
414,Brett::N,taula,planche
415,Platte::N,placa,plaque
416,Stütze::N,suport,appui
417,Stütze::N,suport,soutien
418,Stange::N,vara,barre
419,Stange::N,vara,perche
420,Stock::N,pal,canne
421,Stab::N,bastó,bâton
422,Rohr::N,tub,tube
423,Rohr::N,tub,tuyau
424,Haus::N,casa,maison
425,Heim::N,llar,maison
426,Ofen::N,estufa,poêle
427,Fußboden::N,terra,plancher
428,Tisch::N,taula,table
429,Stuhl::N,cadira,chaise
430,Wiege::N,bressol,berceau
431,Bett::N,llit,lit
432,Regal::N,prestatgeria,étagère
433,Kiste::N,caixa,caisse
434,Fenster::N,finestra,fenêtre
435,Tür::N,porta,porte
436,Tor::N,portal,porte
437,Tor::N,portal,portail
438,Zaun::N,tanca,clôture
439,Dach::N,teulada,toit
440,Leiter::N,escala,échelle
441,Leiter::N,escala de mà,échelle
442,Besen::N,escombra,balai
443,Spaten::N,pala,bêche
444,Schaufel::N,pala,pelle
445,Gabel::N,forquilla,fourchette
446,Löffel::N,cullera,cuiller
447,Messer::N,coltell,couteau
448,Nagel::N,clau,clou
449,Netz::N,filat,filet
450,Haken::N,ganxo,croc
451,Haken::N,ganxo,crochet
452,Griff::N,puny,prise
453,Griff::N,puny,manche
454,Griff::N,mànec,prise
455,Griff::N,mànec,manche
456,Schloss::N,pany,serrure
457,Bild::N,imatge,image
458,Bild::N,imatge,tableau
459,Figur::N,figura,figure
460,Puppe::N,nina,poupée
461,Beutel::N,bossa,sac
462,Beutel::N,bossa,petit sac
463,Bündel::N,feix,paquet
464,Bündel::N,feix,faisceau
465,Bündel::N,paquet,paquet
466,Bündel::N,paquet,faisceau
467,Tasche::N,bossa,sac
468,Eimer::N,galleda,seau
469,Deckel::N,tapa,couvercle
470,Deckel::N,tapadora,couvercle
471,Geschirr::N,vaixella,vaisselle
472,Sack::N,sac,sac
473,Sack::N,saca,sac
474,Tasse::N,tassa,tasse
475,Topf::N,pot,pot
476,Topf::N,pot,marmite
477,Topf::N,olla,pot
