,Concept_ID,ady,he
0,Auge::N,нэ,עין
1,Ohr::N,тхьакӏу́м,אזן
2,Nase::N,пэ,אף
3,Nase::N,пэ,חטם
4,Mund::N,жэ,פה
5,Zahn::N,цэ,שן
6,Zunge::N,бзэгу,לשון
7,Lippe::N,ӏупшӏэ́,שפה
8,Wange::N,нэкӏу́шъу,לחי
9,Gesicht::N,нэ́гу,פנים
10,Stirn::N,натӏэ́,מצח
11,Haar::N,шъхьацы́,שערה
12,Bart::N,жакӏэ́,זקן
13,Kinn::N,жэкӏэпэпкъ,סנטר
14,Kiefer[Anatomie]::N,жэпкъы́,לסת
15,Kehle::N,чый,גרון
16,Hals::N,пшъэ,צואר
17,Genick::N,шъхьэпхэтыку,ערף
18,Kopf::N,шъхьэ́,ראש
19,Rücken::N,кӏыбы́,גב
20,Bauch::N,ныбэ́,בטן
21,Busen::N,бгъэ́,שד
22,Brust::N,бгъэ́,חזה
23,Schulter::N,блыпкъ,כתף
24,Arm::N,ӏэ,זרוע
25,Ellenbogen::N,ӏэнтэ́гъу,מרפק
26,Hand::N,ӏэтхьэцу,יד
27,Handfläche::N,ӏэ́гу,כף יד
28,Finger::N,ӏэхъуа́мб,אצבע
29,Fingernagel::N,ӏэбжъа́н,צפרן
30,Nagel[Anatomie]::N,ӏэбжъа́н,צפרן
31,Zeh::N,ӏэхъуа́мб,אצבע
32,Fuß::N,лъэгу,רגל
33,Ferse::N,лъэдакъэ,עקב
34,Knie::N,лъагуа́ндж,ברך
35,Oberschenkel::N,ко,ירך
36,Bein::N,лъакъо́,רגל
37,Körper::N,пкъышъол,גוף
38,Haut::N,кӏы́шъу,עור
39,Blut::N,лъы,דם
40,Ader::N,льытф,וריד
41,Sehne::N,фэ,גיד
42,Knochen::N,къупшъхьэ́,עצם
43,Gehirn::N,куцӏы,מוח
44,Herz::N,гу,לב
45,Magen::N,мышкӏу,קבה
46,Leber::N,шӏу,כבד
47,Atem::N,къэщэныр,נשימה
48,Hunger::N,гъаблэ́,רעב
49,Träne::N,нэпсы,דמעה
50,Geschmack::N,ӏэшӏугъа́кӏ,טעם
51,Geruch::N,мэ,ריח
52,Schlaf::N,пчыхьы́пӏ,שנה
53,Traum::N,пчыхьы́пӏ,חלום
54,Himmel::N,уашъо́,שמים
55,Sonne::N,тыгъэ,שמש
56,Mond::N,мазэ,ירח
57,Stern::N,жъуагъо́,כוכב
58,Luft::N,жьы,אויר
59,Wind::N,жьыбгъэ́,רוח
60,Welle::N,ор,גל
61,Welle::N,оры,גל
62,Wasser::N,псы,מים
63,Stein::N,мыжъо́,אבן
64,Boden::N,чӏ́ыгу,קרקע
65,Erde::N,чӏ́ыгу,אדמה
66,Staub::N,сап,אבק
67,Rauch::N,ӏугъо́,עשן
68,Funke::N,мэшӏуа́ч,ניצוץ
69,Feuer::N,машӏо́,אש
70,Licht::N,нэфы,אור
