,Concept_ID,sv,ba
0,Auge::N,öga,күҙ
1,Ohr::N,öra,ҡолаҡ
2,Nase::N,näsa,танау
3,Mund::N,mun,ауыҙ
4,Zahn::N,tand,теш
5,Zunge::N,tunga,тел
6,Lippe::N,läpp,ирен
7,Wange::N,kind,яцаҡтар
8,Gesicht::N,syn,бит
9,Gesicht::N,ansikte,бит
10,Stirn::N,panna,маңлай
11,Haar::N,hår,сәс
12,Schnurrbart::N,mustasch,мылтыҡ
13,Bart::N,skägg,һаҡал
14,Kinn::N,haka,эйэк
15,Kiefer[Anatomie]::N,käke,яңаҡ һөйәге
16,Kehle::N,strupe,тамаҡ
17,Hals::N,hals,муйын
18,Genick::N,nacke,соңҡа
19,Kopf::N,huvud,баш
20,Rücken::N,rygg,арҡа
21,Bauch::N,buk,ҡорһаҡ
22,Bauch::N,mage,ҡорһаҡ
23,Nabel::N,navel,кендек
24,Busen::N,barm,күкрәк
25,Brust::N,bröst,түш
26,Schulter::N,skuldra,яурын
27,Arm::N,arm,ҡул
28,Ellenbogen::N,armbåge,терһәк
29,Hand::N,hand,ҡул
30,Hand::N,hand,ҡул суғы
31,Handfläche::N,handflata,ус төбө
32,Finger::N,finger,бармаҡ
33,Fingernagel::N,fingernagel,тырнаҡ
34,Nagel[Anatomie]::N,nagel,тырнаҡ
35,Zeh::N,tå,бармаҡ
36,Fuß::N,fot,табан
37,Ferse::N,häl,үксә
38,Knie::N,knä,тубыҡ
39,Oberschenkel::N,lår,сандыр
40,Bein::N,ben,аяҡ
41,Körper::N,kropp,тән
42,Haut::N,hud,тире
43,Haut::N,skinn,тире
44,Blut::N,blod,ҡан
45,Ader::N,åder,тамыр
46,Sehne::N,sena,һеңер
47,Sehne::N,sena,тарамыш
48,Knochen::N,ben,һойәк
49,Gehirn::N,hjärna,мейе
50,Herz::N,hjärta,йорәк
51,Magen::N,mage,ашҡаҙан
52,Leber::N,lever,бауыр
53,Atem::N,anda,һулыш
54,Atem::N,andedräkt,һулыш
55,Hunger::N,svält,аслыҡ
56,Hunger::N,hunger,аслыҡ
57,Träne::N,tår,күҙ иәше
58,Geschmack::N,smak,тәм
59,Geruch::N,lukt,еҫ
60,Schlaf::N,sömn,йоҡлау
61,Traum::N,dröm,төш
62,Himmel::N,himmel,күк
63,Sonne::N,sol,ҡояш
64,Mond::N,måne,ай
65,Stern::N,stjärna,йондоҙ
66,Luft::N,luft,һауа
67,Wind::N,vind,ел
68,Welle::N,våg,тулҡын
69,Welle::N,bölja,тулҡын
70,Wasser::N,vatten,һыу
71,Stein::N,sten,таш
72,Boden::N,mark,тупраҡ
73,Erde::N,jord,балсҡ
74,Staub::N,damm,туҙан
75,Rauch::N,rök,төтөн
76,Funke::N,gnista,осҡон
77,Feuer::N,eld,ут
78,Licht::N,ljus,яҡтылыҡ
79,Schatten::N,skugga,күләгә
80,Wetter::N,väder,һауа торошо
81,Nebel::N,dimma,төман
82,Nebel::N,töcken,төман
83,Wolke::N,sky,болот
84,Wolke::N,moln,болот
85,Regen::N,regn,ямғыр
