,Concept_ID,la,se
0,Auge::N,oculus,tjelmie
1,Auge::N,oculus,tjalmme
2,Auge::N,oculus,čalbmi
3,Auge::N,oculus,čalme
4,Auge::N,oculus,čâ´lmm
5,Auge::N,oculus,ча̄лльм
6,Ohr::N,auris,bieljie
7,Ohr::N,auris,biellje
8,Ohr::N,auris,beallji
9,Ohr::N,auris,pelji
10,Ohr::N,auris,pe´llj
11,Ohr::N,auris,пе̄лльй
12,Nase::N,nasus,njuenie
13,Nase::N,nasus,njunnje
14,Nase::N,nasus,njunni
15,Nase::N,nasus,njuṇe
16,Nase::N,nasus,njuu´nn
17,Nase::N,nasus,нюннҍ
18,Mund::N,os,njaelmie
19,Mund::N,os,njálmme
20,Mund::N,os,njálbmi
21,Mund::N,os,njälmi
22,Mund::N,os,njä´lmm
23,Mund::N,os,ня̄лльм
24,Zahn::N,dens,baenie
25,Zahn::N,dens,bádne
26,Zahn::N,dens,bátni
27,Zahn::N,dens,pääṇi
28,Zahn::N,dens,pää´nn
29,Zahn::N,dens,па̄ннҍ
30,Zunge::N,lingua,njoektjeme
31,Zunge::N,lingua,njuovtjav
32,Zunge::N,lingua,njuovčča
33,Zunge::N,lingua,njuovčâ
34,Zunge::N,lingua,njuhččâm
35,Zunge::N,lingua,нюхчем
36,Lippe::N,labrum,bangseme
37,Lippe::N,labrum,njálmmerabdda
38,Lippe::N,labrum,bavssa
39,Lippe::N,labrum,poovsâ
40,Lippe::N,labrum,põõus
41,Lippe::N,labrum,пэ̄кс
42,Wange::N,gena,skiehrie
43,Wange::N,gena,nierra
44,Wange::N,gena,muohtu
45,Wange::N,gena,nieṛâ
46,Wange::N,gena,njiõrr
47,Wange::N,gena,нӣрр
48,Gesicht::N,vultus,ååredæjja
49,Gesicht::N,vultus,muohto
50,Gesicht::N,vultus,muođut
51,Gesicht::N,vultus,ámadadju
52,Gesicht::N,vultus,muáđuh
53,Gesicht::N,vultus,muâđ
54,Gesicht::N,vultus,ка̄ссв
55,Stirn::N,frons,gaalloe
56,Stirn::N,frons,gállo
57,Stirn::N,frons,gállu
58,Stirn::N,frons,kállu
59,Stirn::N,frons,käll
60,Stirn::N,frons,вуэххьц
61,Haar::N,capillus,voepte
62,Haar::N,capillus,vuoppta
63,Haar::N,capillus,vuokta
64,Haar::N,capillus,vuop'tâ
65,Haar::N,capillus,vuõpt
66,Haar::N,capillus,вӯппт
67,Schnurrbart::N,barba labri superioris,bijjie-skaavtjoe
