,Concept_ID,mhr,ml
0,Auge::N,шинча́,കണ്ണ്
1,Ohr::N,пы́лыш,ചെവി
2,Nase::N,нер,മൂക്ക്
3,Mund::N,умша́,വായ
4,Zahn::N,пӱй,പല്ല്
5,Zunge::N,йы́лме,നാക്ക്
6,Lippe::N,тӱ́рвӧ,ചുണ്ട്
7,Wange::N,шӱ́ргӧ,കവിൾത്തടം
8,Gesicht::N,чури́й,മുഖം
9,Stirn::N,саҥга́,നെറ്റി
10,Haar::N,ӱп,തലമുടി
11,Schnurrbart::N,ӧ́рыш,മീശ
12,Bart::N,понда́ш,താടിരോമം
13,Kinn::N,оҥыла́ш,താടി
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,താടിയെല്ല്
15,Kiefer[Anatomie]::N,пӱйората́,താടിയെല്ല്
16,Kehle::N,лога́р,കണ്ഠനാളം
17,Hals::N,шӱй,കഴുത്ത്
18,Genick::N,шӱйло́дыш,പിടലി
19,Kopf::N,вуй,തല
20,Rücken::N,туп,മുതുക്
21,Bauch::N,мӱ́шкыр,നയറ്
22,Nabel::N,кы́лымде,നാഭി
23,Busen::N,чы́зе,സ്തനം
24,Brust::N,оҥ,സ്തനം
25,Schulter::N,ва́че,തോൾ
26,Arm::N,кид,കൈ
27,Ellenbogen::N,кынерву́й,കൈമുട്ട്
28,Hand::N,кид,കൈ
29,Hand::N,копа́,കൈ
30,Handfläche::N,со́во,ഉള്ളം കൈ
31,Finger::N,парня́,വിരൽ
32,Fingernagel::N,кидкӱ́ч,നഖം
33,Fingernagel::N,парнягӱ́ч,നഖം
34,Nagel[Anatomie]::N,кӱч,നഖം
35,Zeh::N,йолварня́,കാൽവിരൽ
36,Fuß::N,йол,കാൽപ്പാദം
37,Fuß::N,йолкопа́,കാൽപ്പാദം
38,Ferse::N,тага́н,ഉപ്പൂറ്റി
39,Knie::N,пулву́й,കാൽമുട്ട്
40,Oberschenkel::N,э́рде,തുട
41,Bein::N,йол,കാൽ
42,Körper::N,кап,ശരീരം
43,Haut::N,кова́ште,ചർമ്മം
44,Blut::N,вӱр,രക്തം
45,Ader::N,шӧн,ഞരമ്പ്
46,Sehne::N,шӧн,സ്നായു
47,Sehne::N,кӱсе́н,സ്നായു
48,Knochen::N,лу,അസ്ഥി
49,Gehirn::N,вем,തലച്ചോറ്
50,Gehirn::N,вуйве́м,തലച്ചോറ്
