,Concept_ID,te,la
0,Auge::N,కన్ను,oculus
1,Ohr::N,చెవి,auris
2,Nase::N,ముక్కు,nasus
3,Mund::N,నోరు,os
4,Zahn::N,పల్లు,dens
5,Zunge::N,నాలుక,lingua
6,Lippe::N,పెదవి,labrum
7,Wange::N,చెంప,gena
8,Gesicht::N,ముఖము,vultus
9,Stirn::N,నుదురు,frons
10,Haar::N,వెండ్రుక,capillus
11,Schnurrbart::N,మీసము,barba labri superioris
12,Bart::N,గడ్డము,barba
13,Kinn::N,గడ్డము,mentum
14,Kiefer[Anatomie]::N,దౌడ,mala
15,Kehle::N,గొంతు,iugulums
16,Hals::N,మెడ,collum
17,Genick::N,మూపు,cervices
18,Kopf::N,తల,caput
19,Rücken::N,వెన్ను,tergum
20,Bauch::N,కడుపు,venter
21,Nabel::N,బొడ్డు,umbilicus
22,Busen::N,స్తనము,sinus
23,Brust::N,ఱొమ్ము,pectus
24,Schulter::N,భుజము,umerus
25,Arm::N,చేయి,bracchium
26,Ellenbogen::N,మోచేయి,cubitum
27,Hand::N,చేయి,manus
28,Handfläche::N,అరచేయు,palma
29,Finger::N,చేతిప్రేలు,digitus
30,Fingernagel::N,గోరు,unguiculus
31,Nagel[Anatomie]::N,గోరు,unguis
32,Zeh::N,కాలిప్రేలు,digitus
33,Fuß::N,అడుగు,pes
34,Ferse::N,మడమ,calx
35,Knie::N,మోకాలు,genu
36,Oberschenkel::N,తొడ,femur
37,Bein::N,కాలు,crus
38,Körper::N,కాయము,corpus
39,Haut::N,చర్మము,cutis
40,Haut::N,చర్మము,pellis
41,Blut::N,రక్తము,sanguis
42,Ader::N,సిర,vena
43,Sehne::N,స్నాయువు,nervus
44,Knochen::N,ఎముక,os
45,Gehirn::N,మెదడు,cerebrum
46,Herz::N,హృదయము,cor
47,Herz::N,హృదయము,animus
48,Magen::N,కడుపు,stomachus
49,Leber::N,కాలేయము,iecur
50,Atem::N,ఉపిరి,spiritus
51,Hunger::N,ఆకలి,fames
52,Träne::N,కన్నీటిచుక్క,lacrima
53,Geschmack::N,రుచి,sapor
54,Geschmack::N,రుచి,gustus
55,Geruch::N,వాసన,odor
56,Schlaf::N,నిద్ర,somnus
57,Traum::N,కల,somnium
58,Himmel::N,ఆకాశము,caelum
59,Sonne::N,సూర్యుడు,sol
60,Mond::N,చంద్రుడు,luna
61,Stern::N,నక్షత్రము,sidus
62,Stern::N,నక్షత్రము,stella
63,Luft::N,గాలి,aer
64,Wind::N,వీచుచున్నగాలి,ventus
65,Welle::N,అల,unda
66,Wasser::N,నీరు,aqua
67,Stein::N,ఱాయి,lapis
68,Boden::N,నేల,solum
69,Erde::N,మన్ను,terra
70,Staub::N,దుమ్ము,pulvis
71,Rauch::N,పొగ,fumus
72,Funke::N,అగ్నికణము,scintilla
73,Feuer::N,అగ్ని,ignis
74,Licht::N,కాంతి,lux
75,Licht::N,కాంతి,lumen
76,Schatten::N,నీడ,umbra
77,Wetter::N,వాతావరణ స్థితి,caelum
78,Wetter::N,వాతావరణ స్థితి,tempestas
79,Nebel::N,పొగమంచు,nebula
80,Wolke::N,మేఘము,nubes
81,Regen::N,వాన,imber
82,Regen::N,వాన,pluvia
83,Schnee::N,హిమము,nix
84,Eis::N,మంచుగడ్డ,glacies
85,Frost::N,పేరిన మంచు,gelu
86,Kälte::N,చలి,frigus
87,Hitze::N,వేడిమి,calor
88,Hitze::N,వేడిమి,aestus
89,Raureif::N,మంచు,pruina
90,Regenbogen::N,ఇంద్రధనుస్సు,arcus
91,Donner::N,ఉరుము,tonitrus
92,Strömung::N,ప్రవాహము,fluctus
93,Tropfen::N,చుక్క,gutta
94,Schaum::N,నురుగు,spuma
95,Schmutz::N,మైల,sordes
96,Schmutz::N,మైల,squalor
97,See::N,సరస్సు,lacus
98,Sumpf::N,చిత్తడినేల,palus
99,Moor::N,చిత్తడినేల,palus
100,Wiese::N,పచ్చిక బయలు,pratum
101,Wald::N,అడవి,silva
102,Hügel::N,చివ్నకొండ,collis
103,Anhöhe::N,కొండ,specula
104,Berg::N,పర్వతము,mons
105,Gipfel::N,శిఖరము,vertex
106,Höhle::N,గుహ,caverna
107,Höhle::N,గుహ,spelunca
108,Abhang::N,ఏటవాలు,declivum
109,Quelle::N,మూలము,fons
110,Bach::N,కాలువ,rivus
111,Fluss::N,నది,flumen
112,Ufer::N,తీరము,ripa
113,Küste::N,తీరము,litus
114,Festland::N,భూమి,continens
115,Meer::N,సముద్రము,mare
116,Bucht::N,మరుగు,sinus
