,Concept_ID,hr,uk
0,Auge::N,oko,око
1,Ohr::N,uho,вухо
2,Nase::N,nos,ніс
3,Mund::N,usta,рот
4,Zahn::N,zub,зуб
5,Zunge::N,jezik,язик
6,Lippe::N,usna,губа
7,Wange::N,obraz,щока
8,Gesicht::N,lice,обличчя
9,Stirn::N,čelo,лоб
10,Haar::N,kosa,волосся
11,Schnurrbart::N,brkovi,вуса
12,Bart::N,brada,борода
13,Kinn::N,brada,підборіддя
14,Kinn::N,podbradak,підборіддя
15,Kiefer[Anatomie]::N,čeljust,щелепа
16,Kehle::N,grlo,горло
17,Hals::N,vrat,шия
18,Genick::N,zatiljak,потилиця
19,Kopf::N,glava,голова
20,Rücken::N,leđa,спина
21,Rücken::N,hrbat,спина
22,Bauch::N,trbuh,живіт
23,Nabel::N,pupak,пупок
24,Busen::N,sisa,груди
25,Busen::N,njedra,груди
26,Brust::N,prsa,груди
27,Schulter::N,rame,плече
28,Schulter::N,pleći,плече
29,Arm::N,ruka,рука
30,Ellenbogen::N,lakat,лікоть
31,Hand::N,ruka,рука
32,Handfläche::N,dlan,долоня
33,Finger::N,prst,палець
34,Fingernagel::N,nokat,ніготь
35,Nagel[Anatomie]::N,nokat,ніготь
36,Zeh::N,nozni prst,палець на нозі
37,Fuß::N,noga,нога
38,Fuß::N,stopalo,нога
39,Ferse::N,peta,п’ятка
40,Knie::N,koljeno,коліно
41,Oberschenkel::N,bedro,стегно
42,Bein::N,noga,нога
43,Körper::N,tijelo,тіло
44,Haut::N,put,шкіра
45,Haut::N,koža,шкіра
46,Blut::N,krv,кров
47,Ader::N,žila,вена
48,Sehne::N,tetiva,сухожилля
49,Knochen::N,kost,кістка
50,Herz::N,srce,серце
51,Magen::N,stomak,шлунок
52,Magen::N,želudac,шлунок
53,Leber::N,jetra,печінка
54,Atem::N,dah,дихання
55,Hunger::N,glad,голод
56,Träne::N,suza,сльоза
57,Geschmack::N,ukus,смак
58,Geruch::N,njuh,запах
59,Geruch::N,miris,запах
60,Schlaf::N,san,сон
61,Schlaf::N,san,сплячка
62,Traum::N,san,сон
63,Himmel::N,nebo,небо
64,Sonne::N,sunce,сонце
65,Mond::N,mjesec,місяць
66,Stern::N,zvijezda,зірка
67,Luft::N,zrak,повітря
68,Wind::N,vjetar,вітер
69,Welle::N,val,хвиля
70,Welle::N,talas,хвиля
71,Wasser::N,voda,вода
72,Stein::N,kamen,камінь
73,Boden::N,tlo,ґрунт
74,Boden::N,zemlja,ґрунт
75,Erde::N,zemlja,земля
76,Staub::N,prah,пил
77,Staub::N,prašina,пил
78,Rauch::N,dim,дим
79,Funke::N,iskra,іскра
80,Funke::N,varnica,іскра
81,Feuer::N,vatra,вогонь
82,Licht::N,svjetlo,світло
83,Schatten::N,hlad,тінь
84,Schatten::N,sjena,тінь
85,Wetter::N,vrijeme,погода
86,Nebel::N,magla,туман
87,Wolke::N,oblak,хмара
88,Regen::N,kiša,дощ
89,Schnee::N,snijeg,сніг
90,Eis::N,led,лід
91,Frost::N,mraz,мороз
92,Kälte::N,studen,холод
93,Kälte::N,hladnoća,холод
94,Hitze::N,vrućina,жар
95,Raureif::N,inje,іній
96,Regenbogen::N,duga,райдуга
97,Donner::N,grom,грім
98,Donner::N,grmljavina,грім
99,Strömung::N,struja,струмина
100,Strömung::N,strujanje,струмина
101,Tropfen::N,kap,крапля
102,Tropfen::N,kaplja,крапля
103,Schaum::N,pjena,піна
104,Schmutz::N,nečistoća,бруд
105,Schmutz::N,prljavština,бруд
106,See::N,jezero,озеро
107,Sumpf::N,bara,драговина
108,Moor::N,močvara,болото
109,Wiese::N,livada,луг
110,Wiese::N,livada,лука
111,Wald::N,šuma,ліс
112,Hügel::N,brijeg,горб
113,Hügel::N,brežuljak,горб
114,Anhöhe::N,uzvišica,височина
115,Berg::N,brdo,гора
116,Gipfel::N,vrh,вершина
117,Höhle::N,pećina,печера
118,Höhle::N,spilja,печера
119,Abhang::N,obronak,схил
120,Abhang::N,nizbrdica,схил
121,Quelle::N,izvor,джерело
122,Quelle::N,vrelo,джерело
123,Bach::N,potok,струмок
124,Fluss::N,rijeka,річка
125,Ufer::N,obala,берег
126,Küste::N,obala,узбережжя
127,Küste::N,morska obala,узбережжя
128,Festland::N,kopno,суша
129,Meer::N,more,море
130,Bucht::N,zaliv,бухта
131,Bucht::N,zaliv,затока
132,Insel::N,ada,острів
133,Insel::N,otok,острів
134,Blume::N,cvijet,квітка
135,Gras::N,trava,трава
136,Wurzel::N,korijen,корінь
137,Baum::N,drvo,дерево
138,Baum::N,stablo,дерево
139,Stamm::N,deblo,стовбур
140,Stamm::N,stablo,стовбур
141,Rinde::N,kora,кора
142,Ast::N,grana,гілка
143,Zweig::N,grana,галузь
144,Blatt::N,list,лист
145,Birke::N,breza,береза
146,Kiefer[Baum]::N,bor,сосна
147,Weide[Baum]::N,iva,верба
148,Weide[Baum]::N,vŕba,верба
149,Tanne::N,jela,ялиця
150,Horn::N,rog,ріг
151,Feder::N,pero,перо
152,Fell::N,koža,хутро
153,Flügel::N,krilo,крило
154,Klaue::N,papak,кіготь
155,Kralle::N,pandža,лапа
156,Schwanz::N,rep,хвіст
157,Ei::N,jaje,яйце
158,Nest::N,gnijezdo,гніздо
159,Bau::N,jazbina,лігво
160,Tier::N,životinja,тварина
161,Herde::N,krdo,стадо
162,Herde::N,stado,стадо
163,Kuh::N,krava,корова
164,Bulle::N,bik,бик
165,Bulle::N,bik,бугай
166,Pferd::N,konj,кінь
167,Schaf::N,ovca,вівця
168,Schwein::N,svinja,свиня
169,Hund::N,pas,собака
170,Hund::N,pseto,собака
171,Katze::N,mačka,кішка
172,Bär::N,medvjed,ведмідь
