,Concept_ID,lez,it
0,Auge::N,вил,occhio
1,Ohr::N,яб,orecchio
2,Nase::N,нер,naso
3,Mund::N,сив,bocca
4,Zahn::N,сас,dente
5,Zahn::N,свах,dente
6,Zunge::N,мез,lingua
7,Lippe::N,пӏуз,labbro
8,Wange::N,хъвехъ,guancia
9,Gesicht::N,ччин,viso
10,Gesicht::N,ччин,faccia
11,Stirn::N,пел,fronte
12,Haar::N,чӏар,capello
13,Schnurrbart::N,спел,baffi
14,Schnurrbart::N,спел,mustacchi
15,Schnurrbart::N,спелар,baffi
16,Schnurrbart::N,спелар,mustacchi
17,Bart::N,ччуру,barba
18,Kinn::N,чене,mento
19,Kiefer[Anatomie]::N,чене,mascella
20,Kehle::N,туьд,gola
21,Hals::N,гардан,collo
22,Genick::N,кьам,nuca
23,Kopf::N,кьил,capo
24,Kopf::N,кьил,testa
25,Rücken::N,далу,dorso
26,Rücken::N,далу,schiena
27,Bauch::N,руфун,ventre
28,Nabel::N,пицӏ,ombelico
29,Busen::N,мам,seno
30,Brust::N,хур,petto
31,Schulter::N,къуьн,spalla
32,Arm::N,гъил,braccio
33,Ellenbogen::N,кьуьнт,gomito
34,Hand::N,капаш,mano
35,Handfläche::N,капан юкь,palma
36,Finger::N,тӏуб,dito
37,Fingernagel::N,кек,unghia
38,Nagel[Anatomie]::N,кек,unghia
39,Zeh::N,кул,dito del piede
40,Fuß::N,кӏвач,piede
41,Ferse::N,дабан,tallone
42,Ferse::N,дабан,calcagno
43,Knie::N,мет,ginocchio
44,Bein::N,кӏвач,gamba
45,Körper::N,беден,corpo
46,Haut::N,хам,pelle
47,Blut::N,иви,sangue
48,Ader::N,дамар,vena
49,Sehne::N,кьуру дамар,tèndine
50,Knochen::N,кӏараб,osso
51,Gehirn::N,мефт,cervello
52,Herz::N,рикӏ,cuore
53,Magen::N,хук,stòmaco
54,Leber::N,лекь,fegato
55,Atem::N,ял,fiato
56,Atem::N,ял,respiro
57,Atem::N,нефес,fiato
58,Atem::N,нефес,respiro
59,Hunger::N,каш,fame
60,Träne::N,вилин нагъв,làcrima
61,Geschmack::N,дад,gusto
62,Geschmack::N,дад,sapore
63,Geschmack::N,тӏям,gusto
64,Geschmack::N,тӏям,sapore
65,Geruch::N,ни,odore
66,Schlaf::N,ахвар,sonno
67,Traum::N,ахвар,sogno
68,Himmel::N,цав,cielo
69,Sonne::N,рагъ,sole
70,Mond::N,варз,luna
71,Stern::N,гъед,stella
72,Luft::N,гьава,aria
73,Wind::N,гар,vento
74,Welle::N,лепе,onda
75,Wasser::N,яд,acqua
76,Stein::N,къван,sasso
77,Stein::N,къван,pietra
78,Boden::N,накьв,suolo
79,Boden::N,накьв,terreno
80,Erde::N,ччил,terra
81,Staub::N,руг,polvere
82,Rauch::N,гум,fumo
83,Funke::N,цӏелхем,scintilla
84,Feuer::N,цӏай,fuoco
85,Licht::N,экв,luce
86,Schatten::N,серин,ombra
87,Wetter::N,гьава,tempo
88,Nebel::N,ччилин циф,nebbia
89,Wolke::N,циф,nube
90,Wolke::N,циф,nùvola
91,Regen::N,марф,pioggia
92,Schnee::N,жив,neve
93,Eis::N,мурк,ghiaccio
94,Frost::N,аяз,gelo
95,Kälte::N,мекь,freddo
96,Kälte::N,мекьивал,freddo
97,Hitze::N,зегьем,caldo
98,Hitze::N,зегьем,calura
99,Raureif::N,къирав,brina
100,Regenbogen::N,яргъируш,arcobaleno
101,Donner::N,цавун ван,tuono
102,Tropfen::N,стӏал,goccia
103,Schaum::N,каф,spuma
104,Schaum::N,каф,schiuma
105,Schmutz::N,чирк,sudiciume
106,Schmutz::N,кьуруш,sudiciume
107,See::N,вир,lago
108,Sumpf::N,уьлен,palude
109,Wiese::N,векь,prato
110,Wald::N,там,bosco
111,Wald::N,там,foresta
112,Hügel::N,кӏунтӏ,colle
113,Hügel::N,кӏунтӏ,collina
114,Anhöhe::N,тепе,altura
115,Anhöhe::N,гьуьндуьрвал,altura
116,Berg::N,дагъ,monte
117,Berg::N,дагъ,montagna
118,Gipfel::N,кӏукӏ,cima
119,Höhle::N,кьветӏ,grotta
120,Höhle::N,кьветӏ,caverna
121,Abhang::N,гуьне,pendìo
122,Quelle::N,чешме,sorgente
123,Bach::N,булах,ruscello
124,Fluss::N,вацӏ,fiume
125,Ufer::N,къерех,riva
126,Küste::N,къерех,costa
127,Festland::N,кьурамат,terraferma
128,Meer::N,гьуьл,mare
129,Bucht::N,бухта,cala
130,Insel::N,остров,ìsola
131,Blume::N,цуьк,fiore
132,Gras::N,хъач,erba
133,Wurzel::N,дувул,radice
134,Baum::N,ттар,àlbero
135,Stamm::N,тан,tronco
136,Rinde::N,чкал,corteccia
137,Ast::N,тӏур,ramo
138,Zweig::N,хел,ramo
139,Blatt::N,пеш,foglia
140,Birke::N,верх,betulla
141,Kiefer[Baum]::N,шамагъаж,pino
142,Weide[Baum]::N,цӏвелин ттар,sàlice
143,Tanne::N,ель,abete
144,Horn::N,карч,corno
145,Feder::N,цӏакул,penna
146,Fell::N,хам,manto
147,Fell::N,хам,pelame
148,Flügel::N,лув,ala
149,Klaue::N,къармах,grinfia
150,Kralle::N,пац,unghia
151,Kralle::N,пац,artiglio
152,Kralle::N,тапас,unghia
153,Kralle::N,тапас,artiglio
154,Schwanz::N,ттум,coda
155,Ei::N,кака,uovo
156,Nest::N,муг,nido
157,Bau::N,тӏеквен,covo
158,Tier::N,гьайван,bestia
159,Tier::N,гьайван,animale
160,Herde::N,суьруь,gregge
161,Kuh::N,ккал,vacca
162,Bulle::N,яц,toro
163,Bulle::N,бугъа,toro
164,Pferd::N,балкӏан,cavallo
165,Schaf::N,хеб,pècora
166,Schwein::N,вак,porco
167,Schwein::N,вак,maiale
168,Hund::N,кицӏ,cane
169,Katze::N,кац,gatta
170,Bär::N,сев,orso
171,Eichhörnchen::N,белка,scoiàttolo
172,Elch::N,лось,alce
173,Fuchs::N,сикӏ,volpe
174,Hase::N,къуьр,lepre
175,Maus::N,кьиф,topo
176,Maus::N,кьиф,sorcio
177,Wolf::N,жанавур,lupo
178,Vogel::N,луван ничхир,uccello
179,Schwarm::N,луж,stormo
180,Huhn::N,верч,gallina
181,Hahn::N,кӏек,gallo
182,Gans::N,къаз,oca
183,Adler::N,лекь,àquila
184,Ente::N,пӏатӏ,ànatra
185,Eule::N,тӏиб,gufo
186,Eule::N,тӏиб,civetta
187,Kranich::N,дурна,gru
188,Krähe::N,къаргъа,cornacchia
189,Kuckuck::N,кукупӏ,cuccù
190,Kuckuck::N,кукупӏ,cùculo
191,Schwan::N,къугь,cigno
192,Fisch::N,гъед,pesce
193,Barsch::N,окунь,pèrsico
194,Hecht::N,щука,luccio
195,Schlange[Tier]::N,илан,serpente
196,Schlange[Tier]::N,гъуьлягъ,serpente
197,Wurm::N,квак,baco
198,Wurm::N,квак,verme
199,Spinne::N,хуьшрекан,ragno
200,Ameise::N,цегв,formica
201,Laus::N,нет,pidocchio
202,Mücke::N,ветӏ,zanzara
203,Fliege::N,тӏветӏ,mosca
204,Schmetterling::N,чепелукь,farfalla
205,Beere::N,куьлуь емиш,bacca
206,Apfel::N,ич,mela
207,Pilz::N,къарникъуз,fungo
208,Zwiebel::N,чичӏек,cipolla
209,Saat::N,тумар,semente
210,Korn::N,твар,grano
211,Heu::N,векь,fieno
212,Heu::N,векьер,fieno
213,Schale::N,пириш,buccia
214,Schale::N,хъуьруьш,buccia
215,Grube::N,фур,cava
216,Grube::N,фур,fossa
217,Falle::N,ракьар,tràppola
218,Schlinge::N,гьалкъа,laccio
219,Spur::N,гел,traccia
220,Asche::N,руьхъ,cenere
221,Dreck::N,чирк,fango
222,Dreck::N,кьуруш,fango
223,Eisen::N,ракь,ferro
224,Gold::N,алтун,oro
225,Silber::N,гимиш,argento
226,Kohle::N,цӏивин,carbone
227,Glas::N,шуьше,vetro
228,Lehm::N,ччеб,argilla
229,Sand::N,къум,arena
230,Sand::N,къум,sabbia
231,Mensch::N,инсан,uomo
232,Mensch::N,инсан,èssere umano
233,Mann::N,итим,uomo
234,Frau::N,паб,donna
235,Frau::N,дишегьли,donna
236,Kind::N,аял,bambino
237,Junge::N,гада,ragazzo
238,Mädchen::N,руш,ragazza
239,Familie::N,хзан,famiglia
240,Familie::N,килфет,famiglia
241,Großvater::N,чӏехи буба,nonno
242,Großmutter::N,чӏехи диде,nonna
243,Eltern::N,диде-буба,genitori
244,Vater::N,буба,padre
245,Mutter::N,диде,madre
246,Sohn::N,хва,figlio
247,Tochter::N,руш,figlia
248,Bruder::N,стха,fratello
249,Schwester::N,вах,sorella
250,Onkel::N,ими,zio
251,Onkel::N,халу,zio
252,Tante::N,эме,zia
253,Tante::N,хала,zia
254,Ehemann::N,гъуьл,marito
255,Ehefrau::N,паб,moglie
256,Freude::N,шадвал,gioia
257,Freude::N,шадвал,piacere
258,Gelächter::N,хъвер,risata
259,Glück::N,бахт,felicità
260,Kummer::N,дерт,afflizione
261,Kummer::N,хажалат,afflizione
262,Wunsch::N,мурад,desiderio
263,Lust::N,гьевес,voglia
264,Geist::N,руьгь,mente
265,Geist::N,руьгь,spìrito
266,Gedanke::N,фикир,idea
267,Gedanke::N,фикир,pensiero
268,Verstand::N,акьул,intelletto
269,Sinn::N,мана,senso
270,Sinn::N,мана,significato
271,Grund::N,себеб,causa
272,Grund::N,себеб,motivo
273,Grund::N,себеб,ragione
274,Wahrheit::N,керчек,verità
275,Wahrheit::N,гьакъикъат,verità
276,Gespräch::N,ихтилат,discorso
277,Gespräch::N,ихтилат,conversazione
278,Märchen::N,мах,fiaba
279,Märchen::N,мах,fàvola
280,Erzählung::N,кьиса,racconto
281,Erzählung::N,кьиса,narrazione
282,Nachricht::N,хабар,messaggio
283,Neuigkeit::N,цӏийи хабар,notizia
284,Name::N,тӏвар,nome
285,Rätsel::N,мискӏал,indovinello
286,Rede::N,рахун,discorso
287,Sprache::N,чӏал,lingua
288,Sprache::N,чӏал,linguaggio
289,Stimme::N,ван,voce
290,Wort::N,гаф,parola
291,Zeichen::N,ишара,segno
292,Zeichen::N,ишара,segnale
293,Ruf::N,эвер,chiamata
294,Lärm::N,ван-сес,chiasso
295,Lärm::N,ван-сес,strèpito
296,Laut::N,ван,suono
297,Laut::N,сес,suono
298,Ton::N,ван-сес,tono
299,Lied::N,мани,canto
300,Lied::N,мани,canzone
301,Ruhe::N,ласвал,calma
302,Ruhe::N,ласвал,tranquillità
303,Ruhe::N,фаракъат,calma
304,Ruhe::N,фаракъат,tranquillità
305,Ruhe::N,асайиш,calma
306,Ruhe::N,асайиш,tranquillità
307,Leute::N,инсанар,gente
308,Volk::N,халкь,pòpolo
309,Arbeit::N,кӏвалах,lavoro
310,Gast::N,мугьман,òspite
311,Gast::N,мугьман,invitato
312,Geschenk::N,савкьат,regalo
313,Spiel::N,къугъун,gioco
314,Gesellschaft::N,жемят,compagnìa
315,Gesellschaft::N,общество,compagnìa
316,Hilfe::N,куьмек,aiuto
317,Hilfe::N,куьмек,soccorso
318,Freund::N,дуст,amico
319,Kamerad::N,яр-дуст,camerata
320,Angelegenheit::N,кар,affare
321,Angelegenheit::N,кар,faccenda
322,Anzahl::N,сан,nùmero
323,Anzahl::N,сан,quantità
324,Anzahl::N,кьадар,nùmero
325,Anzahl::N,кьадар,quantità
326,Art::N,жуьре,tipo
327,Art::N,жуьре,specie
328,Stück::N,кӏус,pezzo
329,Teil::N,пай,parte
330,Hälfte::N,зур,metà
331,Hälfte::N,зур пай,metà
332,Kreis::N,круг,cìrcolo
333,Kreis::N,чкаяр,cìrcolo
334,Kreis::N,элкъвей цӏар,cìrcolo
335,Kreuz::N,хаш,croce
336,Linie::N,цӏар,lìnea
337,Strich::N,цӏар,tratto
338,Abstand::N,ара,distanza
339,Entfernung::N,мензил,distanza
340,Entfernung::N,мензил,lontananza
341,Gegend::N,чка,regione
342,Platz::N,ара,posto
343,Platz::N,ара,spazio
344,Ort::N,чка,luogo
345,Ort::N,чка,località
346,Seite::N,пад,lato
347,Seite::N,пад,parte
348,Mitte::N,юкь,mezzo
349,Mitte::N,юкь,centro
350,Gegenstand::N,затӏ,oggetto
351,Sache::N,шей,cosa
352,Sache::N,затӏ,cosa
353,Rand::N,къерех,orlo
354,Rand::N,къерех,bordo
355,Kante::N,син,spìgolo
356,Ecke::N,пӏипӏ,canto
357,Spitze::N,кӏвенкӏв,punta
358,Ende::N,кьил,capo
359,Ende::N,кьил,estremità
360,Loch::N,тӏеквен,buco
361,Winkel::N,пӏипӏ,àngolo
362,Muster::N,гишир,disegno
363,Größe::N,кьадар,taglia
364,Größe::N,кьадар,grandezza
365,Länge::N,яргъивал,lunghezza
366,Höhe::N,кьакьанвал,altezza
367,Gewicht::N,заланвал,peso
368,Menge::N,кьадар,quantità
369,Haufen::N,хара,cùmulo
370,Haufen::N,хара,mucchio
371,Reihe::N,жерге,fila
372,Boot::N,луьткве,barca
373,Boot::N,луьткве,battello
374,Ruder::N,кьусу,remo
375,Schlitten::N,гъелерар,slitta
376,Lagerfeuer::N,цӏай,falò
377,Lagerfeuer::N,цӏай,fuoco di bivacco
378,Last::N,заланвал,càrico
379,Gang::N,ериш,andata
380,Schritt::N,къадам,passo
381,Norden::N,кефер,nord
382,Norden::N,кефер,settentrione
383,Norden::N,кефер пад,nord
384,Norden::N,кефер пад,settentrione
385,Süden::N,кьибле,sud
386,Süden::N,кьибле,meridione
387,Westen::N,рагъакӏидай пад,òvest
388,Westen::N,рагъакӏидай пад,occidente
389,Osten::N,рагъэкъечӏдай пад,est
390,Osten::N,рагъэкъечӏдай пад,oriente
391,Holz::N,кӏарас,legno
392,Brett::N,кьул,asse
393,Brett::N,кьул,tàvola
394,Brett::N,тахта,asse
395,Brett::N,тахта,tàvola
396,Stütze::N,даях,supporto
397,Stange::N,юрк,sbarra
398,Stange::N,юрк,pèrtica
399,Stock::N,лаш,verga
400,Stock::N,лаш,bastone
401,Stock::N,лаш,bacchetta
402,Stab::N,юрк,asta
403,Rohr::N,турба,tubo
404,Haus::N,ужагъ,casa
405,Heim::N,кӏвал,casa
406,Ofen::N,пич,stufa
407,Fußboden::N,кӏвалин ччил,pavimento
408,Tisch::N,стол,tàvolo
409,Stuhl::N,стул,sedia
410,Wiege::N,кьеб,culla
411,Bett::N,тахт,letto
412,Regal::N,кьацӏ,scaffale
413,Kiste::N,ящик,cassa
414,Fenster::N,дакӏар,finestra
415,Tür::N,рак,porta
416,Tor::N,варар,portone
417,Zaun::N,пару,recinto
418,Dach::N,къав,tetto
419,Leiter::N,гурар,scala
420,Leiter::N,гурар,scala a pioli
421,Besen::N,таран кул,scopa
422,Spaten::N,ппер,vanga
423,Schaufel::N,хекендаз,pala
424,Gabel::N,шиш,forchetta
425,Löffel::N,тӏур,cucchiaio
426,Messer::N,чукӏул,coltello
427,Nagel::N,мих,chiodo
428,Netz::N,чил,rete
429,Haken::N,къармах,uncino
430,Griff::N,ттум,mànico
431,Griff::N,ттум,maniglia
432,Schloss::N,куьлег,serratura
