,Concept_ID,bn,cs
0,Auge::N,চক্ষু,oko
1,Ohr::N,কর্ণ,ucho
2,Nase::N,নাক,nos
3,Mund::N,মুখ,pusa
4,Zahn::N,দাঁত,zub
5,Zunge::N,জিহবা,jazyk
6,Lippe::N,অধর,ret
7,Wange::N,গণ্ড,tvář
8,Gesicht::N,মুখমণ্ডল,obličej
9,Stirn::N,কপাল,čelo
10,Haar::N,চুল,vlas
11,Haar::N,চুল,vlasy
12,Schnurrbart::N,গোঁফ,kníry
13,Bart::N,শ্মশ্রু,vousy
14,Kinn::N,চিবুক,brada
15,Kiefer[Anatomie]::N,চোয়াল,čelist
16,Kehle::N,কণ্ঠ,hrdlo
17,Hals::N,গল,krk
18,Genick::N,ঘাড়,týl
19,Kopf::N,মাথা,hlava
20,Rücken::N,পৃষ্ঠ,záda
21,Rücken::N,পৃষ্ঠ,hřbet
22,Bauch::N,উদর,břicho
23,Nabel::N,নাভি,pupek
24,Busen::N,স্তন,ňadra
25,Brust::N,বুক,prsa
26,Schulter::N,স্কন্ধ,plece
27,Schulter::N,স্কন্ধ,rameno
28,Arm::N,বাহু,ruka
29,Ellenbogen::N,কনুই,loket
30,Hand::N,হাত,ruka
31,Handfläche::N,করতল,dlaň
32,Finger::N,আঙ্গুল,prst
33,Fingernagel::N,হাতের নখ,nehet
34,Nagel[Anatomie]::N,নখ,nehet
35,Zeh::N,আঙ্গুল,prst u nohy
36,Fuß::N,পা,noha
37,Ferse::N,গোড়ালি,pata
38,Knie::N,হাঁটু,koleno
39,Oberschenkel::N,ঊরু,stehno
40,Bein::N,পা,noha
41,Körper::N,দেহ,tělo
42,Haut::N,ত্বক,kůže
43,Blut::N,রক্ত,krev
44,Ader::N,শিরা,céva
45,Sehne::N,কণ্ডরা,šlacha
46,Knochen::N,অস্থি,kost
47,Gehirn::N,মস্তিষ্ক,mozek
48,Herz::N,হৃৎপিণ্ড,srdce
49,Magen::N,পাকস্থলী,žaludek
50,Leber::N,যকৃৎ,játra
51,Atem::N,শ্বাস,dech
52,Hunger::N,ক্ষুধা,hlad
53,Träne::N,অশ্রু,slza
54,Geschmack::N,স্বাদ,vkus
55,Geruch::N,গন্ধ,vůně
56,Geruch::N,গন্ধ,zápach
57,Schlaf::N,ঘুম,spánek
58,Traum::N,স্বপ্ন,sen
59,Himmel::N,আকাশ,nebe
60,Sonne::N,সূর্য,slunce
61,Mond::N,চন্দ্র,měsíc
62,Stern::N,নক্ষত্র,hvězda
63,Luft::N,বায়ু,vzduch
64,Wind::N,বাতাস,vítr
65,Welle::N,ঢেউ,vlna
66,Welle::N,তরঙ্গ,vlna
67,Wasser::N,জল,voda
68,Stein::N,ঢিল,kámen
69,Stein::N,প্রস্তর,kámen
70,Boden::N,ভূতল,půda
71,Erde::N,ভূমি,země
72,Staub::N,ধুলা,prach
73,Rauch::N,ধোঁয়া,dým
74,Rauch::N,ধোঁয়া,kouř
75,Funke::N,স্ফুলিঙ্গ,jiskra
76,Feuer::N,অগ্নি,oheň
77,Licht::N,আলো,světlo
78,Schatten::N,ছায়া,stín
79,Wetter::N,আবহাওয়া,počasí
80,Nebel::N,কুহেলিকা,mlha
81,Wolke::N,মেঘ,mrak
82,Wolke::N,মেঘ,oblak
83,Regen::N,বৃষ্টি,déšť
84,Schnee::N,তুষার,sníh
85,Eis::N,বরফ,led
86,Frost::N,তুষার,mráz
87,Kälte::N,শৈত্য,chlad
88,Hitze::N,তাপ,horko
89,Raureif::N,তুহিন,jinovatka
90,Regenbogen::N,রামধনু,duha
91,Donner::N,বজ্রধ্বনি,hrom
92,Strömung::N,স্রোত,proudění
93,Tropfen::N,ফোঁটা,kapka
94,Schaum::N,ফেনা,pěna
95,Schmutz::N,ধুলা,špína
96,See::N,হ্রদ,jezero
97,Sumpf::N,জলা,močál
98,Sumpf::N,জলা,bažina
99,Moor::N,মাঠ,bažina
100,Moor::N,মাঠ,slatina
101,Wiese::N,তৃণভূমি,louka
102,Wald::N,বন,les
103,Hügel::N,পাহাড়,kopec
104,Anhöhe::N,টিলা,pahorek
105,Berg::N,পর্বত,hora
106,Gipfel::N,শীর্ষ,vrchol
107,Höhle::N,গুহা,jeskyně
108,Abhang::N,ঢাল,svah
109,Abhang::N,ঢাল,stráň
110,Quelle::N,উৎস,pramen
111,Bach::N,ক্ষুদ্র নদী,potok
112,Fluss::N,নদী,řeka
113,Ufer::N,উপকূল,břeh
114,Küste::N,তীর,pobřeží
115,Festland::N,ভূমি,souš
116,Festland::N,ভূমি,pevnina
117,Meer::N,সমুদ্র,moře
118,Bucht::N,উপসাগর,záliv
119,Bucht::N,উপসাগর,zátoka
120,Insel::N,দ্বীপ,ostrov
121,Blume::N,ফুল,květina
122,Gras::N,ঘাস,tráva
123,Wurzel::N,শিকড়,kořen
124,Baum::N,গাছ,strom
125,Stamm::N,স্কন্ধ,kmen
126,Rinde::N,বল্কল,kůra
127,Ast::N,শাখা,větev
128,Zweig::N,ডাল,větev
129,Blatt::N,পর্ণ,lupen
130,Birke::N,ভুর্জ,bříza
131,Kiefer[Baum]::N,পাইন গাছ,sosna
132,Kiefer[Baum]::N,পাইন গাছ,borovice
133,Weide[Baum]::N,উইলো,vrba
134,Tanne::N,দেবদারূ গাছ,jedle
135,Horn::N,শিং,roh
136,Feder::N,পালক,pero
137,Fell::N,রোম,srst
138,Flügel::N,ডানা,křídlo
139,Klaue::N,নখর,dráp
140,Klaue::N,নখর,pazneht
141,Kralle::N,নখর,dráp
142,Schwanz::N,লেজ,ocas
143,Ei::N,ডিম,vejce
144,Nest::N,কুলায়,hnízdo
145,Bau::N,ডেরা,nora
146,Tier::N,জন্তু,zvíře
147,Herde::N,ঝাঁক,stádo
148,Kuh::N,গোরু,kráva
149,Bulle::N,বৃষ,býk
150,Pferd::N,ঘোড়া,kůň
151,Schaf::N,ভেড়া,ovce
152,Schwein::N,শূকর,vepř
153,Schwein::N,শূকর,prase
154,Hund::N,কুকুর,pes
155,Katze::N,বেড়াল,kočka
156,Bär::N,ভল্লুক,medvěd
157,Eichhörnchen::N,কাঠবিড়াল,veverka
158,Elch::N,হরিণবিশেষ,los
159,Fuchs::N,পাঁতিশিয়াল,liška
160,Hase::N,শশক,zajíc
161,Maus::N,নেংটি ইঁদুর,myš
162,Wolf::N,নেকড়ে,vlk
163,Vogel::N,পক্ষী,pták
164,Schwarm::N,ঝাঁক,roj
165,Schwarm::N,ঝাঁক,hejno
166,Huhn::N,মোরগ,kuře
167,Huhn::N,মোরগ,slepice
168,Hahn::N,কুক্কুট,kohout
169,Gans::N,হংসী,husa
170,Adler::N,ইগল,orel
171,Ente::N,হংসী,kachna
172,Eule::N,পেচক,sova
173,Kranich::N,সারস,jeřáb
174,Krähe::N,কাক,vrána
175,Kuckuck::N,কোকিল,kukačka
176,Schwan::N,মরাল,labuť
177,Fisch::N,মাছ,ryba
178,Barsch::N,মৎন্যবিশেষ,okoun
179,Hecht::N,বানমাছ,štika
180,Schlange[Tier]::N,সর্প,had
181,Wurm::N,কীট,červ
182,Spinne::N,মাকড়সা,pavouk
183,Ameise::N,পিপীলিকা,mravenec
184,Laus::N,উকুন,veš
185,Mücke::N,মশা,komár
186,Fliege::N,মাছি,moucha
187,Schmetterling::N,প্রজাপতি,motýl
188,Beere::N,বেরি,bobule
189,Apfel::N,আপেল,jablko
190,Pilz::N,ছত্রক,houba
191,Zwiebel::N,পিয়াজ,cibule
192,Saat::N,বীজ,osivo
193,Korn::N,শস্য,zrno
194,Heu::N,খড়,seno
195,Schale::N,খোসা,slupka
196,Schale::N,খোসা,skořápka
197,Grube::N,গর্ত,jáma
198,Falle::N,ফাঁদ,past
199,Falle::N,ফাঁদ,léčka
200,Schlinge::N,পাশ,smyčka
201,Spur::N,চিহ্ন,stopa
202,Asche::N,ভস্ম,popel
203,Dreck::N,ময়লা,špína
204,Eisen::N,লোহা,železo
205,Gold::N,স্বর্ণ,zlato
206,Silber::N,রৌপ্য,stříbro
207,Kohle::N,অঙ্গার,uhlí
208,Glas::N,কাচ,sklo
209,Lehm::N,মৃত্তিকা,jíl
210,Lehm::N,মৃত্তিকা,hlína
211,Sand::N,বালি,písek
212,Mensch::N,নর,člověk
213,Mensch::N,মানুষ,člověk
214,Mann::N,মানুষ,muž
215,Frau::N,নারী,žena
216,Kind::N,বাচ্চা,dítě
217,Junge::N,ছেলে,hoch
218,Junge::N,ছেলে,chlapec
219,Mädchen::N,মেয়ে,děvče
220,Familie::N,পরিবার,rodina
221,Großvater::N,মাতামহ,děd
222,Großvater::N,মাতামহ,dědeček
223,Großmutter::N,মাতামহী,babička
224,Eltern::N,মাতাপিতা,rodiče
225,Vater::N,পিতা,otec
226,Mutter::N,মাতা,matka
227,Sohn::N,ছেলে,syn
228,Tochter::N,মেয়ে,dcera
229,Bruder::N,দাদা,bratr
230,Schwester::N,বোন,sestra
231,Schwester::N,দিদি,sestra
232,Onkel::N,মামা,strýc
233,Tante::N,মাসী,teta
234,Ehemann::N,স্বামী,choť
235,Ehemann::N,স্বামী,manžel
236,Ehefrau::N,পত্নী,choť
237,Ehefrau::N,পত্নী,manželka
238,Freude::N,উল্লাস,radost
239,Gelächter::N,হাসি,smích
240,Glück::N,সুখ,štěstí
241,Kummer::N,দুঃখ,žal
242,Kummer::N,দুঃখ,trápení
243,Wunsch::N,আকাঙ্ক্ষা,přání
244,Lust::N,বাসনা,chuť
245,Geist::N,আত্না,duch
246,Gedanke::N,চিন্তা,myšlenka
247,Gedächtnis::N,স্মরণশক্তি,paměť
248,Verstand::N,মন,rozum
249,Sinn::N,পদার্থ,smysl
250,Grund::N,কারণ,důvod
251,Wahrheit::N,সত্য,pravda
252,Gespräch::N,কথাবার্তা,rozhovor
253,Märchen::N,রূপকথা,pohádka
254,Erzählung::N,গল্প,povídka
255,Nachricht::N,তথ্য,zpráva
256,Neuigkeit::N,খবরাখবর,novina
257,Neuigkeit::N,খবরাখবর,novinka
258,Name::N,নাম,jméno
259,Rätsel::N,ধাঁধা,hádanka
260,Rede::N,বক্তৃতা,řeč
261,Rede::N,বক্তৃতা,proslov
262,Sprache::N,ভাষা,řeč
263,Sprache::N,ভাষা,jazyk
264,Stimme::N,স্বর,hlas
265,Wort::N,শব্দ,slovo
266,Zeichen::N,প্রতীক,znamení
267,Ruf::N,ডাক,zavolání
268,Lärm::N,হৈচৈ,hluk
269,Laut::N,ধ্বনি,zvuk
270,Ton::N,স্বর,tón
271,Lied::N,গান,píseň
272,Ruhe::N,শান্তি,klid
273,Ruhe::N,শান্তি,pokoj
274,Leute::N,প্রজাপুঞ্জ,lidé
275,Volk::N,জাতি,národ
276,Arbeit::N,চাকরি,práce
277,Gast::N,অতিথি,host
278,Geschenk::N,উপহার,dar
279,Spiel::N,খেলা,hra
280,Gesellschaft::N,সঙ্গিগণ,společnost
281,Hilfe::N,সাহায্য,pomoc
282,Freund::N,বন্ধু,přítel
283,Kamerad::N,সঙ্গী,kamarád
284,Angelegenheit::N,বিষয়,záležitost
285,Anzahl::N,পরিমাণ,počet
286,Art::N,রকম,druh
287,Stück::N,টুকরো,kus
288,Stück::N,টুকরো,kousek
289,Teil::N,অংশ,díl
290,Teil::N,অংশ,část
291,Hälfte::N,অর্ধেক,půl
292,Kreis::N,বৃত্ত,kruh
293,Kreuz::N,ক্রুশ,kříž
294,Linie::N,রেখা,linka
295,Strich::N,কষি,čára
296,Strich::N,কষি,čárka
297,Abstand::N,ফাঁক,vzdálenost
298,Entfernung::N,ব্যবধান,vzdálenost
299,Gegend::N,ক্ষেত্র,krajina
300,Platz::N,জায়গা,prostor
301,Ort::N,স্থান,místo
302,Seite::N,পার্শ্ব,strana
303,Mitte::N,মধ্য,střed
304,Mitte::N,মধ্য,prostředek
305,Gegenstand::N,জিনিস,předmět
306,Sache::N,বস্তু,věc
307,Rand::N,কানা,kraj
308,Rand::N,কানা,okraj
309,Kante::N,ধার,hrana
310,Ecke::N,কোণ,roh
311,Spitze::N,ডগা,hrot
312,Spitze::N,ডগা,špička
313,Ende::N,প্রান্ত,konec
314,Loch::N,গর্ত,díra
315,Winkel::N,কোণ,kout
316,Muster::N,নমুন্,vzor
317,Größe::N,আয়তন,velikost
318,Länge::N,দৈর্ঘ্য,délka
319,Höhe::N,উচ্চতা,výška
320,Gewicht::N,ওজন,váha
321,Menge::N,পরিমাণ,množství
322,Haufen::N,পুঞ্জ,kupa
323,Haufen::N,পুঞ্জ,hromada
324,Reihe::N,শ্রেণী,řada
