,Concept_ID,av,cs
0,Ohr::N,гӏин,ucho
1,Nase::N,мегӏер,nos
2,Mund::N,кӏал,pusa
3,Zahn::N,гӏус,zub
4,Zunge::N,мацӏ,jazyk
5,Lippe::N,кӏветӏ,ret
6,Wange::N,гӏоно,tvář
7,Gesicht::N,гьумер,obličej
8,Stirn::N,нодо,čelo
9,Haar::N,рас,vlas
10,Haar::N,рас,vlasy
11,Schnurrbart::N,михъ,kníry
12,Bart::N,мегеж,vousy
13,Kinn::N,нилъу,brada
14,Kiefer[Anatomie]::N,чанагъ,čelist
15,Kehle::N,щекъер,hrdlo
16,Hals::N,габур,krk
17,Genick::N,гъванща,týl
18,Kopf::N,бетӏер,hlava
19,Rücken::N,мугъ,záda
20,Rücken::N,мугъ,hřbet
21,Bauch::N,чехь,břicho
22,Nabel::N,цӏину,pupek
23,Busen::N,керен,ňadra
24,Brust::N,керен,prsa
25,Schulter::N,гъажазубетӏер,plece
26,Schulter::N,гъажазубетӏер,rameno
27,Arm::N,гъеж,ruka
28,Ellenbogen::N,гӏункӏрукь,loket
29,Hand::N,квер,ruka
30,Handfläche::N,огъохъат,dlaň
31,Handfläche::N,жанисахъат,dlaň
32,Finger::N,килищ,prst
33,Fingernagel::N,малъ,nehet
34,Nagel[Anatomie]::N,малъ,nehet
35,Zeh::N,килищ,prst u nohy
36,Fuß::N,хӏетӏ,noha
37,Fuß::N,хӏетӏе,noha
38,Ferse::N,эгъе,pata
39,Knie::N,наку,koleno
40,Oberschenkel::N,мачӏ,stehno
41,Bein::N,бох,noha
42,Körper::N,къаркъала,tělo
43,Haut::N,тӏом,kůže
44,Blut::N,би,krev
45,Ader::N,бидурихь,céva
46,Knochen::N,ракьа,kost
47,Gehirn::N,гӏадалнах,mozek
48,Herz::N,ракӏ,srdce
49,Magen::N,кванирукъ,žaludek
50,Leber::N,тӏул,játra
51,Atem::N,хӏухь,dech
52,Hunger::N,ракъи,hlad
53,Träne::N,магӏу,slza
54,Geschmack::N,тату,vkus
55,Geruch::N,махӏ,vůně
56,Geruch::N,махӏ,zápach
57,Schlaf::N,макьу,spánek
58,Traum::N,макьу,sen
59,Himmel::N,зоб,nebe
60,Sonne::N,бакъ,slunce
61,Mond::N,моцӏ,měsíc
62,Stern::N,цӏва,hvězda
63,Luft::N,гьава,vzduch
64,Wind::N,гьури,vítr
65,Welle::N,карачел,vlna
66,Wasser::N,лъим,voda
67,Stein::N,гьецӏо,kámen
68,Boden::N,ракь,půda
69,Erde::N,ракь,země
70,Erde::N,дуниял,země
71,Staub::N,хӏур,prach
72,Rauch::N,кӏкӏуй,dým
73,Rauch::N,кӏкӏуй,kouř
74,Feuer::N,цӏа,oheň
75,Licht::N,канлъи,světlo
76,Schatten::N,рагӏад,stín
77,Wetter::N,гьава-бакъ,počasí
